itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,income_under_50k,income_50_100k,income_over_100k,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind,party_id_leaners_dem,party_id_leaners_rep,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",(If not taking enough precautions)  Do you think Israel is intentionally or unintentionally killing civilians?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Intentionally,20%,15%,21%,48%,24%,15%,10%,16%,31%,28%,26%,22%,18%,19%,15%,21%,23%,18%,27%,12%,19%,29%,9%,21%,30%,10%,29%,7%,30%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Unintentionally,21%,21%,23%,16%,26%,20%,23%,22%,26%,18%,16%,27%,18%,27%,19%,22%,20%,25%,28%,16%,15%,28%,13%,26%,29%,16%,27%,15%,19%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don’t know/Refused,6%,7%,4%,8%,6%,6%,3%,5%,6%,5%,17%,4%,6%,4%,5%,5%,7%,5%,8%,2%,8%,7%,2%,6%,8%,2%,8%,2%,7%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[PREVIOUSLY] Is taking enough precautions to avoid civilian casualties,33%,42%,26%,15%,24%,38%,42%,36%,21%,27%,29%,27%,36%,31%,39%,31%,30%,34%,18%,49%,27%,16%,54%,31%,16%,51%,17%,54%,25%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[PREVIOUSLY] Don't know/Refused,21%,14%,26%,12%,20%,20%,22%,21%,16%,22%,12%,19%,21%,18%,23%,21%,19%,18%,19%,21%,31%,20%,22%,16%,17%,22%,19%,22%,18%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,234,254,446,470,452,94,304,299,321,463,461,459,337,159,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,46%,52%,13%,22%,34%,29%,70%,10%,11%,6%,40%,59%,29%,40%,25%,24%,42%,47%,45%,8%,32%,32%,29%,46%,47%,47%,38%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",How much attention would you say you are paying to news about the legal cases against Donald Trump?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",How much attention would you say you are paying to news about the legal cases against Donald Trump?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",How much attention would you say you are paying to news about the legal cases against Donald Trump?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",A lot of attention,24%,24%,24%,10%,11%,28%,35%,26%,15%,20%,25%,25%,23%,26%,25%,27%,23%,24%,31%,20%,5%,34%,23%,18%,30%,20%,31%,22%,7%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Some attention,32%,34%,31%,37%,29%,30%,37%,33%,29%,36%,29%,35%,31%,34%,31%,33%,36%,31%,34%,32%,28%,34%,31%,33%,35%,32%,33%,34%,27%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Only a little attention,26%,23%,29%,32%,37%,25%,18%,25%,31%,28%,27%,27%,26%,27%,24%,23%,25%,26%,26%,25%,29%,23%,23%,29%,26%,25%,27%,23%,29%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",No attention at all,17%,18%,16%,22%,23%,17%,10%,16%,23%,15%,18%,13%,20%,11%,20%,16%,15%,19%,9%,22%,31%,8%,21%,18%,10%,22%,9%,20%,36%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,<1%,<1%,<1%,0%,<1%,1%,<.5%,<1%,<.5%,<1%,1%,1%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<.5%,<1%,7%,0%,<1%,<1%,0%,<.5%,<.5%,<.5%,1%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,234,254,446,470,452,94,304,299,321,463,461,459,337,159,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,46%,52%,13%,22%,34%,29%,70%,10%,11%,6%,40%,59%,29%,40%,25%,24%,42%,47%,45%,8%,32%,32%,29%,46%,47%,47%,38%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",The charges against Donald Trump are mostly politically motivated,45%,49%,42%,35%,44%,51%,44%,50%,16%,46%,36%,32%,54%,33%,63%,45%,45%,42%,9%,85%,29%,9%,84%,41%,9%,82%,9%,88%,49%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump was charged mostly because prosecutors believed he committed crimes,50%,46%,54%,58%,54%,45%,52%,47%,77%,43%,63%,65%,41%,66%,34%,47%,52%,57%,87%,11%,54%,87%,14%,54%,87%,15%,88%,9%,41%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don’t know/Refused,5%,5%,4%,7%,2%,4%,3%,3%,7%,11%,1%,3%,5%,2%,3%,8%,3%,1%,3%,4%,17%,4%,2%,5%,4%,2%,3%,3%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,234,254,446,470,452,94,304,299,321,463,461,459,337,159,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,46%,52%,13%,22%,34%,29%,70%,10%,11%,6%,40%,59%,29%,40%,25%,24%,42%,47%,45%,8%,32%,32%,29%,46%,47%,47%,38%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump has committed serious federal crimes,59%,54%,63%,70%,65%,52%,58%,54%,86%,61%,65%,69%,52%,70%,43%,57%,59%,65%,94%,20%,69%,93%,22%,65%,93%,26%,95%,17%,55%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump has not committed serious federal crimes,34%,39%,30%,22%,30%,40%,35%,39%,8%,28%,28%,23%,41%,24%,50%,36%,34%,30%,4%,70%,8%,4%,69%,28%,4%,65%,3%,75%,29%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,8%,7%,8%,8%,5%,7%,7%,6%,6%,11%,7%,7%,7%,7%,6%,6%,7%,5%,2%,10%,23%,3%,9%,7%,3%,9%,2%,8%,16%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,234,254,446,470,452,94,304,299,321,463,461,459,337,159,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,46%,52%,13%,22%,34%,29%,70%,10%,11%,6%,40%,59%,29%,40%,25%,24%,42%,47%,45%,8%,32%,32%,29%,46%,47%,47%,38%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about Donald Trump’s upcoming federal trial related to attempts to overturn the 2020 election, do you think he will be able to get a fair and impartial trial?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about Donald Trump’s upcoming federal trial related to attempts to overturn the 2020 election, do you think he will be able to get a fair and impartial trial?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about Donald Trump’s upcoming federal trial related to attempts to overturn the 2020 election, do you think he will be able to get a fair and impartial trial?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Yes,45%,45%,45%,49%,45%,38%,51%,41%,66%,45%,49%,52%,39%,51%,34%,42%,48%,47%,75%,14%,40%,77%,16%,46%,75%,18%,75%,11%,35%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",No,48%,48%,49%,45%,50%,56%,41%,54%,25%,41%,44%,40%,54%,42%,63%,52%,46%,48%,19%,81%,35%,17%,79%,48%,19%,78%,19%,84%,55%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,7%,7%,7%,6%,5%,6%,8%,5%,9%,14%,7%,7%,7%,7%,4%,6%,6%,4%,6%,5%,25%,6%,5%,6%,6%,4%,6%,5%,11%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,234,254,446,470,452,94,304,299,321,463,461,459,337,159,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,46%,52%,13%,22%,34%,29%,70%,10%,11%,6%,40%,59%,29%,40%,25%,24%,42%,47%,45%,8%,32%,32%,29%,46%,47%,47%,38%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Regardless of what you believe about the last election, which comes closer to your view, even if neither is exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Regardless of what you believe about the last election, which comes closer to your view, even if neither is exactly right?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Regardless of what you believe about the last election, which comes closer to your view, even if neither is exactly right?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump genuinely believed that the election was stolen,46%,47%,47%,48%,44%,50%,44%,53%,19%,34%,39%,33%,54%,36%,66%,55%,45%,43%,13%,85%,24%,15%,83%,40%,14%,81%,14%,88%,48%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump knowingly made false claims that the election was stolen,49%,48%,49%,47%,54%,45%,50%,44%,73%,57%,58%,62%,41%,61%,32%,42%,52%,54%,85%,11%,51%,84%,13%,54%,84%,15%,84%,9%,42%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don’t know/Refused,5%,6%,4%,5%,2%,4%,6%,3%,8%,9%,3%,5%,5%,3%,3%,4%,3%,3%,2%,4%,25%,1%,4%,6%,2%,4%,2%,4%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,234,254,446,470,452,94,304,299,321,463,461,459,337,159,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,46%,52%,13%,22%,34%,29%,70%,10%,11%,6%,40%,59%,29%,40%,25%,24%,42%,47%,45%,8%,32%,32%,29%,46%,47%,47%,38%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the federal trial against Donald Trump related to attempts to overturn the 2020 election, do you think he should be found guilty or not guilty?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the federal trial against Donald Trump related to attempts to overturn the 2020 election, do you think he should be found guilty or not guilty?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the federal trial against Donald Trump related to attempts to overturn the 2020 election, do you think he should be found guilty or not guilty?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump should be found guilty,49%,44%,53%,51%,52%,42%,56%,45%,81%,48%,53%,61%,41%,61%,32%,46%,49%,54%,86%,9%,49%,85%,13%,52%,85%,14%,87%,8%,32%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump should be found NOT guilty,39%,43%,36%,32%,37%,49%,33%,45%,8%,35%,32%,26%,48%,29%,58%,40%,39%,37%,3%,81%,15%,3%,79%,34%,4%,77%,3%,83%,45%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,12%,14%,11%,17%,11%,9%,11%,10%,11%,17%,14%,14%,11%,11%,10%,14%,12%,9%,10%,10%,36%,12%,8%,14%,11%,9%,10%,8%,24%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,234,254,446,470,452,94,304,299,321,463,461,459,337,159,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,46%,52%,13%,22%,34%,29%,70%,10%,11%,6%,40%,59%,29%,40%,25%,24%,42%,47%,45%,8%,32%,32%,29%,46%,47%,47%,38%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","If Donald Trump is found guilty in the federal trial related to attempts to overturn the 2020 election, should he be sentenced to prison or should he not be sentenced to prison?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","If Donald Trump is found guilty in the federal trial related to attempts to overturn the 2020 election, should he be sentenced to prison or should he not be sentenced to prison?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","If Donald Trump is found guilty in the federal trial related to attempts to overturn the 2020 election, should he be sentenced to prison or should he not be sentenced to prison?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump should be sentenced to prison,50%,47%,52%,61%,54%,44%,51%,46%,74%,52%,59%,60%,43%,58%,37%,49%,51%,55%,82%,17%,45%,79%,18%,56%,81%,21%,83%,14%,45%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump should NOT be sentenced to prison,40%,42%,39%,31%,38%,48%,39%,45%,16%,38%,38%,28%,48%,31%,55%,46%,39%,37%,9%,75%,25%,11%,75%,34%,11%,72%,9%,79%,40%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,10%,11%,8%,8%,9%,8%,10%,9%,10%,10%,3%,12%,8%,11%,8%,5%,9%,8%,9%,8%,31%,10%,7%,10%,8%,7%,8%,7%,15%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,234,254,446,470,452,94,304,299,321,463,461,459,337,159,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,46%,52%,13%,22%,34%,29%,70%,10%,11%,6%,40%,59%,29%,40%,25%,24%,42%,47%,45%,8%,32%,32%,29%,46%,47%,47%,38%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the federal trial against Donald Trump related to attempts to overturn the 2020 election, do you think it is likely or unlikely that he will be convicted at the end of the trial? FOLLOW UP: Is that very or somewhat?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the federal trial against Donald Trump related to attempts to overturn the 2020 election, do you think it is likely or unlikely that he will be convicted at the end of the trial? FOLLOW UP: Is that very or somewhat?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
