itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,city_type_city,city_type_suburb,city_type_rural,income_under_50k,income_50_100k,income_over_100k,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind,party_id_leaners_dem
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Israel should stop its military campaign ...,44%,39%,48%,67%,55%,36%,33%,42%,53%,53%,46%,52%,40%,48%,37%,63%,46%,53%,47%,35%,44%,52%,44%,60%,29%,39%,61%,24%,48%,62%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Israel should continue its military campaign ...,39%,47%,32%,23%,30%,48%,48%,43%,23%,29%,39%,34%,42%,39%,47%,22%,32%,29%,33%,51%,36%,37%,42%,22%,56%,31%,22%,60%,38%,22%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don’t know/Refused,18%,14%,20%,10%,15%,16%,20%,15%,24%,18%,15%,14%,19%,13%,16%,15%,22%,17%,20%,14%,20%,10%,14%,18%,15%,30%,17%,15%,14%,16%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about Israel’s military operation in Gaza, do you think Israel …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about Israel’s military operation in Gaza, do you think Israel …",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about Israel’s military operation in Gaza, do you think Israel …",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Is taking enough precautions to avoid civilian casualties,30%,38%,23%,14%,22%,37%,40%,34%,20%,23%,27%,27%,32%,31%,35%,15%,26%,27%,24%,40%,27%,29%,32%,19%,43%,20%,16%,50%,28%,16%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Is NOT taking enough precautions to avoid civilian casualties,48%,46%,51%,74%,56%,42%,38%,45%,60%,56%,59%,54%,46%,50%,42%,66%,54%,55%,53%,39%,52%,53%,50%,63%,36%,44%,64%,27%,57%,67%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don’t know/Refused,21%,16%,26%,12%,22%,21%,22%,21%,20%,21%,13%,19%,22%,18%,23%,19%,19%,19%,23%,21%,21%,18%,19%,19%,21%,36%,20%,23%,15%,17%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",(If not taking enough precautions)  Do you think Israel is intentionally or unintentionally killing civilians?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",(If not taking enough precautions)  Do you think Israel is intentionally or unintentionally killing civilians?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",(If not taking enough precautions)  Do you think Israel is intentionally or unintentionally killing civilians?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Intentionally,22%,18%,24%,48%,26%,16%,10%,18%,31%,31%,29%,23%,21%,19%,17%,34%,29%,25%,24%,16%,24%,24%,20%,28%,15%,22%,30%,10%,26%,32%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Unintentionally,21%,21%,23%,19%,24%,20%,24%,22%,22%,21%,16%,27%,19%,27%,19%,27%,17%,24%,22%,19%,22%,22%,25%,27%,17%,15%,27%,14%,25%,28%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don’t know/Refused,5%,7%,4%,7%,5%,6%,4%,5%,6%,4%,14%,5%,6%,5%,5%,5%,8%,6%,7%,3%,6%,7%,5%,8%,3%,7%,7%,3%,6%,7%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[PREVIOUSLY] Is taking enough precautions to avoid civilian casualties,30%,38%,23%,14%,22%,37%,40%,34%,20%,23%,27%,27%,32%,31%,35%,15%,26%,27%,24%,40%,27%,29%,32%,19%,43%,20%,16%,50%,28%,16%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[PREVIOUSLY] Don't know/Refused,21%,16%,26%,12%,22%,21%,22%,21%,20%,21%,13%,19%,22%,18%,23%,19%,19%,19%,23%,21%,21%,18%,19%,19%,21%,36%,20%,23%,15%,17%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",How much attention would you say you are paying to news about the legal cases against Donald Trump?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",How much attention would you say you are paying to news about the legal cases against Donald Trump?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",How much attention would you say you are paying to news about the legal cases against Donald Trump?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",A lot of attention,21%,22%,21%,10%,10%,26%,34%,23%,13%,18%,23%,23%,20%,25%,22%,19%,16%,23%,19%,23%,23%,21%,22%,28%,18%,4%,32%,22%,16%,28%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Some attention,31%,32%,29%,35%,28%,29%,34%,31%,28%,32%,28%,34%,29%,34%,29%,33%,29%,33%,32%,29%,31%,33%,31%,33%,31%,22%,33%,30%,32%,33%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Only a little attention,28%,25%,31%,33%,37%,25%,21%,27%,30%,31%,29%,28%,28%,28%,27%,29%,31%,23%,31%,26%,26%,29%,27%,28%,27%,30%,26%,24%,29%,27%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",No attention at all,19%,21%,18%,23%,25%,19%,12%,18%,27%,18%,18%,14%,22%,13%,21%,17%,24%,20%,17%,21%,20%,17%,21%,11%,24%,34%,10%,23%,21%,12%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,1%,<1%,<1%,0%,<1%,1%,<.5%,<1%,<1%,<1%,2%,1%,<.5%,<1%,<.5%,2%,<.5%,2%,2%,<1%,<1%,<.5%,<.5%,<.5%,<1%,9%,0%,<1%,<1%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",The charges against Donald Trump are mostly politically motivated,46%,51%,43%,40%,47%,51%,45%,51%,20%,49%,41%,33%,54%,34%,63%,28%,41%,35%,38%,63%,49%,46%,42%,11%,84%,30%,12%,83%,44%,13%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump was charged mostly because prosecutors believed he committed crimes,48%,43%,53%,53%,50%,44%,51%,45%,72%,40%,58%,64%,39%,64%,33%,66%,51%,59%,55%,33%,43%,51%,56%,85%,12%,48%,84%,14%,51%,83%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don’t know/Refused,6%,6%,5%,7%,3%,5%,4%,3%,8%,10%,1%,4%,6%,2%,4%,6%,8%,6%,7%,4%,8%,3%,2%,4%,4%,22%,4%,3%,5%,4%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump has committed serious federal crimes,58%,53%,63%,66%,64%,52%,58%,54%,81%,60%,61%,69%,52%,68%,45%,73%,66%,70%,65%,42%,56%,60%,65%,93%,23%,67%,92%,22%,66%,92%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump has not committed serious federal crimes,33%,39%,28%,25%,28%,40%,34%,39%,10%,28%,31%,23%,39%,24%,48%,19%,23%,22%,25%,49%,36%,33%,29%,4%,66%,6%,5%,68%,27%,4%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,9%,8%,9%,9%,8%,8%,8%,7%,9%,12%,8%,8%,9%,7%,7%,8%,11%,8%,10%,9%,8%,7%,6%,4%,11%,27%,3%,9%,7%,4%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about Donald Trump’s upcoming federal trial related to attempts to overturn the 2020 election, do you think he will be able to get a fair and impartial trial?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about Donald Trump’s upcoming federal trial related to attempts to overturn the 2020 election, do you think he will be able to get a fair and impartial trial?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about Donald Trump’s upcoming federal trial related to attempts to overturn the 2020 election, do you think he will be able to get a fair and impartial trial?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Yes,43%,42%,44%,45%,42%,38%,50%,40%,60%,42%,46%,50%,38%,49%,33%,55%,48%,51%,45%,35%,39%,47%,46%,72%,16%,35%,75%,16%,44%,72%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",No,49%,50%,49%,48%,52%,56%,42%,55%,30%,44%,46%,42%,54%,44%,63%,37%,40%,40%,45%,60%,54%,47%,50%,20%,79%,38%,19%,79%,50%,22%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,8%,8%,7%,7%,6%,6%,8%,5%,10%,13%,7%,8%,7%,6%,4%,9%,12%,9%,10%,5%,7%,6%,4%,7%,5%,27%,6%,5%,6%,6%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Regardless of what you believe about the last election, which comes closer to your view, even if neither is exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Regardless of what you believe about the last election, which comes closer to your view, even if neither is exactly right?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Regardless of what you believe about the last election, which comes closer to your view, even if neither is exactly right?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump genuinely believed that the election was stolen,47%,48%,48%,49%,46%,51%,45%,55%,21%,38%,42%,34%,55%,38%,66%,26%,36%,33%,38%,66%,56%,45%,44%,13%,83%,26%,16%,84%,41%,16%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump knowingly made false claims that the election was stolen,47%,46%,48%,46%,51%,45%,50%,42%,72%,54%,54%,61%,40%,59%,31%,67%,58%,63%,54%,30%,40%,52%,53%,84%,12%,46%,82%,12%,53%,82%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don’t know/Refused,6%,6%,4%,5%,3%,4%,6%,3%,7%,8%,4%,5%,5%,4%,3%,7%,7%,4%,8%,4%,4%,3%,3%,3%,4%,28%,1%,4%,6%,2%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the federal trial against Donald Trump related to attempts to overturn the 2020 election, do you think he should be found guilty or not guilty?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the federal trial against Donald Trump related to attempts to overturn the 2020 election, do you think he should be found guilty or not guilty?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the federal trial against Donald Trump related to attempts to overturn the 2020 election, do you think he should be found guilty or not guilty?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump should be found guilty,47%,41%,52%,47%,48%,41%,56%,43%,76%,44%,50%,59%,40%,58%,32%,63%,55%,63%,51%,31%,44%,48%,53%,85%,10%,46%,84%,13%,50%,83%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump should be found NOT guilty,39%,45%,36%,36%,39%,48%,34%,46%,10%,40%,36%,27%,48%,31%,57%,17%,32%,24%,31%,59%,41%,41%,37%,4%,79%,15%,4%,79%,36%,6%
