itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,25%,22%,28%,33%,28%,24%,21%,21%,34%,29%,44%,33%,20%,30%,15%,45%,30%,23%,30%,24%,24%,25%,28%,20%,38%,12%,35%,36%,8%,28%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,19%,20%,18%,22%,22%,14%,22%,18%,22%,30%,11%,19%,19%,20%,17%,17%,23%,13%,19%,18%,26%,21%,21%,15%,17%,22%,12%,15%,22%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,31%,37%,25%,24%,28%,37%,30%,37%,17%,9%,28%,17%,40%,16%,50%,15%,19%,28%,28%,39%,26%,19%,29%,44%,7%,55%,26%,7%,62%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,13%,12%,13%,16%,14%,10%,11%,13%,3%,23%,11%,16%,10%,19%,9%,10%,13%,23%,8%,9%,12%,15%,11%,13%,15%,8%,26%,14%,5%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,37%,31%,43%,38%,37%,39%,37%,32%,58%,38%,50%,48%,30%,45%,23%,57%,45%,36%,44%,34%,36%,45%,39%,28%,61%,15%,35%,64%,12%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,51%,57%,43%,46%,49%,51%,52%,55%,39%,39%,39%,36%,59%,37%,68%,32%,42%,41%,47%,57%,52%,40%,50%,59%,24%,76%,39%,22%,84%,50%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,455,223,225,84,110,151,88,305,51,46,38,228,222,158,145,64,70,92,88,169,106,117,187,151,203,221,31,149,107,155
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,49%,18%,22%,31%,24%,64%,12%,11%,9%,39%,58%,27%,37%,12%,19%,21%,20%,35%,24%,24%,44%,33%,44%,49%,7%,33%,24%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Foreign conflicts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Foreign conflicts,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Foreign conflicts,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,11%,9%,13%,2%,6%,14%,21%,12%,11%,10%,10%,10%,13%,10%,13%,9%,11%,10%,15%,10%,13%,9%,14%,11%,24%,<.5%,0%,29%,1%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,24%,23%,26%,17%,25%,29%,24%,21%,44%,26%,23%,31%,20%,33%,15%,31%,29%,18%,28%,25%,27%,32%,28%,15%,40%,7%,30%,38%,12%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,18%,18%,18%,26%,26%,14%,8%,17%,17%,21%,24%,15%,19%,14%,18%,15%,24%,18%,13%,14%,29%,18%,16%,20%,22%,15%,9%,20%,11%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,43%,49%,38%,48%,41%,40%,43%,48%,23%,38%,38%,42%,44%,41%,51%,44%,29%,51%,36%,50%,31%,36%,40%,52%,10%,77%,52%,10%,75%,46%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,1%,5%,6%,2%,2%,4%,2%,4%,5%,5%,2%,4%,2%,3%,2%,7%,3%,9%,2%,0%,4%,3%,2%,3%,1%,9%,3%,<1%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,36%,33%,39%,19%,30%,43%,45%,33%,56%,36%,32%,41%,32%,43%,28%,39%,40%,28%,42%,34%,39%,41%,42%,26%,64%,7%,30%,67%,13%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,61%,66%,56%,75%,68%,55%,51%,64%,40%,59%,63%,57%,64%,55%,69%,59%,53%,70%,49%,64%,61%,55%,55%,72%,33%,92%,61%,30%,86%,65%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,420,211,204,61,116,137,88,295,38,45,25,196,222,140,155,45,62,85,94,156,85,99,174,147,202,185,33,126,116,140
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,45%,54%,14%,24%,31%,26%,67%,9%,12%,8%,35%,64%,24%,43%,9%,19%,22%,21%,35%,22%,23%,41%,36%,47%,44%,9%,31%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Race relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Race relations,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Race relations,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,17%,15%,20%,7%,13%,15%,32%,18%,31%,7%,6%,20%,15%,23%,14%,11%,19%,26%,16%,16%,14%,30%,12%,15%,34%,4%,8%,40%,2%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,30%,22%,37%,47%,30%,25%,24%,25%,37%,39%,48%,35%,27%,31%,22%,49%,37%,28%,38%,28%,27%,26%,36%,23%,46%,14%,33%,41%,12%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,17%,19%,14%,19%,23%,16%,15%,16%,13%,23%,19%,20%,15%,20%,14%,23%,14%,12%,17%,16%,23%,19%,18%,15%,14%,19%,22%,12%,13%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,32%,39%,26%,25%,31%,38%,28%,37%,17%,23%,22%,24%,37%,25%,44%,15%,24%,32%,27%,36%,32%,22%,29%,44%,3%,59%,31%,5%,69%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,4%,5%,3%,3%,3%,6%,2%,3%,2%,8%,5%,1%,6%,<1%,5%,2%,7%,3%,3%,4%,4%,2%,5%,3%,3%,4%,6%,2%,4%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,47%,37%,58%,53%,43%,40%,56%,43%,69%,46%,53%,55%,42%,54%,36%,60%,56%,54%,54%,44%,41%,57%,48%,39%,80%,18%,41%,82%,14%,39%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,49%,58%,40%,44%,54%,54%,43%,54%,30%,46%,42%,44%,52%,46%,58%,38%,38%,43%,43%,52%,55%,41%,47%,59%,16%,78%,53%,16%,82%,56%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,455,223,225,84,110,151,88,305,51,46,38,228,222,158,145,64,70,92,88,169,106,117,187,151,203,221,31,149,107,155
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,49%,18%,22%,31%,24%,64%,12%,11%,9%,39%,58%,27%,37%,12%,19%,21%,20%,35%,24%,24%,44%,33%,44%,49%,7%,33%,24%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Immigration,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Immigration,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,8%,6%,10%,4%,7%,9%,11%,8%,12%,10%,5%,8%,8%,7%,8%,13%,8%,7%,11%,5%,11%,10%,8%,7%,16%,1%,2%,19%,<1%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,24%,20%,29%,27%,26%,23%,24%,21%,38%,28%,31%,30%,21%,31%,16%,33%,32%,24%,23%,23%,29%,34%,24%,18%,45%,3%,20%,44%,8%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,17%,14%,19%,26%,25%,13%,9%,14%,24%,25%,19%,18%,15%,16%,13%,23%,21%,14%,20%,14%,21%,23%,19%,11%,24%,10%,10%,20%,6%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,47%,55%,39%,38%,39%,51%,52%,54%,21%,37%,36%,40%,51%,44%,59%,31%,33%,54%,41%,52%,38%,32%,44%,59%,9%,84%,62%,11%,83%,49%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,4%,5%,3%,4%,3%,4%,4%,3%,5%,0%,10%,3%,4%,3%,4%,0%,6%,<1%,5%,7%,2%,1%,5%,5%,6%,2%,6%,6%,1%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,32%,26%,38%,31%,33%,32%,35%,29%,50%,38%,35%,38%,30%,38%,24%,46%,40%,31%,34%,28%,40%,44%,32%,25%,61%,4%,22%,63%,9%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,64%,69%,58%,64%,64%,64%,61%,68%,45%,62%,55%,58%,66%,60%,72%,54%,53%,68%,61%,66%,58%,55%,63%,70%,33%,94%,72%,31%,90%,67%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,420,211,204,61,116,137,88,295,38,45,25,196,222,140,155,45,62,85,94,156,85,99,174,147,202,185,33,126,116,140
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,45%,54%,14%,24%,31%,26%,67%,9%,12%,8%,35%,64%,24%,43%,9%,19%,22%,21%,35%,22%,23%,41%,36%,47%,44%,9%,31%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you think Donald Trump is good for democracy, bad for democracy, or neither good nor bad for democracy?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you think Donald Trump is good for democracy, bad for democracy, or neither good nor bad for democracy?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you think Donald Trump is good for democracy, bad for democracy, or neither good nor bad for democracy?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good for democracy,31%,38%,25%,21%,24%,38%,34%,36%,8%,26%,21%,22%,36%,24%,43%,13%,21%,33%,23%,34%,32%,24%,28%,39%,1%,64%,11%,4%,68%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Bad for democracy,45%,37%,52%,47%,44%,44%,51%,41%,68%,46%,57%,58%,37%,57%,31%,65%,52%,41%,57%,37%,50%,56%,49%,32%,89%,4%,32%,83%,7%,44%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Neither good nor bad for democracy,22%,22%,23%,30%,30%,18%,13%,21%,24%,27%,20%,19%,24%,18%,24%,22%,25%,23%,19%,26%,18%,19%,22%,25%,9%,31%,45%,12%,24%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,2%,3%,1%,2%,1%,<1%,3%,2%,0%,<1%,2%,1%,2%,1%,2%,0%,2%,3%,1%,3%,<.5%,1%,1%,4%,1%,1%,12%,1%,<1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If bad for democracy) Which statement comes closer to your view, even if neither is exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If bad for democracy) Which statement comes closer to your view, even if neither is exactly right?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If bad for democracy) Which statement comes closer to your view, even if neither is exactly right?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump poses a unique threat to democracy,41%,34%,47%,39%,37%,41%,49%,37%,61%,36%,54%,55%,32%,54%,28%,60%,44%,39%,51%,33%,44%,51%,44%,30%,83%,2%,29%,77%,6%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump is not much worse for democracy than typical politicians,4%,3%,5%,7%,7%,3%,2%,3%,7%,10%,3%,3%,5%,3%,3%,5%,9%,2%,6%,4%,5%,5%,6%,2%,6%,2%,3%,6%,<1%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Good for democracy,31%,38%,25%,21%,24%,38%,34%,36%,8%,26%,21%,22%,36%,24%,43%,13%,21%,33%,23%,34%,32%,24%,28%,39%,1%,64%,11%,4%,68%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Neither good nor bad for democracy,22%,22%,23%,30%,30%,18%,13%,21%,24%,27%,20%,19%,24%,18%,24%,22%,25%,23%,19%,26%,18%,19%,22%,25%,9%,31%,45%,12%,24%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Don’t know/Refused,2%,3%,1%,2%,1%,<1%,3%,2%,0%,<1%,2%,1%,2%,1%,2%,0%,2%,3%,1%,3%,<.5%,1%,1%,4%,1%,1%,12%,1%,<1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you think Joe Biden is good for democracy, bad for democracy, or neither good nor bad for democracy?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you think Joe Biden is good for democracy, bad for democracy, or neither good nor bad for democracy?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you think Joe Biden is good for democracy, bad for democracy, or neither good nor bad for democracy?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good for democracy,31%,28%,35%,16%,27%,33%,46%,30%,41%,25%,36%,42%,25%,43%,22%,40%,31%,28%,42%,25%,34%,38%,35%,22%,62%,4%,11%,65%,5%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Bad for democracy,38%,45%,31%,29%,33%,43%,39%,45%,14%,32%,17%,30%,42%,32%,52%,23%,22%,41%,31%,41%,37%,28%,33%,50%,5%,70%,41%,6%,74%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Neither good nor bad for democracy,30%,26%,33%,54%,40%,23%,13%,24%,45%,43%,45%,27%,31%,24%,24%,37%,47%,28%,27%,32%,29%,32%,31%,26%,33%,24%,41%,28%,21%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,1%,2%,<1%,<1%,<1%,<1%,2%,2%,0%,0%,1%,<1%,2%,<1%,2%,0%,<1%,2%,0%,2%,<.5%,2%,<1%,2%,<.5%,1%,6%,0%,<1%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If bad for democracy) Which statement comes closer to your view, even if neither is exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If bad for democracy) Which statement comes closer to your view, even if neither is exactly right?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If bad for democracy) Which statement comes closer to your view, even if neither is exactly right?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden poses a unique threat to democracy,28%,34%,23%,17%,24%,35%,29%,34%,7%,23%,11%,21%,32%,23%,41%,14%,14%,28%,22%,32%,28%,20%,24%,39%,<.5%,56%,26%,2%,60%,28%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden is not much worse for democracy than typical politicians,9%,9%,8%,11%,9%,8%,8%,9%,8%,8%,7%,9%,8%,9%,9%,9%,7%,10%,9%,8%,8%,8%,8%,10%,4%,12%,13%,4%,12%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<1%,2%,<.5%,0%,<.5%,1%,2%,1%,0%,1%,0%,<.5%,2%,<.5%,2%,0%,<1%,3%,0%,<.5%,<1%,0%,<1%,2%,0%,2%,2%,0%,2%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Good for democracy,31%,28%,35%,16%,27%,33%,46%,30%,41%,25%,36%,42%,25%,43%,22%,40%,31%,28%,42%,25%,34%,38%,35%,22%,62%,4%,11%,65%,5%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Neither good nor bad for democracy,30%,26%,33%,54%,40%,23%,13%,24%,45%,43%,45%,27%,31%,24%,24%,37%,47%,28%,27%,32%,29%,32%,31%,26%,33%,24%,41%,28%,21%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Don’t know/Refused,1%,2%,<1%,<1%,<1%,<1%,2%,2%,0%,0%,1%,<1%,2%,<1%,2%,0%,<1%,2%,0%,2%,<.5%,2%,<1%,2%,<.5%,1%,6%,0%,<1%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the nation's economy, how would you rate economic conditions today?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the nation's economy, how would you rate economic conditions today?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the nation's economy, how would you rate economic conditions today?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,4%,4%,4%,4%,2%,4%,7%,4%,5%,3%,3%,7%,3%,6%,3%,7%,2%,4%,4%,3%,5%,5%,5%,3%,9%,<.5%,0%,9%,<.5%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,17%,16%,17%,5%,14%,18%,27%,19%,13%,7%,20%,24%,13%,28%,13%,16%,11%,22%,24%,11%,13%,17%,19%,14%,34%,2%,3%,33%,3%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,27%,26%,29%,26%,30%,27%,25%,22%,40%,40%,35%,28%,27%,26%,20%,32%,41%,22%,28%,30%,28%,40%,27%,19%,35%,19%,31%,34%,22%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,52%,53%,50%,65%,55%,51%,40%,55%,41%,50%,42%,41%,58%,39%,64%,45%,46%,53%,44%,54%,54%,38%,49%,64%,21%,79%,66%,22%,75%,57%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,<1%,<.5%,0%,<.5%,0%,<.5%,<.5%,1%,0%,0%,<.5%,<.5%,<.5%,0%,0%,<1%,0%,0%,1%,0%,<.5%,<.5%,<1%,1%,0%,0%,2%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,21%,20%,22%,9%,15%,22%,34%,23%,18%,10%,23%,30%,15%,34%,16%,23%,13%,26%,28%,15%,18%,22%,23%,17%,43%,2%,3%,43%,3%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,79%,79%,78%,91%,84%,78%,65%,77%,81%,90%,77%,69%,85%,66%,84%,77%,86%,74%,72%,84%,82%,78%,76%,83%,56%,98%,97%,56%,97%,82%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
