itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Do you think Donald Trump has the personality and temperament to be an effective president?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Yes,39%,39%,39%,44%,38%,50%,24%,40%,29%,46%,25%,31%,45%,30%,48%,34%,39%,46%,34%,42%,32%,34%,37%,43%,7%,79%,19%,11%,71%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No,59%,60%,58%,56%,54%,50%,75%,57%,69%,51%,72%,67%,52%,69%,49%,61%,60%,46%,65%,56%,66%,63%,62%,52%,92%,21%,61%,89%,28%,62%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,3%,1%,3%,<.5%,7%,<1%,1%,3%,2%,3%,2%,2%,3%,1%,4%,4%,1%,8%,<1%,1%,1%,3%,<1%,5%,<.5%,<1%,20%,<.5%,1%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,416,211,202,71,97,143,84,263,47,72,27,214,202,135,128,74,72,84,94,137,101,90,186,140,191,186,39,126,111,141
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,14%,20%,32%,30%,67%,10%,15%,6%,44%,56%,29%,38%,15%,17%,21%,21%,32%,26%,18%,46%,36%,48%,42%,10%,32%,28%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Joe Biden’s policies have...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Joe Biden’s policies have...,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Joe Biden’s policies have...,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Helped you personally,20%,20%,20%,11%,18%,23%,21%,21%,21%,17%,16%,27%,15%,29%,16%,22%,14%,20%,16%,16%,29%,27%,23%,13%,43%,1%,2%,48%,2%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Hurt you personally,44%,45%,43%,37%,42%,53%,40%,50%,15%,35%,37%,39%,48%,39%,57%,36%,23%,45%,39%,49%,40%,34%,38%,57%,5%,80%,47%,9%,76%,44%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not made much of a difference either way,35%,35%,36%,53%,39%,25%,39%,28%,64%,48%,44%,34%,37%,31%,26%,40%,62%,32%,45%,35%,31%,39%,39%,30%,52%,18%,49%,43%,22%,42%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,<1%,<.5%,<1%,0%,2%,<.5%,0%,<1%,0%,<.5%,3%,<1%,<1%,<.5%,<1%,2%,0%,2%,<.5%,<.5%,0%,<.5%,<1%,<1%,<.5%,<.5%,3%,<.5%,<1%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump’s policies have...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump’s policies have...,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump’s policies have...,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Helped you personally,42%,42%,41%,31%,42%,50%,39%,46%,23%,37%,32%,35%,47%,35%,53%,32%,31%,49%,34%,47%,35%,30%,35%,56%,6%,78%,25%,10%,77%,37%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Hurt you personally,27%,26%,28%,24%,27%,28%,27%,28%,27%,25%,28%,42%,17%,45%,16%,35%,21%,23%,34%,21%,34%,38%,29%,20%,57%,1%,18%,54%,4%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not made much of a difference either way,30%,31%,29%,44%,30%,22%,32%,25%,48%,38%,39%,23%,34%,20%,29%,33%,47%,27%,31%,31%,30%,31%,35%,23%,37%,20%,53%,34%,19%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,1%,<1%,1%,1%,1%,<1%,2%,1%,3%,<.5%,<1%,<.5%,2%,<.5%,2%,<.5%,2%,2%,1%,1%,1%,1%,<1%,2%,<1%,<1%,5%,1%,<1%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the nation’s economy, how would you rate economic conditions today?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the nation’s economy, how would you rate economic conditions today?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the nation’s economy, how would you rate economic conditions today?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,8%,10%,6%,0%,4%,7%,16%,10%,<1%,6%,7%,10%,7%,12%,9%,6%,3%,8%,4%,6%,13%,7%,9%,7%,16%,1%,6%,13%,5%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,20%,23%,18%,13%,20%,20%,23%,19%,30%,13%,27%,27%,15%,27%,14%,26%,20%,23%,18%,17%,24%,27%,23%,13%,41%,3%,7%,39%,6%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,22%,22%,22%,26%,26%,23%,16%,21%,24%,25%,22%,25%,19%,25%,18%,26%,22%,17%,30%,23%,18%,22%,23%,20%,23%,17%,47%,24%,17%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,50%,45%,54%,60%,50%,50%,44%,50%,46%,56%,44%,38%,58%,36%,59%,43%,55%,53%,48%,54%,44%,43%,45%,59%,21%,79%,39%,24%,72%,50%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,<.5%,<.5%,0%,1%,0%,0%,<.5%,0%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,0%,0%,<1%,<.5%,0%,<1%,<.5%,<.5%,1%,0%,<1%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,28%,32%,24%,13%,23%,27%,40%,29%,31%,18%,34%,37%,22%,39%,23%,31%,23%,30%,23%,23%,38%,34%,32%,21%,57%,4%,13%,52%,10%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,72%,67%,76%,87%,76%,73%,60%,71%,69%,81%,66%,63%,77%,61%,77%,68%,77%,69%,77%,77%,62%,66%,68%,79%,43%,95%,85%,48%,89%,74%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) And thinking about your own personal finances, would you say that your personal financial situation is in excellent shape, good shape, only fair shape, or poor shape?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) And thinking about your own personal finances, would you say that your personal financial situation is in excellent shape, good shape, only fair shape, or poor shape?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) And thinking about your own personal finances, would you say that your personal financial situation is in excellent shape, good shape, only fair shape, or poor shape?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,14%,15%,14%,5%,15%,15%,17%,18%,1%,12%,2%,18%,12%,21%,16%,12%,2%,13%,15%,15%,14%,14%,12%,16%,19%,10%,14%,16%,12%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,39%,39%,39%,32%,41%,41%,37%,36%,52%,31%,52%,43%,37%,45%,31%,43%,47%,43%,32%,36%,45%,39%,41%,36%,48%,31%,42%,48%,35%,35%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,32%,29%,34%,37%,29%,30%,33%,32%,32%,31%,34%,30%,33%,29%,33%,34%,32%,35%,29%,34%,27%,34%,30%,32%,27%,36%,24%,27%,34%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,16%,18%,13%,25%,16%,14%,13%,14%,15%,26%,10%,9%,18%,6%,19%,10%,19%,10%,24%,16%,14%,12%,17%,16%,7%,22%,19%,9%,19%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,0%,<.5%,<1%,0%,0%,0%,0%,0%,0%,<1%,<.5%,0%,0%,0%,<1%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,0%,1%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,53%,54%,53%,37%,55%,56%,54%,54%,53%,44%,55%,61%,49%,65%,48%,56%,49%,55%,47%,50%,59%,53%,53%,52%,67%,42%,56%,64%,46%,51%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,47%,46%,47%,63%,45%,44%,46%,46%,47%,56%,44%,38%,51%,35%,52%,44%,51%,44%,53%,50%,41%,47%,47%,48%,33%,58%,43%,36%,54%,49%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,407,206,194,58,110,139,83,270,45,49,32,177,227,126,143,47,78,90,83,149,85,99,164,144,158,215,34,120,122,136
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,11%,24%,35%,26%,71%,10%,9%,7%,36%,63%,26%,45%,9%,16%,22%,19%,37%,22%,21%,40%,39%,41%,53%,6%,30%,35%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split A) Do you think the economy is better or worse than it was a year ago, or is it about the same?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split A) Do you think the economy is better or worse than it was a year ago, or is it about the same?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split A) Do you think the economy is better or worse than it was a year ago, or is it about the same?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Better,26%,33%,19%,24%,20%,18%,40%,27%,16%,19%,39%,31%,22%,33%,23%,24%,20%,22%,28%,24%,30%,22%,31%,22%,50%,4%,5%,48%,9%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Worse,37%,32%,41%,53%,34%,42%,24%,34%,36%,52%,28%,31%,41%,28%,39%,37%,47%,39%,42%,36%,31%,45%,32%,38%,14%,58%,56%,15%,52%,39%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",About the same,37%,34%,39%,23%,42%,40%,36%,37%,48%,28%,33%,38%,36%,38%,37%,38%,33%,36%,30%,40%,40%,32%,37%,39%,35%,38%,39%,35%,39%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<1%,<.5%,<.5%,0%,3%,0%,0%,<1%,0%,0%,0%,<1%,<.5%,1%,<1%,0%,0%,3%,0%,0%,0%,1%,0%,1%,1%,<.5%,0%,2%,<1%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,416,211,202,71,97,143,84,263,47,72,27,214,202,135,128,74,72,84,94,137,101,90,186,140,191,186,39,126,111,141
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,14%,20%,32%,30%,67%,10%,15%,6%,44%,56%,29%,38%,15%,17%,21%,21%,32%,26%,18%,46%,36%,48%,42%,10%,32%,28%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) Do you think the economy is better or worse than it was four years ago, or is it about the same?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) Do you think the economy is better or worse than it was four years ago, or is it about the same?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) Do you think the economy is better or worse than it was four years ago, or is it about the same?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Better,21%,23%,20%,15%,17%,26%,22%,23%,20%,21%,12%,30%,17%,33%,18%,27%,14%,23%,24%,15%,28%,23%,24%,18%,47%,3%,11%,45%,3%,20%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Worse,63%,62%,65%,67%,65%,60%,62%,64%,52%,68%,54%,50%,70%,50%,72%,45%,64%,58%,65%,70%,56%,55%,56%,76%,29%,89%,65%,33%,89%,63%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",About the same,15%,15%,14%,18%,17%,14%,15%,12%,28%,11%,34%,18%,13%,16%,10%,28%,22%,19%,11%,14%,16%,23%,19%,6%,23%,8%,23%,21%,8%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,0%,<1%,0%,1%,<.5%,0%,<1%,0%,0%,0%,1%,0%,2%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,1%,0%,0%,2%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,407,206,194,58,110,139,83,270,45,49,32,177,227,126,143,47,78,90,83,149,85,99,164,144,158,215,34,120,122,136
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,11%,24%,35%,26%,71%,10%,9%,7%,36%,63%,26%,45%,9%,16%,22%,19%,37%,22%,21%,40%,39%,41%,53%,6%,30%,35%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Combined) Do you think the economy is better or worse than it was [one|four] years ago, or is it about the same?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Combined) Do you think the economy is better or worse than it was [one|four] years ago, or is it about the same?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Combined) Do you think the economy is better or worse than it was [one|four] years ago, or is it about the same?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Better,24%,28%,20%,20%,18%,22%,32%,25%,18%,20%,24%,31%,19%,33%,21%,25%,17%,22%,26%,19%,29%,22%,28%,20%,49%,3%,7%,46%,6%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Worse,50%,47%,53%,59%,51%,51%,42%,50%,44%,58%,42%,39%,57%,38%,57%,40%,55%,49%,53%,54%,42%,50%,43%,58%,21%,75%,60%,24%,72%,51%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",About the same,26%,25%,27%,21%,28%,26%,26%,24%,38%,22%,34%,29%,24%,27%,23%,34%,28%,27%,21%,26%,29%,27%,29%,22%,29%,21%,33%,28%,22%,28%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<1%,<.5%,<1%,0%,2%,<.5%,0%,<1%,0%,0%,0%,1%,<.5%,2%,<.5%,0%,0%,1%,0%,<1%,0%,<1%,<1%,<1%,1%,<.5%,0%,2%,<.5%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) Thinking ahead to a year from now, do you think the economy is likely to be better, worse or about the same?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) Thinking ahead to a year from now, do you think the economy is likely to be better, worse or about the same?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) Thinking ahead to a year from now, do you think the economy is likely to be better, worse or about the same?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Better,31%,31%,30%,27%,30%,28%,34%,31%,33%,28%,37%,29%,31%,28%,32%,33%,30%,33%,29%,27%,35%,32%,29%,31%,38%,27%,18%,41%,30%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Worse,20%,18%,21%,30%,20%,20%,12%,20%,14%,35%,18%,19%,21%,20%,19%,14%,27%,13%,20%,23%,21%,14%,22%,21%,13%,26%,10%,14%,26%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",About the same,40%,41%,39%,39%,45%,39%,41%,39%,41%,36%,40%,49%,35%,50%,34%,47%,35%,48%,44%,36%,34%,44%,40%,37%,43%,35%,56%,38%,31%,51%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,10%,10%,10%,4%,4%,13%,12%,11%,12%,1%,6%,4%,13%,2%,15%,5%,8%,6%,7%,14%,9%,10%,8%,12%,6%,12%,16%,7%,13%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,407,206,194,58,110,139,83,270,45,49,32,177,227,126,143,47,78,90,83,149,85,99,164,144,158,215,34,120,122,136
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,11%,24%,35%,26%,71%,10%,9%,7%,36%,63%,26%,45%,9%,16%,22%,19%,37%,22%,21%,40%,39%,41%,53%,6%,30%,35%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) How would you rate each of the following aspects of the economy today?The availability of jobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) How would you rate each of the following aspects of the economy today?The availability of jobs,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) How would you rate each of the following aspects of the economy today?The availability of jobs,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,17%,19%,15%,3%,15%,21%,16%,17%,17%,15%,7%,18%,16%,18%,17%,21%,10%,18%,15%,14%,21%,19%,11%,21%,29%,7%,20%,30%,8%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,31%,33%,29%,19%,27%,35%,35%,31%,38%,13%,39%,34%,29%,36%,29%,33%,29%,39%,25%,24%,38%,40%,30%,26%,39%,25%,27%,34%,28%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,29%,25%,33%,46%,33%,27%,23%,30%,22%,31%,32%,31%,28%,31%,30%,29%,26%,21%,38%,35%,20%,22%,31%,31%,17%,37%,42%,19%,35%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,19%,18%,20%,33%,21%,13%,18%,16%,23%,39%,21%,16%,21%,15%,16%,17%,34%,11%,21%,23%,20%,14%,24%,17%,12%,26%,11%,15%,23%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,4%,5%,3%,0%,3%,4%,7%,5%,0%,2%,0%,<1%,6%,<1%,8%,0%,1%,11%,1%,3%,2%,6%,3%,4%,3%,6%,0%,2%,6%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,47%,52%,43%,21%,43%,56%,51%,48%,55%,28%,46%,53%,45%,54%,46%,54%,39%,58%,40%,38%,59%,58%,41%,47%,68%,31%,47%,64%,36%,46%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,49%,43%,53%,79%,54%,40%,42%,46%,45%,70%,54%,47%,49%,45%,46%,46%,60%,32%,59%,59%,40%,36%,55%,48%,29%,63%,53%,33%,57%,51%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,407,206,194,58,110,139,83,270,45,49,32,177,227,126,143,47,78,90,83,149,85,99,164,144,158,215,34,120,122,136
