itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na,na_2
Would help you personally,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares
(Ask only of Split A)  Would help people like you,Kamala Harris more,48%,40%,54%,59%,41%,44%,54%,43%,64%,57%,42%,56%,34%,63%,64%,50%,55%,39%,53%,93%,<1%,12%,93%,8%,44%,91%,4%,41%,NA,NA
(Ask only of Split A)  Would help people like you,Donald Trump more,43%,51%,37%,32%,46%,48%,39%,48%,26%,32%,51%,34%,59%,26%,26%,36%,36%,55%,38%,2%,92%,27%,3%,86%,45%,3%,91%,41%,NA,NA
(Ask only of Split A)  Would help people like you,[VOL] Both,<1%,<1%,<1%,<.5%,<.5%,<1%,1%,<.5%,1%,1%,<.5%,1%,<.5%,1%,1%,2%,<1%,<.5%,<.5%,<.5%,1%,4%,<.5%,1%,<1%,<.5%,1%,<1%,NA,NA
(Ask only of Split A)  Would help people like you,[VOL] Neither,4%,5%,4%,6%,6%,4%,3%,5%,4%,7%,3%,7%,3%,5%,4%,5%,6%,3%,4%,3%,3%,25%,3%,2%,8%,3%,2%,11%,NA,NA
(Ask only of Split A)  Would help people like you,[VOL] Don't know/Refused,4%,4%,4%,3%,6%,3%,3%,3%,5%,3%,4%,3%,4%,4%,5%,6%,3%,2%,4%,2%,3%,33%,1%,3%,2%,2%,2%,6%,NA,NA
(Ask only of Split A)  Would help people like you,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares
Represents change,Kamala Harris more,46%,39%,52%,58%,41%,44%,49%,41%,61%,55%,41%,54%,32%,59%,62%,45%,51%,43%,49%,87%,6%,17%,88%,12%,44%,86%,6%,43%,NA,NA
Represents change,Donald Trump more,44%,52%,37%,34%,46%,47%,42%,50%,29%,34%,51%,37%,59%,25%,31%,43%,38%,48%,43%,6%,86%,25%,7%,80%,44%,8%,85%,44%,NA,NA
Represents change,[VOL] Both,2%,1%,2%,4%,2%,1%,1%,2%,3%,2%,1%,2%,2%,4%,1%,3%,1%,2%,1%,2%,2%,5%,2%,1%,2%,1%,1%,3%,NA,NA
Represents change,[VOL] Neither,4%,6%,3%,4%,6%,5%,3%,4%,5%,6%,3%,6%,3%,9%,3%,5%,4%,5%,4%,4%,3%,25%,2%,2%,8%,4%,3%,6%,NA,NA
Represents change,[VOL] Don't know/Refused,4%,2%,5%,<1%,5%,2%,5%,4%,3%,3%,4%,2%,5%,3%,2%,4%,6%,2%,4%,1%,3%,29%,2%,4%,2%,1%,4%,4%,NA,NA
Represents change,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares
"Thinking about the nation's economy, how would you rate economic conditions today?",Excellent,3%,3%,2%,1%,<1%,2%,3%,2%,3%,3%,2%,4%,1%,3%,3%,3%,3%,2%,2%,5%,<.5%,0%,5%,<1%,2%,5%,<.5%,1%,NA,NA
"Thinking about the nation's economy, how would you rate economic conditions today?",Good,21%,19%,23%,10%,11%,23%,32%,23%,18%,31%,14%,35%,14%,24%,15%,19%,24%,19%,24%,40%,2%,4%,43%,7%,17%,43%,2%,8%,NA,NA
"Thinking about the nation's economy, how would you rate economic conditions today?",Only fair,28%,27%,29%,38%,31%,28%,24%,26%,34%,30%,27%,28%,24%,33%,34%,29%,31%,23%,32%,36%,20%,32%,35%,19%,30%,35%,19%,31%,NA,NA
"Thinking about the nation's economy, how would you rate economic conditions today?",Poor,47%,50%,44%,51%,56%,46%,39%,48%,45%,35%,56%,33%,59%,40%,48%,47%,41%,55%,41%,18%,78%,56%,17%,72%,50%,17%,78%,59%,NA,NA
"Thinking about the nation's economy, how would you rate economic conditions today?",[VOL] Don't know/Refused,<1%,<1%,1%,<.5%,<1%,<.5%,2%,1%,<.5%,<.5%,1%,<1%,2%,<.5%,<.5%,2%,<1%,<1%,<.5%,<1%,<1%,8%,<.5%,<1%,<1%,<1%,<.5%,<1%,NA,NA
"Thinking about the nation's economy, how would you rate economic conditions today?",NET Excellent/good,24%,22%,25%,11%,12%,26%,35%,25%,21%,35%,16%,38%,16%,27%,17%,22%,28%,21%,26%,46%,2%,4%,48%,7%,19%,48%,3%,10%,NA,NA
"Thinking about the nation's economy, how would you rate economic conditions today?",NET Fair/poor,75%,77%,73%,89%,87%,74%,63%,74%,79%,65%,83%,61%,83%,73%,82%,76%,72%,78%,73%,54%,97%,88%,52%,92%,80%,51%,97%,90%,NA,NA
"Thinking about the nation's economy, how would you rate economic conditions today?",Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] The economy (including jobs and the stock market),28%,33%,23%,25%,29%,31%,24%,29%,26%,22%,32%,21%,34%,25%,26%,28%,25%,31%,24%,15%,41%,33%,15%,42%,26%,16%,41%,30%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Abortion,14%,6%,21%,19%,15%,14%,13%,14%,14%,18%,12%,18%,12%,18%,12%,16%,14%,12%,16%,25%,4%,3%,28%,5%,12%,24%,4%,13%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Immigration,12%,14%,11%,5%,8%,16%,14%,14%,8%,11%,14%,13%,16%,5%,9%,15%,12%,12%,11%,2%,24%,5%,3%,23%,11%,2%,25%,10%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Character/competence of candidate,8%,8%,8%,5%,5%,8%,12%,9%,7%,10%,7%,12%,6%,6%,8%,5%,8%,9%,9%,12%,4%,6%,11%,6%,7%,12%,5%,6%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Inflation and the cost of living,6%,7%,5%,9%,7%,5%,5%,5%,7%,3%,8%,2%,7%,4%,9%,6%,5%,6%,7%,3%,8%,7%,4%,7%,7%,3%,8%,9%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] The state of democracy/corruption,6%,6%,5%,3%,3%,6%,8%,7%,3%,10%,3%,12%,3%,5%,2%,5%,7%,5%,6%,11%,<1%,<.5%,10%,2%,6%,11%,1%,2%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Dislike of opposing candidate,4%,4%,4%,4%,3%,4%,5%,4%,4%,4%,4%,5%,4%,4%,4%,4%,2%,4%,5%,6%,2%,0%,6%,2%,4%,6%,2%,4%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Foreign policy,4%,4%,3%,3%,5%,4%,2%,3%,3%,5%,3%,4%,3%,5%,2%,3%,4%,4%,4%,3%,4%,6%,2%,3%,5%,3%,4%,3%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Equality/inequality,3%,2%,3%,5%,5%,2%,1%,3%,3%,3%,3%,2%,3%,4%,2%,3%,2%,3%,3%,4%,<1%,2%,5%,<1%,3%,4%,1%,3%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Crime,1%,1%,2%,<1%,2%,1%,2%,1%,2%,2%,1%,1%,<1%,2%,2%,<1%,1%,1%,2%,1%,1%,4%,1%,1%,2%,1%,1%,2%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Taxes,1%,1%,1%,2%,1%,1%,<.5%,<1%,2%,<.5%,2%,<.5%,1%,<1%,2%,1%,<.5%,1%,2%,<1%,2%,0%,<1%,2%,<1%,<1%,1%,1%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Health care,<1%,<.5%,1%,<.5%,1%,<1%,<1%,<1%,1%,1%,<1%,1%,<1%,1%,1%,1%,1%,<1%,1%,2%,<.5%,<1%,2%,<.5%,2%,2%,<.5%,<1%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Racism/racial issues,<1%,<1%,<1%,2%,1%,<.5%,<.5%,<.5%,2%,<1%,<1%,<.5%,<.5%,1%,2%,<1%,1%,<1%,<.5%,1%,0%,0%,1%,0%,<1%,2%,0%,<.5%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Education,<1%,<1%,<.5%,2%,1%,<.5%,<.5%,<1%,<1%,1%,<.5%,<1%,<.5%,2%,<1%,1%,<1%,<.5%,<1%,<1%,<.5%,2%,<1%,<.5%,1%,<1%,<.5%,2%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Climate change,<1%,<1%,<1%,<1%,<1%,<.5%,<1%,<.5%,<1%,<1%,<.5%,1%,<.5%,<.5%,1%,<1%,1%,<.5%,<.5%,1%,0%,1%,<1%,0%,1%,1%,0%,<1%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Gun policies,<1%,1%,<.5%,<1%,<.5%,<.5%,1%,<1%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<1%,<1%,1%,<.5%,<1%,<1%,<1%,<.5%,<1%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] The Middle East/Israel/Palestinians,<1%,<.5%,<1%,2%,<1%,<.5%,<.5%,<.5%,1%,<1%,<.5%,<.5%,<.5%,3%,<1%,<.5%,<1%,<1%,<1%,<1%,<.5%,3%,<.5%,<.5%,<1%,<1%,<.5%,1%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Polarization/division,<.5%,<1%,<.5%,0%,<1%,<.5%,<1%,<.5%,<1%,<1%,<.5%,<1%,<.5%,1%,<.5%,<.5%,<.5%,<1%,<1%,1%,0%,0%,<1%,0%,<1%,1%,0%,<.5%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Election integrity,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<1%,<.5%,<1%,<1%,<.5%,<1%,<.5%,<1%,<1%,<.5%,<.5%,<.5%,<1%,<1%,<.5%,0%,<1%,<.5%,<.5%,<1%,<.5%,0%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Student loans,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Russia/the war in Ukraine,<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,<.5%,<.5%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] China,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA
What one issue is most important in deciding your vote this November?,"[VOL] Other, specify",5%,5%,5%,7%,6%,2%,6%,4%,7%,5%,5%,4%,5%,8%,6%,4%,6%,5%,5%,5%,4%,13%,5%,4%,7%,4%,5%,6%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Don't know/Refused,3%,3%,3%,5%,4%,1%,2%,2%,6%,1%,4%,1%,2%,2%,8%,4%,4%,2%,2%,3%,1%,12%,3%,1%,2%,3%,<1%,6%,NA,NA
What one issue is most important in deciding your vote this November?,Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,"Kamala [COMMA-luh] Harris, the Democrat",46%,38%,53%,58%,41%,44%,50%,42%,59%,58%,38%,58%,30%,62%,58%,45%,53%,41%,50%,93%,<.5%,9%,92%,9%,45%,89%,3%,41%,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",48%,57%,41%,37%,50%,53%,46%,55%,32%,36%,57%,39%,65%,25%,36%,47%,40%,55%,47%,4%,98%,33%,5%,90%,48%,7%,95%,50%,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,2%,2%,3%,2%,4%,2%,2%,2%,3%,3%,2%,2%,2%,4%,2%,4%,3%,2%,2%,2%,<1%,26%,1%,<1%,4%,2%,2%,4%,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Someone else; specify,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,1%,<.5%,0%,<1%,0%,0%,<.5%,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,3%,2%,3%,2%,4%,2%,3%,1%,6%,3%,2%,<1%,2%,8%,4%,4%,4%,2%,<1%,2%,<1%,31%,2%,<.5%,3%,2%,<1%,5%,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares
Do you think Joe Biden’s policies have...,Helped you personally,22%,20%,24%,13%,19%,20%,31%,22%,24%,31%,16%,33%,14%,28%,22%,18%,26%,19%,28%,44%,1%,3%,49%,3%,18%,46%,2%,8%,NA,NA
Do you think Joe Biden’s policies have...,Hurt you personally,42%,48%,36%,28%,44%,47%,40%,48%,26%,33%,48%,35%,56%,24%,27%,43%,35%,47%,37%,4%,81%,45%,4%,78%,41%,5%,82%,40%,NA,NA
Do you think Joe Biden’s policies have...,Not made much of a difference either way,35%,31%,37%,60%,36%,33%,26%,30%,48%,35%,35%,31%,29%,46%,49%,37%,38%,32%,35%,51%,16%,38%,45%,19%,40%,48%,16%,49%,NA,NA
Do you think Joe Biden’s policies have...,[VOL] Don’t know/Refused,1%,<1%,2%,<.5%,2%,<1%,3%,1%,2%,1%,1%,1%,1%,2%,2%,3%,1%,1%,1%,<1%,<1%,14%,1%,<1%,<1%,1%,<.5%,2%,NA,NA
Do you think Joe Biden’s policies have...,Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
Do you think Donald Trump’s policies have...,Helped you personally,42%,47%,37%,28%,41%,47%,41%,48%,26%,32%,48%,35%,56%,20%,29%,42%,36%,48%,37%,4%,83%,34%,6%,79%,41%,7%,84%,34%,NA,NA
Do you think Donald Trump’s policies have...,Hurt you personally,30%,24%,35%,34%,30%,26%,34%,28%,34%,40%,23%,40%,20%,44%,29%,31%,35%,25%,33%,59%,<1%,10%,58%,5%,30%,58%,2%,22%,NA,NA
Do you think Donald Trump’s policies have...,Not made much of a difference either way,26%,28%,24%,35%,27%,25%,22%,22%,37%,25%,26%,23%,21%,33%,40%,23%,27%,25%,28%,35%,14%,40%,34%,14%,28%,33%,12%,42%,NA,NA
Do you think Donald Trump’s policies have...,[VOL] Don’t know/Refused,2%,1%,3%,2%,2%,2%,3%,2%,2%,2%,2%,2%,3%,3%,2%,4%,2%,2%,2%,1%,2%,16%,2%,2%,2%,2%,2%,2%,NA,NA
Do you think Donald Trump’s policies have...,Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
(Ask of White respondents )  How important is being White to how you think about yourself?,Extremely important,2%,2%,3%,<1%,4%,2%,2%,2%,0%,1%,3%,1%,3%,0%,0%,2%,3%,2%,2%,2%,2%,13%,2%,4%,<1%,1%,3%,2%,NA,NA
(Ask of White respondents )  How important is being White to how you think about yourself?,Very important,4%,6%,3%,3%,3%,4%,6%,4%,12%,3%,6%,3%,5%,0%,20%,5%,4%,5%,3%,4%,5%,<1%,6%,5%,2%,5%,5%,2%,NA,NA
(Ask of White respondents )  How important is being White to how you think about yourself?,Somewhat important,12%,9%,15%,19%,13%,11%,12%,12%,25%,14%,12%,14%,11%,14%,33%,17%,13%,11%,8%,16%,9%,17%,20%,8%,11%,16%,10%,12%,NA,NA
(Ask of White respondents )  How important is being White to how you think about yourself?,Not very important,27%,29%,25%,34%,30%,23%,27%,27%,15%,29%,25%,30%,25%,22%,11%,23%,30%,25%,32%,33%,23%,23%,33%,24%,25%,31%,21%,34%,NA,NA
(Ask of White respondents )  How important is being White to how you think about yourself?,Not at all important,46%,49%,44%,38%,47%,51%,43%,46%,41%,47%,46%,46%,46%,63%,28%,40%,41%,51%,50%,40%,53%,27%,33%,50%,54%,41%,52%,44%,NA,NA
(Ask of White respondents )  How important is being White to how you think about yourself?,[VOL] Don’t know/Refused,8%,6%,9%,5%,3%,9%,10%,8%,7%,6%,9%,6%,9%,1%,8%,13%,8%,5%,5%,6%,8%,21%,5%,8%,7%,5%,9%,6%,NA,NA
(Ask of White respondents )  How important is being White to how you think about yourself?,NET Extremely/Very important,7%,7%,6%,3%,7%,5%,8%,7%,12%,4%,9%,4%,9%,0%,20%,7%,7%,7%,6%,6%,7%,14%,8%,9%,3%,6%,8%,5%,NA,NA
(Ask of White respondents )  How important is being White to how you think about yourself?,NET Not very/Not at all important,73%,78%,69%,73%,77%,75%,70%,74%,56%,76%,71%,76%,72%,85%,39%,63%,71%,76%,82%,73%,76%,49%,66%,74%,79%,73%,74%,78%,NA,NA
(Ask of White respondents )  How important is being White to how you think about yourself?,Number of respondents,"1,539",725,803,236,298,527,424,"1,494",45,758,772,740,746,18,26,275,234,804,226,713,776,50,427,546,472,622,659,216,NA,NA
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Extremely important,22%,19%,26%,23%,24%,20%,21%,2%,24%,22%,21%,0%,3%,26%,22%,23%,25%,27%,15%,25%,14%,42%,24%,16%,19%,24%,12%,21%,NA,NA
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Very important,30%,28%,30%,30%,34%,26%,26%,20%,32%,29%,31%,24%,18%,30%,33%,27%,41%,22%,35%,34%,27%,12%,36%,25%,31%,30%,25%,38%,NA,NA
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Somewhat important,19%,19%,20%,27%,16%,21%,16%,15%,21%,17%,21%,19%,12%,17%,23%,23%,10%,22%,19%,21%,17%,22%,21%,24%,14%,20%,17%,20%,NA,NA
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Not very important,9%,11%,7%,11%,5%,9%,13%,12%,8%,10%,8%,4%,16%,10%,7%,5%,7%,8%,12%,10%,9%,<1%,10%,7%,10%,12%,6%,7%,NA,NA
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Not at all important,16%,18%,15%,9%,19%,18%,19%,43%,12%,18%,15%,40%,45%,15%,11%,22%,16%,15%,16%,9%,28%,11%,8%,24%,22%,12%,33%,9%,NA,NA
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,[VOL] Don’t know/Refused,4%,5%,2%,0%,2%,6%,5%,8%,3%,3%,4%,12%,6%,2%,3%,0%,1%,5%,4%,1%,6%,12%,1%,5%,3%,2%,6%,5%,NA,NA
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,NET Extremely/Very important,52%,46%,56%,53%,58%,46%,47%,23%,56%,51%,52%,24%,22%,57%,56%,50%,66%,50%,50%,59%,41%,54%,60%,41%,50%,54%,37%,59%,NA,NA
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,NET Not very/Not at all important,25%,29%,22%,20%,24%,27%,32%,55%,20%,28%,24%,44%,60%,25%,18%,27%,23%,23%,27%,19%,37%,12%,18%,31%,32%,24%,40%,17%,NA,NA
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Number of respondents,684,325,354,200,161,215,81,68,610,249,430,23,44,224,382,51,92,327,214,369,281,34,266,168,190,293,150,222,NA,NA
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Extremely important,42%,34%,48%,40%,37%,48%,40%,0%,42%,42%,42%,-,0%,42%,42%,39%,40%,44%,36%,49%,10%,27%,51%,19%,33%,46%,2%,43%,NA,NA
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Very important,30%,29%,31%,32%,27%,26%,34%,0%,30%,26%,32%,-,0%,26%,32%,46%,35%,26%,23%,32%,22%,29%,31%,33%,29%,31%,27%,27%,NA,NA
