itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_austin,region_dallas_ft_worth,region_houston,region_rest,region_san_antonio_south,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
Represents change,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares
"Thinking about the nation's economy, how would you rate economic conditions today?",Excellent,3%,4%,2%,<1%,2%,<1%,5%,3%,9%,<1%,0%,3%,3%,4%,2%,5%,1%,3%,3%,5%,5%,0%,<1%,6%,5%,<1%,0%,4%,2%,2%
"Thinking about the nation's economy, how would you rate economic conditions today?",Good,18%,18%,19%,7%,12%,23%,27%,20%,21%,17%,9%,20%,16%,25%,13%,24%,17%,27%,10%,24%,16%,19%,14%,26%,38%,2%,11%,41%,6%,16%
"Thinking about the nation's economy, how would you rate economic conditions today?",Only fair,25%,27%,25%,30%,27%,23%,22%,20%,32%,30%,41%,20%,33%,27%,24%,25%,16%,32%,34%,32%,33%,25%,19%,22%,33%,16%,47%,31%,17%,29%
"Thinking about the nation's economy, how would you rate economic conditions today?",Poor,53%,52%,54%,62%,60%,52%,46%,57%,37%,52%,50%,57%,47%,42%,61%,45%,66%,36%,54%,33%,46%,56%,66%,45%,22%,82%,42%,24%,76%,51%
"Thinking about the nation's economy, how would you rate economic conditions today?",[VOL] Don't know/Refused,<.5%,0%,<1%,0%,0%,<1%,0%,<.5%,2%,0%,0%,<.5%,<1%,1%,0%,1%,0%,1%,0%,6%,0%,0%,0%,0%,1%,0%,0%,0%,0%,2%
"Thinking about the nation's economy, how would you rate economic conditions today?",NET Excellent/good,21%,22%,21%,8%,13%,24%,31%,22%,29%,18%,9%,22%,19%,30%,15%,29%,18%,31%,12%,29%,21%,19%,15%,32%,43%,3%,11%,45%,8%,18%
"Thinking about the nation's economy, how would you rate economic conditions today?",NET Fair/poor,79%,78%,78%,92%,87%,75%,69%,77%,69%,82%,91%,77%,80%,69%,85%,70%,82%,68%,88%,66%,79%,81%,85%,68%,56%,97%,89%,55%,92%,80%
"Thinking about the nation's economy, how would you rate economic conditions today?",Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
What one issue is most important in deciding your vote this November?,[VOL] The economy (including jobs and the stock market),28%,29%,27%,28%,33%,38%,8%,27%,32%,25%,33%,27%,28%,25%,30%,27%,27%,20%,33%,16%,27%,35%,30%,24%,16%,39%,30%,16%,40%,24%
What one issue is most important in deciding your vote this November?,[VOL] Immigration,16%,20%,12%,5%,9%,17%,28%,17%,4%,17%,15%,17%,13%,13%,18%,13%,21%,12%,14%,16%,12%,17%,17%,15%,5%,26%,9%,9%,21%,17%
What one issue is most important in deciding your vote this November?,[VOL] Abortion,11%,6%,16%,18%,12%,11%,10%,9%,13%,17%,11%,9%,15%,14%,9%,10%,9%,22%,10%,10%,17%,10%,6%,17%,22%,2%,8%,26%,1%,11%
What one issue is most important in deciding your vote this November?,[VOL] Character/competence of candidate,8%,8%,8%,8%,3%,4%,19%,10%,8%,6%,3%,10%,6%,8%,9%,10%,10%,4%,8%,12%,5%,4%,12%,8%,13%,5%,5%,7%,8%,9%
What one issue is most important in deciding your vote this November?,[VOL] The state of democracy/corruption,5%,6%,5%,2%,2%,3%,9%,7%,7%,<1%,0%,7%,2%,8%,4%,12%,4%,<1%,3%,14%,6%,5%,4%,3%,11%,<1%,0%,8%,4%,6%
What one issue is most important in deciding your vote this November?,[VOL] Inflation and the cost of living,4%,5%,3%,7%,8%,3%,2%,4%,8%,3%,5%,4%,5%,3%,5%,4%,4%,3%,6%,0%,3%,5%,5%,6%,3%,6%,1%,1%,5%,6%
What one issue is most important in deciding your vote this November?,[VOL] Foreign policy,4%,6%,2%,3%,2%,6%,3%,5%,2%,2%,5%,5%,3%,4%,4%,4%,5%,4%,2%,4%,2%,2%,7%,1%,2%,6%,0%,2%,4%,6%
What one issue is most important in deciding your vote this November?,[VOL] Crime,2%,1%,3%,0%,<.5%,4%,3%,3%,0%,3%,0%,3%,1%,<.5%,3%,<.5%,5%,0%,2%,3%,0%,<1%,3%,5%,2%,3%,0%,3%,3%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Dislike of opposing candidate,2%,<.5%,4%,5%,0%,<1%,3%,2%,1%,3%,0%,2%,2%,1%,3%,1%,3%,<1%,2%,0%,3%,0%,2%,6%,4%,<.5%,0%,5%,<1%,1%
What one issue is most important in deciding your vote this November?,[VOL] Equality/inequality,2%,2%,2%,2%,4%,1%,<1%,2%,<.5%,3%,0%,2%,1%,2%,1%,2%,2%,3%,<.5%,2%,3%,3%,<1%,0%,4%,<.5%,0%,3%,0%,1%
What one issue is most important in deciding your vote this November?,[VOL] Health care,2%,<1%,2%,<1%,<1%,2%,<1%,1%,7%,0%,1%,1%,2%,2%,<1%,<1%,1%,5%,<.5%,0%,1%,4%,1%,0%,3%,0%,0%,4%,0%,2%
What one issue is most important in deciding your vote this November?,[VOL] Education,1%,2%,<1%,4%,3%,0%,0%,<1%,5%,0%,1%,<1%,2%,3%,<.5%,2%,0%,4%,<.5%,2%,<1%,3%,<1%,0%,2%,<1%,0%,<1%,0%,4%
What one issue is most important in deciding your vote this November?,[VOL] The Middle East/Israel/Palestinians,1%,<1%,1%,1%,4%,<.5%,0%,<.5%,1%,0%,10%,<.5%,3%,2%,<.5%,0%,<.5%,6%,<.5%,0%,3%,<.5%,<1%,0%,<.5%,<1%,14%,2%,<.5%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Taxes,<1%,1%,<1%,2%,1%,1%,0%,<1%,0%,3%,<.5%,<1%,1%,<.5%,1%,<1%,<1%,<.5%,2%,5%,0%,<1%,0%,2%,0%,2%,0%,0%,<1%,2%
What one issue is most important in deciding your vote this November?,[VOL] Gun policies,<1%,1%,<.5%,3%,<1%,0%,<1%,<1%,0%,<.5%,3%,<1%,<1%,<1%,<1%,1%,0%,0%,1%,2%,0%,1%,<1%,<1%,<1%,<1%,4%,<1%,<.5%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Polarization/division,<1%,0%,1%,0%,0%,<.5%,2%,0%,0%,3%,1%,0%,2%,<.5%,<1%,0%,0%,<1%,2%,0%,2%,<1%,0%,0%,2%,0%,0%,2%,0%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Election integrity,<1%,<1%,<.5%,0%,<1%,0%,2%,<1%,0%,0%,0%,<1%,0%,<1%,<.5%,1%,<1%,0%,0%,0%,0%,<1%,1%,0%,0%,1%,0%,0%,<.5%,1%
What one issue is most important in deciding your vote this November?,[VOL] Climate change,<.5%,<.5%,<.5%,<1%,0%,<.5%,<1%,<1%,0%,0%,0%,<1%,0%,<1%,<.5%,<1%,<1%,0%,0%,0%,0%,1%,<1%,0%,1%,0%,0%,1%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] Racism/racial issues,<.5%,0%,<.5%,<.5%,0%,<1%,0%,<.5%,<.5%,0%,0%,<.5%,<.5%,<1%,<.5%,<1%,0%,0%,<.5%,3%,0%,<.5%,0%,0%,<1%,0%,0%,<.5%,0%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Russia/the war in Ukraine,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] China,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] Student loans,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,"[VOL] Other, specify",7%,5%,7%,8%,12%,3%,6%,6%,6%,9%,3%,6%,7%,8%,6%,8%,5%,8%,7%,9%,5%,6%,7%,7%,6%,6%,10%,7%,7%,4%
What one issue is most important in deciding your vote this November?,[VOL] Don't know/Refused,3%,4%,3%,3%,4%,4%,1%,1%,3%,7%,8%,1%,6%,3%,3%,1%,1%,7%,6%,2%,9%,<.5%,1%,4%,2%,2%,19%,2%,2%,3%
What one issue is most important in deciding your vote this November?,Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
Which candidate do you think would do a better job of handling the issue you think is most important?,"Kamala [COMMA-luh] Harris, the Democrat",40%,36%,45%,48%,35%,37%,46%,34%,69%,47%,34%,34%,50%,48%,36%,41%,28%,59%,46%,64%,50%,41%,24%,45%,90%,<.5%,6%,92%,6%,38%
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",53%,58%,49%,46%,49%,60%,54%,63%,15%,45%,52%,63%,39%,44%,59%,55%,70%,26%,46%,33%,41%,50%,71%,50%,6%,98%,23%,4%,93%,54%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,3%,2%,5%,<1%,10%,0%,0%,3%,6%,1%,9%,3%,4%,5%,2%,4%,2%,7%,3%,3%,3%,4%,4%,1%,3%,0%,33%,4%,<.5%,6%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Someone else; specify,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,3%,4%,2%,5%,5%,3%,0%,<.5%,10%,6%,5%,<.5%,7%,3%,3%,0%,<1%,8%,6%,0%,5%,5%,<1%,4%,<.5%,2%,38%,0%,<1%,2%
Which candidate do you think would do a better job of handling the issue you think is most important?,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares
Do you think Joe Biden’s policies have...,Helped you personally,19%,21%,18%,6%,15%,19%,30%,18%,37%,17%,10%,18%,21%,21%,18%,20%,16%,23%,20%,32%,21%,21%,12%,23%,42%,<1%,0%,50%,5%,13%
Do you think Joe Biden’s policies have...,Hurt you personally,45%,46%,44%,34%,45%,52%,47%,55%,9%,39%,46%,55%,32%,41%,48%,47%,60%,31%,32%,31%,33%,44%,62%,39%,4%,83%,34%,7%,77%,44%
Do you think Joe Biden’s policies have...,Not made much of a difference either way,34%,31%,36%,60%,35%,28%,22%,28%,47%,39%,43%,28%,42%,35%,33%,33%,24%,39%,45%,35%,43%,32%,27%,36%,53%,16%,43%,42%,18%,42%
Do you think Joe Biden’s policies have...,[VOL] Don’t know/Refused,2%,1%,1%,0%,5%,<1%,<1%,0%,6%,5%,0%,0%,4%,3%,1%,0%,0%,7%,3%,3%,3%,2%,0%,3%,<1%,0%,23%,<1%,0%,<1%
Do you think Joe Biden’s policies have...,Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
Do you think Donald Trump’s policies have...,Helped you personally,49%,54%,46%,39%,44%,58%,51%,58%,17%,41%,52%,58%,37%,42%,54%,51%,63%,26%,43%,32%,37%,51%,66%,41%,10%,88%,21%,8%,85%,48%
Do you think Donald Trump’s policies have...,Hurt you personally,20%,16%,24%,24%,20%,20%,17%,20%,24%,19%,20%,20%,21%,30%,13%,29%,13%,32%,14%,43%,25%,17%,13%,20%,43%,<.5%,12%,48%,1%,18%
Do you think Donald Trump’s policies have...,Not made much of a difference either way,27%,27%,29%,33%,30%,20%,31%,21%,50%,34%,28%,21%,37%,24%,30%,17%,23%,35%,39%,21%,35%,26%,20%,38%,45%,10%,43%,43%,13%,33%
Do you think Donald Trump’s policies have...,[VOL] Don’t know/Refused,3%,3%,2%,4%,5%,3%,1%,1%,9%,6%,0%,1%,6%,4%,2%,2%,<1%,7%,4%,5%,4%,6%,1%,1%,1%,3%,23%,<1%,1%,2%
Do you think Donald Trump’s policies have...,Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
(Ask of White respondents )  How important is being White to how you think about yourself?,Extremely important,3%,2%,3%,0%,4%,2%,3%,3%,-,-,0%,3%,0%,<1%,4%,<1%,4%,0%,0%,0%,0%,4%,4%,3%,6%,<1%,0%,1%,<1%,5%
(Ask of White respondents )  How important is being White to how you think about yourself?,Very important,7%,10%,5%,8%,6%,4%,10%,7%,-,-,13%,7%,13%,6%,8%,6%,8%,0%,27%,9%,5%,14%,6%,0%,10%,5%,8%,14%,6%,4%
(Ask of White respondents )  How important is being White to how you think about yourself?,Somewhat important,8%,8%,8%,15%,15%,5%,5%,8%,-,-,0%,8%,0%,8%,9%,8%,9%,0%,0%,5%,8%,7%,10%,7%,12%,7%,0%,14%,7%,9%
(Ask of White respondents )  How important is being White to how you think about yourself?,Not very important,20%,20%,20%,35%,22%,18%,19%,20%,-,-,21%,20%,21%,24%,17%,24%,17%,0%,45%,44%,15%,10%,20%,23%,30%,14%,22%,29%,16%,23%
(Ask of White respondents )  How important is being White to how you think about yourself?,Not at all important,51%,54%,49%,42%,50%,56%,49%,52%,-,-,40%,52%,40%,54%,49%,54%,50%,100%,27%,37%,53%,52%,54%,49%,33%,61%,66%,33%,60%,48%
(Ask of White respondents )  How important is being White to how you think about yourself?,[VOL] Don’t know/Refused,11%,6%,14%,0%,3%,15%,14%,10%,-,-,25%,10%,25%,7%,12%,8%,13%,0%,0%,6%,18%,12%,6%,19%,8%,13%,4%,9%,10%,11%
(Ask of White respondents )  How important is being White to how you think about yourself?,NET Extremely/Very important,10%,12%,8%,8%,10%,7%,13%,10%,-,-,13%,10%,13%,6%,13%,6%,12%,0%,27%,9%,5%,18%,9%,3%,17%,6%,8%,16%,7%,8%
(Ask of White respondents )  How important is being White to how you think about yourself?,NET Not very/Not at all important,71%,74%,70%,77%,72%,74%,68%,71%,-,-,62%,71%,62%,78%,66%,78%,66%,100%,73%,80%,68%,63%,74%,72%,63%,75%,88%,62%,76%,72%
(Ask of White respondents )  How important is being White to how you think about yourself?,Number of respondents,263,130,131,44,50,90,68,258,,,5,258,5,139,122,138,119,1,3,27,49,53,111,23,101,151,11,60,106,71
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Extremely important,18%,12%,24%,14%,23%,11%,36%,0%,0%,22%,0%,0%,21%,28%,15%,0%,0%,29%,17%,28%,19%,18%,11%,20%,28%,11%,0%,27%,11%,21%
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Very important,30%,26%,35%,23%,22%,37%,45%,2%,75%,31%,77%,2%,34%,31%,30%,0%,2%,33%,35%,40%,35%,41%,22%,24%,40%,25%,0%,44%,24%,19%
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Somewhat important,23%,25%,21%,38%,26%,15%,16%,59%,7%,21%,0%,59%,19%,13%,27%,0%,69%,14%,22%,3%,15%,29%,31%,25%,20%,30%,0%,17%,29%,36%
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Not very important,7%,3%,10%,21%,3%,3%,0%,24%,0%,5%,23%,24%,5%,6%,7%,39%,22%,4%,5%,7%,13%,3%,10%,5%,8%,6%,0%,8%,7%,4%
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Not at all important,16%,24%,9%,4%,15%,28%,3%,9%,1%,18%,0%,9%,16%,18%,15%,23%,7%,18%,16%,22%,0%,6%,26%,22%,4%,24%,45%,3%,25%,17%
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,[VOL] Don’t know/Refused,5%,9%,1%,0%,11%,5%,0%,6%,17%,4%,0%,6%,5%,5%,5%,39%,0%,3%,5%,0%,19%,3%,0%,4%,0%,4%,55%,0%,4%,3%
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,NET Extremely/Very important,49%,38%,59%,37%,46%,49%,81%,2%,75%,53%,77%,2%,55%,58%,45%,0%,2%,62%,52%,68%,54%,59%,33%,44%,68%,35%,0%,71%,35%,40%
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,NET Not very/Not at all important,23%,27%,19%,25%,18%,30%,3%,33%,1%,22%,23%,33%,21%,24%,22%,61%,29%,22%,21%,29%,13%,9%,36%,27%,12%,31%,45%,12%,32%,21%
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Number of respondents,151,80,71,54,34,48,11,13,7,123,5,13,135,55,96,3,10,51,84,13,20,30,33,55,74,73,4,58,46,37
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Extremely important,30%,21%,39%,35%,10%,54%,0%,-,30%,-,0%,-,30%,31%,28%,-,-,31%,28%,0%,32%,42%,15%,14%,36%,0%,0%,40%,0%,25%
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Very important,39%,47%,35%,44%,14%,17%,99%,-,38%,-,100%,-,39%,19%,52%,-,-,19%,52%,59%,55%,31%,40%,0%,37%,78%,12%,48%,85%,15%
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Somewhat important,11%,25%,<1%,15%,19%,11%,0%,-,11%,-,0%,-,11%,21%,5%,-,-,21%,5%,0%,5%,15%,9%,27%,11%,9%,10%,7%,0%,21%
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Not very important,4%,<.5%,7%,<1%,11%,3%,0%,-,4%,-,0%,-,4%,10%,0%,-,-,10%,0%,0%,0%,<.5%,20%,0%,4%,2%,0%,0%,0%,11%
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Not at all important,8%,2%,14%,6%,27%,3%,0%,-,8%,-,0%,-,8%,2%,12%,-,-,2%,12%,38%,0%,0%,6%,59%,9%,12%,0%,0%,15%,22%
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,[VOL] Don’t know/Refused,9%,5%,5%,0%,19%,11%,1%,-,9%,-,0%,-,9%,17%,3%,-,-,17%,3%,3%,9%,11%,10%,0%,3%,0%,78%,6%,0%,6%
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,NET Extremely/Very important,68%,68%,74%,78%,24%,71%,99%,-,68%,-,100%,-,68%,50%,80%,-,-,50%,80%,59%,87%,74%,54%,14%,73%,78%,12%,88%,85%,40%
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,NET Not very/Not at all important,12%,3%,20%,7%,38%,7%,0%,-,12%,-,0%,-,12%,12%,12%,-,-,12%,12%,38%,0%,<.5%,27%,59%,13%,14%,0%,0%,15%,33%
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Number of respondents,57,26,30,17,12,22,4,,56,,1,,57,25,32,,,25,32,6,12,20,14,5,41,10,6,23,3,24
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Extremely important,13%,0%,23%,0%,0%,32%,-,-,-,-,13%,-,13%,18%,0%,-,-,18%,0%,100%,14%,0%,0%,-,8%,24%,0%,27%,42%,0%
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Very important,36%,41%,32%,25%,36%,29%,-,-,-,-,36%,-,36%,22%,73%,-,-,22%,73%,0%,27%,56%,65%,-,32%,32%,100%,0%,0%,43%
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Somewhat important,25%,10%,36%,28%,0%,39%,-,-,-,-,25%,-,25%,29%,14%,-,-,29%,14%,0%,26%,21%,35%,-,15%,44%,0%,30%,58%,16%
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Not very important,11%,25%,0%,32%,0%,0%,-,-,-,-,11%,-,11%,10%,13%,-,-,10%,13%,0%,17%,0%,0%,-,19%,0%,0%,43%,0%,8%
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Not at all important,15%,24%,8%,15%,64%,0%,-,-,-,-,15%,-,15%,21%,0%,-,-,21%,0%,0%,16%,23%,0%,-,27%,0%,0%,0%,0%,33%
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,[VOL] Don’t know/Refused,0%,0%,0%,0%,0%,0%,-,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,NET Extremely/Very important,49%,41%,55%,25%,36%,61%,-,-,-,-,49%,-,49%,40%,73%,-,-,40%,73%,100%,41%,56%,65%,-,40%,56%,100%,27%,42%,43%
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,NET Not very/Not at all important,26%,49%,8%,47%,64%,0%,-,-,-,-,26%,-,26%,31%,13%,-,-,31%,13%,0%,33%,23%,0%,-,45%,0%,0%,43%,0%,41%
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Number of respondents,16,7,9,8,2,5,,,,,16,,16,11,5,,,11,5,1,9,4,2,,10,5,1,3,2,8
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Extremely important,0%,0%,0%,0%,0%,0%,0%,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,-,0%,0%
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Very important,7%,11%,0%,100%,0%,0%,0%,-,-,-,7%,-,7%,0%,13%,-,-,0%,13%,0%,26%,0%,0%,-,19%,0%,0%,-,0%,8%
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Somewhat important,51%,26%,100%,0%,54%,32%,100%,-,-,-,51%,-,51%,74%,32%,-,-,74%,32%,0%,74%,0%,68%,-,0%,72%,100%,-,0%,60%
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Not very important,30%,46%,0%,0%,46%,39%,0%,-,-,-,30%,-,30%,0%,55%,-,-,0%,55%,100%,0%,0%,32%,-,81%,0%,0%,-,100%,17%
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Not at all important,12%,18%,0%,0%,0%,28%,0%,-,-,-,12%,-,12%,26%,0%,-,-,26%,0%,0%,0%,100%,0%,-,0%,28%,0%,-,0%,14%
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,[VOL] Don’t know/Refused,0%,0%,0%,0%,0%,0%,0%,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,-,0%,0%
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,NET Extremely/Very important,7%,11%,0%,100%,0%,0%,0%,-,-,-,7%,-,7%,0%,13%,-,-,0%,13%,0%,26%,0%,0%,-,19%,0%,0%,-,0%,8%
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,NET Not very/Not at all important,42%,63%,0%,0%,46%,68%,0%,-,-,-,42%,-,42%,26%,55%,-,-,26%,55%,100%,0%,100%,32%,-,81%,28%,0%,-,100%,31%
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Number of respondents,8,6,2,1,3,3,1,,,,8,,8,3,5,,,3,5,1,2,1,4,,3,4,1,,1,7
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Extremely important,35%,61%,0%,0%,0%,72%,-,-,-,-,35%,-,35%,0%,67%,-,-,0%,67%,-,47%,0%,0%,0%,-,61%,0%,0%,86%,0%
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Very important,38%,13%,72%,0%,100%,16%,-,-,-,-,38%,-,38%,80%,0%,-,-,80%,0%,-,40%,0%,100%,0%,-,13%,72%,100%,0%,45%
