itm,v1,registered_voters_registered_voters,state_mi,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_harris,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy,x2024_vote_includes_third_parties_oth,party_id_dem
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Neither good nor bad,8%,11%,7%,6%,9%,8%,15%,8%,7%,6%,6%,18%,12%,7%,9%,6%,7%,11%,17%,9%,8%,7%,5%,9%,32%,4%,6%,36%,27%,5%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",[VOL] Don't know/Refused,<1%,2%,<1%,<.5%,<.5%,1%,<.5%,<1%,<1%,1%,<1%,1%,1%,<1%,<1%,<1%,<1%,0%,2%,<.5%,<.5%,1%,<1%,<1%,2%,<1%,<1%,<1%,3%,<.5%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",[PREVIOUSLY] Nothing would change,2%,3%,2%,1%,4%,<1%,3%,3%,2%,1%,2%,2%,3%,1%,3%,1%,2%,<1%,4%,3%,2%,2%,2%,1%,9%,2%,1%,6%,6%,<.5%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",[PREVIOUSLY] Don’t know/Refused,2%,2%,2%,2%,2%,2%,<1%,1%,3%,2%,2%,<1%,3%,1%,2%,<1%,2%,2%,2%,2%,2%,2%,2%,2%,5%,2%,2%,5%,3%,2%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",NET Good,41%,39%,43%,43%,48%,35%,35%,40%,46%,39%,45%,13%,39%,35%,45%,36%,50%,28%,27%,25%,39%,50%,1%,85%,22%,<1%,88%,32%,26%,4%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",NET Bad,46%,43%,46%,48%,37%,54%,46%,47%,41%,50%,45%,64%,42%,56%,41%,56%,38%,57%,50%,61%,48%,37%,90%,1%,29%,91%,1%,21%,35%,89%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"If Kamala Harris won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or she would tear down the system completely?",Nothing would change,11%,8%,13%,12%,15%,7%,12%,15%,11%,7%,10%,12%,17%,12%,11%,12%,9%,14%,15%,10%,12%,10%,6%,14%,25%,5%,13%,28%,22%,5%
"If Kamala Harris won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or she would tear down the system completely?",Minor changes to how things work,41%,39%,40%,43%,36%,45%,42%,47%,38%,39%,41%,45%,37%,51%,35%,54%,34%,43%,39%,53%,41%,36%,67%,14%,34%,67%,12%,40%,46%,61%
"If Kamala Harris won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or she would tear down the system completely?",Major changes to how things work,22%,22%,24%,20%,20%,24%,24%,16%,22%,25%,21%,29%,22%,20%,23%,19%,22%,24%,26%,23%,22%,21%,25%,18%,23%,26%,19%,17%,13%,30%
"If Kamala Harris won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or she would tear down the system completely?",She would tear down the system completely,23%,25%,22%,23%,26%,21%,21%,19%,23%,26%,25%,12%,20%,15%,27%,15%,30%,13%,18%,13%,21%,29%,<.5%,48%,11%,<.5%,51%,10%,9%,2%
"If Kamala Harris won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or she would tear down the system completely?",[VOL] Don't know/Refused,3%,6%,2%,2%,4%,3%,<.5%,2%,6%,3%,3%,2%,3%,2%,4%,<1%,5%,6%,2%,1%,3%,4%,2%,4%,7%,2%,4%,5%,9%,3%
"If Kamala Harris won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or she would tear down the system completely?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",Very good for the country,24%,23%,23%,26%,16%,32%,16%,20%,23%,31%,24%,35%,17%,28%,22%,29%,21%,25%,26%,32%,23%,21%,48%,<1%,1%,51%,<1%,<1%,1%,56%
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",Somewhat good for the country,15%,15%,17%,15%,15%,16%,23%,17%,11%,16%,15%,19%,20%,17%,14%,17%,14%,22%,18%,17%,17%,14%,30%,1%,4%,30%,1%,13%,6%,26%
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",Somewhat bad for the country,6%,6%,6%,7%,8%,5%,12%,6%,7%,3%,7%,3%,4%,6%,6%,7%,7%,4%,3%,6%,6%,7%,1%,12%,7%,<1%,11%,11%,8%,<.5%
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",Very bad for the country,29%,29%,30%,30%,33%,26%,23%,26%,32%,32%,31%,13%,23%,24%,32%,25%,35%,17%,20%,17%,28%,36%,<1%,60%,21%,<1%,64%,22%,13%,2%
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",Neither good nor bad,10%,12%,10%,7%,10%,10%,13%,14%,9%,7%,9%,14%,14%,10%,10%,9%,9%,12%,15%,15%,10%,7%,10%,7%,31%,9%,5%,19%,38%,7%
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",[VOL] Don't know/Refused,<1%,1%,<1%,<1%,<1%,1%,0%,<1%,1%,1%,<1%,<1%,2%,1%,<1%,1%,<1%,<1%,1%,<1%,<1%,1%,1%,<.5%,4%,1%,<.5%,<1%,3%,<.5%
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",[PREVIOUSLY] Nothing would change,11%,8%,13%,12%,15%,7%,12%,15%,11%,7%,10%,12%,17%,12%,11%,12%,9%,14%,15%,10%,12%,10%,6%,14%,25%,5%,13%,28%,22%,5%
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",[PREVIOUSLY] Don’t know/Refused,3%,6%,2%,2%,4%,3%,<.5%,2%,6%,3%,3%,2%,3%,2%,4%,<1%,5%,6%,2%,1%,3%,4%,2%,4%,7%,2%,4%,5%,9%,3%
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Will bring about the right kind of change,Very well,30%,28%,30%,34%,19%,41%,23%,29%,28%,39%,30%,38%,28%,36%,28%,36%,27%,38%,30%,41%,31%,26%,62%,<1%,4%,64%,<1%,9%,6%,71%
Will bring about the right kind of change,Somewhat well,19%,20%,19%,18%,20%,18%,29%,21%,18%,15%,17%,33%,23%,22%,18%,21%,15%,24%,29%,27%,19%,16%,31%,6%,31%,30%,5%,25%,27%,23%
Will bring about the right kind of change,Not too well,11%,11%,12%,10%,13%,10%,14%,14%,11%,8%,11%,8%,16%,10%,11%,11%,11%,11%,13%,10%,13%,10%,5%,17%,17%,3%,14%,29%,32%,3%
Will bring about the right kind of change,Not at all well,37%,36%,37%,37%,44%,30%,33%,34%,40%,36%,39%,18%,30%,31%,39%,32%,43%,26%,24%,21%,35%,45%,<1%,74%,40%,<1%,77%,35%,27%,2%
Will bring about the right kind of change,[VOL] Don't know/Refused,3%,4%,2%,2%,4%,2%,2%,3%,3%,2%,3%,3%,2%,<1%,4%,<1%,4%,<1%,4%,2%,3%,3%,2%,3%,8%,2%,3%,2%,7%,<1%
Will bring about the right kind of change,NET Well,50%,49%,49%,51%,39%,59%,52%,49%,45%,54%,48%,71%,51%,58%,46%,57%,43%,62%,59%,68%,50%,42%,93%,6%,35%,94%,6%,34%,34%,94%
Will bring about the right kind of change,NET Not well,48%,47%,49%,47%,57%,39%,47%,48%,51%,43%,50%,26%,46%,42%,51%,42%,54%,37%,38%,31%,48%,55%,6%,91%,57%,4%,91%,64%,59%,5%
Will bring about the right kind of change,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Has the temperament to be an effective president,Very well,37%,32%,38%,41%,27%,46%,35%,34%,36%,42%,36%,53%,33%,46%,33%,46%,31%,48%,40%,52%,38%,31%,74%,2%,7%,76%,2%,14%,12%,78%
Has the temperament to be an effective president,Somewhat well,17%,18%,19%,16%,19%,16%,24%,23%,13%,15%,16%,26%,23%,18%,17%,17%,15%,21%,26%,22%,17%,16%,22%,10%,35%,21%,8%,33%,37%,16%
Has the temperament to be an effective president,Not too well,10%,10%,10%,10%,11%,9%,10%,13%,12%,5%,10%,2%,15%,10%,10%,11%,10%,10%,8%,6%,11%,10%,1%,18%,17%,<1%,17%,23%,22%,2%
Has the temperament to be an effective president,Not at all well,33%,35%,32%,32%,40%,27%,28%,27%,37%,34%,35%,15%,26%,25%,37%,25%,41%,18%,23%,19%,32%,40%,<.5%,67%,32%,<.5%,71%,27%,20%,2%
Has the temperament to be an effective president,[VOL] Don't know/Refused,3%,5%,2%,1%,3%,2%,3%,2%,2%,3%,2%,4%,3%,1%,3%,<1%,3%,3%,3%,1%,2%,4%,2%,3%,9%,2%,3%,4%,8%,<1%
Has the temperament to be an effective president,NET Well,54%,50%,56%,57%,46%,62%,59%,58%,48%,58%,52%,79%,56%,64%,50%,63%,46%,69%,66%,74%,54%,46%,97%,12%,42%,97%,10%,46%,50%,95%
Has the temperament to be an effective president,NET Not well,43%,45%,42%,42%,51%,36%,38%,40%,50%,39%,45%,17%,41%,35%,47%,36%,51%,28%,31%,24%,44%,50%,2%,86%,49%,1%,87%,50%,42%,5%
Has the temperament to be an effective president,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Is intelligent,Very well,47%,43%,49%,49%,36%,57%,49%,46%,44%,50%,44%,69%,50%,56%,42%,55%,38%,63%,57%,64%,48%,38%,87%,6%,32%,88%,5%,36%,34%,86%
Is intelligent,Somewhat well,19%,21%,19%,15%,22%,16%,25%,23%,17%,14%,18%,20%,21%,19%,18%,20%,17%,15%,23%,18%,19%,18%,11%,24%,33%,11%,23%,33%,38%,11%
Is intelligent,Not too well,9%,7%,10%,9%,9%,9%,10%,9%,8%,9%,10%,4%,7%,9%,9%,9%,10%,8%,4%,7%,10%,9%,<1%,17%,10%,<1%,17%,12%,9%,<.5%
Is intelligent,Not at all well,23%,25%,21%,23%,29%,17%,15%,19%,28%,24%,25%,6%,18%,14%,27%,14%,31%,14%,12%,10%,22%,30%,0%,48%,16%,0%,50%,17%,7%,1%
Is intelligent,[VOL] Don't know/Refused,3%,4%,2%,4%,4%,2%,2%,3%,3%,4%,3%,2%,5%,2%,4%,2%,3%,1%,4%,1%,2%,5%,<1%,5%,10%,<1%,4%,3%,12%,1%
Is intelligent,NET Well,65%,64%,68%,64%,57%,72%,74%,69%,61%,64%,62%,89%,71%,75%,60%,75%,56%,77%,80%,82%,67%,57%,98%,31%,65%,99%,28%,68%,72%,97%
Is intelligent,NET Not well,32%,32%,30%,32%,39%,26%,24%,28%,37%,33%,35%,9%,25%,23%,36%,23%,41%,21%,16%,16%,31%,39%,<1%,65%,26%,<1%,68%,28%,16%,2%
Is intelligent,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Has a clear vision for the country,Very well,30%,28%,32%,31%,21%,39%,24%,26%,28%,39%,30%,41%,30%,35%,28%,36%,27%,34%,36%,39%,32%,25%,58%,4%,9%,60%,3%,11%,11%,67%
Has a clear vision for the country,Somewhat well,23%,22%,22%,23%,24%,21%,33%,29%,20%,16%,21%,36%,28%,27%,20%,26%,18%,32%,31%,31%,23%,19%,35%,9%,34%,34%,8%,37%,28%,27%
Has a clear vision for the country,Not too well,11%,12%,11%,10%,12%,10%,15%,11%,11%,9%,11%,6%,13%,11%,11%,11%,11%,12%,9%,9%,13%,10%,4%,17%,14%,4%,16%,20%,24%,4%
Has a clear vision for the country,Not at all well,33%,33%,32%,33%,39%,27%,26%,30%,37%,33%,35%,13%,24%,24%,37%,25%,41%,18%,20%,17%,29%,42%,<1%,66%,32%,<.5%,69%,29%,24%,2%
Has a clear vision for the country,[VOL] Don't know/Refused,3%,5%,3%,3%,4%,3%,2%,4%,5%,3%,3%,4%,6%,2%,4%,2%,4%,5%,5%,3%,3%,4%,2%,4%,12%,2%,4%,3%,13%,<1%
Has a clear vision for the country,NET Well,53%,50%,55%,54%,45%,61%,57%,56%,48%,55%,50%,76%,58%,62%,48%,62%,44%,66%,66%,70%,55%,44%,93%,13%,43%,94%,11%,49%,39%,94%
Has a clear vision for the country,NET Not well,44%,45%,43%,43%,51%,37%,41%,41%,47%,42%,47%,19%,37%,35%,47%,36%,52%,30%,28%,27%,42%,52%,5%,84%,45%,4%,85%,49%,47%,6%
Has a clear vision for the country,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Is honest,Very well,32%,29%,33%,34%,24%,39%,22%,27%,29%,44%,31%,45%,29%,38%,28%,39%,27%,39%,35%,42%,32%,27%,62%,2%,17%,64%,2%,11%,17%,68%
Is honest,Somewhat well,20%,22%,19%,20%,20%,21%,32%,25%,20%,12%,20%,23%,24%,23%,19%,22%,19%,25%,23%,24%,23%,17%,31%,9%,19%,31%,8%,25%,23%,25%
Is honest,Not too well,10%,9%,13%,9%,11%,10%,12%,13%,11%,7%,10%,8%,15%,11%,10%,11%,10%,9%,13%,9%,11%,10%,3%,17%,21%,2%,15%,30%,26%,2%
Is honest,Not at all well,33%,35%,32%,33%,41%,27%,32%,31%,35%,33%,35%,20%,29%,25%,38%,25%,40%,22%,26%,21%,31%,41%,2%,67%,31%,1%,70%,30%,19%,3%
Is honest,[VOL] Don't know/Refused,4%,6%,2%,4%,4%,4%,2%,4%,4%,5%,4%,3%,4%,3%,4%,3%,5%,5%,3%,3%,3%,5%,3%,5%,12%,3%,4%,3%,15%,2%
Is honest,NET Well,52%,51%,52%,53%,45%,60%,54%,52%,49%,56%,51%,69%,53%,61%,48%,61%,45%,64%,58%,66%,54%,44%,93%,11%,36%,95%,10%,37%,40%,93%
Is honest,NET Not well,44%,44%,45%,42%,52%,36%,44%,45%,47%,39%,45%,28%,43%,36%,48%,36%,50%,31%,39%,31%,42%,51%,4%,84%,52%,3%,86%,60%,45%,6%
Is honest,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Will bring about the right kind of change,Very well,33%,32%,33%,34%,37%,29%,25%,28%,39%,33%,36%,7%,27%,23%,38%,24%,43%,16%,19%,16%,31%,42%,<.5%,69%,13%,<.5%,74%,11%,12%,4%
Will bring about the right kind of change,Somewhat well,14%,16%,15%,12%,17%,12%,16%,18%,15%,10%,13%,16%,19%,15%,14%,15%,13%,17%,18%,14%,13%,16%,3%,25%,21%,2%,23%,34%,28%,4%
Will bring about the right kind of change,Not too well,7%,9%,6%,7%,9%,6%,13%,9%,5%,6%,6%,12%,12%,7%,8%,7%,6%,6%,15%,7%,9%,6%,10%,3%,21%,9%,2%,21%,18%,7%
Will bring about the right kind of change,Not at all well,45%,42%,45%,47%,35%,53%,44%,44%,41%,51%,43%,63%,41%,55%,40%,54%,38%,60%,47%,64%,46%,35%,86%,1%,43%,88%,<1%,33%,39%,85%
Will bring about the right kind of change,[VOL] Don't know/Refused,<1%,1%,<.5%,<1%,1%,<.5%,2%,<.5%,<1%,<.5%,<1%,1%,<1%,<.5%,1%,<.5%,<1%,1%,<1%,<.5%,<1%,<1%,<.5%,1%,3%,<.5%,<1%,<1%,3%,<.5%
Will bring about the right kind of change,NET Well,47%,48%,48%,46%,55%,41%,41%,46%,53%,43%,50%,23%,46%,38%,52%,39%,56%,33%,37%,29%,44%,57%,4%,94%,33%,3%,96%,45%,40%,8%
Will bring about the right kind of change,NET Not well,52%,51%,52%,53%,44%,59%,57%,53%,46%,57%,50%,75%,53%,62%,47%,61%,43%,66%,62%,71%,55%,42%,96%,5%,64%,97%,3%,54%,57%,92%
Will bring about the right kind of change,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Has the temperament to be an effective president,Very well,27%,27%,29%,26%,31%,24%,19%,21%,32%,30%,30%,4%,23%,17%,32%,18%,37%,15%,15%,11%,27%,35%,<.5%,58%,9%,<.5%,62%,8%,6%,2%
Has the temperament to be an effective president,Somewhat well,18%,18%,16%,19%,21%,14%,22%,23%,18%,11%,17%,17%,20%,18%,18%,18%,17%,14%,21%,17%,15%,20%,4%,31%,21%,4%,30%,24%,24%,5%
Has the temperament to be an effective president,Not too well,10%,14%,8%,7%,11%,9%,22%,10%,7%,7%,8%,13%,16%,8%,11%,8%,9%,8%,17%,10%,11%,8%,10%,8%,19%,9%,6%,30%,26%,9%
Has the temperament to be an effective president,Not at all well,45%,41%,46%,47%,36%,53%,37%,45%,43%,51%,44%,64%,39%,57%,39%,56%,37%,63%,45%,61%,47%,36%,85%,2%,48%,87%,1%,37%,39%,84%
Has the temperament to be an effective president,[VOL] Don't know/Refused,<1%,1%,<1%,<.5%,1%,<.5%,1%,<1%,<1%,<1%,<.5%,3%,2%,<.5%,1%,<.5%,<1%,<1%,3%,<1%,<.5%,1%,<.5%,<1%,4%,<1%,<1%,<1%,6%,0%
Has the temperament to be an effective president,NET Well,45%,44%,45%,45%,52%,38%,41%,44%,49%,41%,47%,21%,43%,35%,50%,36%,53%,29%,35%,28%,42%,55%,5%,89%,30%,4%,92%,32%,30%,7%
Has the temperament to be an effective president,NET Not well,54%,54%,54%,54%,46%,62%,58%,55%,50%,58%,52%,76%,55%,65%,49%,64%,46%,70%,62%,71%,58%,44%,95%,11%,66%,95%,7%,67%,65%,93%
Has the temperament to be an effective president,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Is intelligent,Very well,35%,34%,37%,34%,38%,31%,24%,31%,39%,37%,37%,12%,35%,24%,40%,24%,44%,20%,26%,18%,32%,43%,3%,70%,14%,3%,74%,14%,17%,5%
Is intelligent,Somewhat well,22%,23%,21%,21%,23%,20%,33%,26%,22%,13%,21%,27%,19%,25%,20%,26%,18%,20%,24%,25%,22%,20%,17%,24%,39%,16%,23%,55%,26%,15%
Is intelligent,Not too well,10%,11%,9%,10%,11%,9%,13%,11%,9%,9%,9%,13%,14%,13%,9%,11%,8%,18%,12%,8%,13%,8%,16%,4%,14%,16%,1%,17%,23%,16%
Is intelligent,Not at all well,33%,31%,33%,34%,26%,39%,29%,31%,29%,40%,32%,47%,32%,38%,30%,37%,28%,41%,37%,48%,32%,26%,63%,1%,26%,65%,1%,13%,26%,64%
Is intelligent,[VOL] Don't know/Refused,1%,2%,<1%,<1%,2%,<1%,2%,1%,1%,<1%,1%,<1%,<.5%,<1%,1%,<1%,1%,<1%,<1%,<.5%,<1%,2%,<1%,<1%,7%,<1%,<1%,0%,8%,<1%
Is intelligent,NET Well,56%,57%,57%,55%,61%,51%,56%,57%,61%,50%,58%,39%,54%,49%,60%,50%,62%,40%,51%,43%,54%,64%,20%,94%,52%,19%,97%,70%,43%,20%
Is intelligent,NET Not well,43%,41%,42%,44%,37%,48%,42%,42%,38%,49%,41%,60%,46%,50%,39%,49%,37%,59%,49%,57%,45%,34%,79%,5%,40%,81%,2%,30%,49%,80%
Is intelligent,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Has a clear vision for the country,Very well,42%,41%,44%,43%,48%,37%,42%,38%,47%,39%,45%,20%,41%,37%,45%,37%,49%,33%,31%,29%,40%,50%,9%,80%,18%,9%,83%,28%,21%,11%
Has a clear vision for the country,Somewhat well,18%,19%,18%,16%,18%,17%,29%,23%,18%,9%,17%,20%,25%,23%,15%,22%,13%,27%,21%,23%,18%,15%,18%,15%,36%,18%,13%,36%,34%,17%
Has a clear vision for the country,Not too well,8%,9%,7%,8%,9%,7%,11%,10%,7%,5%,7%,7%,14%,8%,8%,8%,7%,7%,12%,7%,10%,6%,12%,3%,11%,11%,2%,15%,16%,11%
Has a clear vision for the country,Not at all well,31%,29%,31%,33%,24%,39%,16%,28%,27%,46%,31%,50%,20%,32%,31%,32%,31%,34%,33%,40%,31%,28%,60%,<1%,32%,62%,<1%,20%,23%,60%
Has a clear vision for the country,[VOL] Don't know/Refused,<1%,2%,<.5%,<1%,1%,<1%,3%,<.5%,<1%,<1%,<1%,3%,0%,<1%,1%,<1%,<1%,0%,2%,0%,2%,<1%,<1%,<1%,4%,<1%,<1%,0%,6%,<.5%
Has a clear vision for the country,NET Well,60%,60%,62%,58%,66%,54%,71%,61%,65%,48%,61%,40%,66%,60%,60%,60%,62%,59%,53%,52%,58%,65%,27%,95%,53%,26%,96%,65%,54%,29%
Has a clear vision for the country,NET Not well,39%,38%,38%,41%,33%,45%,27%,38%,34%,52%,38%,57%,34%,40%,39%,40%,37%,41%,46%,48%,40%,34%,72%,4%,42%,73%,3%,35%,40%,71%
Has a clear vision for the country,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Is honest,Very well,21%,22%,21%,20%,23%,19%,18%,17%,21%,24%,22%,9%,18%,12%,26%,12%,28%,9%,16%,12%,19%,27%,1%,44%,9%,<1%,46%,3%,11%,3%
Is honest,Somewhat well,20%,19%,20%,22%,24%,18%,22%,22%,23%,15%,21%,14%,23%,18%,21%,19%,22%,16%,20%,16%,20%,22%,2%,40%,17%,2%,40%,19%,19%,2%
Is honest,Not too well,10%,13%,10%,9%,13%,8%,18%,11%,9%,8%,10%,15%,12%,11%,10%,10%,9%,13%,13%,11%,12%,9%,8%,11%,26%,7%,9%,43%,18%,7%
Is honest,Not at all well,47%,45%,48%,49%,39%,55%,42%,48%,46%,53%,47%,60%,46%,59%,42%,58%,40%,61%,48%,62%,48%,40%,89%,5%,43%,90%,3%,35%,46%,87%
Is honest,[VOL] Don't know/Refused,<1%,2%,1%,<.5%,1%,<1%,0%,2%,1%,<.5%,<1%,2%,1%,<1%,1%,<1%,<1%,<1%,2%,<.5%,<.5%,2%,<.5%,1%,5%,<.5%,1%,0%,6%,<.5%
Is honest,NET Well,41%,41%,42%,42%,47%,37%,40%,39%,44%,39%,43%,23%,41%,30%,47%,31%,50%,25%,36%,28%,39%,49%,3%,83%,26%,3%,87%,22%,31%,6%
Is honest,NET Not well,58%,58%,57%,58%,52%,63%,60%,59%,55%,61%,56%,75%,58%,69%,52%,69%,49%,75%,62%,72%,60%,50%,96%,16%,69%,97%,12%,78%,64%,94%
Is honest,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
What one issue is most important in deciding your vote this November?,[VOL] The economy (including jobs and the stock market),22%,22%,21%,24%,27%,18%,18%,21%,26%,21%,23%,16%,24%,19%,24%,19%,25%,17%,22%,17%,23%,24%,9%,37%,19%,8%,37%,21%,26%,8%
What one issue is most important in deciding your vote this November?,[VOL] Inflation and the cost of living,5%,8%,5%,3%,5%,5%,6%,8%,5%,4%,4%,8%,7%,3%,6%,3%,5%,3%,9%,4%,6%,5%,3%,8%,3%,3%,7%,6%,7%,3%
What one issue is most important in deciding your vote this November?,[VOL] Abortion,15%,15%,14%,16%,7%,23%,23%,16%,14%,11%,15%,16%,14%,19%,13%,19%,13%,19%,13%,20%,15%,12%,27%,2%,10%,28%,2%,15%,3%,31%
What one issue is most important in deciding your vote this November?,[VOL] Immigration,13%,11%,16%,12%,15%,11%,9%,9%,13%,17%,14%,2%,12%,10%,14%,10%,16%,9%,7%,6%,13%,16%,2%,25%,2%,2%,27%,6%,2%,2%
What one issue is most important in deciding your vote this November?,[VOL] Crime,<.5%,<.5%,<1%,<.5%,<.5%,<1%,0%,1%,<.5%,0%,<.5%,1%,0%,<.5%,<.5%,<.5%,<.5%,0%,<1%,<1%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,0%,<1%,0%
What one issue is most important in deciding your vote this November?,[VOL] Gun policies,<1%,<.5%,1%,<.5%,<1%,<1%,<1%,<1%,<1%,<.5%,<1%,1%,0%,<.5%,<1%,<.5%,<1%,0%,<1%,<1%,<1%,<1%,<1%,<.5%,2%,<1%,<.5%,0%,2%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Health care,2%,<1%,3%,2%,<1%,2%,3%,1%,2%,2%,1%,7%,2%,2%,2%,2%,<1%,3%,4%,3%,2%,<1%,3%,<.5%,3%,3%,<.5%,6%,<.5%,4%
What one issue is most important in deciding your vote this November?,[VOL] Education,<1%,<1%,<1%,<1%,<1%,<1%,<1%,1%,1%,<.5%,<1%,<.5%,2%,1%,<1%,<1%,<1%,2%,1%,1%,<1%,<1%,1%,<.5%,1%,1%,<.5%,<.5%,2%,1%
What one issue is most important in deciding your vote this November?,[VOL] Foreign policy,4%,3%,3%,4%,4%,3%,5%,5%,3%,3%,3%,9%,2%,4%,3%,4%,3%,5%,6%,4%,4%,3%,2%,5%,4%,2%,5%,8%,4%,1%
What one issue is most important in deciding your vote this November?,[VOL] Russia/the war in Ukraine,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,0%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,0%,<1%,0%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] China,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] Climate change,1%,<1%,1%,1%,1%,1%,3%,2%,<.5%,<.5%,1%,0%,2%,3%,<.5%,3%,<.5%,3%,<.5%,1%,2%,<1%,2%,<.5%,0%,2%,0%,3%,<1%,2%
What one issue is most important in deciding your vote this November?,[VOL] The state of democracy/corruption,7%,6%,7%,9%,8%,7%,3%,6%,7%,10%,8%,7%,2%,11%,5%,12%,5%,8%,3%,7%,8%,7%,14%,<1%,1%,15%,<.5%,2%,3%,16%
