itm,v1,registered_voters_registered_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,[VOL] Election integrity,<1%,<1%,<1%,1%,<1%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,<1%,<1%,<1%,<.5%,<1%,<.5%,<1%,<1%,<1%,<1%,<1%,<.5%,<1%,<1%,<1%,<1%,<1%,<.5%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Equality/inequality,1%,<1%,2%,2%,1%,2%,<1%,<1%,2%,3%,2%,<1%,<1%,1%,3%,1%,1%,<1%,2%,<1%,2%,1%,2%,2%,1%,<1%,3%,<1%,<1%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Polarization/division,<.5%,<.5%,1%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,1%,0%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Racism/racial issues,<.5%,<.5%,<1%,<.5%,1%,<.5%,0%,<.5%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,1%,0%,2%,<.5%,<.5%,<.5%,<.5%,1%,<1%,<1%,<.5%,<.5%,<.5%,<.5%,2%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Dislike of opposing candidate (Trump or Biden),4%,3%,3%,6%,3%,5%,5%,5%,4%,2%,5%,4%,4%,4%,5%,2%,2%,4%,4%,4%,4%,4%,3%,4%,4%,4%,6%,3%,2%,7%
How satisfied are you with the way things are going in your life these days?,[VOL] Character/competence of candidate (Trump or Biden),6%,4%,7%,8%,6%,5%,6%,6%,5%,4%,5%,6%,7%,6%,6%,4%,6%,6%,6%,6%,6%,5%,5%,4%,7%,7%,7%,5%,4%,7%
How satisfied are you with the way things are going in your life these days?,[VOL] The Middle East/Israel/Palestinians,2%,<1%,<1%,2%,2%,2%,1%,1%,2%,4%,2%,<1%,<1%,1%,2%,2%,4%,2%,1%,2%,<1%,4%,2%,2%,2%,<1%,2%,<.5%,5%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Taxes,1%,1%,2%,<1%,1%,2%,<1%,2%,<1%,3%,1%,1%,<.5%,1%,2%,<1%,2%,<1%,2%,<.5%,2%,1%,1%,<1%,2%,1%,<1%,2%,2%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Student loans,<1%,<.5%,2%,1%,<1%,<.5%,<1%,<1%,<1%,<1%,2%,<1%,<.5%,<1%,3%,0%,<1%,1%,<1%,<1%,<.5%,3%,<1%,1%,1%,<.5%,1%,<.5%,<1%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Other (specify),8%,8%,11%,6%,11%,8%,6%,9%,8%,8%,11%,7%,9%,7%,13%,9%,7%,7%,9%,5%,8%,10%,11%,10%,8%,8%,8%,8%,12%,9%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,9%,11%,11%,10%,11%,5%,7%,8%,11%,15%,11%,6%,7%,7%,14%,15%,16%,6%,11%,5%,8%,9%,17%,10%,9%,9%,9%,8%,18%,8%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Thinking about the nation's economy, how would you rate economic conditions today?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Thinking about the nation's economy, how would you rate economic conditions today?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Thinking about the nation's economy, how would you rate economic conditions today?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Excellent,3%,4%,3%,2%,2%,2%,4%,3%,2%,1%,1%,2%,6%,3%,2%,1%,5%,5%,2%,5%,2%,4%,2%,3%,3%,2%,6%,<.5%,1%,7%
How satisfied are you with the way things are going in your life these days?,Good,18%,17%,17%,17%,15%,19%,25%,18%,19%,7%,14%,19%,28%,20%,20%,10%,16%,25%,15%,26%,16%,21%,13%,18%,20%,16%,38%,4%,5%,44%
How satisfied are you with the way things are going in your life these days?,Only fair,27%,27%,26%,29%,26%,26%,28%,27%,27%,32%,31%,25%,24%,25%,37%,27%,30%,31%,25%,29%,23%,35%,30%,30%,29%,23%,36%,19%,31%,34%
How satisfied are you with the way things are going in your life these days?,Poor,51%,52%,53%,51%,56%,52%,43%,51%,51%,59%,53%,53%,41%,51%,39%,61%,49%,39%,57%,39%,59%,39%,53%,48%,47%,57%,20%,77%,58%,14%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<1%,<.5%,2%,<1%,<1%,1%,<.5%,<1%,1%,<1%,<.5%,1%,<1%,<1%,2%,1%,<1%,<1%,<1%,<1%,<.5%,<1%,1%,1%,<.5%,1%,<.5%,<.5%,5%,<.5%
How satisfied are you with the way things are going in your life these days?,NET Excellent/good,21%,20%,20%,19%,17%,21%,29%,21%,21%,9%,15%,21%,34%,22%,22%,11%,21%,29%,16%,31%,17%,25%,15%,21%,23%,19%,44%,4%,6%,51%
How satisfied are you with the way things are going in your life these days?,NET Fair/poor,78%,79%,78%,80%,82%,78%,71%,78%,78%,91%,84%,78%,65%,77%,76%,88%,78%,70%,83%,68%,82%,75%,83%,78%,77%,80%,56%,95%,89%,48%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Always legal,37%,38%,33%,36%,43%,37%,35%,29%,45%,46%,41%,34%,31%,35%,52%,37%,37%,45%,33%,43%,30%,51%,40%,47%,40%,27%,61%,16%,36%,63%
How satisfied are you with the way things are going in your life these days?,Mostly legal,27%,26%,22%,30%,26%,29%,30%,30%,25%,27%,28%,28%,26%,29%,20%,26%,30%,26%,28%,27%,29%,24%,25%,25%,28%,28%,27%,28%,26%,25%
How satisfied are you with the way things are going in your life these days?,Mostly illegal,19%,19%,20%,17%,16%,20%,19%,22%,16%,18%,15%,19%,21%,20%,11%,17%,15%,17%,20%,18%,21%,11%,16%,16%,17%,23%,5%,31%,15%,5%
How satisfied are you with the way things are going in your life these days?,Always illegal,8%,9%,12%,7%,8%,7%,8%,7%,9%,4%,9%,8%,11%,8%,8%,12%,9%,6%,9%,6%,9%,6%,11%,6%,8%,10%,3%,13%,8%,4%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,9%,8%,12%,10%,6%,8%,8%,12%,5%,4%,7%,11%,10%,9%,9%,8%,8%,6%,10%,5%,10%,8%,8%,6%,7%,12%,3%,12%,15%,3%
How satisfied are you with the way things are going in your life these days?,NET Legal,64%,64%,56%,66%,70%,65%,65%,58%,70%,74%,69%,62%,57%,63%,72%,62%,67%,71%,61%,70%,60%,75%,65%,72%,68%,55%,88%,44%,61%,88%
How satisfied are you with the way things are going in your life these days?,NET Illegal,27%,28%,32%,24%,24%,27%,27%,29%,25%,22%,24%,27%,32%,28%,19%,30%,24%,23%,29%,25%,30%,17%,27%,21%,25%,33%,9%,43%,23%,9%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:"
How satisfied are you with the way things are going in your life these days?,(Split A)  The economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Split A)  The economy,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(Split A)  The economy,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Joe Biden,36%,34%,34%,33%,32%,42%,41%,30%,41%,25%,38%,33%,45%,33%,60%,28%,37%,48%,30%,46%,26%,54%,38%,43%,39%,27%,81%,<1%,16%,89%
How satisfied are you with the way things are going in your life these days?,Donald Trump,58%,61%,58%,60%,61%,54%,56%,65%,52%,68%,54%,61%,51%,63%,28%,66%,57%,48%,64%,51%,69%,40%,53%,50%,55%,68%,14%,98%,53%,9%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,6%,5%,8%,7%,7%,4%,4%,4%,7%,7%,8%,6%,3%,4%,13%,7%,6%,4%,6%,2%,5%,6%,9%,7%,6%,5%,5%,1%,32%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,713",276,243,240,279,410,265,880,815,307,379,526,451,"1,227",189,146,103,788,918,593,631,168,267,387,757,569,775,788,150,635
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,18%,17%,15%,18%,16%,16%,49%,50%,17%,22%,29%,27%,69%,12%,11%,6%,34%,65%,24%,44%,9%,19%,23%,41%,36%,42%,49%,9%,33%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Split A)  The Israeli-Palestinian [pah-luh-stin-ian] conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Split A)  The Israeli-Palestinian [pah-luh-stin-ian] conflict,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(Split A)  The Israeli-Palestinian [pah-luh-stin-ian] conflict,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Joe Biden,35%,33%,37%,30%,32%,42%,35%,28%,41%,28%,38%,32%,40%,33%,52%,34%,33%,45%,30%,46%,26%,45%,39%,43%,38%,26%,75%,5%,11%,83%
How satisfied are you with the way things are going in your life these days?,Donald Trump,50%,53%,47%,50%,52%,47%,51%,58%,43%,52%,44%,55%,48%,55%,21%,50%,51%,42%,55%,44%,61%,37%,40%,41%,46%,61%,8%,90%,31%,5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,15%,14%,15%,19%,16%,11%,14%,14%,16%,20%,17%,13%,12%,12%,26%,17%,16%,13%,16%,10%,13%,18%,21%,16%,16%,13%,16%,6%,58%,12%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,713",276,243,240,279,410,265,880,815,307,379,526,451,"1,227",189,146,103,788,918,593,631,168,267,387,757,569,775,788,150,635
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,18%,17%,15%,18%,16%,16%,49%,50%,17%,22%,29%,27%,69%,12%,11%,6%,34%,65%,24%,44%,9%,19%,23%,41%,36%,42%,49%,9%,33%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Split A)  Abortion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Split A)  Abortion,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(Split A)  Abortion,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Joe Biden,49%,48%,47%,47%,48%,55%,52%,44%,54%,56%,55%,43%,48%,46%,72%,48%,50%,60%,44%,58%,39%,66%,55%,59%,54%,37%,92%,15%,34%,94%
How satisfied are you with the way things are going in your life these days?,Donald Trump,38%,37%,41%,38%,39%,35%,39%,43%,33%,31%,31%,44%,42%,44%,11%,38%,29%,31%,42%,35%,48%,22%,27%,30%,33%,50%,3%,72%,20%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,13%,16%,12%,15%,13%,10%,9%,12%,13%,13%,14%,13%,10%,10%,17%,14%,21%,9%,14%,7%,12%,12%,19%,11%,12%,13%,4%,13%,46%,3%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,713",276,243,240,279,410,265,880,815,307,379,526,451,"1,227",189,146,103,788,918,593,631,168,267,387,757,569,775,788,150,635
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,18%,17%,15%,18%,16%,16%,49%,50%,17%,22%,29%,27%,69%,12%,11%,6%,34%,65%,24%,44%,9%,19%,23%,41%,36%,42%,49%,9%,33%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Crime,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Crime,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Joe Biden,42%,-,-,-,-,42%,-,32%,50%,36%,45%,39%,47%,39%,61%,51%,35%,51%,36%,52%,31%,49%,55%,54%,46%,29%,88%,1%,26%,92%
How satisfied are you with the way things are going in your life these days?,Donald Trump,51%,-,-,-,-,51%,-,62%,42%,58%,46%,53%,48%,55%,26%,49%,51%,42%,57%,43%,62%,34%,37%,35%,48%,64%,9%,94%,35%,7%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,7%,-,-,-,-,7%,-,6%,8%,6%,9%,8%,5%,6%,13%,0%,14%,7%,7%,5%,7%,18%,8%,12%,6%,7%,3%,5%,40%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,,,,,836,,472,349,125,178,275,239,686,77,12,43,437,398,365,321,60,72,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,100%,,47%,51%,15%,23%,32%,28%,79%,11%,3%,5%,38%,62%,31%,49%,6%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in Pennsylvania?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in Pennsylvania?,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in Pennsylvania?,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Major problem,51%,-,-,-,-,51%,-,47%,55%,35%,44%,54%,58%,47%,73%,44%,58%,38%,58%,36%,54%,49%,72%,63%,47%,49%,30%,67%,67%,26%
How satisfied are you with the way things are going in your life these days?,Minor problem,41%,-,-,-,-,41%,-,45%,38%,57%,45%,37%,36%,45%,22%,46%,37%,52%,36%,54%,39%,44%,23%,31%,46%,41%,61%,27%,18%,64%
How satisfied are you with the way things are going in your life these days?,Not a problem,4%,-,-,-,-,4%,-,4%,5%,4%,8%,3%,3%,5%,1%,10%,4%,6%,3%,6%,4%,5%,2%,5%,3%,6%,7%,3%,2%,7%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,4%,-,-,-,-,4%,-,5%,2%,4%,2%,5%,3%,3%,3%,0%,2%,4%,3%,4%,3%,2%,3%,<1%,5%,4%,2%,3%,13%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,,,,,836,,472,349,125,178,275,239,686,77,12,43,437,398,365,321,60,72,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,100%,,47%,51%,15%,23%,32%,28%,79%,11%,3%,5%,38%,62%,31%,49%,6%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in your local area?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in your local area?,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in your local area?,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Major problem,19%,-,-,-,-,19%,-,11%,25%,15%,18%,21%,19%,14%,46%,10%,22%,15%,20%,15%,14%,17%,42%,54%,11%,10%,16%,20%,22%,15%
How satisfied are you with the way things are going in your life these days?,Minor problem,48%,-,-,-,-,48%,-,49%,47%,46%,39%,47%,57%,52%,31%,49%,35%,50%,47%,52%,52%,44%,30%,33%,48%,56%,45%,51%,46%,44%
How satisfied are you with the way things are going in your life these days?,Not a problem,33%,-,-,-,-,33%,-,38%,28%,40%,42%,32%,23%,33%,23%,41%,44%,34%,32%,34%,33%,39%,27%,13%,40%,34%,38%,29%,29%,41%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<.5%,-,-,-,-,<.5%,-,<1%,<.5%,0%,<.5%,<.5%,<1%,<.5%,0%,0%,0%,<.5%,<.5%,0%,<.5%,0%,0%,0%,<1%,<.5%,<.5%,<.5%,3%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,,,,,836,,472,349,125,178,275,239,686,77,12,43,437,398,365,321,60,72,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,100%,,47%,51%,15%,23%,32%,28%,79%,11%,3%,5%,38%,62%,31%,49%,6%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How confident are you that your community will be relatively safe in the future?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How confident are you that your community will be relatively safe in the future?,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
