itm,v1,ohio_likely_electorate_ohio_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_cleveland_area,region_columbus_area,region_industrial_north_east,region_south_east,region_south_west,region_west_central,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,ohio_likely_electorate_1,men_1,women_5,x18_29_0,x30_44_5,x45_64_0,x65_2,white_1,black_1,oth_0,b_a_0,no_b_a_1,white_college_0,white_no_college_1,non_white_college_0,non_white_no_college_1,cleveland_area_0,columbus_area_1,industrial_north_east_1,south_east_3,south_west_0,west_central_0,city_0,suburb_1,rural_small_town_1,harris_1,trump_1,oth_2,dem_0,rep_1
Kamala [COMMA-luh] Harris,NET Favorable,46%,36%,54%,51%,43%,42%,50%,41%,79%,64%,58%,39%,57%,32%,68%,75%,49%,61%,53%,29%,45%,28%,62%,54%,30%,96%,2%,35%,98%,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,NET Unfavorable,53%,62%,45%,49%,55%,55%,49%,57%,19%,35%,41%,60%,42%,67%,31%,25%,50%,36%,44%,68%,54%,72%,36%,46%,67%,3%,97%,51%,1%,90%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JD Vance,Very favorable,25%,31%,20%,17%,18%,31%,27%,28%,6%,12%,18%,30%,19%,34%,10%,8%,23%,12%,25%,36%,30%,29%,20%,24%,29%,1%,49%,0%,2%,52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JD Vance,Somewhat favorable,20%,20%,20%,26%,21%,18%,19%,21%,8%,19%,17%,21%,18%,23%,14%,13%,23%,16%,19%,15%,19%,25%,8%,19%,26%,2%,36%,14%,2%,31%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JD Vance,Somewhat unfavorable,8%,10%,7%,9%,10%,10%,5%,8%,13%,4%,8%,9%,8%,8%,7%,10%,6%,7%,7%,12%,9%,12%,7%,7%,11%,9%,5%,29%,8%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JD Vance,Very unfavorable,39%,32%,45%,38%,41%,36%,43%,36%,61%,52%,53%,31%,51%,27%,65%,51%,43%,52%,43%,29%,35%,28%,54%,46%,26%,80%,2%,45%,81%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JD Vance,[VOL] Have not heard of,2%,3%,2%,5%,4%,2%,<1%,2%,12%,3%,1%,3%,<1%,2%,4%,10%,1%,5%,2%,3%,3%,2%,4%,2%,3%,2%,3%,1%,2%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JD Vance,[VOL] Don't know/Refused,5%,4%,6%,5%,7%,3%,6%,5%,0%,10%,4%,6%,4%,6%,0%,7%,3%,8%,4%,4%,5%,5%,7%,3%,6%,5%,5%,11%,5%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JD Vance,NET Favorable,45%,51%,40%,43%,39%,49%,46%,49%,14%,31%,35%,51%,37%,57%,24%,22%,46%,28%,44%,52%,49%,54%,28%,43%,54%,3%,85%,14%,4%,83%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JD Vance,NET Unfavorable,47%,42%,52%,47%,50%,46%,48%,44%,74%,56%,60%,40%,58%,35%,73%,61%,49%,59%,50%,40%,44%,40%,61%,52%,37%,90%,7%,74%,89%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JD Vance,Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Walz [walls],Very favorable,26%,22%,30%,26%,29%,21%,30%,25%,34%,36%,38%,19%,36%,18%,50%,27%,30%,35%,29%,17%,23%,17%,36%,32%,16%,57%,1%,4%,66%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Walz [walls],Somewhat favorable,15%,13%,17%,19%,16%,16%,12%,15%,18%,16%,19%,13%,20%,12%,16%,18%,12%,21%,14%,16%,19%,8%,16%,16%,14%,24%,7%,24%,14%,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Walz [walls],Somewhat unfavorable,9%,9%,9%,10%,12%,9%,8%,8%,24%,8%,9%,9%,9%,7%,13%,18%,7%,9%,12%,7%,10%,7%,9%,9%,10%,4%,13%,13%,5%,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Walz [walls],Very unfavorable,33%,43%,25%,31%,30%,34%,33%,36%,7%,21%,23%,39%,25%,43%,10%,15%,31%,21%,25%,46%,33%,50%,23%,26%,45%,2%,62%,21%,2%,56%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Walz [walls],[VOL] Have not heard of,8%,7%,8%,7%,5%,8%,10%,7%,14%,5%,4%,10%,4%,9%,6%,11%,11%,9%,10%,3%,6%,7%,8%,7%,8%,6%,8%,19%,8%,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Walz [walls],[VOL] Don't know/Refused,9%,6%,12%,8%,8%,11%,8%,9%,4%,14%,7%,10%,6%,10%,5%,11%,9%,4%,10%,12%,8%,11%,8%,10%,8%,7%,9%,20%,6%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Walz [walls],NET Favorable,41%,35%,47%,44%,45%,37%,42%,40%,52%,52%,57%,32%,56%,30%,66%,44%,42%,57%,43%,32%,43%,25%,52%,48%,29%,81%,8%,27%,80%,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Walz [walls],NET Unfavorable,42%,53%,33%,41%,42%,43%,40%,44%,31%,29%,32%,48%,34%,51%,23%,34%,38%,30%,37%,53%,43%,57%,32%,35%,55%,6%,75%,34%,6%,68%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Walz [walls],Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] The economy (including jobs and the stock market),28%,34%,24%,20%,26%,34%,27%,30%,19%,16%,24%,31%,22%,34%,30%,10%,31%,18%,27%,38%,31%,30%,31%,23%,32%,12%,44%,11%,12%,44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Abortion,19%,8%,28%,25%,23%,15%,16%,17%,29%,31%,21%,18%,18%,16%,34%,28%,17%,25%,16%,13%,21%,17%,24%,19%,16%,35%,5%,14%,38%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Immigration,15%,18%,12%,7%,10%,17%,20%,17%,2%,9%,11%,17%,13%,20%,5%,6%,11%,11%,12%,16%,15%,23%,6%,14%,18%,3%,26%,3%,5%,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] The state of democracy/corruption,6%,8%,4%,<1%,5%,7%,7%,5%,6%,13%,11%,2%,11%,2%,14%,7%,8%,9%,8%,5%,4%,<1%,7%,8%,3%,13%,<.5%,0%,12%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Character/competence of candidate,5%,5%,6%,<1%,4%,6%,8%,5%,10%,4%,7%,4%,8%,3%,5%,9%,6%,2%,9%,8%,4%,5%,7%,6%,4%,10%,1%,4%,10%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Inflation and the cost of living,5%,5%,3%,15%,2%,4%,3%,3%,12%,2%,1%,6%,2%,5%,<.5%,12%,2%,2%,8%,2%,4%,7%,5%,4%,5%,3%,6%,8%,2%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Foreign policy,4%,5%,4%,5%,4%,3%,4%,4%,2%,11%,3%,5%,3%,4%,3%,8%,7%,3%,4%,1%,6%,2%,2%,6%,2%,1%,5%,13%,<1%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Dislike of opposing candidate,2%,3%,1%,<1%,2%,2%,2%,2%,2%,<.5%,3%,1%,3%,1%,0%,2%,4%,2%,<1%,3%,2%,<1%,2%,2%,2%,3%,1%,0%,4%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Equality/inequality,2%,1%,2%,3%,2%,1%,1%,2%,0%,0%,3%,<1%,3%,<1%,0%,0%,<1%,3%,2%,<.5%,1%,2%,4%,1%,1%,2%,2%,0%,1%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Polarization/division,1%,0%,2%,0%,<.5%,2%,1%,1%,4%,0%,1%,1%,<1%,1%,3%,2%,<.5%,1%,1%,0%,<.5%,4%,<1%,1%,2%,2%,0%,6%,2%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Taxes,1%,<1%,1%,<1%,3%,0%,1%,<1%,2%,2%,1%,1%,2%,<.5%,<1%,3%,2%,3%,0%,2%,<.5%,1%,<1%,<.5%,2%,<1%,2%,0%,1%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Climate change,1%,<1%,<1%,3%,2%,0%,<.5%,1%,0%,0%,2%,<.5%,3%,<.5%,0%,0%,1%,3%,<1%,0%,0%,<1%,1%,2%,<.5%,2%,0%,0%,3%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Gun policies,<1%,1%,<1%,4%,2%,0%,<.5%,1%,0%,1%,0%,2%,0%,2%,0%,<1%,0%,2%,0%,0%,3%,<.5%,0%,1%,1%,0%,2%,0%,0%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] The Middle East/Israel/Palestinians,<1%,<1%,1%,3%,2%,<.5%,0%,1%,0%,<1%,1%,<1%,2%,<1%,<1%,0%,<1%,<1%,<.5%,2%,1%,1%,2%,<.5%,1%,<1%,<.5%,10%,<.5%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Crime,<1%,2%,0%,0%,<1%,<1%,1%,<1%,0%,4%,<.5%,<1%,<.5%,<1%,0%,3%,2%,0%,0%,4%,0%,<1%,0%,<1%,1%,1%,<.5%,0%,1%,<.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Health care,<.5%,<.5%,<.5%,1%,1%,0%,<.5%,<.5%,2%,0%,<1%,<.5%,<1%,<.5%,2%,0%,0%,2%,<.5%,0%,<.5%,0%,<1%,<1%,<.5%,<1%,0%,2%,<.5%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Racism/racial issues,<.5%,<.5%,<.5%,<1%,<1%,<.5%,0%,<.5%,0%,0%,0%,<1%,0%,<1%,0%,0%,<1%,<.5%,1%,0%,0%,0%,<.5%,<.5%,<1%,<1%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Election integrity,<.5%,<.5%,0%,0%,0%,0%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,<1%,0%,0%,0%,0%,0%,<.5%,0%,0%,3%,0%,<.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Russia/the war in Ukraine,<.5%,<.5%,0%,0%,<1%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,0%,<1%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Student loans,<.5%,0%,<.5%,1%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,<1%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Education,<.5%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] China,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,"[VOL] Other, specify",4%,5%,3%,4%,4%,5%,2%,4%,3%,6%,5%,3%,5%,3%,2%,5%,5%,9%,4%,2%,2%,<.5%,6%,5%,2%,5%,3%,3%,5%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Don't know/Refused,4%,2%,6%,5%,3%,2%,5%,4%,5%,0%,2%,5%,2%,5%,0%,4%,2%,3%,5%,4%,4%,4%,0%,3%,6%,3%,2%,23%,2%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,"Kamala [COMMA-luh] Harris, the Democrat",43%,33%,52%,49%,45%,40%,44%,40%,76%,59%,56%,36%,55%,30%,64%,69%,46%,55%,49%,25%,42%,32%,60%,51%,27%,95%,1%,13%,95%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",51%,60%,43%,43%,47%,55%,51%,56%,22%,26%,38%,59%,40%,66%,27%,23%,50%,38%,43%,63%,54%,64%,34%,44%,65%,2%,99%,12%,2%,92%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,3%,2%,3%,2%,3%,4%,3%,2%,0%,5%,3%,2%,2%,2%,6%,<1%,2%,4%,4%,7%,1%,2%,<.5%,2%,6%,1%,<.5%,40%,0%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Someone else; specify,<1%,1%,<.5%,0%,2%,<1%,0%,<1%,2%,0%,2%,0%,2%,0%,2%,0%,0%,<1%,0%,2%,2%,0%,2%,<1%,0%,<.5%,0%,9%,<.5%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,2%,3%,2%,6%,4%,<.5%,2%,2%,1%,10%,2%,3%,2%,1%,2%,7%,2%,1%,4%,3%,2%,2%,4%,3%,2%,2%,<.5%,26%,2%,<.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Always legal,33%,26%,39%,38%,36%,32%,29%,32%,41%,39%,40%,29%,37%,29%,57%,31%,34%,37%,31%,30%,35%,29%,44%,35%,26%,58%,10%,40%,64%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Mostly legal,30%,28%,30%,32%,28%,27%,33%,29%,40%,26%,30%,28%,33%,26%,20%,41%,38%,31%,30%,23%,33%,19%,23%,35%,26%,30%,29%,31%,26%,27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Mostly illegal,22%,25%,21%,20%,22%,20%,27%,24%,5%,21%,20%,24%,20%,27%,18%,9%,13%,20%,24%,29%,17%,36%,16%,16%,32%,6%,37%,15%,4%,39%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Always illegal,6%,7%,5%,5%,4%,11%,3%,7%,5%,0%,4%,7%,4%,9%,2%,3%,7%,5%,2%,12%,7%,8%,6%,5%,7%,<1%,11%,7%,<.5%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",[VOL] Don't know/Refused,9%,14%,5%,6%,10%,9%,9%,8%,9%,14%,5%,11%,5%,9%,3%,17%,7%,8%,14%,7%,9%,8%,12%,9%,9%,5%,13%,7%,5%,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",NET Legal,62%,54%,69%,69%,63%,59%,62%,61%,81%,65%,71%,58%,70%,55%,77%,72%,73%,67%,61%,53%,68%,48%,67%,71%,52%,88%,39%,71%,90%,39%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",NET Illegal,28%,32%,26%,24%,26%,32%,29%,31%,9%,21%,24%,32%,24%,36%,20%,12%,20%,25%,26%,40%,24%,44%,22%,21%,39%,7%,48%,21%,5%,50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Strongly favor,47%,37%,55%,72%,60%,39%,36%,48%,36%,56%,61%,39%,63%,38%,49%,44%,42%,61%,42%,30%,56%,41%,52%,51%,41%,77%,23%,31%,77%,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Somewhat favor,18%,19%,18%,15%,16%,19%,20%,18%,22%,20%,18%,19%,15%,19%,27%,17%,23%,16%,15%,9%,21%,21%,15%,19%,19%,11%,23%,34%,9%,25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Somewhat oppose,8%,8%,9%,4%,5%,10%,10%,9%,8%,4%,6%,10%,6%,11%,4%,7%,6%,6%,11%,19%,5%,7%,7%,6%,11%,3%,13%,4%,3%,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
