itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,region_maricopa_county,region_north_east,region_pima_county,region_west,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,party_reg_dem,party_reg_rep,party_reg_oth,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na,na_2
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Someone else; specify,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,2%,2%,1%,1%,2%,2%,2%,1%,<.5%,3%,2%,1%,1%,4%,2%,0%,2%,0%,27%,1%,<.5%,2%,3%,<1%,2%,1%,0%,3%,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares
The economy,Kamala Harris,41%,34%,47%,40%,37%,38%,45%,33%,53%,57%,43%,39%,41%,48%,49%,20%,88%,<.5%,8%,90%,6%,35%,87%,6%,36%,83%,2%,30%,NA,NA
The economy,Donald Trump,56%,63%,50%,57%,60%,60%,52%,65%,44%,35%,54%,58%,56%,49%,47%,78%,9%,99%,43%,7%,93%,62%,8%,93%,60%,13%,97%,67%,NA,NA
The economy,[VOL] Don’t know/Refused,3%,3%,3%,3%,3%,3%,4%,2%,3%,7%,3%,3%,3%,4%,4%,2%,3%,<.5%,49%,3%,<1%,3%,4%,1%,4%,4%,<.5%,3%,NA,NA
The economy,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares
Abortion,Kamala Harris,55%,50%,59%,67%,57%,52%,51%,45%,72%,74%,59%,52%,55%,57%,63%,39%,99%,16%,35%,98%,16%,56%,95%,18%,60%,95%,15%,53%,NA,NA
Abortion,Donald Trump,40%,44%,36%,28%,37%,42%,43%,50%,26%,17%,36%,42%,39%,38%,31%,57%,<1%,76%,9%,1%,78%,36%,3%,75%,32%,5%,78%,36%,NA,NA
Abortion,[VOL] Don’t know/Refused,6%,6%,5%,5%,6%,7%,6%,5%,2%,9%,6%,6%,6%,5%,6%,5%,<.5%,8%,56%,<1%,6%,8%,2%,7%,8%,<1%,7%,11%,NA,NA
Abortion,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares
Immigration,Kamala Harris,42%,34%,50%,50%,40%,39%,43%,34%,55%,61%,46%,40%,44%,48%,47%,21%,90%,1%,13%,93%,6%,38%,88%,7%,39%,84%,2%,38%,NA,NA
Immigration,Donald Trump,55%,64%,48%,47%,57%,59%,54%,64%,43%,34%,51%,58%,54%,49%,50%,78%,9%,98%,34%,6%,93%,60%,9%,92%,56%,14%,97%,57%,NA,NA
Immigration,[VOL] Don’t know/Refused,2%,2%,2%,3%,3%,2%,3%,1%,2%,5%,3%,2%,3%,3%,3%,1%,<1%,1%,53%,1%,1%,2%,2%,<.5%,5%,2%,<1%,5%,NA,NA
Immigration,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares
Democracy,Kamala Harris,48%,40%,55%,52%,49%,46%,47%,39%,63%,69%,53%,45%,48%,53%,56%,29%,98%,4%,26%,96%,10%,46%,93%,9%,50%,92%,6%,40%,NA,NA
Democracy,Donald Trump,49%,55%,43%,43%,46%,51%,50%,58%,34%,27%,43%,52%,49%,43%,40%,67%,2%,93%,21%,3%,88%,51%,5%,89%,44%,8%,92%,47%,NA,NA
Democracy,[VOL] Don’t know/Refused,3%,4%,2%,5%,5%,4%,2%,3%,3%,5%,4%,3%,3%,4%,4%,5%,<1%,3%,53%,1%,2%,3%,3%,2%,6%,<.5%,2%,13%,NA,NA
Democracy,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares
Helping the working class,Kamala Harris,48%,39%,56%,57%,45%,45%,48%,39%,63%,67%,52%,45%,48%,52%,57%,28%,97%,5%,19%,95%,9%,48%,93%,9%,49%,92%,6%,42%,NA,NA
Helping the working class,Donald Trump,49%,58%,42%,41%,50%,52%,50%,59%,35%,27%,43%,53%,49%,45%,39%,68%,2%,93%,25%,4%,90%,49%,5%,89%,45%,7%,93%,51%,NA,NA
Helping the working class,[VOL] Don’t know/Refused,3%,4%,2%,3%,5%,3%,2%,2%,2%,6%,5%,2%,3%,3%,4%,4%,1%,2%,56%,1%,<1%,3%,2%,2%,6%,1%,1%,6%,NA,NA
Helping the working class,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares
Helping people like you,Kamala Harris,45%,36%,54%,51%,42%,43%,46%,37%,59%,65%,48%,44%,45%,53%,53%,23%,95%,2%,11%,96%,7%,42%,92%,7%,45%,88%,4%,43%,NA,NA
Helping people like you,Donald Trump,51%,60%,43%,44%,51%,54%,51%,61%,37%,27%,47%,53%,51%,43%,39%,71%,3%,96%,17%,3%,92%,53%,5%,91%,47%,9%,94%,48%,NA,NA
Helping people like you,[VOL] Don’t know/Refused,4%,5%,3%,5%,7%,3%,3%,3%,4%,8%,5%,3%,3%,4%,7%,5%,2%,2%,72%,2%,1%,5%,3%,1%,9%,3%,2%,9%,NA,NA
Helping people like you,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares
What single news source do you turn to most often?,[VOL] Social media,18%,20%,17%,40%,30%,17%,5%,17%,26%,18%,17%,19%,19%,8%,25%,19%,15%,22%,10%,14%,16%,24%,13%,17%,26%,16%,17%,32%,NA,NA
What single news source do you turn to most often?,[VOL] Fox News,12%,13%,11%,5%,5%,9%,21%,15%,5%,6%,11%,12%,11%,18%,4%,19%,1%,21%,5%,1%,29%,5%,1%,26%,4%,<1%,24%,8%,NA,NA
What single news source do you turn to most often?,"[VOL] National television networks, like CBS, NBC or ABC",10%,8%,12%,5%,6%,10%,14%,11%,9%,9%,9%,10%,9%,18%,10%,7%,13%,7%,6%,12%,8%,11%,13%,7%,10%,13%,8%,7%,NA,NA
What single news source do you turn to most often?,[VOL] CNN,9%,8%,10%,8%,5%,12%,8%,7%,12%,13%,8%,9%,9%,7%,11%,5%,13%,4%,28%,15%,4%,9%,15%,4%,8%,15%,3%,10%,NA,NA
What single news source do you turn to most often?,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",7%,8%,7%,9%,7%,7%,8%,8%,3%,7%,12%,5%,8%,5%,7%,6%,11%,5%,4%,11%,5%,7%,11%,5%,7%,10%,5%,4%,NA,NA
What single news source do you turn to most often?,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",5%,2%,7%,6%,5%,5%,4%,4%,8%,4%,2%,6%,6%,2%,3%,5%,6%,4%,0%,8%,2%,5%,6%,2%,7%,7%,3%,4%,NA,NA
What single news source do you turn to most often?,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",5%,5%,5%,7%,7%,3%,4%,5%,3%,8%,4%,5%,5%,4%,4%,4%,5%,4%,6%,6%,5%,5%,5%,4%,5%,6%,4%,4%,NA,NA
What single news source do you turn to most often?,[VOL] Newsmax,4%,4%,4%,0%,0%,5%,7%,5%,2%,0%,1%,5%,3%,4%,5%,5%,0%,7%,0%,0%,8%,3%,<.5%,7%,3%,0%,8%,<1%,NA,NA
What single news source do you turn to most often?,[VOL] MSNBC,4%,3%,4%,<1%,0%,3%,7%,3%,5%,5%,4%,3%,3%,3%,6%,2%,8%,0%,0%,8%,1%,3%,9%,<1%,2%,8%,0%,<1%,NA,NA
What single news source do you turn to most often?,[VOL] Public Radio/NPR/PBS,3%,3%,4%,<1%,6%,3%,3%,3%,4%,2%,5%,2%,3%,2%,6%,3%,6%,<1%,0%,7%,2%,2%,6%,2%,2%,7%,<1%,2%,NA,NA
What single news source do you turn to most often?,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",2%,2%,3%,1%,4%,2%,1%,3%,<1%,2%,4%,1%,2%,3%,3%,0%,4%,<1%,2%,3%,<1%,2%,3%,<1%,3%,3%,<1%,3%,NA,NA
What single news source do you turn to most often?,[VOL] Conservative news sites,2%,2%,1%,<1%,1%,2%,2%,2%,1%,0%,<.5%,3%,2%,0%,0%,5%,0%,3%,0%,0%,2%,2%,0%,2%,2%,0%,4%,<1%,NA,NA
What single news source do you turn to most often?,[VOL] Talk radio/conservative personality,1%,2%,<1%,0%,<1%,2%,2%,2%,0%,0%,<.5%,2%,1%,2%,0%,3%,0%,3%,0%,0%,3%,1%,0%,3%,<1%,0%,3%,0%,NA,NA
What single news source do you turn to most often?,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<.5%,<1%,<.5%,0%,<1%,<1%,<.5%,<.5%,<1%,1%,<1%,<.5%,<.5%,1%,<1%,0%,<1%,0%,4%,0%,0%,<1%,<1%,0%,<1%,1%,0%,0%,NA,NA
What single news source do you turn to most often?,[VOL] Friends and family,<.5%,<.5%,<.5%,0%,<1%,<.5%,0%,<.5%,0%,<1%,<.5%,<.5%,<.5%,0%,0%,<1%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,NA,NA
What single news source do you turn to most often?,[VOL] Local print or online news organizations,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,0%,<1%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,NA,NA
What single news source do you turn to most often?,[VOL] Doesn’t consume news,3%,3%,3%,3%,3%,4%,2%,2%,2%,5%,2%,3%,2%,3%,4%,4%,2%,4%,2%,<1%,4%,3%,<1%,3%,5%,1%,4%,6%,NA,NA
What single news source do you turn to most often?,[VOL] Other (includes no preference and the internet),10%,12%,8%,11%,12%,10%,9%,8%,12%,15%,13%,9%,10%,15%,6%,10%,9%,11%,17%,10%,7%,12%,12%,10%,8%,9%,10%,9%,NA,NA
What single news source do you turn to most often?,[VOL] Don't know/Refused,5%,5%,5%,3%,7%,5%,4%,5%,3%,5%,6%,4%,5%,4%,5%,5%,5%,4%,16%,4%,3%,5%,3%,5%,6%,3%,5%,8%,NA,NA
What single news source do you turn to most often?,Number of respondents,745,358,382,128,155,218,214,488,130,107,326,414,433,98,113,101,346,372,27,203,221,276,228,259,258,293,280,147,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very liberal,10%,11%,9%,14%,11%,9%,10%,8%,12%,17%,15%,7%,10%,14%,13%,7%,20%,1%,13%,25%,<1%,6%,23%,<.5%,10%,21%,<1%,4%,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat liberal,11%,7%,15%,13%,9%,9%,14%,10%,16%,11%,10%,12%,10%,12%,12%,12%,20%,3%,0%,24%,4%,8%,23%,3%,8%,19%,3%,9%,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Moderate,39%,38%,41%,38%,50%,42%,28%,38%,37%,44%,42%,37%,42%,36%,42%,25%,48%,32%,35%,38%,22%,57%,41%,28%,51%,46%,29%,50%,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat conservative,19%,19%,19%,18%,18%,23%,18%,21%,20%,14%,16%,22%,20%,18%,16%,20%,8%,30%,4%,8%,31%,18%,9%,29%,18%,8%,31%,21%,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very conservative,18%,22%,14%,17%,8%,16%,26%,21%,12%,10%,15%,20%,16%,17%,16%,33%,3%,32%,15%,3%,41%,10%,3%,37%,9%,5%,35%,10%,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",[VOL] Don't know/Refused,3%,3%,2%,1%,4%,1%,4%,2%,4%,4%,3%,3%,3%,3%,1%,3%,2%,2%,33%,2%,1%,2%,2%,2%,4%,1%,1%,7%,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Number of respondents,745,358,382,128,155,218,214,488,130,107,326,414,433,98,113,101,346,372,27,203,221,276,228,259,258,293,280,147,NA,NA
Which of the following general income categories is your total household income before taxes?,"Under $25,000",7%,5%,9%,13%,4%,4%,11%,7%,11%,5%,3%,10%,5%,9%,11%,12%,7%,8%,3%,9%,8%,7%,7%,7%,9%,6%,7%,11%,NA,NA
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",14%,13%,15%,29%,8%,9%,17%,14%,20%,10%,10%,17%,10%,24%,19%,17%,16%,13%,7%,15%,12%,14%,16%,14%,13%,13%,14%,18%,NA,NA
Which of the following general income categories is your total household income before taxes?,"At least $50,000 but under $100,000",32%,29%,35%,29%,43%,28%,33%,31%,36%,33%,31%,33%,30%,36%,33%,39%,34%,31%,31%,38%,33%,28%,35%,29%,33%,34%,31%,29%,NA,NA
Which of the following general income categories is your total household income before taxes?,"At least $100,000 but under $200,000",28%,30%,26%,15%,30%,32%,26%,28%,23%,33%,32%,25%,33%,17%,20%,21%,27%,28%,19%,23%,30%,29%,24%,30%,29%,31%,28%,19%,NA,NA
Which of the following general income categories is your total household income before taxes?,"$200,000 or more",11%,15%,8%,7%,12%,19%,5%,13%,7%,10%,17%,8%,14%,10%,8%,6%,11%,12%,12%,8%,11%,14%,10%,11%,14%,12%,12%,10%,NA,NA
Which of the following general income categories is your total household income before taxes?,[VOL] Refused,7%,7%,7%,7%,3%,6%,7%,7%,3%,8%,7%,6%,8%,4%,9%,6%,5%,8%,28%,7%,7%,8%,8%,10%,3%,4%,8%,12%,NA,NA
Which of the following general income categories is your total household income before taxes?,Number of respondents,745,358,382,128,155,218,214,488,130,107,326,414,433,98,113,101,346,372,27,203,221,276,228,259,258,293,280,147,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Catholic,18%,17%,18%,17%,13%,19%,19%,12%,44%,9%,13%,21%,19%,18%,21%,8%,20%,16%,5%,20%,18%,16%,20%,17%,16%,20%,14%,27%,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Protestant/Christian,36%,34%,38%,25%,28%,46%,37%,41%,21%,31%,34%,37%,34%,34%,35%,49%,22%,48%,42%,23%,50%,36%,24%,52%,27%,23%,53%,22%,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Mormon/Latter-day Saints,5%,3%,6%,8%,3%,1%,7%,6%,<1%,4%,5%,4%,5%,2%,1%,7%,<1%,8%,0%,1%,10%,2%,1%,9%,2%,<1%,8%,5%,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Jewish,2%,2%,2%,2%,2%,0%,4%,3%,0%,3%,4%,1%,2%,1%,5%,0%,3%,2%,0%,3%,<.5%,4%,2%,1%,3%,3%,1%,1%,NA,NA
