itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
Do you think Joe Biden has the personality and temperament to be an effective president?,[VOL] Don’t know/Refused,2%,2%,1%,3%,<1%,1%,3%,1%,3%,4%,4%,2%,2%,<1%,1%,3%,4%,3%,2%,<1%,2%,2%,2%,2%,2%,<1%,7%,2%,<1%,3%
Do you think Joe Biden has the personality and temperament to be an effective president?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
Do you think Donald Trump has the personality and temperament to be an effective president?,Yes,44%,48%,41%,34%,40%,48%,47%,51%,21%,39%,27%,36%,50%,40%,59%,23%,33%,43%,38%,50%,43%,30%,40%,57%,5%,84%,26%,8%,85%,38%
Do you think Donald Trump has the personality and temperament to be an effective president?,No,54%,51%,57%,64%,59%,50%,53%,48%,77%,60%,70%,63%,48%,59%,40%,74%,66%,56%,61%,49%,54%,68%,59%,42%,94%,15%,67%,92%,14%,58%
Do you think Donald Trump has the personality and temperament to be an effective president?,[VOL] Don’t know/Refused,1%,<1%,2%,3%,<1%,2%,<1%,1%,2%,1%,3%,1%,2%,<1%,2%,3%,1%,<1%,1%,1%,2%,2%,1%,1%,<.5%,2%,7%,<1%,<.5%,3%
Do you think Donald Trump has the personality and temperament to be an effective president?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Donald Trump has committed serious federal crimes,55%,54%,57%,74%,58%,51%,54%,47%,85%,69%,69%,61%,52%,56%,41%,76%,75%,56%,58%,51%,59%,71%,59%,42%,96%,15%,75%,95%,16%,59%
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Donald Trump has not committed serious federal crimes,39%,41%,38%,17%,37%,43%,42%,48%,12%,18%,20%,33%,43%,39%,55%,16%,16%,40%,35%,44%,33%,20%,35%,53%,3%,77%,9%,3%,80%,33%
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",[VOL] Don't know/Refused,6%,6%,5%,10%,5%,6%,4%,5%,3%,13%,11%,6%,6%,5%,4%,8%,9%,4%,6%,5%,8%,8%,5%,5%,2%,8%,16%,3%,5%,8%
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",Strongly approve,42%,41%,43%,46%,44%,37%,46%,37%,65%,40%,59%,52%,35%,47%,29%,65%,48%,44%,47%,36%,45%,53%,46%,31%,83%,3%,46%,82%,6%,42%
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",Somewhat approve,6%,6%,5%,13%,9%,4%,3%,5%,6%,5%,10%,7%,4%,6%,5%,10%,4%,6%,7%,7%,3%,7%,4%,7%,5%,5%,15%,6%,5%,7%
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",Somewhat disapprove,4%,5%,3%,<1%,5%,6%,2%,5%,2%,1%,1%,3%,5%,3%,6%,<.5%,2%,5%,3%,4%,4%,2%,5%,4%,0%,8%,<1%,0%,6%,6%
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",Strongly disapprove,29%,29%,30%,10%,24%,33%,36%,35%,11%,19%,12%,24%,33%,28%,41%,13%,15%,25%,30%,34%,24%,17%,29%,36%,2%,58%,10%,2%,64%,21%
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",Have not heard enough to say,17%,17%,17%,29%,15%,18%,11%,15%,15%,32%,15%,11%,21%,11%,18%,10%,28%,17%,13%,16%,22%,18%,13%,20%,9%,23%,20%,11%,17%,21%
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",[VOL] Don't know/Refused,2%,2%,2%,1%,3%,2%,2%,2%,1%,3%,3%,3%,2%,3%,1%,2%,3%,3%,<1%,2%,3%,3%,2%,2%,<1%,3%,7%,0%,2%,4%
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",NET Approve,48%,47%,49%,59%,53%,41%,50%,42%,71%,45%,69%,59%,40%,54%,34%,75%,52%,50%,54%,44%,47%,60%,51%,38%,89%,8%,62%,88%,11%,49%
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",NET Disapprove,33%,34%,32%,11%,29%,39%,38%,40%,13%,20%,13%,27%,37%,32%,47%,13%,17%,31%,33%,38%,28%,19%,34%,40%,2%,66%,11%,2%,70%,26%
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Did Donald Trump’s conviction in the Manhattan hush money trial make you more likely to support him or less likely to support him, or did it make no difference in your support for him?",More likely to support him,11%,14%,9%,6%,10%,14%,11%,13%,5%,10%,10%,10%,12%,11%,14%,7%,9%,9%,10%,12%,14%,7%,11%,14%,<.5%,24%,2%,<1%,21%,12%
"Did Donald Trump’s conviction in the Manhattan hush money trial make you more likely to support him or less likely to support him, or did it make no difference in your support for him?",Less likely to support him,19%,17%,20%,39%,12%,15%,20%,15%,21%,26%,32%,17%,20%,14%,16%,25%,27%,19%,21%,16%,21%,27%,17%,17%,34%,4%,29%,31%,4%,21%
"Did Donald Trump’s conviction in the Manhattan hush money trial make you more likely to support him or less likely to support him, or did it make no difference in your support for him?",Made no difference in support for him,68%,67%,70%,53%,78%,69%,67%,70%,73%,59%,59%,72%,65%,74%,68%,67%,62%,70%,68%,69%,64%,64%,71%,67%,66%,71%,62%,67%,74%,66%
"Did Donald Trump’s conviction in the Manhattan hush money trial make you more likely to support him or less likely to support him, or did it make no difference in your support for him?",[VOL] Don't know/Refused,2%,2%,<1%,2%,<1%,2%,2%,1%,<1%,4%,0%,<1%,2%,<1%,2%,<.5%,3%,2%,<1%,2%,1%,2%,1%,2%,<1%,1%,8%,<1%,1%,2%
"Did Donald Trump’s conviction in the Manhattan hush money trial make you more likely to support him or less likely to support him, or did it make no difference in your support for him?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he was able to get a fair and impartial trial?",Yes,49%,49%,48%,59%,52%,43%,51%,42%,76%,55%,66%,57%,43%,51%,35%,75%,61%,49%,55%,43%,52%,63%,52%,38%,90%,9%,58%,88%,10%,52%
"Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he was able to get a fair and impartial trial?",No,45%,45%,45%,30%,41%,53%,44%,53%,18%,29%,28%,38%,50%,44%,60%,21%,27%,45%,39%,51%,42%,25%,43%,58%,5%,86%,22%,6%,86%,41%
"Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he was able to get a fair and impartial trial?",[VOL] Don't know/Refused,6%,6%,7%,11%,7%,4%,5%,5%,6%,16%,6%,5%,7%,5%,5%,4%,13%,6%,5%,7%,6%,13%,5%,4%,5%,5%,20%,6%,4%,7%
"Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he was able to get a fair and impartial trial?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",The charges against Donald Trump are mostly politically motivated.,49%,52%,47%,36%,48%,56%,48%,57%,28%,38%,29%,42%,55%,46%,65%,28%,34%,49%,41%,56%,47%,33%,48%,60%,8%,92%,23%,10%,91%,44%
"Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",Donald Trump was charged mostly because prosecutors believed he committed crimes.,47%,44%,50%,59%,50%,42%,48%,41%,69%,48%,66%,55%,42%,51%,34%,67%,57%,50%,55%,41%,47%,61%,50%,37%,88%,7%,64%,86%,7%,52%
"Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,3%,3%,3%,5%,2%,2%,5%,2%,3%,14%,5%,3%,4%,3%,1%,5%,9%,<1%,4%,3%,6%,6%,3%,3%,4%,2%,13%,4%,2%,4%
"Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Should Donald Trump be sentenced to prison in the Manhattan hush money case, or should he not be sentenced to prison?",Donald Trump should be sentenced to prison.,37%,31%,42%,46%,39%,31%,39%,31%,56%,53%,42%,39%,35%,34%,28%,52%,51%,40%,40%,30%,41%,46%,39%,29%,69%,5%,46%,72%,4%,36%
"Should Donald Trump be sentenced to prison in the Manhattan hush money case, or should he not be sentenced to prison?",Donald Trump should NOT be sentenced to prison.,55%,62%,50%,42%,53%,61%,55%,63%,36%,30%,48%,51%,58%,56%,68%,38%,36%,52%,55%,61%,49%,43%,53%,64%,21%,90%,32%,20%,91%,54%
"Should Donald Trump be sentenced to prison in the Manhattan hush money case, or should he not be sentenced to prison?",[VOL] Don't know/Refused,8%,7%,9%,12%,8%,8%,6%,7%,7%,17%,10%,10%,7%,9%,4%,10%,13%,8%,6%,9%,9%,10%,8%,7%,9%,4%,23%,8%,4%,10%
"Should Donald Trump be sentenced to prison in the Manhattan hush money case, or should he not be sentenced to prison?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very liberal,11%,10%,11%,23%,16%,7%,8%,10%,16%,9%,12%,15%,8%,14%,8%,17%,10%,14%,16%,7%,10%,18%,12%,6%,24%,<1%,2%,27%,<1%,6%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat liberal,12%,11%,13%,21%,12%,9%,12%,11%,20%,11%,17%,15%,10%,14%,8%,17%,16%,14%,15%,9%,14%,12%,15%,9%,21%,5%,6%,25%,3%,11%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Moderate,36%,36%,36%,37%,35%,37%,37%,34%,39%,41%,42%,39%,34%,38%,31%,39%,42%,36%,33%,37%,36%,39%,38%,32%,41%,28%,57%,33%,22%,54%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat conservative,18%,17%,19%,11%,17%,21%,17%,19%,12%,17%,17%,16%,19%,16%,21%,14%,15%,18%,14%,21%,16%,14%,14%,24%,6%,28%,25%,6%,30%,17%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very conservative,18%,21%,16%,5%,15%,22%,20%,21%,9%,10%,12%,13%,21%,15%,26%,9%,11%,16%,15%,21%,19%,12%,18%,22%,5%,33%,2%,6%,41%,9%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",[VOL] Don't know/Refused,5%,5%,5%,4%,5%,4%,5%,4%,4%,12%,1%,3%,6%,2%,5%,5%,7%,2%,7%,5%,5%,6%,2%,6%,3%,5%,9%,3%,4%,3%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
Which of the following general income categories is your total household income before taxes?,"Under $25,000",8%,6%,10%,12%,5%,6%,10%,8%,9%,18%,3%,2%,12%,2%,12%,5%,14%,9%,6%,8%,10%,7%,8%,9%,9%,8%,4%,10%,9%,6%
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",15%,12%,17%,25%,10%,8%,23%,14%,13%,22%,13%,8%,20%,8%,19%,6%,21%,14%,15%,14%,16%,14%,15%,15%,15%,13%,21%,15%,13%,12%
Which of the following general income categories is your total household income before taxes?,"At least $50,000 but under $100,000",30%,30%,30%,26%,30%,27%,35%,30%,37%,26%,28%,28%,31%,28%,31%,29%,32%,31%,30%,32%,25%,32%,26%,32%,30%,28%,35%,32%,26%,32%
Which of the following general income categories is your total household income before taxes?,"At least $100,000 but under $200,000",26%,26%,26%,16%,34%,33%,16%,26%,27%,20%,33%,35%,20%,33%,20%,38%,20%,29%,22%,27%,25%,24%,29%,24%,27%,26%,18%,25%,25%,29%
Which of the following general income categories is your total household income before taxes?,"$200,000 or more",14%,19%,10%,9%,18%,21%,6%,15%,8%,9%,20%,20%,9%,22%,10%,18%,8%,10%,20%,11%,16%,15%,14%,13%,13%,16%,8%,12%,17%,15%
Which of the following general income categories is your total household income before taxes?,[VOL] Refused,8%,7%,8%,12%,3%,5%,10%,8%,6%,6%,3%,7%,8%,7%,8%,5%,5%,7%,8%,9%,7%,7%,8%,8%,5%,9%,14%,5%,10%,6%
Which of the following general income categories is your total household income before taxes?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Catholic,20%,20%,20%,18%,12%,26%,20%,17%,12%,51%,13%,18%,21%,19%,16%,15%,34%,16%,27%,16%,23%,17%,25%,17%,18%,22%,22%,19%,26%,18%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Protestant (Christian),33%,30%,36%,19%,26%,34%,41%,36%,36%,15%,19%,31%,34%,32%,40%,27%,22%,36%,22%,42%,25%,26%,27%,42%,25%,39%,33%,25%,43%,29%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Mormon (LDS),<1%,1%,<1%,0%,2%,<1%,<1%,<1%,0%,3%,1%,2%,<.5%,<1%,<.5%,3%,<1%,0%,<1%,<.5%,3%,<1%,<1%,1%,<1%,1%,0%,<1%,1%,1%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Jewish,2%,3%,2%,2%,2%,3%,2%,3%,0%,0%,3%,5%,1%,5%,1%,<1%,<1%,<1%,5%,2%,3%,5%,3%,<1%,3%,2%,<.5%,4%,2%,2%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Muslim,1%,2%,<.5%,1%,0%,<1%,2%,<.5%,3%,0%,11%,<1%,1%,<.5%,0%,3%,4%,1%,0%,<1%,3%,3%,1%,0%,1%,<.5%,6%,1%,<.5%,2%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?","[VOL] Christian (includes Baptist, Lutheran, Episcopalian, Methodist, Adventist, Presbyterian)",10%,8%,12%,8%,11%,11%,10%,9%,21%,11%,4%,6%,13%,5%,13%,9%,16%,10%,4%,15%,9%,8%,9%,13%,6%,14%,11%,8%,15%,7%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Greek/Russian Orthodox,<.5%,<1%,0%,1%,<1%,0%,0%,<.5%,0%,0%,0%,<.5%,<.5%,<1%,<.5%,0%,0%,0%,1%,0%,0%,0%,<.5%,<1%,<1%,0%,0%,<1%,0%,<.5%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Some other religion (specify),2%,2%,2%,2%,3%,2%,1%,2%,1%,1%,10%,2%,2%,2%,2%,4%,2%,2%,2%,1%,3%,2%,2%,2%,2%,2%,2%,1%,<.5%,4%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",No religious affiliation,29%,33%,25%,47%,41%,21%,23%,30%,25%,17%,37%,34%,25%,33%,28%,37%,18%,33%,34%,22%,30%,37%,30%,23%,42%,17%,24%,39%,11%,35%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Don't know/Refused,1%,<1%,1%,2%,2%,1%,<.5%,<1%,2%,2%,1%,2%,<1%,1%,<1%,2%,1%,<1%,3%,1%,<1%,<1%,2%,1%,<1%,2%,2%,<.5%,1%,1%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Yes,28%,24%,31%,19%,26%,30%,30%,27%,45%,24%,17%,23%,31%,21%,32%,29%,29%,23%,14%,39%,26%,23%,23%,35%,17%,37%,31%,19%,39%,25%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",No,18%,16%,20%,13%,18%,18%,20%,21%,14%,7%,18%,18%,18%,20%,22%,13%,12%,24%,18%,18%,14%,14%,17%,22%,18%,19%,15%,17%,20%,18%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?","[PREVIOUSLY] Catholic, Jewish, Muslim, no religious affiliation or refused",52%,58%,47%,68%,54%,50%,47%,50%,42%,69%,62%,57%,49%,57%,44%,56%,58%,50%,67%,41%,59%,61%,59%,40%,63%,43%,54%,63%,40%,55%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",[VOL] Refused,2%,2%,1%,0%,1%,1%,3%,2%,0%,0%,3%,2%,2%,2%,2%,1%,<.5%,3%,<.5%,2%,1%,2%,<.5%,3%,2%,2%,<.5%,<1%,1%,2%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Democratic Party,40%,38%,43%,41%,46%,27%,54%,41%,42%,36%,39%,44%,37%,42%,40%,49%,30%,43%,45%,40%,35%,40%,46%,34%,90%,7%,18%,-,-,42%
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Republican Party,41%,48%,34%,26%,33%,59%,35%,45%,36%,36%,25%,40%,43%,46%,45%,22%,40%,44%,32%,43%,44%,42%,36%,47%,4%,79%,22%,-,-,42%
"(If independent, another party or not sure)  And as of today, do you lean more to:",[VOL] Don't know/Refused,18%,15%,23%,32%,21%,14%,10%,14%,22%,27%,36%,17%,20%,12%,16%,29%,29%,13%,22%,18%,21%,18%,19%,19%,6%,14%,60%,-,-,16%
"(If independent, another party or not sure)  And as of today, do you lean more to:",Number of respondents,423,234,183,81,107,134,80,270,48,48,43,212,208,151,118,56,81,92,89,144,98,100,188,135,159,192,72,,,348
Combined: Party identification and leaners,The Democratic Party,46%,43%,48%,55%,50%,39%,49%,39%,72%,60%,50%,54%,40%,50%,31%,65%,59%,48%,53%,40%,47%,62%,50%,32%,94%,4%,27%,100%,0%,42%
Combined: Party identification and leaners,The Republican Party,47%,51%,44%,31%,41%,56%,48%,56%,21%,30%,31%,39%,53%,45%,64%,23%,30%,47%,38%,54%,45%,31%,42%,61%,4%,91%,26%,0%,100%,42%
Combined: Party identification and leaners,[VOL] Don't know/Refused,7%,7%,7%,14%,10%,5%,3%,5%,8%,10%,19%,7%,7%,5%,5%,12%,11%,5%,9%,6%,8%,7%,7%,7%,2%,5%,47%,0%,0%,16%
Combined: Party identification and leaners,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Yes,32%,36%,28%,33%,31%,37%,25%,31%,31%,31%,39%,32%,31%,30%,32%,39%,29%,28%,29%,33%,36%,33%,33%,30%,34%,31%,23%,34%,29%,33%
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,No,68%,64%,72%,67%,69%,63%,75%,69%,69%,69%,61%,68%,69%,70%,68%,61%,71%,72%,71%,67%,64%,67%,67%,70%,66%,69%,77%,66%,71%,67%
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
