itm,v1,mi_oh_and_wi_likely_electorate_mi_oh_and_wi_likely_electorate,state_mi,state_oh,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden,x2020_vote_trump
Abortion,[VOL] Don’t know/Refused,6%,6%,7%,6%,7%,6%,3%,6%,7%,7%,6%,5%,6%,6%,6%,6%,6%,6%,5%,6%,5%,7%,1%,7%,50%,<.5%,6%,10%,3%,7%
Abortion,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares,MARGIN Harris +15 Calculated using candidates’ unrounded vote shares
Immigration,Kamala Harris,43%,45%,40%,44%,33%,52%,41%,48%,37%,49%,41%,70%,48%,53%,37%,53%,35%,61%,57%,62%,48%,32%,87%,2%,23%,92%,4%,37%,86%,3%
Immigration,Donald Trump,53%,53%,54%,52%,64%,43%,55%,48%,59%,47%,56%,23%,47%,43%,59%,43%,62%,34%,37%,32%,49%,64%,9%,97%,36%,7%,94%,57%,10%,95%
Immigration,[VOL] Don’t know/Refused,4%,3%,6%,4%,3%,5%,4%,4%,4%,4%,3%,6%,5%,4%,4%,4%,3%,5%,6%,6%,3%,4%,3%,<1%,41%,1%,2%,6%,4%,1%
Immigration,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares,MARGIN Trump +10 Calculated using candidates’ unrounded vote shares
Democracy,Kamala Harris,49%,50%,46%,51%,38%,59%,49%,53%,45%,53%,47%,81%,53%,61%,43%,60%,39%,71%,64%,70%,54%,38%,97%,3%,35%,97%,5%,48%,94%,5%
Democracy,Donald Trump,46%,46%,47%,45%,56%,38%,47%,42%,51%,43%,49%,13%,40%,35%,53%,37%,57%,23%,29%,26%,42%,57%,1%,93%,22%,1%,93%,45%,4%,92%
Democracy,[VOL] Don’t know/Refused,5%,4%,6%,4%,6%,3%,5%,5%,5%,4%,4%,6%,7%,4%,5%,4%,4%,6%,7%,4%,4%,5%,2%,4%,43%,1%,2%,7%,2%,4%
Democracy,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares
Helping the working class,Kamala Harris,47%,47%,46%,49%,37%,57%,43%,50%,44%,52%,45%,80%,51%,59%,41%,58%,38%,71%,62%,67%,53%,36%,96%,1%,31%,98%,6%,42%,93%,4%
Helping the working class,Donald Trump,49%,49%,50%,49%,59%,40%,55%,45%,53%,45%,53%,15%,42%,38%,56%,40%,60%,25%,31%,27%,45%,61%,2%,98%,28%,2%,93%,52%,5%,95%
Helping the working class,[VOL] Don’t know/Refused,3%,4%,4%,2%,3%,3%,2%,5%,3%,3%,2%,5%,7%,3%,3%,3%,2%,4%,7%,6%,2%,3%,2%,<1%,42%,<.5%,<1%,6%,2%,1%
Helping the working class,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares
Helping people like you,Kamala Harris,47%,49%,44%,49%,36%,57%,45%,50%,43%,51%,45%,80%,52%,57%,42%,56%,38%,66%,65%,69%,51%,36%,96%,2%,24%,97%,6%,41%,92%,4%
Helping people like you,Donald Trump,49%,47%,51%,48%,59%,40%,51%,45%,53%,44%,52%,14%,40%,39%,54%,41%,58%,26%,28%,26%,44%,60%,2%,97%,22%,2%,92%,52%,5%,94%
Helping people like you,[VOL] Don’t know/Refused,4%,4%,5%,4%,5%,3%,4%,5%,4%,5%,3%,6%,8%,4%,4%,4%,3%,8%,7%,5%,5%,4%,2%,1%,54%,1%,2%,6%,3%,2%
Helping people like you,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Very well,25%,27%,23%,27%,30%,21%,18%,12%,34%,26%,27%,4%,18%,19%,29%,20%,31%,13%,11%,18%,21%,31%,2%,48%,11%,3%,53%,21%,3%,51%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Somewhat well,20%,17%,25%,16%,24%,16%,33%,22%,16%,16%,21%,5%,19%,18%,20%,19%,21%,11%,14%,11%,19%,23%,5%,33%,14%,5%,28%,24%,6%,32%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Not too well,9%,7%,11%,9%,10%,8%,9%,13%,12%,4%,8%,11%,17%,11%,8%,11%,7%,11%,16%,12%,9%,8%,13%,6%,11%,8%,4%,15%,11%,6%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Not at all well,36%,36%,34%,38%,25%,46%,29%,42%,28%,44%,35%,54%,30%,46%,30%,46%,30%,53%,32%,46%,40%,29%,73%,3%,25%,78%,5%,30%,71%,3%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",[VOL] Don't know/Refused,10%,14%,7%,10%,11%,10%,11%,12%,10%,10%,8%,25%,16%,6%,12%,4%,10%,12%,27%,13%,11%,9%,7%,10%,39%,7%,10%,10%,9%,7%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",NET Well,45%,44%,48%,43%,55%,36%,51%,34%,51%,43%,48%,10%,37%,37%,50%,39%,53%,24%,24%,29%,40%,54%,7%,82%,25%,8%,81%,45%,9%,84%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",NET Not well,45%,43%,45%,47%,35%,54%,38%,54%,40%,48%,44%,65%,47%,57%,38%,57%,37%,64%,49%,58%,50%,37%,86%,9%,36%,85%,9%,45%,82%,9%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Number of respondents,817,263,288,266,390,415,145,147,283,213,668,54,74,356,456,289,378,58,70,136,313,368,393,378,46,247,219,280,355,302
(ASK IF SPLIT B)  Cares about people like me,Very well,27%,28%,23%,29%,29%,23%,22%,24%,28%,26%,28%,7%,24%,18%,31%,20%,33%,9%,19%,13%,28%,30%,3%,53%,8%,4%,57%,20%,3%,54%
(ASK IF SPLIT B)  Cares about people like me,Somewhat well,20%,15%,25%,19%,23%,17%,22%,25%,19%,17%,21%,19%,15%,21%,19%,23%,19%,13%,19%,15%,21%,21%,7%,34%,13%,6%,25%,28%,7%,30%
(ASK IF SPLIT B)  Cares about people like me,Not too well,9%,11%,7%,8%,8%,10%,17%,6%,10%,6%,9%,9%,9%,10%,8%,10%,8%,14%,7%,9%,8%,9%,15%,3%,8%,14%,4%,9%,14%,2%
(ASK IF SPLIT B)  Cares about people like me,Not at all well,37%,33%,38%,39%,31%,41%,27%,37%,35%,43%,35%,52%,39%,46%,31%,44%,30%,55%,41%,51%,37%,31%,68%,3%,44%,69%,6%,36%,68%,5%
(ASK IF SPLIT B)  Cares about people like me,[VOL] Don't know/Refused,8%,13%,7%,5%,8%,9%,12%,9%,8%,8%,8%,12%,13%,5%,11%,4%,10%,9%,14%,13%,6%,9%,7%,8%,28%,8%,8%,7%,6%,9%
(ASK IF SPLIT B)  Cares about people like me,NET Well,46%,43%,48%,48%,53%,41%,44%,48%,47%,43%,49%,26%,39%,39%,50%,43%,52%,22%,38%,28%,49%,51%,10%,86%,20%,9%,82%,48%,11%,84%
(ASK IF SPLIT B)  Cares about people like me,NET Not well,45%,44%,45%,46%,39%,51%,44%,43%,45%,49%,44%,61%,48%,56%,39%,54%,38%,68%,48%,60%,45%,40%,83%,6%,52%,83%,10%,45%,83%,7%
(ASK IF SPLIT B)  Cares about people like me,Number of respondents,873,294,279,300,410,450,116,191,306,244,702,79,73,375,494,303,397,64,88,166,316,391,448,383,42,273,241,296,387,322
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Very well,29%,24%,29%,34%,23%,34%,25%,39%,22%,33%,30%,30%,25%,40%,22%,43%,23%,35%,22%,44%,32%,22%,58%,4%,13%,64%,5%,21%,57%,4%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Somewhat well,20%,20%,21%,19%,17%,22%,28%,19%,22%,15%,19%,20%,30%,20%,20%,18%,19%,29%,22%,17%,23%,18%,28%,12%,22%,25%,14%,23%,27%,12%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Not too well,12%,13%,11%,10%,12%,12%,12%,9%,13%,11%,13%,6%,6%,11%,12%,12%,13%,8%,4%,4%,9%,16%,1%,21%,6%,1%,19%,13%,2%,22%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Not at all well,26%,28%,25%,25%,35%,19%,19%,18%,33%,27%,28%,10%,14%,20%,30%,22%,31%,11%,13%,17%,20%,35%,2%,49%,19%,2%,47%,28%,3%,51%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",[VOL] Don't know/Refused,13%,15%,14%,12%,14%,13%,16%,14%,11%,15%,11%,35%,25%,8%,17%,5%,14%,17%,39%,17%,17%,10%,10%,14%,40%,8%,14%,14%,10%,11%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",NET Well,49%,44%,50%,52%,40%,56%,53%,59%,44%,48%,49%,50%,55%,61%,42%,61%,42%,64%,44%,62%,55%,40%,87%,16%,35%,89%,19%,44%,85%,16%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",NET Not well,38%,41%,36%,36%,46%,30%,31%,27%,45%,38%,40%,15%,21%,32%,41%,34%,44%,20%,17%,22%,29%,50%,3%,71%,26%,3%,66%,41%,6%,72%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Number of respondents,817,263,288,266,390,415,145,147,283,213,668,54,74,356,456,289,378,58,70,136,313,368,393,378,46,247,219,280,355,302
(ASK IF SPLIT B)  Cares about people like me,Very well,34%,36%,31%,34%,29%,38%,27%,30%,34%,38%,33%,40%,37%,44%,28%,43%,28%,54%,30%,44%,37%,27%,64%,4%,9%,71%,5%,28%,66%,6%
(ASK IF SPLIT B)  Cares about people like me,Somewhat well,17%,18%,15%,17%,16%,17%,27%,24%,11%,14%,16%,27%,16%,20%,15%,21%,13%,17%,24%,20%,15%,17%,20%,13%,22%,13%,12%,25%,18%,11%
(ASK IF SPLIT B)  Cares about people like me,Not too well,8%,8%,8%,8%,10%,6%,5%,9%,8%,7%,9%,4%,5%,7%,9%,7%,10%,5%,4%,2%,8%,10%,2%,14%,5%,1%,12%,11%,<1%,14%
(ASK IF SPLIT B)  Cares about people like me,Not at all well,29%,26%,27%,33%,33%,24%,23%,26%,32%,29%,32%,4%,18%,20%,33%,21%,37%,10%,12%,17%,29%,33%,2%,57%,26%,3%,57%,25%,3%,57%
(ASK IF SPLIT B)  Cares about people like me,[VOL] Don't know/Refused,13%,13%,18%,9%,12%,15%,17%,10%,14%,12%,10%,25%,24%,9%,15%,8%,12%,14%,30%,16%,12%,13%,12%,12%,39%,12%,14%,11%,12%,12%
(ASK IF SPLIT B)  Cares about people like me,NET Well,50%,53%,47%,51%,45%,55%,54%,54%,46%,52%,49%,67%,52%,64%,43%,64%,41%,70%,54%,64%,52%,44%,84%,17%,31%,84%,17%,53%,84%,17%
(ASK IF SPLIT B)  Cares about people like me,NET Not well,37%,34%,36%,41%,43%,30%,29%,36%,40%,36%,40%,8%,23%,27%,42%,28%,47%,15%,16%,20%,37%,43%,4%,71%,30%,4%,69%,36%,4%,71%
(ASK IF SPLIT B)  Cares about people like me,Number of respondents,873,294,279,300,410,450,116,191,306,244,702,79,73,375,494,303,397,64,88,166,316,391,448,383,42,273,241,296,387,322
Requiring auto makers to expand electric vehicle manufacturing.,Strongly support,13%,12%,15%,11%,11%,14%,12%,16%,11%,14%,12%,18%,19%,18%,10%,18%,9%,22%,16%,20%,14%,9%,23%,4%,7%,27%,5%,9%,24%,3%
Requiring auto makers to expand electric vehicle manufacturing.,Somewhat support,26%,26%,25%,28%,21%,31%,30%,27%,22%,29%,27%,31%,21%,29%,24%,30%,25%,31%,23%,26%,30%,23%,44%,7%,37%,44%,7%,27%,43%,7%
Requiring auto makers to expand electric vehicle manufacturing.,Somewhat oppose,18%,17%,18%,17%,19%,16%,24%,22%,18%,11%,18%,15%,19%,19%,17%,20%,17%,15%,19%,14%,19%,18%,15%,20%,16%,11%,20%,20%,14%,20%
Requiring auto makers to expand electric vehicle manufacturing.,Strongly oppose,38%,39%,36%,39%,45%,31%,28%,29%,42%,41%,39%,22%,31%,28%,43%,28%,45%,25%,28%,27%,32%,46%,8%,67%,32%,7%,66%,39%,9%,69%
Requiring auto makers to expand electric vehicle manufacturing.,[VOL] Don't know/Refused,6%,6%,7%,5%,4%,7%,5%,6%,7%,4%,4%,14%,10%,5%,6%,4%,5%,8%,14%,13%,5%,4%,10%,2%,8%,11%,2%,5%,10%,1%
Requiring auto makers to expand electric vehicle manufacturing.,NET Support,39%,39%,39%,39%,32%,45%,43%,42%,33%,43%,39%,49%,39%,48%,34%,48%,34%,53%,39%,47%,44%,32%,67%,11%,44%,71%,12%,36%,67%,10%
Requiring auto makers to expand electric vehicle manufacturing.,NET Oppose,55%,55%,54%,56%,64%,48%,52%,52%,60%,52%,57%,37%,51%,48%,60%,48%,62%,39%,47%,40%,50%,64%,23%,87%,48%,18%,86%,59%,23%,88%
Requiring auto makers to expand electric vehicle manufacturing.,Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
Expanding tariffs on products made outside the United States.,Strongly support,29%,33%,30%,25%,37%,22%,19%,24%,33%,32%,31%,15%,26%,20%,34%,20%,36%,20%,22%,20%,28%,33%,8%,51%,12%,9%,51%,27%,10%,53%
Expanding tariffs on products made outside the United States.,Somewhat support,25%,24%,27%,24%,22%,28%,36%,28%,23%,21%,26%,12%,24%,28%,24%,29%,25%,22%,17%,20%,24%,28%,24%,24%,38%,24%,25%,28%,23%,24%
Expanding tariffs on products made outside the United States.,Somewhat oppose,17%,16%,15%,20%,16%,18%,24%,20%,17%,13%,16%,28%,16%,22%,15%,22%,13%,21%,22%,21%,20%,14%,26%,8%,19%,25%,8%,19%,25%,8%
Expanding tariffs on products made outside the United States.,Strongly oppose,21%,20%,20%,22%,20%,22%,11%,19%,21%,27%,20%,32%,24%,23%,20%,22%,19%,28%,28%,25%,22%,19%,30%,13%,17%,30%,13%,20%,31%,13%
Expanding tariffs on products made outside the United States.,[VOL] Don't know/Refused,8%,7%,8%,9%,5%,10%,10%,10%,5%,8%,7%,12%,10%,7%,7%,7%,7%,10%,12%,14%,7%,6%,11%,4%,14%,13%,3%,6%,11%,2%
Expanding tariffs on products made outside the United States.,NET Support,54%,57%,57%,49%,59%,50%,55%,51%,56%,53%,57%,28%,51%,48%,58%,50%,61%,41%,39%,41%,52%,61%,33%,76%,50%,33%,76%,55%,33%,76%
Expanding tariffs on products made outside the United States.,NET Oppose,38%,36%,36%,42%,36%,40%,35%,39%,38%,40%,36%,60%,39%,44%,35%,44%,32%,49%,50%,45%,41%,33%,56%,20%,36%,54%,21%,39%,56%,21%
Expanding tariffs on products made outside the United States.,Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Personality/behavior,32%,28%,34%,33%,35%,29%,20%,31%,39%,33%,35%,19%,22%,35%,30%,38%,34%,27%,18%,26%,30%,36%,25%,37%,34%,27%,33%,33%,35%,47%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Ability to do the job,11%,8%,9%,18%,11%,10%,11%,8%,10%,14%,12%,1%,6%,14%,8%,13%,11%,8%,2%,13%,7%,14%,13%,14%,6%,6%,4%,14%,6%,9%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Ethics/honesty,11%,11%,18%,4%,9%,14%,5%,11%,11%,17%,12%,8%,13%,12%,11%,13%,11%,10%,11%,5%,14%,10%,14%,6%,14%,8%,10%,12%,11%,6%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Threat to democracy,6%,6%,10%,3%,8%,6%,14%,6%,5%,4%,6%,6%,14%,5%,8%,4%,7%,10%,10%,4%,10%,4%,10%,2%,8%,5%,2%,8%,12%,2%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Race/racism/sexism,5%,5%,8%,1%,<.5%,10%,0%,11%,3%,6%,3%,20%,8%,3%,6%,1%,3%,11%,15%,14%,4%,2%,8%,5%,2%,9%,9%,4%,11%,4%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Court cases/convictions,5%,5%,4%,6%,8%,<1%,5%,5%,3%,7%,5%,7%,4%,1%,7%,2%,6%,0%,9%,12%,4%,3%,7%,<1%,7%,6%,4%,3%,3%,3%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Don't know/refused,4%,6%,1%,5%,3%,5%,5%,4%,4%,3%,2%,10%,7%,1%,5%,2%,3%,0%,13%,5%,4%,4%,3%,6%,3%,10%,6%,3%,3%,3%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Abortion,2%,4%,0%,3%,<1%,3%,6%,4%,0%,0%,3%,0%,0%,5%,<1%,6%,1%,0%,0%,4%,<.5%,3%,1%,<.5%,5%,3%,0%,3%,1%,3%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Immigration,1%,<.5%,3%,0%,<1%,1%,<.5%,3%,0%,1%,1%,3%,<.5%,1%,<1%,2%,<1%,<1%,2%,0%,2%,1%,0%,2%,<1%,0%,0%,<1%,0%,3%
