itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
Do you think Joe Biden has the personality and temperament to be an effective president?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
Do you think Donald Trump has the personality and temperament to be an effective president?,Yes,45%,50%,39%,37%,43%,48%,47%,51%,23%,43%,31%,36%,50%,41%,57%,23%,38%,42%,39%,50%,44%,32%,40%,57%,6%,82%,29%,10%,86%,39%
Do you think Donald Trump has the personality and temperament to be an effective president?,No,53%,49%,57%,58%,55%,50%,52%,48%,74%,54%,64%,61%,48%,58%,40%,72%,59%,57%,59%,48%,52%,64%,57%,41%,94%,16%,62%,89%,14%,57%
Do you think Donald Trump has the personality and temperament to be an effective president?,[VOL] Don’t know/Refused,2%,1%,3%,4%,2%,2%,1%,2%,3%,3%,5%,2%,2%,1%,2%,5%,3%,<1%,3%,2%,4%,3%,3%,1%,<1%,2%,8%,1%,<.5%,4%
Do you think Donald Trump has the personality and temperament to be an effective president?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Donald Trump has committed serious federal crimes,55%,53%,57%,65%,58%,51%,52%,47%,84%,64%,61%,60%,52%,56%,41%,72%,69%,57%,57%,51%,57%,69%,58%,43%,94%,18%,72%,94%,17%,58%
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Donald Trump has not committed serious federal crimes,36%,38%,35%,16%,35%,41%,43%,46%,13%,16%,20%,33%,38%,38%,52%,18%,14%,37%,33%,41%,31%,18%,33%,52%,3%,71%,8%,3%,77%,30%
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",[VOL] Don't know/Refused,9%,9%,8%,19%,7%,8%,5%,6%,4%,20%,19%,7%,10%,6%,6%,10%,16%,6%,10%,8%,12%,13%,9%,6%,3%,11%,21%,3%,6%,12%
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",Strongly approve,40%,38%,43%,39%,41%,37%,45%,35%,60%,40%,51%,49%,34%,45%,28%,61%,44%,44%,46%,35%,41%,51%,44%,30%,81%,5%,41%,79%,7%,39%
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",Somewhat approve,6%,7%,5%,10%,9%,5%,3%,6%,6%,4%,8%,8%,5%,7%,5%,10%,3%,6%,7%,7%,3%,6%,5%,7%,6%,5%,13%,6%,5%,7%
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",Somewhat disapprove,4%,5%,3%,1%,4%,6%,1%,5%,1%,1%,3%,3%,4%,4%,6%,1%,2%,5%,3%,4%,3%,2%,5%,4%,0%,8%,2%,0%,6%,6%
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",Strongly disapprove,26%,26%,26%,9%,22%,30%,36%,33%,9%,17%,9%,23%,28%,27%,36%,12%,12%,23%,26%,29%,22%,14%,26%,33%,2%,50%,10%,2%,60%,18%
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",Have not heard enough to say,21%,22%,20%,38%,21%,20%,13%,19%,20%,34%,25%,13%,26%,13%,23%,13%,33%,19%,17%,22%,26%,23%,18%,24%,11%,29%,29%,13%,21%,26%
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",[VOL] Don't know/Refused,3%,3%,3%,3%,3%,3%,2%,2%,4%,5%,4%,3%,3%,4%,1%,2%,5%,2%,1%,3%,4%,4%,2%,2%,1%,3%,7%,0%,2%,4%
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",NET Approve,46%,45%,48%,49%,50%,42%,48%,41%,66%,44%,60%,57%,39%,52%,34%,71%,47%,51%,52%,42%,44%,57%,49%,37%,87%,10%,53%,85%,11%,47%
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",NET Disapprove,30%,30%,29%,10%,25%,36%,37%,37%,11%,18%,12%,26%,32%,31%,42%,13%,14%,28%,29%,33%,26%,16%,31%,37%,2%,58%,11%,2%,66%,23%
"As you may have heard, Donald Trump was found guilty in May in his trial related to falsifying business records regarding hush money payments. Do you approve or disapprove of the verdict, or have you not heard enough to say?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Did Donald Trump’s conviction in the Manhattan hush money trial make you more likely to support him or less likely to support him, or did it make no difference in your support for him?",More likely to support him,10%,14%,7%,6%,9%,14%,11%,12%,4%,10%,7%,10%,11%,11%,13%,6%,8%,8%,9%,11%,13%,7%,11%,13%,<.5%,22%,1%,1%,20%,10%
"Did Donald Trump’s conviction in the Manhattan hush money trial make you more likely to support him or less likely to support him, or did it make no difference in your support for him?",Less likely to support him,19%,17%,22%,32%,15%,16%,19%,16%,21%,26%,28%,17%,21%,15%,16%,23%,26%,22%,21%,16%,21%,29%,18%,15%,34%,5%,26%,33%,5%,20%
"Did Donald Trump’s conviction in the Manhattan hush money trial make you more likely to support him or less likely to support him, or did it make no difference in your support for him?",Made no difference in support for him,68%,67%,70%,59%,75%,68%,68%,70%,74%,59%,64%,71%,66%,72%,69%,70%,63%,68%,69%,70%,64%,62%,70%,70%,64%,72%,66%,65%,74%,68%
"Did Donald Trump’s conviction in the Manhattan hush money trial make you more likely to support him or less likely to support him, or did it make no difference in your support for him?",[VOL] Don't know/Refused,2%,2%,1%,3%,1%,2%,2%,2%,1%,6%,0%,2%,2%,2%,2%,<.5%,4%,1%,<1%,3%,3%,3%,2%,2%,1%,2%,8%,1%,1%,2%
"Did Donald Trump’s conviction in the Manhattan hush money trial make you more likely to support him or less likely to support him, or did it make no difference in your support for him?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he was able to get a fair and impartial trial?",Yes,49%,48%,49%,57%,52%,43%,49%,42%,75%,54%,57%,57%,44%,51%,35%,73%,57%,48%,54%,45%,50%,62%,51%,37%,88%,14%,53%,86%,10%,52%
"Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he was able to get a fair and impartial trial?",No,43%,43%,43%,30%,40%,50%,45%,51%,19%,30%,32%,38%,46%,43%,57%,23%,28%,45%,38%,46%,41%,25%,41%,57%,6%,80%,20%,6%,84%,39%
"Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he was able to get a fair and impartial trial?",[VOL] Don't know/Refused,8%,8%,8%,13%,8%,7%,6%,7%,6%,16%,10%,5%,10%,6%,8%,4%,14%,7%,8%,9%,8%,13%,8%,6%,6%,6%,27%,7%,5%,9%
"Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he was able to get a fair and impartial trial?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",The charges against Donald Trump are mostly politically motivated.,49%,53%,44%,37%,49%,55%,48%,56%,28%,39%,35%,43%,52%,49%,62%,30%,37%,49%,43%,53%,47%,34%,47%,59%,10%,86%,29%,12%,90%,44%
"Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",Donald Trump was charged mostly because prosecutors believed he committed crimes.,47%,42%,51%,55%,48%,42%,47%,41%,67%,47%,58%,52%,43%,49%,36%,63%,53%,51%,53%,42%,45%,59%,49%,37%,86%,11%,54%,84%,8%,52%
"Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,5%,4%,5%,8%,3%,3%,5%,2%,5%,14%,8%,4%,5%,3%,1%,7%,11%,<1%,4%,5%,8%,7%,4%,4%,4%,3%,16%,4%,2%,5%
"Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Should Donald Trump be sentenced to prison in the Manhattan hush money case, or should he not be sentenced to prison?",Donald Trump should be sentenced to prison.,38%,32%,43%,48%,39%,31%,38%,31%,54%,53%,43%,39%,37%,34%,29%,53%,50%,42%,40%,31%,41%,47%,41%,28%,70%,8%,45%,71%,5%,40%
"Should Donald Trump be sentenced to prison in the Manhattan hush money case, or should he not be sentenced to prison?",Donald Trump should NOT be sentenced to prison.,53%,59%,48%,38%,52%,61%,56%,62%,36%,30%,47%,50%,55%,56%,66%,36%,37%,50%,51%,60%,47%,42%,49%,64%,21%,86%,30%,21%,90%,50%
"Should Donald Trump be sentenced to prison in the Manhattan hush money case, or should he not be sentenced to prison?",[VOL] Don't know/Refused,9%,8%,10%,13%,9%,8%,7%,7%,9%,17%,10%,11%,9%,10%,6%,11%,14%,7%,9%,9%,11%,11%,10%,8%,9%,6%,25%,8%,5%,10%
"Should Donald Trump be sentenced to prison in the Manhattan hush money case, or should he not be sentenced to prison?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very liberal,10%,9%,11%,16%,13%,8%,7%,10%,13%,8%,9%,14%,8%,14%,8%,14%,7%,13%,14%,6%,11%,16%,11%,6%,23%,<1%,2%,26%,<1%,6%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat liberal,13%,12%,14%,22%,13%,9%,12%,11%,19%,16%,17%,14%,12%,14%,10%,17%,18%,15%,15%,10%,15%,12%,17%,10%,22%,6%,8%,26%,3%,13%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Moderate,36%,36%,37%,40%,36%,35%,36%,34%,42%,41%,39%,40%,34%,39%,30%,40%,42%,36%,35%,38%,35%,39%,36%,34%,39%,30%,53%,32%,24%,52%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat conservative,17%,18%,18%,11%,18%,21%,18%,19%,12%,15%,19%,16%,18%,16%,21%,15%,14%,19%,13%,20%,15%,13%,15%,23%,7%,26%,19%,8%,29%,16%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very conservative,17%,20%,14%,6%,14%,21%,20%,20%,9%,10%,12%,13%,19%,15%,23%,8%,11%,15%,15%,19%,17%,12%,16%,21%,5%,30%,1%,6%,39%,9%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",[VOL] Don't know/Refused,6%,6%,6%,5%,7%,6%,6%,6%,5%,10%,4%,4%,8%,3%,8%,6%,8%,2%,9%,8%,6%,7%,5%,7%,3%,7%,16%,3%,4%,5%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
Which of the following general income categories is your total household income before taxes?,"Under $25,000",10%,8%,13%,13%,8%,8%,12%,10%,12%,18%,3%,3%,15%,3%,15%,4%,16%,9%,8%,12%,12%,10%,11%,10%,11%,11%,6%,13%,10%,9%
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",16%,14%,17%,28%,11%,10%,22%,15%,12%,23%,16%,8%,21%,8%,21%,7%,21%,15%,16%,16%,17%,14%,16%,17%,16%,15%,22%,16%,15%,14%
Which of the following general income categories is your total household income before taxes?,"At least $50,000 but under $100,000",31%,32%,30%,27%,33%,29%,34%,30%,37%,28%,32%,29%,32%,29%,31%,31%,34%,34%,29%,32%,27%,34%,27%,32%,31%,29%,34%,33%,26%,35%
Which of the following general income categories is your total household income before taxes?,"At least $100,000 but under $200,000",23%,23%,23%,13%,29%,30%,15%,24%,23%,15%,28%,33%,17%,32%,18%,35%,15%,27%,21%,23%,21%,19%,26%,22%,25%,23%,16%,23%,24%,24%
Which of the following general income categories is your total household income before taxes?,"$200,000 or more",12%,16%,9%,6%,14%,18%,7%,13%,9%,6%,15%,19%,8%,21%,8%,17%,6%,9%,18%,9%,14%,13%,12%,11%,12%,13%,7%,11%,15%,12%
Which of the following general income categories is your total household income before taxes?,[VOL] Refused,8%,7%,9%,12%,4%,6%,10%,8%,7%,9%,5%,7%,8%,7%,8%,6%,7%,7%,8%,9%,9%,9%,9%,7%,6%,9%,15%,5%,9%,6%
Which of the following general income categories is your total household income before taxes?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Catholic,19%,19%,20%,18%,12%,25%,18%,16%,13%,46%,12%,17%,21%,18%,14%,14%,31%,15%,23%,16%,24%,16%,24%,16%,17%,21%,17%,19%,25%,18%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Protestant (Christian),31%,29%,33%,18%,26%,33%,41%,34%,36%,17%,19%,30%,31%,32%,36%,25%,24%,35%,22%,38%,22%,25%,26%,40%,23%,37%,30%,25%,42%,26%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Mormon (LDS),<1%,1%,<1%,0%,2%,<1%,<1%,<1%,0%,3%,<1%,2%,<.5%,<1%,<.5%,3%,<1%,0%,1%,<.5%,3%,1%,<1%,<1%,<1%,1%,0%,1%,<1%,1%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Jewish,2%,2%,2%,2%,2%,3%,2%,3%,0%,0%,3%,4%,1%,5%,1%,<1%,<1%,<1%,4%,1%,3%,4%,3%,<.5%,3%,2%,<1%,3%,2%,2%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Muslim,1%,2%,<1%,3%,0%,1%,2%,<.5%,2%,0%,13%,2%,1%,<.5%,0%,6%,3%,1%,0%,2%,3%,3%,2%,0%,1%,<1%,6%,1%,<1%,2%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?","[VOL] Christian (includes Baptist, Lutheran, Episcopalian, Methodist, Adventist, Presbyterian)",11%,8%,14%,8%,10%,11%,12%,10%,20%,10%,3%,6%,14%,6%,14%,8%,14%,10%,4%,16%,9%,8%,9%,15%,7%,14%,10%,10%,15%,8%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Greek/Russian Orthodox,<.5%,<1%,0%,<1%,<1%,0%,0%,<.5%,0%,0%,0%,<.5%,<.5%,<1%,<.5%,0%,0%,0%,1%,0%,0%,0%,<.5%,<1%,<1%,0%,0%,<1%,0%,<.5%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Some other religion (specify),3%,2%,3%,2%,5%,3%,<1%,2%,<1%,2%,12%,3%,2%,2%,2%,4%,2%,3%,4%,1%,4%,3%,3%,3%,3%,2%,5%,1%,<.5%,4%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",No religious affiliation,30%,35%,26%,46%,40%,22%,23%,32%,25%,20%,35%,34%,28%,33%,31%,37%,21%,34%,36%,24%,31%,38%,31%,24%,43%,19%,28%,39%,11%,37%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Don't know/Refused,2%,1%,2%,3%,2%,2%,<.5%,1%,3%,3%,<1%,2%,1%,2%,<1%,3%,2%,<1%,4%,1%,2%,2%,2%,1%,<1%,2%,3%,<1%,2%,<1%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Yes,27%,24%,31%,18%,25%,30%,32%,27%,43%,25%,18%,22%,30%,21%,31%,27%,30%,23%,16%,38%,25%,25%,23%,34%,18%,35%,30%,22%,37%,24%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",No,18%,16%,20%,14%,21%,17%,19%,21%,14%,7%,19%,18%,18%,21%,21%,13%,12%,24%,18%,17%,13%,12%,16%,23%,17%,19%,15%,16%,21%,17%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?","[PREVIOUSLY] Catholic, Jewish, Muslim, no religious affiliation or refused",53%,58%,47%,68%,53%,51%,46%,50%,43%,68%,61%,57%,51%,57%,46%,59%,58%,50%,65%,43%,61%,62%,60%,40%,62%,45%,53%,62%,41%,57%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",[VOL] Refused,2%,2%,2%,0%,<1%,2%,3%,2%,0%,0%,2%,2%,2%,2%,2%,<1%,<.5%,3%,<1%,2%,<1%,2%,<.5%,3%,2%,2%,2%,<1%,1%,2%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Democratic Party,38%,36%,40%,36%,42%,28%,51%,38%,45%,33%,38%,41%,35%,40%,36%,45%,32%,44%,41%,35%,34%,40%,42%,31%,87%,9%,16%,-,-,40%
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Republican Party,36%,41%,31%,26%,30%,53%,34%,42%,29%,28%,23%,37%,36%,44%,41%,23%,29%,42%,24%,40%,37%,33%,32%,44%,4%,69%,19%,-,-,38%
"(If independent, another party or not sure)  And as of today, do you lean more to:",[VOL] Don't know/Refused,26%,22%,29%,38%,28%,19%,15%,20%,26%,40%,39%,22%,29%,16%,23%,33%,38%,15%,34%,25%,29%,27%,26%,25%,9%,22%,65%,-,-,22%
"(If independent, another party or not sure)  And as of today, do you lean more to:",Number of respondents,423,234,183,81,107,134,80,270,48,48,43,212,208,151,118,56,81,92,89,144,98,100,188,135,159,192,72,,,348
Combined: Party identification and leaners,The Democratic Party,44%,41%,48%,49%,47%,39%,47%,38%,69%,53%,45%,51%,40%,48%,31%,61%,54%,48%,50%,38%,45%,60%,48%,31%,93%,6%,25%,100%,0%,40%
Combined: Party identification and leaners,The Republican Party,44%,48%,41%,30%,39%,53%,48%,54%,20%,29%,31%,39%,48%,45%,60%,23%,29%,46%,34%,51%,41%,28%,40%,60%,4%,85%,21%,0%,100%,38%
Combined: Party identification and leaners,[VOL] Don't know/Refused,11%,11%,11%,21%,14%,8%,5%,8%,11%,17%,24%,10%,12%,7%,9%,15%,18%,6%,15%,11%,13%,12%,12%,9%,3%,9%,53%,0%,0%,22%
Combined: Party identification and leaners,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Yes,31%,35%,27%,29%,30%,37%,25%,31%,30%,29%,36%,32%,30%,30%,31%,37%,28%,27%,28%,31%,35%,30%,33%,29%,34%,31%,20%,31%,29%,34%
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,No,69%,65%,73%,71%,70%,63%,75%,69%,70%,71%,64%,68%,70%,70%,69%,63%,72%,73%,72%,69%,65%,70%,67%,71%,66%,69%,80%,69%,71%,66%
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
