itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
What one issue is most important in deciding your vote this November?,[VOL] Crime,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,0%,2%,0%,<.5%,<.5%,<.5%,<.5%,0%,<1%,0%,<.5%,<.5%,<1%,0%,<.5%,<.5%,<1%,<.5%,0%,<1%,<.5%,0%
What one issue is most important in deciding your vote this November?,[VOL] Gun policies,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<1%,<1%,2%,<1%,<.5%,<.5%,<.5%,2%,<.5%,<.5%,<.5%,<1%,0%,1%,0%,<.5%,<1%,<.5%,0%,<1%,<.5%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Health care,2%,1%,2%,2%,2%,2%,<.5%,1%,3%,<1%,3%,2%,1%,1%,2%,4%,1%,1%,1%,2%,2%,3%,1%,1%,3%,<1%,1%,3%,<.5%,5%
What one issue is most important in deciding your vote this November?,[VOL] Education,<.5%,<.5%,<.5%,<1%,0%,<.5%,<.5%,<.5%,3%,0%,0%,<.5%,<1%,<.5%,<.5%,<.5%,1%,<.5%,<.5%,<1%,<.5%,1%,<.5%,<.5%,<1%,0%,<.5%,<.5%,0%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Foreign policy,5%,4%,6%,8%,6%,4%,3%,5%,4%,5%,6%,4%,6%,3%,7%,8%,4%,5%,6%,4%,7%,5%,6%,4%,4%,6%,7%,3%,6%,9%
What one issue is most important in deciding your vote this November?,[VOL] Russia/the war in Ukraine,<1%,<1%,<.5%,2%,<1%,<.5%,<1%,<.5%,2%,2%,0%,<.5%,<1%,<.5%,<.5%,0%,2%,<.5%,0%,<1%,<1%,<.5%,<.5%,<1%,<1%,<1%,0%,<1%,<.5%,2%
What one issue is most important in deciding your vote this November?,[VOL] China,<.5%,<.5%,0%,0%,0%,0%,<.5%,0%,<1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%
What one issue is most important in deciding your vote this November?,[VOL] Climate change,1%,2%,<1%,2%,3%,<1%,<1%,1%,0%,3%,<.5%,3%,<1%,3%,<.5%,1%,1%,<1%,3%,<.5%,2%,4%,<1%,<1%,3%,<1%,0%,2%,<.5%,2%
What one issue is most important in deciding your vote this November?,[VOL] The state of democracy/corruption,10%,9%,10%,3%,9%,8%,15%,11%,12%,3%,7%,16%,6%,17%,6%,10%,6%,12%,12%,7%,10%,11%,11%,8%,21%,1%,3%,24%,1%,4%
What one issue is most important in deciding your vote this November?,[VOL] Election integrity,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,2%,0%,1%,<1%,<.5%,<.5%,<.5%,2%,<1%,<1%,<.5%,<1%,0%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<1%,<.5%,0%
What one issue is most important in deciding your vote this November?,[VOL] Equality/inequality,1%,<1%,1%,6%,2%,<.5%,<.5%,1%,2%,<1%,2%,1%,1%,2%,<1%,0%,3%,2%,<.5%,<1%,3%,1%,2%,<1%,3%,<.5%,0%,2%,<.5%,4%
What one issue is most important in deciding your vote this November?,[VOL] Polarization/division,<.5%,<1%,<.5%,0%,<1%,<.5%,<.5%,<.5%,<1%,0%,2%,<1%,<.5%,<1%,0%,<1%,<1%,<.5%,1%,<.5%,0%,<1%,<1%,0%,<1%,<.5%,0%,<1%,<.5%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Racism/racial issues,<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,<1%,0%,<1%,<.5%,<.5%,<.5%,0%,<1%,<.5%,0%,0%,<.5%,<.5%,<.5%,0%,<.5%,0%,0%,2%,0%,0%,1%
What one issue is most important in deciding your vote this November?,[VOL] Dislike of opposing candidate (Trump or Biden),3%,4%,3%,2%,5%,2%,4%,4%,<1%,2%,3%,3%,3%,4%,4%,2%,1%,2%,1%,3%,6%,3%,4%,3%,5%,2%,2%,5%,2%,2%
What one issue is most important in deciding your vote this November?,[VOL] Character/competence of candidate (Trump or Biden),9%,10%,9%,5%,5%,9%,14%,8%,17%,11%,10%,9%,9%,10%,7%,9%,16%,8%,7%,11%,10%,11%,10%,7%,13%,5%,12%,14%,6%,9%
What one issue is most important in deciding your vote this November?,[VOL] The Middle East/Israel/Palestinians,2%,2%,1%,5%,2%,1%,<1%,1%,<.5%,2%,6%,3%,<1%,2%,<1%,6%,<.5%,2%,3%,<.5%,2%,3%,2%,<.5%,2%,<.5%,9%,2%,<1%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Taxes,<1%,1%,<1%,3%,2%,<.5%,<.5%,<1%,<.5%,3%,1%,<1%,1%,<.5%,<1%,2%,1%,1%,<.5%,1%,<1%,<1%,1%,1%,<.5%,2%,<1%,<.5%,2%,1%
What one issue is most important in deciding your vote this November?,[VOL] Student loans,<.5%,<.5%,<1%,<.5%,1%,0%,<.5%,<.5%,2%,1%,0%,<.5%,<.5%,<.5%,0%,1%,1%,0%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,<1%,0%,0%,<1%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] Other (specify),6%,4%,7%,3%,8%,4%,7%,6%,8%,7%,2%,4%,7%,4%,7%,4%,8%,6%,4%,7%,6%,6%,5%,7%,5%,6%,11%,4%,7%,3%
What one issue is most important in deciding your vote this November?,[VOL] Don't know/Refused,5%,5%,5%,13%,6%,2%,5%,4%,12%,7%,5%,3%,6%,3%,5%,2%,10%,4%,5%,6%,5%,5%,5%,6%,5%,5%,11%,4%,5%,6%
What one issue is most important in deciding your vote this November?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Which candidate do you think would do a better job of handling the issue you think is most important?,"Joe Biden, the Democrat",41%,33%,48%,44%,41%,34%,47%,37%,67%,45%,41%,52%,33%,52%,26%,53%,53%,39%,47%,35%,46%,58%,42%,28%,90%,2%,11%,95%,1%,30%
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",51%,59%,45%,42%,50%,58%,48%,57%,19%,46%,39%,38%,60%,41%,70%,29%,35%,53%,47%,57%,44%,32%,48%,66%,4%,95%,30%,1%,97%,54%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,5%,5%,5%,7%,6%,6%,2%,4%,6%,5%,14%,8%,4%,6%,3%,13%,5%,3%,4%,5%,8%,6%,6%,3%,3%,2%,42%,1%,<1%,11%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Someone else; specify,<1%,1%,<.5%,<.5%,<1%,<.5%,<1%,<.5%,1%,<1%,2%,<.5%,<1%,<1%,0%,0%,2%,1%,0%,<.5%,<1%,0%,1%,0%,<.5%,<.5%,6%,<.5%,0%,3%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,3%,3%,2%,7%,3%,1%,2%,1%,7%,2%,3%,2%,2%,1%,2%,5%,4%,4%,1%,3%,2%,4%,3%,2%,3%,1%,11%,2%,<1%,2%
Which candidate do you think would do a better job of handling the issue you think is most important?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,"Joe Biden, a lot of responsibility",5%,5%,6%,3%,6%,5%,6%,5%,8%,6%,5%,2%,7%,2%,8%,5%,6%,6%,2%,6%,6%,4%,6%,5%,3%,7%,6%,3%,7%,7%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,"Joe Biden, some responsibility",7%,5%,8%,15%,7%,4%,6%,6%,15%,10%,3%,4%,9%,3%,7%,5%,13%,6%,4%,8%,7%,9%,5%,7%,5%,8%,6%,4%,8%,11%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,"Donald Trump, some responsibility",23%,27%,20%,32%,29%,25%,16%,24%,10%,25%,31%,21%,25%,21%,26%,19%,22%,29%,22%,25%,17%,16%,23%,28%,12%,34%,20%,11%,34%,26%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,"Donald Trump, a lot of responsibility",46%,41%,50%,39%,40%,46%,54%,45%,57%,40%,44%,56%,39%,57%,37%,57%,44%,44%,53%,41%,48%,56%,46%,39%,75%,21%,38%,77%,21%,45%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,[VOL] Neither,8%,11%,6%,2%,7%,10%,9%,9%,2%,2%,7%,9%,7%,11%,9%,5%,3%,6%,7%,9%,9%,6%,8%,10%,1%,14%,9%,1%,14%,5%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,[VOL] Both,<.5%,<.5%,<.5%,1%,0%,0%,0%,<.5%,<.5%,0%,0%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<.5%,2%,<.5%,<.5%,0%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,[VOL] Don't know/Refused,11%,11%,10%,9%,11%,11%,10%,10%,7%,17%,10%,8%,12%,6%,13%,10%,12%,8%,11%,11%,13%,9%,11%,11%,3%,16%,18%,3%,16%,6%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,NET Biden,12%,10%,14%,17%,13%,9%,12%,11%,23%,16%,7%,6%,16%,5%,15%,9%,19%,12%,6%,14%,13%,13%,11%,12%,8%,15%,12%,8%,15%,18%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,NET Trump,69%,68%,70%,71%,68%,70%,69%,69%,67%,65%,75%,77%,64%,78%,63%,75%,66%,73%,75%,66%,65%,72%,69%,67%,87%,55%,58%,88%,55%,71%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,Safe choice,43%,48%,39%,37%,40%,48%,42%,48%,16%,43%,31%,29%,53%,31%,61%,22%,33%,45%,36%,50%,37%,27%,39%,58%,2%,85%,5%,1%,91%,21%
Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,Risky choice,55%,50%,60%,61%,60%,51%,56%,51%,80%,55%,65%,70%,46%,68%,39%,75%,64%,54%,63%,47%,62%,72%,59%,41%,98%,15%,81%,98%,8%,78%
Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,[VOL] Don’t know/Refused,2%,2%,<1%,2%,<1%,1%,3%,<1%,4%,1%,4%,1%,1%,<1%,<1%,3%,3%,<1%,1%,3%,<1%,1%,2%,1%,<.5%,<1%,14%,<.5%,<1%,2%
Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Would you be more likely to describe reelecting Joe Biden as president this November as a safe choice for the country or a risky choice for the country?,Safe choice,37%,33%,41%,31%,35%,34%,45%,33%,68%,37%,45%,47%,31%,47%,22%,52%,51%,39%,41%,33%,39%,49%,40%,27%,82%,3%,7%,88%,2%,20%
Would you be more likely to describe reelecting Joe Biden as president this November as a safe choice for the country or a risky choice for the country?,Risky choice,61%,65%,58%,67%,63%,64%,53%,66%,28%,61%,50%,50%,68%,52%,77%,43%,46%,60%,57%,65%,59%,50%,57%,72%,16%,97%,78%,11%,97%,79%
Would you be more likely to describe reelecting Joe Biden as president this November as a safe choice for the country or a risky choice for the country?,[VOL] Don’t know/Refused,2%,2%,2%,2%,1%,2%,3%,1%,4%,2%,4%,2%,2%,2%,<1%,5%,2%,1%,2%,3%,2%,2%,3%,2%,2%,<1%,14%,2%,<1%,<1%
Would you be more likely to describe reelecting Joe Biden as president this November as a safe choice for the country or a risky choice for the country?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Has Donald Trump ever said anything that you found offensive?,"Yes, recently",39%,34%,44%,29%,38%,36%,48%,37%,51%,40%,45%,55%,29%,55%,25%,58%,40%,38%,44%,32%,47%,52%,42%,28%,75%,6%,54%,77%,5%,38%
Has Donald Trump ever said anything that you found offensive?,"Yes, but not recently",29%,29%,30%,37%,34%,32%,20%,31%,24%,28%,30%,25%,33%,25%,35%,24%,29%,28%,28%,32%,27%,22%,32%,31%,18%,40%,24%,16%,38%,40%
Has Donald Trump ever said anything that you found offensive?,No,29%,34%,24%,32%,28%,29%,27%,30%,21%,31%,21%,18%,36%,18%,38%,15%,28%,32%,26%,31%,24%,22%,24%,39%,5%,52%,13%,4%,54%,20%
Has Donald Trump ever said anything that you found offensive?,[VOL] Don’t know/Refused,3%,3%,2%,2%,<1%,3%,4%,2%,4%,1%,4%,3%,2%,2%,2%,3%,3%,2%,2%,4%,2%,4%,3%,1%,2%,2%,8%,2%,2%,2%
Has Donald Trump ever said anything that you found offensive?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
How much do you think Donald Trump respects women?,A lot,24%,28%,20%,16%,18%,29%,26%,29%,4%,18%,16%,18%,28%,20%,35%,13%,11%,28%,18%,27%,21%,15%,20%,34%,<.5%,48%,2%,<.5%,54%,5%
How much do you think Donald Trump respects women?,Some,20%,22%,18%,28%,23%,18%,15%,21%,14%,23%,16%,14%,24%,14%,26%,11%,21%,19%,18%,23%,17%,16%,20%,22%,4%,34%,16%,3%,32%,20%
How much do you think Donald Trump respects women?,Not much,13%,11%,15%,19%,15%,12%,9%,12%,19%,17%,9%,15%,11%,15%,10%,14%,16%,13%,15%,12%,12%,16%,14%,9%,16%,9%,23%,15%,6%,23%
How much do you think Donald Trump respects women?,Not at all,39%,33%,44%,35%,39%,35%,46%,35%,60%,40%,52%,49%,33%,47%,26%,56%,50%,36%,46%,32%,45%,51%,41%,29%,79%,3%,43%,80%,2%,49%
How much do you think Donald Trump respects women?,[VOL] Don’t know/Refused,4%,6%,3%,2%,4%,6%,4%,4%,2%,2%,7%,5%,4%,4%,4%,6%,2%,4%,4%,6%,4%,3%,5%,5%,<1%,6%,15%,<1%,6%,2%
How much do you think Donald Trump respects women?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Donald Trump has committed serious federal crimes,53%,47%,59%,65%,59%,47%,53%,47%,82%,64%,66%,64%,46%,63%,36%,70%,74%,52%,60%,46%,60%,72%,56%,39%,96%,14%,68%,95%,10%,72%
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Donald Trump has not committed serious federal crimes,40%,48%,34%,27%,34%,49%,41%,48%,8%,27%,31%,31%,47%,33%,59%,23%,19%,45%,33%,47%,33%,23%,37%,56%,2%,79%,9%,3%,83%,20%
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",[VOL] Don't know/Refused,6%,5%,7%,7%,7%,4%,7%,5%,10%,9%,2%,5%,6%,4%,6%,7%,7%,3%,8%,7%,6%,6%,7%,5%,2%,7%,23%,2%,6%,8%
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
What comes closer to your view about Donald Trump's actions after the 2020 election?,He was just exercising his right to contest the election,44%,51%,39%,40%,44%,50%,41%,50%,16%,43%,29%,31%,53%,34%,62%,21%,32%,46%,39%,52%,37%,27%,40%,60%,3%,85%,12%,2%,88%,31%
What comes closer to your view about Donald Trump's actions after the 2020 election?,He went so far that he threatened American democracy,50%,44%,56%,54%,51%,46%,54%,46%,78%,52%,59%,63%,42%,62%,35%,71%,61%,49%,57%,44%,56%,67%,54%,36%,95%,9%,65%,96%,6%,62%
What comes closer to your view about Donald Trump's actions after the 2020 election?,[VOL] Don't know/Refused,5%,5%,5%,7%,5%,4%,5%,4%,6%,5%,12%,6%,5%,4%,4%,8%,7%,5%,5%,5%,7%,7%,6%,3%,2%,5%,23%,2%,6%,7%
What comes closer to your view about Donald Trump's actions after the 2020 election?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",The charges against Donald Trump are mostly politically motivated.,49%,55%,44%,42%,49%,55%,45%,56%,23%,41%,27%,37%,57%,40%,68%,24%,33%,52%,42%,57%,40%,30%,44%,66%,6%,89%,30%,5%,92%,35%
"Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",Donald Trump was charged mostly because prosecutors believed he committed crimes.,48%,42%,53%,52%,49%,43%,52%,43%,73%,55%,61%,60%,40%,59%,32%,69%,61%,47%,56%,40%,55%,66%,52%,33%,92%,8%,59%,93%,5%,64%
"Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,3%,3%,3%,5%,2%,2%,2%,<1%,4%,4%,12%,3%,3%,2%,<1%,7%,6%,1%,2%,3%,5%,3%,4%,1%,2%,3%,10%,2%,3%,<.5%
"Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"(If country headed in the wrong direction)  In a previous question you said you thought things in the U.S. were headed in the wrong direction. Which statement comes closer to your view, even if neither is exactly right?",Our problems are so bad that America is in danger of failing as a nation.,47%,49%,47%,52%,49%,52%,40%,51%,33%,44%,42%,40%,53%,39%,59%,41%,37%,47%,43%,52%,45%,43%,44%,54%,29%,63%,48%,26%,67%,47%
"(If country headed in the wrong direction)  In a previous question you said you thought things in the U.S. were headed in the wrong direction. Which statement comes closer to your view, even if neither is exactly right?","Our problems are bad, but America is not in danger of failing as a nation anytime soon.",20%,20%,21%,24%,23%,19%,19%,22%,15%,21%,17%,22%,19%,23%,20%,20%,16%,23%,24%,20%,15%,18%,22%,20%,14%,25%,26%,14%,22%,28%
"(If country headed in the wrong direction)  In a previous question you said you thought things in the U.S. were headed in the wrong direction. Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,2%,1%,2%,2%,2%,2%,2%,2%,3%,0%,2%,2%,1%,2%,1%,3%,1%,2%,2%,2%,1%,2%,1%,2%,1%,2%,6%,2%,2%,<1%
"(If country headed in the wrong direction)  In a previous question you said you thought things in the U.S. were headed in the wrong direction. Which statement comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Country is on the right track,23%,23%,23%,13%,19%,23%,30%,20%,37%,29%,30%,27%,20%,27%,14%,28%,35%,22%,25%,19%,27%,26%,25%,19%,45%,7%,7%,49%,6%,14%
"(If country headed in the wrong direction)  In a previous question you said you thought things in the U.S. were headed in the wrong direction. Which statement comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Don't know/Refused,7%,7%,7%,10%,8%,5%,8%,6%,13%,7%,9%,9%,6%,9%,4%,8%,10%,6%,6%,7%,11%,11%,7%,5%,11%,3%,13%,10%,3%,11%
"(If country headed in the wrong direction)  In a previous question you said you thought things in the U.S. were headed in the wrong direction. Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
What single news source do you turn to most often?,[VOL] Fox News,13%,15%,12%,8%,9%,13%,18%,17%,8%,5%,1%,8%,17%,10%,21%,2%,6%,11%,10%,17%,12%,10%,10%,19%,2%,25%,<1%,1%,28%,4%
What single news source do you turn to most often?,[VOL] CNN,9%,8%,11%,11%,10%,8%,9%,8%,18%,8%,10%,9%,9%,9%,8%,12%,12%,9%,11%,11%,4%,12%,8%,9%,14%,5%,12%,13%,5%,14%
What single news source do you turn to most often?,[VOL] MSNBC,5%,6%,4%,<1%,<.5%,4%,11%,5%,9%,<1%,2%,5%,5%,5%,6%,5%,4%,4%,4%,5%,6%,4%,7%,3%,11%,<1%,<1%,12%,<1%,1%
What single news source do you turn to most often?,[VOL] Public Radio/NPR/PBS,4%,2%,5%,1%,6%,4%,2%,3%,4%,3%,6%,8%,<1%,7%,<1%,9%,2%,5%,5%,2%,5%,6%,4%,1%,7%,<.5%,6%,8%,<.5%,1%
What single news source do you turn to most often?,[VOL] Talk radio/conservative personality,<1%,1%,<.5%,<1%,1%,1%,<.5%,<1%,<.5%,3%,<1%,<.5%,1%,<.5%,1%,<.5%,2%,1%,<.5%,1%,<.5%,<1%,<1%,1%,0%,2%,0%,0%,2%,0%
What single news source do you turn to most often?,"[VOL] National television networks, like CBS, NBC or ABC",11%,10%,12%,5%,5%,13%,17%,12%,10%,13%,9%,9%,12%,10%,13%,9%,12%,11%,15%,10%,10%,10%,12%,11%,17%,7%,9%,17%,6%,17%
What single news source do you turn to most often?,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",6%,3%,8%,3%,6%,7%,5%,6%,5%,10%,3%,6%,6%,6%,5%,5%,7%,8%,6%,5%,4%,5%,5%,6%,5%,6%,7%,5%,6%,2%
What single news source do you turn to most often?,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",6%,6%,7%,8%,8%,5%,6%,8%,4%,3%,6%,13%,2%,15%,2%,7%,2%,4%,12%,6%,5%,9%,6%,5%,10%,4%,5%,11%,3%,4%
What single news source do you turn to most often?,[VOL] Local print or online news organizations,<1%,<.5%,1%,<1%,<1%,<1%,<1%,<1%,2%,0%,2%,<1%,<1%,<1%,<1%,2%,<1%,2%,<.5%,<1%,<.5%,<1%,1%,<1%,1%,<.5%,<1%,<1%,<.5%,3%
What single news source do you turn to most often?,[VOL] Social media,16%,17%,15%,42%,25%,11%,6%,14%,25%,23%,15%,15%,17%,14%,14%,20%,23%,16%,13%,15%,20%,19%,16%,14%,14%,18%,13%,12%,16%,25%
What single news source do you turn to most often?,[VOL] Friends and family,<1%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,3%,0%,<.5%,<1%,<.5%,<1%,0%,2%,<.5%,<1%,0%,1%,<.5%,<1%,<.5%,<.5%,<1%,2%,<.5%,<1%,0%
What single news source do you turn to most often?,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",3%,3%,3%,2%,4%,3%,2%,2%,<1%,2%,11%,5%,2%,5%,<1%,5%,4%,3%,3%,3%,3%,4%,3%,2%,4%,2%,5%,4%,1%,4%
What single news source do you turn to most often?,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",3%,4%,2%,1%,5%,4%,<1%,3%,1%,3%,6%,3%,3%,2%,3%,4%,3%,3%,4%,1%,5%,2%,4%,2%,3%,2%,10%,3%,1%,7%
What single news source do you turn to most often?,[VOL] Conservative news sites,2%,3%,2%,2%,1%,3%,1%,2%,<1%,<1%,2%,2%,2%,3%,2%,<.5%,2%,4%,<1%,2%,2%,<1%,2%,3%,0%,4%,2%,0%,4%,1%
What single news source do you turn to most often?,[VOL] Newsmax,3%,3%,3%,0%,2%,3%,4%,4%,2%,<.5%,<1%,1%,4%,2%,5%,0%,1%,2%,3%,3%,3%,<1%,2%,6%,<1%,5%,0%,<1%,6%,<1%
What single news source do you turn to most often?,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<1%,1%,<1%,2%,<1%,<.5%,1%,<1%,0%,2%,2%,2%,<.5%,1%,<.5%,2%,<1%,<1%,1%,<.5%,1%,<1%,1%,<1%,2%,0%,3%,1%,0%,<.5%
What single news source do you turn to most often?,[VOL] Doesn’t consume news,2%,3%,2%,2%,4%,2%,<.5%,2%,2%,3%,2%,2%,2%,1%,3%,2%,<1%,3%,2%,2%,1%,3%,2%,3%,<1%,3%,7%,<1%,3%,1%
What single news source do you turn to most often?,[VOL] Other (includes no preference and the internet),10%,10%,9%,6%,8%,12%,10%,9%,3%,12%,19%,9%,10%,8%,10%,9%,12%,11%,8%,10%,11%,6%,11%,10%,8%,12%,8%,8%,11%,8%
What single news source do you turn to most often?,[VOL] Don't know/Refused,4%,4%,3%,3%,2%,4%,3%,3%,4%,5%,2%,3%,4%,1%,4%,5%,4%,2%,2%,5%,5%,6%,3%,4%,2%,4%,9%,3%,4%,4%
What single news source do you turn to most often?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very liberal,9%,8%,10%,16%,12%,6%,8%,9%,5%,13%,17%,13%,7%,13%,6%,14%,10%,7%,12%,7%,13%,14%,10%,6%,19%,1%,9%,19%,<1%,10%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat liberal,13%,8%,18%,20%,15%,11%,11%,12%,21%,13%,16%,15%,12%,15%,10%,17%,18%,10%,15%,13%,15%,19%,13%,9%,24%,4%,12%,24%,3%,17%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Moderate,36%,36%,35%,33%,39%,35%,36%,35%,36%,33%,40%,43%,30%,44%,29%,40%,34%,33%,40%,32%,38%,33%,43%,29%,43%,28%,44%,42%,24%,55%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat conservative,19%,23%,16%,16%,15%,21%,20%,20%,21%,20%,14%,12%,25%,13%,25%,13%,23%,20%,18%,20%,18%,16%,17%,24%,8%,31%,11%,8%,31%,13%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very conservative,18%,20%,16%,10%,13%,21%,21%,20%,8%,16%,8%,13%,21%,14%,25%,10%,9%,25%,10%,21%,13%,13%,13%,26%,3%,32%,6%,4%,36%,4%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",[VOL] Don't know/Refused,5%,4%,5%,5%,5%,4%,4%,4%,8%,5%,5%,3%,6%,2%,5%,5%,7%,4%,4%,7%,3%,5%,4%,6%,3%,5%,18%,3%,4%,2%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
