itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_allegh,region_central,region_northeast_lehigh_valley,region_phil,region_phil_suburbs,region_south_central,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Always legal,37%,27%,46%,50%,43%,35%,28%,34%,61%,37%,49%,30%,47%,26%,62%,46%,56%,25%,34%,58%,39%,21%,31%,56%,36%,27%,61%,13%,39%,62%
How satisfied are you with the way things are going in your life these days?,Mostly legal,29%,32%,26%,28%,27%,33%,25%,30%,13%,36%,27%,30%,28%,32%,22%,23%,25%,26%,33%,22%,31%,33%,25%,21%,32%,29%,29%,28%,27%,31%
How satisfied are you with the way things are going in your life these days?,Mostly illegal,20%,23%,18%,15%,15%,17%,29%,21%,12%,14%,14%,23%,16%,24%,6%,16%,11%,29%,19%,5%,18%,25%,28%,9%,20%,25%,5%,35%,14%,4%
How satisfied are you with the way things are going in your life these days?,Always illegal,7%,8%,6%,3%,5%,8%,8%,7%,3%,6%,6%,7%,6%,8%,3%,5%,4%,9%,7%,1%,6%,10%,10%,4%,7%,7%,2%,11%,5%,1%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,8%,11%,6%,5%,10%,6%,10%,7%,12%,7%,4%,11%,3%,10%,7%,11%,4%,12%,6%,13%,6%,11%,7%,9%,5%,12%,2%,12%,15%,2%
How satisfied are you with the way things are going in your life these days?,NET Legal,65%,59%,71%,77%,70%,69%,53%,65%,73%,74%,76%,59%,75%,58%,84%,68%,81%,51%,67%,80%,70%,54%,56%,77%,68%,56%,91%,42%,66%,92%
How satisfied are you with the way things are going in your life these days?,NET Illegal,27%,30%,23%,17%,20%,25%,37%,28%,15%,20%,20%,30%,21%,33%,9%,21%,16%,37%,27%,7%,24%,36%,38%,14%,27%,33%,8%,46%,18%,5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:"
How satisfied are you with the way things are going in your life these days?,(Split A)  The economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Split A)  The economy,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(Split A)  The economy,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Joe Biden,42%,35%,47%,29%,47%,42%,46%,40%,60%,37%,54%,35%,54%,31%,51%,53%,66%,22%,38%,48%,48%,43%,34%,50%,42%,38%,88%,0%,12%,93%
How satisfied are you with the way things are going in your life these days?,Donald Trump,54%,62%,48%,65%,43%,56%,53%,57%,24%,61%,42%,60%,42%,67%,41%,35%,34%,71%,62%,38%,47%,57%,60%,41%,56%,57%,9%,98%,63%,6%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,4%,3%,5%,6%,10%,2%,<1%,3%,16%,2%,4%,4%,4%,2%,8%,12%,0%,6%,0%,14%,5%,0%,6%,9%,2%,5%,3%,2%,26%,1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,410,225,182,57,97,131,118,345,37,20,216,193,188,157,24,33,33,45,57,28,157,48,42,54,236,120,212,173,25,178
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,46%,54%,15%,25%,29%,29%,82%,11%,5%,37%,62%,32%,49%,4%,12%,9%,15%,15%,11%,22%,15%,13%,17%,47%,36%,47%,46%,7%,38%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Split A)  The Israeli-Palestinian [pah-luh-stin-ian] conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Split A)  The Israeli-Palestinian [pah-luh-stin-ian] conflict,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(Split A)  The Israeli-Palestinian [pah-luh-stin-ian] conflict,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Joe Biden,42%,33%,49%,30%,48%,39%,47%,41%,62%,25%,54%,35%,56%,30%,35%,55%,61%,22%,37%,57%,46%,42%,36%,54%,39%,38%,83%,5%,12%,91%
How satisfied are you with the way things are going in your life these days?,Donald Trump,47%,55%,41%,56%,39%,46%,49%,48%,27%,69%,36%,54%,34%,56%,41%,41%,30%,58%,57%,31%,40%,56%,51%,37%,52%,46%,7%,91%,27%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,11%,12%,10%,14%,13%,15%,4%,12%,11%,6%,11%,11%,9%,13%,23%,4%,9%,20%,6%,13%,14%,2%,13%,9%,9%,15%,10%,4%,61%,8%
How satisfied are you with the way things are going in your life these days?,Number of respondents,410,225,182,57,97,131,118,345,37,20,216,193,188,157,24,33,33,45,57,28,157,48,42,54,236,120,212,173,25,178
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,46%,54%,15%,25%,29%,29%,82%,11%,5%,37%,62%,32%,49%,4%,12%,9%,15%,15%,11%,22%,15%,13%,17%,47%,36%,47%,46%,7%,38%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Split A)  Abortion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Split A)  Abortion,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(Split A)  Abortion,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Joe Biden,55%,46%,63%,64%,61%,53%,49%,51%,85%,71%,66%,49%,65%,42%,81%,80%,70%,24%,54%,89%,62%,48%,51%,80%,56%,42%,94%,17%,45%,97%
How satisfied are you with the way things are going in your life these days?,Donald Trump,35%,40%,32%,23%,24%,39%,46%,39%,4%,27%,26%,40%,28%,46%,16%,10%,24%,53%,33%,11%,28%,49%,40%,16%,36%,44%,4%,71%,7%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,10%,15%,5%,13%,16%,9%,4%,10%,11%,2%,7%,11%,7%,12%,4%,9%,5%,23%,13%,0%,10%,3%,9%,4%,8%,14%,2%,12%,48%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,410,225,182,57,97,131,118,345,37,20,216,193,188,157,24,33,33,45,57,28,157,48,42,54,236,120,212,173,25,178
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,46%,54%,15%,25%,29%,29%,82%,11%,5%,37%,62%,32%,49%,4%,12%,9%,15%,15%,11%,22%,15%,13%,17%,47%,36%,47%,46%,7%,38%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Crime,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Crime,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Joe Biden,42%,32%,50%,36%,45%,39%,47%,39%,61%,41%,51%,36%,52%,31%,49%,55%,59%,21%,44%,51%,46%,37%,34%,54%,46%,29%,88%,1%,26%,92%
How satisfied are you with the way things are going in your life these days?,Donald Trump,51%,62%,42%,58%,46%,53%,48%,55%,26%,50%,42%,57%,43%,62%,34%,37%,36%,69%,53%,34%,46%,55%,63%,35%,48%,64%,9%,94%,35%,7%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,7%,6%,8%,6%,9%,8%,5%,6%,13%,9%,7%,7%,5%,7%,18%,8%,5%,11%,3%,14%,7%,7%,3%,12%,6%,7%,3%,5%,40%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in Pennsylvania?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in Pennsylvania?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in Pennsylvania?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Major problem,51%,47%,55%,35%,44%,54%,58%,47%,73%,53%,38%,58%,36%,54%,49%,72%,26%,57%,49%,73%,54%,39%,50%,63%,47%,49%,30%,67%,67%,26%
How satisfied are you with the way things are going in your life these days?,Minor problem,41%,45%,38%,57%,45%,37%,36%,45%,22%,40%,52%,36%,54%,39%,44%,23%,55%,39%,44%,25%,37%,48%,45%,31%,46%,41%,61%,27%,18%,64%
How satisfied are you with the way things are going in your life these days?,Not a problem,4%,4%,5%,4%,8%,3%,3%,5%,1%,6%,6%,3%,6%,4%,5%,2%,12%,3%,6%,0%,3%,5%,1%,5%,3%,6%,7%,3%,2%,7%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,4%,5%,2%,4%,2%,5%,3%,3%,3%,1%,4%,3%,4%,3%,2%,3%,7%,<1%,<1%,2%,5%,8%,3%,<1%,5%,4%,2%,3%,13%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in your local area?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in your local area?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in your local area?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Major problem,19%,11%,25%,15%,18%,21%,19%,14%,46%,17%,15%,20%,15%,14%,17%,42%,9%,11%,16%,72%,14%,8%,10%,54%,11%,10%,16%,20%,22%,15%
How satisfied are you with the way things are going in your life these days?,Minor problem,48%,49%,47%,46%,39%,47%,57%,52%,31%,40%,50%,47%,52%,52%,44%,30%,46%,62%,49%,18%,43%,52%,65%,33%,48%,56%,45%,51%,46%,44%
How satisfied are you with the way things are going in your life these days?,Not a problem,33%,38%,28%,40%,42%,32%,23%,33%,23%,43%,34%,32%,34%,33%,39%,27%,44%,28%,35%,10%,42%,40%,25%,13%,40%,34%,38%,29%,29%,41%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<.5%,<1%,<.5%,0%,<.5%,<.5%,<1%,<.5%,0%,0%,<.5%,<.5%,0%,<.5%,0%,0%,1%,0%,0%,0%,<1%,0%,0%,0%,<1%,<.5%,<.5%,<.5%,3%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How confident are you that your community will be relatively safe in the future?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How confident are you that your community will be relatively safe in the future?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How confident are you that your community will be relatively safe in the future?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very confident,34%,38%,30%,34%,38%,32%,32%,36%,19%,37%,42%,29%,44%,31%,33%,23%,40%,32%,35%,17%,40%,37%,32%,19%,39%,35%,43%,25%,34%,45%
How satisfied are you with the way things are going in your life these days?,Somewhat confident,46%,47%,46%,52%,41%,47%,46%,47%,48%,38%,45%,46%,44%,49%,54%,39%,49%,55%,40%,42%,43%,48%,48%,45%,45%,48%,45%,47%,48%,46%
How satisfied are you with the way things are going in your life these days?,Not too confident,13%,10%,16%,10%,14%,13%,14%,12%,20%,15%,10%,15%,9%,13%,11%,21%,10%,10%,15%,22%,13%,8%,13%,22%,12%,10%,8%,18%,10%,5%
How satisfied are you with the way things are going in your life these days?,Not at all confident,5%,4%,6%,3%,4%,7%,6%,4%,11%,7%,3%,7%,3%,5%,3%,13%,1%,1%,6%,19%,3%,4%,6%,13%,3%,5%,3%,7%,7%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,1%,2%,1%,3%,<.5%,2%,1%,3%,4%,0%,3%,0%,2%,0%,4%,0%,2%,4%,0%,1%,3%,<1%,2%,1%,2%,<1%,2%,2%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Joe Biden, a lot of responsibility",7%,6%,7%,4%,9%,7%,8%,7%,7%,7%,3%,9%,2%,10%,7%,7%,7%,7%,7%,2%,5%,13%,8%,2%,8%,8%,2%,11%,6%,3%
How satisfied are you with the way things are going in your life these days?,"Joe Biden, some responsibility",9%,8%,10%,17%,7%,7%,7%,7%,12%,21%,7%,9%,6%,8%,13%,17%,10%,18%,3%,10%,5%,9%,8%,9%,9%,8%,9%,8%,10%,8%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, some responsibility",22%,25%,18%,22%,22%,24%,18%,23%,13%,21%,20%,22%,21%,24%,18%,16%,12%,30%,22%,17%,20%,28%,20%,16%,19%,28%,13%,31%,16%,12%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, a lot of responsibility",44%,38%,49%,44%,40%,42%,48%,45%,50%,30%,58%,36%,59%,36%,53%,36%,53%,27%,43%,57%,50%,39%,38%,55%,46%,34%,72%,19%,36%,76%
How satisfied are you with the way things are going in your life these days?,[VOL] Neither,10%,12%,7%,7%,11%,9%,11%,9%,12%,16%,7%,11%,7%,10%,4%,18%,8%,6%,13%,9%,9%,6%,16%,11%,9%,10%,1%,17%,14%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Both,1%,2%,<1%,2%,3%,0%,<1%,<1%,5%,0%,<.5%,2%,0%,1%,1%,4%,0%,0%,3%,2%,2%,0%,<1%,3%,<1%,<1%,<1%,1%,2%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,8%,9%,7%,4%,9%,11%,7%,9%,<1%,6%,5%,10%,5%,12%,4%,2%,10%,13%,9%,3%,9%,4%,9%,3%,9%,10%,2%,13%,17%,1%
How satisfied are you with the way things are going in your life these days?,NET Biden,15%,14%,17%,21%,15%,14%,15%,14%,19%,27%,10%,19%,9%,18%,20%,24%,17%,25%,10%,11%,10%,23%,16%,11%,17%,16%,11%,20%,16%,10%
How satisfied are you with the way things are going in your life these days?,NET Trump,65%,63%,67%,66%,61%,66%,66%,68%,63%,51%,77%,58%,80%,60%,70%,52%,65%,56%,65%,74%,70%,67%,59%,71%,65%,63%,85%,49%,52%,87%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,The system does not need changes,2%,3%,1%,2%,1%,2%,4%,2%,0%,5%,4%,2%,3%,1%,3%,2%,2%,<1%,5%,4%,2%,<1%,2%,3%,3%,2%,1%,3%,4%,2%
