itm,v1,u_s_likely_electorate_u_s_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden
Democracy,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares
Which candidate do you think was the legitimate winner of the 2020 presidential election?,Joe Biden,67%,66%,68%,78%,72%,63%,63%,63%,90%,72%,66%,63%,77%,78%,60%,78%,52%,79%,77%,63%,76%,61%,71%,97%,37%,63%,96%,30%,75%,97%
Which candidate do you think was the legitimate winner of the 2020 presidential election?,Donald Trump,26%,26%,26%,18%,21%,29%,29%,30%,5%,20%,27%,30%,16%,16%,32%,16%,40%,17%,16%,29%,18%,31%,21%,2%,51%,11%,3%,58%,17%,1%
Which candidate do you think was the legitimate winner of the 2020 presidential election?,[VOL] Don't know/Refused,8%,9%,7%,4%,6%,8%,9%,8%,5%,8%,7%,8%,6%,6%,8%,6%,9%,5%,7%,8%,6%,8%,8%,1%,12%,26%,2%,12%,8%,2%
Which candidate do you think was the legitimate winner of the 2020 presidential election?,Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
"(Ask only split A)  Thinking about the aftermath of recent hurricanes, how would you rate the federal government’s response?",Excellent,12%,11%,13%,2%,6%,14%,22%,13%,17%,9%,6%,13%,11%,17%,10%,19%,8%,9%,12%,12%,16%,10%,14%,24%,2%,1%,24%,4%,9%,25%
"(Ask only split A)  Thinking about the aftermath of recent hurricanes, how would you rate the federal government’s response?",Good,25%,21%,28%,19%,20%,29%,27%,23%,35%,28%,23%,23%,29%,26%,24%,26%,21%,30%,29%,26%,28%,23%,23%,41%,9%,20%,40%,11%,24%,42%
"(Ask only split A)  Thinking about the aftermath of recent hurricanes, how would you rate the federal government’s response?",Fair,23%,23%,23%,34%,27%,18%,20%,23%,22%,28%,20%,23%,23%,23%,23%,23%,23%,22%,24%,23%,23%,20%,26%,22%,22%,31%,22%,21%,26%,20%
"(Ask only split A)  Thinking about the aftermath of recent hurricanes, how would you rate the federal government’s response?",Poor,35%,39%,31%,42%,39%,35%,27%,36%,24%,31%,41%,36%,31%,28%,38%,27%,43%,34%,28%,36%,24%,42%,32%,8%,62%,28%,11%,58%,37%,8%
"(Ask only split A)  Thinking about the aftermath of recent hurricanes, how would you rate the federal government’s response?",[VOL] Don't know/Refused,5%,5%,5%,3%,8%,4%,4%,5%,3%,5%,11%,5%,6%,6%,5%,5%,4%,5%,6%,3%,10%,4%,5%,4%,5%,20%,4%,6%,4%,5%
"(Ask only split A)  Thinking about the aftermath of recent hurricanes, how would you rate the federal government’s response?",NET Excellent/good,37%,33%,41%,21%,26%,42%,48%,36%,51%,36%,29%,36%,40%,43%,33%,45%,30%,38%,41%,37%,44%,33%,37%,65%,10%,21%,64%,15%,33%,67%
"(Ask only split A)  Thinking about the aftermath of recent hurricanes, how would you rate the federal government’s response?",NET Fair/poor,58%,62%,54%,76%,66%,53%,48%,59%,46%,59%,61%,59%,54%,51%,62%,50%,66%,57%,52%,59%,47%,63%,58%,31%,85%,59%,32%,79%,63%,28%
"(Ask only split A)  Thinking about the aftermath of recent hurricanes, how would you rate the federal government’s response?",Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
(Ask only split A)  How much do you trust that the results of the 2024 presidential election will be accurate?,A great deal,40%,39%,41%,29%,42%,40%,46%,40%,47%,36%,32%,40%,39%,49%,34%,51%,33%,43%,38%,41%,51%,32%,41%,67%,14%,27%,65%,19%,38%,69%
(Ask only split A)  How much do you trust that the results of the 2024 presidential election will be accurate?,A fair amount,38%,39%,38%,54%,39%,31%,37%,37%,34%,50%,39%,37%,41%,36%,40%,35%,38%,39%,43%,37%,28%,44%,39%,27%,50%,36%,28%,47%,36%,24%
(Ask only split A)  How much do you trust that the results of the 2024 presidential election will be accurate?,Not too much,14%,13%,14%,15%,11%,19%,10%,14%,12%,10%,14%,14%,12%,9%,17%,8%,20%,15%,11%,14%,14%,14%,13%,5%,22%,23%,5%,19%,18%,5%
(Ask only split A)  How much do you trust that the results of the 2024 presidential election will be accurate?,Not at all,3%,5%,2%,2%,5%,5%,2%,4%,<1%,1%,4%,4%,2%,1%,5%,2%,5%,<.5%,3%,2%,1%,5%,4%,<.5%,7%,3%,0%,7%,3%,<.5%
(Ask only split A)  How much do you trust that the results of the 2024 presidential election will be accurate?,[VOL] Don't know/Refused,5%,5%,5%,1%,3%,6%,6%,4%,6%,2%,11%,4%,6%,4%,5%,4%,4%,3%,6%,5%,6%,5%,4%,2%,8%,11%,1%,7%,6%,2%
(Ask only split A)  How much do you trust that the results of the 2024 presidential election will be accurate?,NET Trust,78%,77%,79%,82%,81%,71%,82%,77%,81%,87%,71%,77%,80%,85%,73%,86%,71%,82%,80%,78%,78%,77%,80%,94%,64%,63%,93%,66%,74%,93%
(Ask only split A)  How much do you trust that the results of the 2024 presidential election will be accurate?,NET Distrust,17%,18%,16%,16%,16%,23%,12%,18%,13%,12%,18%,18%,14%,11%,22%,10%,25%,15%,14%,17%,15%,18%,17%,5%,29%,26%,5%,27%,21%,5%
(Ask only split A)  How much do you trust that the results of the 2024 presidential election will be accurate?,Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
"Which of the following statements comes closer to your view, even if neither is exactly right?",American democracy does a good job representing the people,49%,48%,49%,40%,44%,48%,58%,49%,54%,47%,41%,49%,48%,56%,44%,58%,44%,53%,45%,47%,54%,48%,47%,63%,36%,31%,64%,36%,46%,63%
"Which of the following statements comes closer to your view, even if neither is exactly right?",American democracy does NOT do a good job representing the people,45%,46%,45%,57%,52%,45%,35%,46%,42%,41%,54%,46%,45%,39%,49%,38%,51%,42%,46%,46%,41%,46%,48%,33%,57%,51%,32%,57%,47%,32%
"Which of the following statements comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,6%,6%,6%,2%,4%,8%,7%,5%,4%,13%,4%,5%,7%,4%,7%,4%,6%,4%,9%,7%,6%,6%,5%,4%,7%,18%,4%,7%,7%,5%
"Which of the following statements comes closer to your view, even if neither is exactly right?",Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
"Which comes closest to your views, even if neither is exactly right?",American democracy is currently under threat,76%,73%,78%,68%,72%,78%,79%,77%,79%,62%,75%,77%,72%,77%,75%,78%,76%,73%,71%,76%,75%,76%,75%,77%,76%,59%,76%,79%,74%,77%
"Which comes closest to your views, even if neither is exactly right?",American democracy is not currently under threat,20%,23%,18%,30%,24%,18%,17%,20%,15%,28%,22%,20%,22%,21%,20%,20%,21%,24%,21%,20%,21%,20%,21%,20%,20%,29%,20%,18%,23%,20%
"Which comes closest to your views, even if neither is exactly right?",[VOL] Don't know/Refused,4%,4%,4%,1%,5%,3%,5%,3%,6%,9%,3%,3%,6%,2%,5%,2%,3%,4%,8%,3%,5%,4%,4%,4%,3%,11%,4%,3%,3%,4%
"Which comes closest to your views, even if neither is exactly right?",Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Donald Trump,21%,18%,23%,12%,14%,22%,28%,21%,30%,15%,19%,21%,22%,26%,18%,27%,17%,24%,21%,18%,29%,16%,25%,43%,0%,9%,43%,2%,21%,44%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] The government/government corruption/non-specific politicians/leaders,14%,17%,11%,14%,18%,12%,12%,14%,5%,9%,25%,14%,12%,14%,14%,14%,14%,13%,11%,14%,11%,14%,15%,9%,18%,18%,9%,16%,17%,9%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Immigrants/immigration,7%,7%,6%,3%,6%,8%,8%,8%,3%,3%,2%,8%,3%,4%,8%,4%,11%,5%,1%,5%,5%,9%,6%,<.5%,13%,10%,<.5%,13%,6%,1%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Loss of constitutional liberties/damage to institutions,6%,6%,6%,10%,6%,5%,5%,6%,8%,5%,7%,6%,7%,7%,6%,7%,5%,8%,6%,7%,5%,6%,7%,6%,7%,8%,5%,5%,9%,5%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Instability/sentiments about how bad things are,5%,5%,5%,5%,4%,5%,5%,5%,6%,6%,3%,5%,5%,3%,6%,3%,6%,3%,6%,5%,5%,4%,6%,4%,6%,7%,5%,5%,4%,4%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,"[VOL] Democrats (include named, non-Biden/Harris Democratic leaders like Pelosi)",5%,6%,3%,<1%,4%,7%,5%,5%,0%,<1%,9%,5%,3%,6%,4%,5%,5%,7%,<1%,5%,2%,6%,4%,0%,9%,4%,<.5%,9%,4%,<.5%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Kamala Harris,3%,3%,3%,2%,2%,3%,4%,3%,3%,0%,7%,3%,3%,1%,4%,1%,4%,2%,3%,4%,2%,4%,2%,0%,6%,<1%,<.5%,7%,1%,<.5%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Foreign policy/war,3%,3%,3%,2%,4%,2%,4%,3%,3%,3%,<1%,3%,2%,3%,3%,3%,3%,2%,2%,3%,4%,4%,<1%,2%,4%,<1%,2%,4%,2%,2%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Misinformation/conspiracies/election denialism,3%,3%,3%,4%,3%,2%,2%,3%,3%,2%,<.5%,3%,2%,4%,2%,5%,2%,1%,2%,4%,4%,2%,2%,5%,<1%,0%,5%,1%,2%,5%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Societal divisions/political divisions/polarization,3%,2%,4%,4%,5%,2%,1%,2%,4%,2%,3%,2%,3%,4%,2%,4%,1%,4%,3%,2%,3%,3%,2%,4%,1%,4%,3%,<1%,3%,4%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Joe Biden,3%,3%,2%,<.5%,2%,2%,3%,3%,<1%,<.5%,0%,3%,<.5%,1%,3%,1%,4%,<.5%,<1%,2%,3%,4%,<1%,<1%,5%,0%,<1%,5%,1%,<1%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Authoritarianism/fascism,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,4%,<1%,4%,<.5%,5%,<1%,2%,2%,1%,3%,4%,<.5%,2%,2%,<.5%,3%,3%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Socialism/communism,2%,2%,1%,<.5%,2%,2%,3%,2%,0%,1%,3%,2%,1%,2%,2%,2%,2%,2%,1%,3%,1%,2%,<1%,<.5%,4%,2%,0%,3%,2%,<.5%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] The economy/inflation,2%,2%,2%,3%,1%,2%,2%,1%,2%,4%,4%,1%,3%,<1%,2%,1%,1%,<1%,5%,2%,1%,1%,2%,1%,2%,<1%,2%,2%,1%,1%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Violence/political extremism,1%,2%,1%,2%,2%,1%,<1%,1%,1%,2%,2%,1%,2%,2%,1%,2%,<1%,2%,2%,<.5%,2%,1%,2%,2%,<1%,<1%,2%,<1%,1%,1%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Politically correct culture/woke issues/cancel culture,1%,2%,<1%,<.5%,2%,1%,<1%,1%,<.5%,3%,2%,1%,1%,2%,<1%,2%,<1%,1%,1%,1%,<1%,2%,1%,<.5%,2%,<.5%,<.5%,2%,2%,<.5%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Voter fraud/voting issues,1%,1%,1%,<1%,2%,2%,<.5%,1%,0%,1%,<1%,1%,<1%,2%,<1%,2%,<1%,2%,<.5%,<1%,2%,<.5%,2%,<.5%,2%,0%,<1%,2%,1%,<.5%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,"[VOL] Republicans (include named, non-Trump Republican leaders like McConnell)",1%,<1%,1%,2%,0%,2%,<1%,1%,<1%,2%,0%,1%,1%,1%,<1%,1%,1%,2%,<1%,2%,1%,<1%,1%,2%,0%,0%,2%,0%,1%,2%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] The media,1%,1%,1%,1%,0%,1%,2%,1%,<.5%,<1%,0%,1%,<.5%,1%,1%,1%,1%,<.5%,<1%,0%,<.5%,1%,2%,<.5%,2%,0%,<.5%,2%,<1%,<.5%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Nationalism/white nationalism/right-wing extremism,<1%,<1%,<1%,0%,2%,<1%,<.5%,<1%,<1%,0%,<1%,<1%,<.5%,1%,<.5%,1%,<.5%,<1%,<.5%,1%,<.5%,<.5%,1%,1%,0%,0%,<1%,0%,1%,1%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Abortion,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,0%,<.5%,0%,<1%,0%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,0%,0%,<.5%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,"[VOL] Other, specify",10%,9%,10%,19%,10%,8%,6%,9%,14%,15%,10%,9%,13%,7%,11%,6%,10%,9%,15%,11%,10%,10%,8%,9%,10%,10%,9%,11%,9%,7%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,[VOL] Don't know/Refused,7%,6%,8%,12%,6%,7%,6%,5%,13%,21%,<1%,5%,12%,3%,10%,3%,8%,6%,16%,7%,8%,8%,5%,6%,7%,21%,8%,8%,6%,5%
(Ask if democracy under threat) What one or two words do you think summarizes the current threat to democracy?,Number of respondents,"1,568",730,823,250,316,544,407,"1,075",191,141,117,"1,075",449,772,786,564,506,192,254,335,330,565,338,805,708,55,520,487,483,727
"(Ask only split A)  Which comes closest to your view about the political and economic system in America, even if none are exactly right?",The system does not need changes,3%,3%,2%,1%,2%,3%,3%,3%,<1%,3%,5%,3%,2%,4%,2%,4%,2%,5%,1%,3%,2%,3%,2%,2%,2%,6%,1%,3%,3%,2%
"(Ask only split A)  Which comes closest to your view about the political and economic system in America, even if none are exactly right?",The system needs minor changes,38%,40%,36%,29%,34%,40%,44%,40%,24%,40%,36%,40%,32%,46%,33%,47%,35%,42%,28%,36%,43%,33%,42%,49%,29%,22%,47%,28%,39%,48%
"(Ask only split A)  Which comes closest to your view about the political and economic system in America, even if none are exactly right?",The system needs major changes,51%,48%,53%,62%,55%,47%,47%,49%,62%,50%,56%,49%,57%,43%,55%,42%,55%,46%,61%,50%,45%,55%,50%,44%,57%,53%,48%,56%,47%,45%
"(Ask only split A)  Which comes closest to your view about the political and economic system in America, even if none are exactly right?",The system needs to be torn down entirely,7%,8%,7%,8%,7%,9%,4%,7%,12%,5%,3%,7%,7%,6%,8%,5%,8%,7%,7%,9%,5%,8%,6%,5%,10%,8%,3%,11%,8%,4%
"(Ask only split A)  Which comes closest to your view about the political and economic system in America, even if none are exactly right?",[VOL] Don't know/Refused,2%,1%,2%,<.5%,1%,2%,2%,1%,1%,2%,0%,1%,1%,1%,2%,1%,<1%,0%,2%,1%,4%,1%,0%,<1%,2%,11%,<.5%,1%,2%,<1%
"(Ask only split A)  Which comes closest to your view about the political and economic system in America, even if none are exactly right?",Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
"Are each of the following good for democracy, bad for democracy or neither good nor bad for democracy?",Good for democracy,45%,47%,43%,43%,46%,44%,46%,50%,22%,37%,43%,50%,33%,42%,46%,42%,55%,43%,27%,48%,40%,50%,37%,17%,73%,32%,18%,76%,42%,20%
"Are each of the following good for democracy, bad for democracy or neither good nor bad for democracy?",Bad for democracy,26%,26%,27%,24%,17%,27%,34%,25%,45%,22%,22%,25%,31%,29%,25%,30%,21%,27%,34%,23%,33%,20%,33%,50%,3%,20%,53%,5%,22%,48%
"Are each of the following good for democracy, bad for democracy or neither good nor bad for democracy?",Neither good nor bad for democracy,25%,23%,27%,33%,33%,25%,14%,23%,24%,30%,34%,23%,29%,27%,24%,27%,21%,28%,30%,23%,25%,26%,26%,28%,22%,36%,26%,19%,30%,27%
"Are each of the following good for democracy, bad for democracy or neither good nor bad for democracy?",[VOL] Don't know/Refused,4%,5%,4%,<1%,4%,3%,6%,2%,9%,11%,<1%,2%,7%,2%,6%,2%,2%,2%,10%,5%,2%,5%,4%,5%,2%,12%,3%,1%,6%,5%
"Are each of the following good for democracy, bad for democracy or neither good nor bad for democracy?",Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
(Ask only split A)  Democrats,Good for democracy,45%,40%,51%,52%,45%,45%,45%,42%,70%,47%,42%,42%,55%,51%,42%,51%,35%,53%,57%,45%,50%,39%,50%,75%,16%,33%,81%,15%,40%,74%
(Ask only split A)  Democrats,Bad for democracy,29%,33%,25%,14%,22%,32%,37%,33%,10%,15%,28%,33%,17%,21%,32%,22%,41%,20%,15%,27%,24%,32%,29%,1%,57%,12%,2%,60%,25%,4%
(Ask only split A)  Democrats,Neither good nor bad for democracy,23%,23%,22%,33%,30%,23%,13%,23%,12%,33%,27%,23%,23%,24%,22%,24%,22%,23%,23%,24%,22%,24%,19%,20%,24%,39%,15%,23%,31%,18%
(Ask only split A)  Democrats,[VOL] Don't know/Refused,3%,4%,3%,1%,4%,<1%,6%,2%,8%,5%,3%,2%,5%,4%,3%,4%,2%,4%,6%,3%,4%,5%,2%,4%,2%,16%,2%,2%,3%,3%
(Ask only split A)  Democrats,Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
(Ask only split B)  Donald Trump,Good for democracy,41%,46%,37%,30%,35%,45%,44%,47%,6%,32%,39%,47%,25%,30%,48%,33%,57%,18%,28%,48%,31%,47%,34%,3%,81%,15%,4%,86%,32%,5%
(Ask only split B)  Donald Trump,Bad for democracy,47%,40%,53%,51%,51%,43%,48%,44%,78%,46%,44%,44%,57%,58%,40%,57%,35%,62%,54%,42%,55%,43%,52%,90%,4%,50%,89%,5%,49%,88%
(Ask only split B)  Donald Trump,Neither good nor bad for democracy,12%,14%,9%,20%,13%,12%,8%,9%,14%,20%,17%,9%,17%,12%,11%,10%,8%,18%,17%,10%,14%,10%,13%,7%,15%,28%,6%,9%,18%,6%
(Ask only split B)  Donald Trump,[VOL] Don't know/Refused,<.5%,<.5%,<1%,0%,<1%,<.5%,<.5%,0%,2%,2%,0%,0%,1%,<1%,<.5%,0%,0%,2%,1%,0%,<1%,<.5%,<1%,<.5%,<.5%,7%,<.5%,<.5%,<1%,<.5%
(Ask only split B)  Kamala Harris,Good for democracy,44%,40%,48%,39%,44%,44%,47%,40%,76%,53%,37%,40%,57%,52%,39%,50%,33%,60%,56%,39%,53%,41%,47%,84%,5%,30%,88%,5%,43%,83%
(Ask only split B)  Kamala Harris,Bad for democracy,40%,45%,37%,30%,34%,44%,45%,47%,5%,26%,46%,47%,24%,32%,46%,34%,55%,21%,25%,46%,31%,46%,34%,1%,80%,40%,1%,85%,34%,4%
(Ask only split B)  Kamala Harris,Neither good nor bad for democracy,14%,14%,14%,31%,20%,10%,6%,13%,18%,17%,16%,13%,17%,16%,13%,14%,12%,19%,16%,14%,15%,12%,16%,13%,14%,25%,10%,10%,20%,12%
(Ask only split B)  Kamala Harris,[VOL] Don't know/Refused,1%,1%,1%,<.5%,<1%,2%,2%,1%,<1%,4%,<1%,1%,2%,1%,2%,1%,<1%,0%,3%,<1%,<1%,1%,3%,1%,1%,4%,1%,<1%,2%,1%
(Ask only split B)  Kamala Harris,Number of respondents,"1,114",524,578,197,242,375,259,751,138,121,77,751,336,526,580,373,375,142,191,230,212,422,250,565,495,54,365,330,343,489
(Ask only split B)  Joe Biden,Good for democracy,37%,36%,39%,25%,35%,37%,45%,34%,58%,49%,27%,34%,46%,45%,32%,45%,27%,50%,46%,35%,44%,32%,42%,72%,5%,13%,76%,6%,35%,72%
(Ask only split B)  Joe Biden,Bad for democracy,42%,45%,40%,37%,38%,47%,42%,47%,11%,32%,51%,47%,30%,33%,48%,35%,55%,24%,32%,46%,35%,48%,35%,6%,78%,45%,7%,82%,38%,8%
(Ask only split B)  Joe Biden,Neither good nor bad for democracy,19%,18%,20%,37%,26%,15%,12%,18%,26%,17%,23%,18%,22%,20%,19%,19%,18%,25%,20%,18%,20%,18%,21%,21%,15%,38%,17%,12%,25%,19%
(Ask only split B)  Joe Biden,[VOL] Don't know/Refused,1%,1%,1%,0%,<1%,1%,2%,<1%,5%,1%,0%,<1%,2%,2%,<1%,1%,<.5%,2%,3%,<1%,1%,1%,1%,<.5%,2%,5%,<.5%,<1%,2%,<.5%
(Ask only split B)  Joe Biden,Number of respondents,"1,114",524,578,197,242,375,259,751,138,121,77,751,336,526,580,373,375,142,191,230,212,422,250,565,495,54,365,330,343,489
(Ask only split A)  The Department of Justice,Good for democracy,53%,50%,56%,63%,59%,51%,48%,52%,55%,68%,53%,52%,59%,65%,46%,66%,42%,65%,56%,53%,57%,46%,61%,71%,36%,46%,70%,37%,54%,71%
(Ask only split A)  The Department of Justice,Bad for democracy,23%,28%,18%,16%,16%,28%,26%,26%,15%,7%,28%,26%,16%,18%,25%,19%,30%,17%,15%,23%,18%,25%,24%,9%,38%,9%,9%,37%,22%,8%
(Ask only split A)  The Department of Justice,Neither good nor bad for democracy,19%,19%,20%,21%,23%,19%,17%,18%,23%,24%,16%,18%,21%,14%,23%,13%,22%,17%,24%,19%,20%,24%,12%,17%,20%,34%,19%,20%,20%,17%
(Ask only split A)  The Department of Justice,[VOL] Don't know/Refused,5%,4%,6%,<1%,2%,2%,9%,5%,7%,<1%,3%,5%,4%,3%,6%,3%,6%,2%,5%,6%,5%,5%,3%,3%,5%,11%,2%,5%,4%,4%
(Ask only split A)  The Department of Justice,Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
(Ask only split A)  The Supreme Court,Good for democracy,57%,62%,52%,63%,63%,54%,52%,58%,36%,66%,66%,58%,55%,56%,57%,56%,58%,54%,54%,56%,49%,60%,59%,35%,78%,56%,35%,75%,58%,35%
(Ask only split A)  The Supreme Court,Bad for democracy,22%,21%,24%,19%,16%,23%,28%,21%,41%,13%,23%,21%,26%,25%,21%,25%,19%,27%,27%,20%,25%,21%,25%,41%,4%,10%,42%,7%,19%,41%
(Ask only split A)  The Supreme Court,Neither good nor bad for democracy,17%,14%,20%,18%,19%,17%,16%,18%,17%,17%,11%,18%,15%,17%,17%,17%,19%,17%,15%,21%,19%,15%,15%,19%,15%,21%,21%,15%,17%,19%
(Ask only split A)  The Supreme Court,[VOL] Don't know/Refused,4%,3%,4%,0%,2%,6%,4%,3%,6%,4%,0%,3%,4%,2%,5%,2%,4%,2%,4%,3%,7%,4%,1%,4%,3%,12%,3%,3%,6%,4%
(Ask only split A)  The Supreme Court,Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
(Ask only split B)  The Electoral College,Good for democracy,42%,49%,35%,34%,37%,40%,51%,42%,33%,50%,39%,42%,41%,41%,41%,42%,42%,40%,41%,40%,38%,47%,38%,27%,56%,46%,29%,51%,44%,28%
(Ask only split B)  The Electoral College,Bad for democracy,34%,28%,40%,40%,37%,35%,28%,35%,44%,22%,32%,35%,33%,40%,31%,40%,31%,40%,29%,28%,35%,34%,39%,49%,19%,33%,46%,22%,34%,48%
(Ask only split B)  The Electoral College,Neither good nor bad for democracy,19%,18%,18%,25%,23%,18%,13%,18%,18%,18%,24%,18%,20%,17%,20%,17%,19%,17%,21%,22%,19%,15%,20%,18%,19%,18%,18%,19%,19%,19%
(Ask only split B)  The Electoral College,[VOL] Don't know/Refused,6%,5%,6%,<1%,2%,7%,8%,5%,4%,10%,5%,5%,6%,2%,8%,1%,8%,4%,8%,10%,7%,3%,3%,6%,6%,3%,7%,8%,2%,5%
(Ask only split B)  The Electoral College,Number of respondents,"1,114",524,578,197,242,375,259,751,138,121,77,751,336,526,580,373,375,142,191,230,212,422,250,565,495,54,365,330,343,489
(Ask only split B)  The U.S. Senate,Good for democracy,50%,53%,47%,53%,51%,48%,49%,49%,51%,56%,51%,49%,53%,54%,47%,53%,47%,56%,50%,44%,58%,46%,54%,56%,45%,44%,55%,40%,56%,58%
(Ask only split B)  The U.S. Senate,Bad for democracy,21%,21%,20%,14%,16%,21%,28%,22%,21%,10%,20%,22%,17%,18%,22%,19%,24%,16%,17%,23%,17%,24%,17%,16%,25%,20%,15%,30%,16%,17%
