itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Do you think Donald Trump has the personality and temperament to be an effective president?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Do you think Donald Trump has the personality and temperament to be an effective president?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Yes,41%,42%,39%,45%,44%,49%,26%,41%,34%,52%,29%,31%,48%,29%,48%,35%,47%,45%,42%,43%,34%,40%,38%,45%,9%,79%,31%,12%,72%,37%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No,56%,56%,56%,52%,50%,49%,71%,56%,61%,44%,67%,67%,48%,70%,47%,61%,49%,48%,55%,54%,64%,55%,61%,49%,89%,20%,50%,85%,27%,60%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,3%,2%,5%,3%,6%,1%,3%,3%,4%,4%,4%,2%,4%,<1%,5%,4%,4%,7%,3%,3%,1%,5%,1%,6%,2%,<1%,18%,3%,<1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,416,211,202,71,97,143,84,263,47,72,27,214,202,135,128,74,72,84,94,137,101,90,186,140,191,186,39,126,111,141
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,17%,22%,30%,27%,64%,12%,17%,6%,41%,59%,25%,39%,15%,20%,21%,22%,33%,24%,20%,45%,35%,46%,42%,11%,30%,27%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Joe Biden’s policies have...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Joe Biden’s policies have...,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Joe Biden’s policies have...,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Helped you personally,18%,17%,18%,10%,16%,21%,20%,19%,17%,15%,15%,25%,13%,28%,14%,20%,12%,19%,14%,15%,25%,22%,21%,12%,39%,2%,2%,43%,3%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Hurt you personally,43%,45%,40%,34%,43%,51%,39%,49%,21%,36%,35%,39%,45%,39%,54%,36%,27%,43%,38%,47%,40%,36%,35%,55%,6%,76%,43%,10%,71%,43%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not made much of a difference either way,39%,37%,41%,56%,40%,27%,41%,31%,63%,49%,48%,35%,41%,31%,32%,43%,61%,36%,47%,38%,35%,42%,43%,32%,55%,22%,51%,46%,26%,43%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,<1%,<.5%,1%,0%,2%,<.5%,0%,<1%,0%,<.5%,2%,1%,<1%,<1%,<1%,2%,0%,2%,<1%,<.5%,0%,<.5%,1%,<1%,<.5%,<.5%,4%,<.5%,<1%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump’s policies have...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump’s policies have...,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump’s policies have...,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Helped you personally,40%,41%,39%,28%,41%,48%,38%,44%,26%,37%,30%,34%,44%,34%,49%,32%,32%,45%,33%,45%,33%,32%,33%,53%,5%,74%,23%,11%,74%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Hurt you personally,25%,24%,26%,22%,24%,27%,26%,26%,24%,22%,24%,40%,16%,45%,15%,31%,18%,21%,31%,20%,31%,33%,26%,18%,53%,1%,17%,51%,3%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not made much of a difference either way,34%,34%,34%,48%,34%,24%,35%,29%,48%,41%,43%,26%,39%,21%,34%,36%,48%,32%,34%,34%,35%,33%,40%,27%,41%,23%,54%,38%,22%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,1%,1%,2%,<1%,1%,2%,2%,1%,2%,<1%,3%,<.5%,2%,<.5%,2%,<1%,2%,2%,2%,<1%,1%,2%,<1%,2%,<1%,1%,5%,<1%,1%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the nation’s economy, how would you rate economic conditions today?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the nation’s economy, how would you rate economic conditions today?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the nation’s economy, how would you rate economic conditions today?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,7%,8%,5%,0%,3%,7%,15%,9%,1%,5%,5%,9%,6%,11%,7%,5%,3%,7%,4%,5%,12%,5%,8%,6%,14%,2%,4%,11%,5%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,19%,21%,17%,14%,17%,19%,23%,18%,25%,11%,29%,26%,14%,27%,13%,25%,16%,22%,17%,16%,21%,22%,21%,14%,39%,3%,9%,37%,5%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,23%,24%,22%,28%,24%,24%,18%,22%,23%,27%,23%,25%,21%,24%,20%,28%,22%,16%,30%,25%,19%,23%,24%,20%,24%,18%,40%,25%,17%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,51%,47%,56%,59%,54%,51%,44%,51%,51%,57%,43%,40%,59%,38%,59%,42%,59%,54%,49%,54%,47%,49%,46%,60%,24%,77%,45%,27%,72%,52%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,<.5%,<.5%,0%,1%,0%,0%,<.5%,0%,<1%,0%,<.5%,<.5%,<.5%,<.5%,<1%,0%,<1%,0%,0%,<1%,<.5%,0%,<1%,<.5%,<.5%,2%,0%,<.5%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,26%,29%,22%,14%,21%,26%,38%,27%,26%,16%,34%,35%,20%,37%,21%,30%,20%,29%,21%,21%,33%,28%,30%,20%,52%,4%,13%,48%,10%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,74%,71%,77%,86%,78%,74%,62%,73%,74%,84%,66%,65%,80%,62%,79%,70%,80%,70%,79%,79%,66%,72%,70%,80%,48%,96%,85%,52%,89%,76%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) And thinking about your own personal finances, would you say that your personal financial situation is in excellent shape, good shape, only fair shape, or poor shape?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) And thinking about your own personal finances, would you say that your personal financial situation is in excellent shape, good shape, only fair shape, or poor shape?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) And thinking about your own personal finances, would you say that your personal financial situation is in excellent shape, good shape, only fair shape, or poor shape?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,13%,14%,12%,4%,14%,13%,16%,17%,2%,9%,3%,17%,10%,20%,15%,12%,2%,12%,14%,13%,12%,12%,11%,15%,18%,9%,10%,14%,12%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,38%,39%,38%,34%,37%,43%,35%,37%,47%,27%,50%,43%,36%,46%,32%,40%,41%,44%,34%,35%,41%,40%,39%,36%,45%,33%,39%,47%,33%,37%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,32%,29%,35%,34%,29%,29%,35%,31%,34%,33%,35%,29%,33%,27%,33%,37%,33%,33%,27%,34%,30%,33%,30%,32%,27%,36%,25%,27%,35%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,17%,19%,15%,26%,20%,15%,13%,16%,17%,30%,10%,9%,21%,7%,20%,9%,23%,9%,25%,19%,17%,15%,19%,17%,10%,22%,23%,11%,20%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,0%,<.5%,2%,0%,0%,0%,0%,0%,0%,3%,<1%,0%,0%,0%,3%,0%,1%,0%,0%,0%,0%,<1%,0%,0%,0%,3%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,51%,52%,50%,38%,52%,56%,52%,54%,49%,37%,52%,60%,47%,66%,47%,51%,44%,56%,48%,47%,53%,52%,50%,51%,63%,42%,50%,61%,45%,51%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,49%,48%,50%,60%,48%,44%,48%,46%,51%,63%,45%,39%,53%,34%,53%,46%,56%,43%,52%,53%,47%,48%,49%,49%,37%,58%,47%,39%,55%,49%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,407,206,194,58,110,139,83,270,45,49,32,177,227,126,143,47,78,90,83,149,85,99,164,144,158,215,34,120,122,136
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,14%,25%,33%,24%,68%,10%,12%,8%,34%,65%,24%,43%,9%,20%,22%,19%,38%,21%,23%,40%,37%,39%,53%,8%,29%,32%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split A) Do you think the economy is better or worse than it was a year ago, or is it about the same?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split A) Do you think the economy is better or worse than it was a year ago, or is it about the same?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split A) Do you think the economy is better or worse than it was a year ago, or is it about the same?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Better,23%,30%,17%,23%,16%,17%,37%,25%,12%,17%,36%,30%,19%,32%,21%,24%,15%,20%,23%,23%,27%,17%,29%,20%,46%,4%,3%,44%,9%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Worse,40%,37%,44%,52%,40%,44%,26%,37%,43%,53%,29%,32%,45%,29%,42%,38%,51%,42%,50%,36%,34%,55%,33%,40%,16%,61%,60%,18%,53%,43%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",About the same,36%,33%,39%,25%,42%,39%,37%,37%,45%,30%,34%,38%,35%,37%,37%,39%,33%,36%,27%,41%,39%,27%,38%,39%,37%,35%,37%,36%,37%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<1%,<.5%,<.5%,0%,2%,0%,0%,<1%,0%,0%,0%,<1%,<.5%,1%,<.5%,0%,0%,3%,0%,0%,0%,1%,0%,<1%,<1%,<.5%,0%,1%,<.5%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,416,211,202,71,97,143,84,263,47,72,27,214,202,135,128,74,72,84,94,137,101,90,186,140,191,186,39,126,111,141
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,17%,22%,30%,27%,64%,12%,17%,6%,41%,59%,25%,39%,15%,20%,21%,22%,33%,24%,20%,45%,35%,46%,42%,11%,30%,27%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) Do you think the economy is better or worse than it was four years ago, or is it about the same?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) Do you think the economy is better or worse than it was four years ago, or is it about the same?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) Do you think the economy is better or worse than it was four years ago, or is it about the same?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Better,19%,20%,18%,11%,16%,25%,20%,21%,17%,17%,10%,28%,14%,30%,16%,25%,12%,21%,22%,13%,25%,19%,21%,16%,43%,3%,8%,41%,3%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Worse,65%,63%,68%,71%,65%,62%,63%,66%,56%,71%,55%,51%,72%,50%,74%,47%,67%,58%,65%,73%,59%,58%,58%,77%,33%,89%,62%,36%,88%,67%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",About the same,16%,17%,13%,18%,18%,13%,17%,13%,27%,11%,34%,20%,13%,18%,10%,28%,21%,21%,13%,13%,16%,22%,20%,7%,23%,8%,30%,21%,9%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,0%,<1%,0%,1%,<.5%,0%,<1%,0%,0%,0%,1%,0%,2%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,1%,0%,0%,1%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,407,206,194,58,110,139,83,270,45,49,32,177,227,126,143,47,78,90,83,149,85,99,164,144,158,215,34,120,122,136
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,14%,25%,33%,24%,68%,10%,12%,8%,34%,65%,24%,43%,9%,20%,22%,19%,38%,21%,23%,40%,37%,39%,53%,8%,29%,32%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Combined) Do you think the economy is better or worse than it was [one|four] years ago, or is it about the same?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Combined) Do you think the economy is better or worse than it was [one|four] years ago, or is it about the same?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Combined) Do you think the economy is better or worse than it was [one|four] years ago, or is it about the same?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Better,21%,25%,17%,18%,16%,21%,29%,23%,15%,17%,21%,29%,17%,31%,18%,24%,14%,20%,23%,18%,26%,18%,25%,18%,45%,3%,5%,43%,6%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Worse,52%,50%,56%,61%,53%,53%,43%,52%,49%,60%,44%,40%,59%,39%,59%,41%,59%,50%,57%,56%,46%,57%,45%,59%,24%,76%,61%,27%,72%,54%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",About the same,26%,25%,26%,21%,29%,26%,27%,25%,36%,22%,34%,30%,24%,28%,23%,35%,27%,28%,21%,26%,28%,25%,29%,23%,31%,20%,34%,29%,22%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,<.5%,<1%,0%,2%,<.5%,0%,<1%,0%,0%,0%,1%,<.5%,2%,<.5%,0%,0%,1%,0%,<1%,0%,<1%,<.5%,<.5%,<1%,<.5%,0%,1%,<.5%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) Thinking ahead to a year from now, do you think the economy is likely to be better, worse or about the same?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) Thinking ahead to a year from now, do you think the economy is likely to be better, worse or about the same?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Split B) Thinking ahead to a year from now, do you think the economy is likely to be better, worse or about the same?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Better,30%,30%,30%,24%,28%,28%,37%,31%,26%,24%,36%,28%,30%,28%,33%,30%,25%,32%,32%,25%,33%,30%,28%,31%,35%,27%,20%,37%,34%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Worse,22%,20%,23%,37%,23%,18%,12%,20%,14%,39%,22%,20%,23%,21%,20%,15%,31%,15%,19%,25%,26%,18%,23%,22%,18%,25%,16%,15%,23%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",About the same,38%,39%,38%,34%,44%,39%,39%,37%,47%,36%,35%,48%,33%,49%,31%,50%,36%,47%,42%,35%,33%,43%,39%,34%,41%,35%,52%,39%,30%,48%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,10%,10%,10%,5%,5%,15%,13%,11%,14%,2%,6%,3%,14%,2%,16%,5%,8%,7%,7%,16%,7%,10%,9%,12%,6%,13%,12%,9%,12%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,407,206,194,58,110,139,83,270,45,49,32,177,227,126,143,47,78,90,83,149,85,99,164,144,158,215,34,120,122,136
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,14%,25%,33%,24%,68%,10%,12%,8%,34%,65%,24%,43%,9%,20%,22%,19%,38%,21%,23%,40%,37%,39%,53%,8%,29%,32%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) How would you rate each of the following aspects of the economy today?The availability of jobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) How would you rate each of the following aspects of the economy today?The availability of jobs,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) How would you rate each of the following aspects of the economy today?The availability of jobs,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,16%,19%,13%,5%,15%,21%,15%,16%,18%,12%,9%,18%,14%,18%,15%,20%,10%,19%,15%,13%,18%,16%,12%,19%,27%,6%,20%,27%,8%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,28%,30%,26%,18%,26%,35%,31%,29%,30%,13%,44%,33%,26%,34%,27%,35%,25%,37%,23%,23%,35%,37%,26%,26%,36%,24%,23%,33%,28%,28%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,31%,27%,35%,45%,32%,28%,28%,33%,25%,28%,26%,31%,30%,31%,35%,29%,23%,23%,38%,35%,24%,24%,32%,34%,19%,38%,41%,21%,36%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,21%,18%,23%,32%,23%,13%,18%,16%,27%,45%,21%,16%,23%,16%,15%,16%,41%,11%,22%,26%,22%,17%,26%,18%,14%,27%,15%,16%,22%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,4%,6%,3%,0%,4%,4%,8%,6%,0%,2%,0%,1%,6%,2%,8%,0%,1%,10%,3%,3%,1%,6%,4%,4%,3%,6%,0%,3%,6%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,44%,49%,39%,23%,41%,55%,46%,45%,48%,26%,53%,52%,40%,52%,41%,55%,35%,56%,37%,35%,53%,53%,38%,45%,63%,30%,44%,60%,36%,42%
