itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,44%,50%,38%,54%,41%,40%,43%,47%,23%,32%,50%,41%,45%,41%,51%,43%,28%,52%,33%,51%,34%,37%,40%,52%,9%,78%,59%,9%,74%,47%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,1%,4%,3%,2%,2%,4%,2%,5%,4%,7%,2%,3%,2%,1%,<1%,8%,<.5%,8%,2%,0%,5%,3%,<1%,4%,1%,2%,3%,<1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,36%,32%,40%,18%,29%,43%,44%,35%,52%,41%,21%,42%,32%,44%,30%,41%,38%,31%,46%,34%,36%,41%,43%,26%,66%,6%,27%,67%,12%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,61%,67%,56%,79%,69%,55%,52%,63%,43%,54%,72%,56%,65%,54%,69%,59%,54%,69%,45%,64%,64%,55%,54%,73%,31%,93%,71%,30%,87%,65%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,420,211,204,61,116,137,88,295,38,45,25,196,222,140,155,45,62,85,94,156,85,99,174,147,202,185,33,126,116,140
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,44%,55%,11%,23%,33%,29%,71%,8%,12%,6%,38%,61%,26%,44%,10%,16%,21%,21%,35%,22%,21%,43%,36%,48%,44%,8%,33%,29%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Race relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Race relations,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Race relations,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,19%,15%,22%,7%,13%,18%,31%,19%,35%,4%,7%,22%,17%,25%,16%,12%,21%,28%,16%,17%,15%,32%,13%,16%,37%,3%,7%,42%,<1%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,28%,22%,35%,48%,32%,23%,24%,24%,39%,36%,52%,35%,24%,30%,20%,53%,36%,28%,39%,25%,26%,25%,36%,22%,47%,12%,27%,42%,10%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,16%,19%,14%,19%,21%,17%,14%,16%,12%,27%,16%,19%,14%,19%,13%,21%,13%,12%,16%,14%,23%,18%,16%,16%,13%,18%,24%,11%,13%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,34%,41%,27%,24%,33%,38%,31%,38%,13%,29%,20%,23%,41%,25%,47%,12%,26%,30%,29%,41%,33%,24%,32%,44%,1%,64%,36%,4%,74%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,3%,2%,3%,<1%,4%,<1%,2%,1%,4%,4%,<1%,4%,<1%,4%,1%,4%,3%,<1%,3%,2%,2%,3%,2%,1%,3%,7%,<1%,3%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,47%,37%,57%,55%,45%,41%,54%,44%,73%,40%,59%,57%,41%,55%,36%,65%,57%,56%,54%,42%,41%,56%,49%,38%,84%,15%,34%,84%,11%,41%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,51%,60%,41%,42%,54%,55%,45%,54%,25%,56%,36%,42%,55%,45%,60%,34%,39%,41%,45%,55%,56%,42%,47%,61%,15%,82%,59%,15%,87%,56%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,455,223,225,84,110,151,88,305,51,46,38,228,222,158,145,64,70,92,88,169,106,117,187,151,203,221,31,149,107,155
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,14%,20%,33%,27%,67%,11%,8%,9%,42%,56%,29%,37%,11%,17%,22%,19%,34%,26%,24%,42%,34%,45%,50%,6%,34%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Immigration,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Immigration,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,9%,7%,11%,5%,7%,11%,11%,8%,15%,13%,7%,9%,9%,7%,9%,16%,10%,7%,13%,6%,11%,12%,9%,7%,18%,<1%,1%,20%,<1%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,23%,20%,27%,21%,27%,22%,24%,21%,36%,27%,26%,30%,19%,31%,15%,31%,29%,23%,22%,23%,26%,30%,25%,18%,44%,3%,15%,42%,9%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,15%,12%,18%,29%,25%,12%,8%,13%,24%,24%,23%,17%,14%,15%,11%,25%,22%,13%,19%,11%,21%,22%,17%,9%,23%,8%,11%,21%,4%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,49%,57%,41%,40%,40%,51%,54%,55%,22%,36%,35%,40%,54%,44%,61%,28%,34%,57%,39%,54%,41%,36%,44%,62%,10%,87%,68%,11%,85%,50%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,4%,4%,3%,4%,1%,5%,4%,3%,3%,0%,9%,4%,4%,3%,3%,0%,6%,<1%,6%,6%,1%,<.5%,5%,4%,6%,1%,5%,5%,1%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,32%,26%,38%,26%,34%,33%,35%,29%,51%,40%,33%,39%,28%,38%,24%,47%,39%,30%,35%,29%,38%,42%,34%,25%,62%,4%,16%,62%,10%,28%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,64%,69%,59%,70%,64%,62%,61%,67%,46%,60%,58%,57%,68%,59%,73%,53%,56%,69%,59%,65%,61%,58%,61%,71%,33%,95%,79%,32%,89%,68%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,420,211,204,61,116,137,88,295,38,45,25,196,222,140,155,45,62,85,94,156,85,99,174,147,202,185,33,126,116,140
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,44%,55%,11%,23%,33%,29%,71%,8%,12%,6%,38%,61%,26%,44%,10%,16%,21%,21%,35%,22%,21%,43%,36%,48%,44%,8%,33%,29%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you think Donald Trump is good for democracy, bad for democracy, or neither good nor bad for democracy?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you think Donald Trump is good for democracy, bad for democracy, or neither good nor bad for democracy?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you think Donald Trump is good for democracy, bad for democracy, or neither good nor bad for democracy?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good for democracy,32%,39%,26%,23%,25%,36%,35%,37%,8%,24%,19%,23%,38%,26%,44%,12%,21%,33%,23%,35%,34%,24%,29%,41%,<1%,65%,11%,4%,70%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Bad for democracy,46%,38%,54%,47%,47%,45%,51%,41%,73%,49%,64%,60%,38%,58%,30%,66%,60%,43%,57%,39%,50%,61%,50%,32%,92%,4%,29%,86%,5%,45%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Neither good nor bad for democracy,20%,21%,20%,29%,27%,18%,12%,20%,18%,26%,16%,17%,22%,15%,24%,22%,19%,21%,19%,24%,16%,14%,20%,25%,7%,30%,48%,10%,24%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,2%,3%,<1%,<1%,1%,<1%,2%,2%,0%,1%,<1%,<1%,2%,<1%,2%,0%,1%,3%,<1%,2%,<.5%,1%,<1%,3%,<1%,1%,11%,<.5%,<1%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If bad for democracy) Which statement comes closer to your view, even if neither is exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If bad for democracy) Which statement comes closer to your view, even if neither is exactly right?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If bad for democracy) Which statement comes closer to your view, even if neither is exactly right?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump poses a unique threat to democracy,43%,35%,49%,41%,40%,42%,49%,39%,67%,38%,61%,57%,33%,56%,28%,62%,50%,41%,53%,35%,45%,56%,45%,30%,86%,2%,25%,81%,4%,41%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump is not much worse for democracy than typical politicians,4%,3%,5%,6%,7%,3%,1%,2%,7%,11%,3%,3%,4%,3%,2%,4%,10%,2%,4%,4%,5%,5%,5%,1%,6%,2%,4%,5%,<1%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Good for democracy,32%,39%,26%,23%,25%,36%,35%,37%,8%,24%,19%,23%,38%,26%,44%,12%,21%,33%,23%,35%,34%,24%,29%,41%,<1%,65%,11%,4%,70%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Neither good nor bad for democracy,20%,21%,20%,29%,27%,18%,12%,20%,18%,26%,16%,17%,22%,15%,24%,22%,19%,21%,19%,24%,16%,14%,20%,25%,7%,30%,48%,10%,24%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Don’t know/Refused,2%,3%,<1%,<1%,1%,<1%,2%,2%,0%,1%,<1%,<1%,2%,<1%,2%,0%,1%,3%,<1%,2%,<.5%,1%,<1%,3%,<1%,1%,11%,<.5%,<1%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you think Joe Biden is good for democracy, bad for democracy, or neither good nor bad for democracy?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you think Joe Biden is good for democracy, bad for democracy, or neither good nor bad for democracy?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you think Joe Biden is good for democracy, bad for democracy, or neither good nor bad for democracy?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good for democracy,34%,28%,39%,17%,29%,35%,46%,32%,49%,26%,42%,45%,27%,44%,24%,46%,34%,31%,45%,28%,35%,42%,38%,23%,67%,4%,11%,68%,5%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Bad for democracy,39%,46%,32%,28%,33%,43%,41%,45%,14%,33%,18%,30%,45%,33%,52%,20%,24%,40%,32%,43%,39%,30%,35%,50%,4%,73%,45%,5%,77%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Neither good nor bad for democracy,26%,24%,28%,54%,38%,21%,11%,21%,37%,42%,39%,25%,26%,22%,21%,34%,41%,27%,23%,27%,26%,26%,27%,25%,29%,21%,35%,27%,18%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,1%,2%,<1%,<1%,<1%,<1%,2%,2%,0%,0%,1%,<1%,2%,<1%,3%,0%,<1%,3%,0%,2%,<.5%,2%,<1%,2%,<.5%,2%,9%,0%,<1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If bad for democracy) Which statement comes closer to your view, even if neither is exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If bad for democracy) Which statement comes closer to your view, even if neither is exactly right?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If bad for democracy) Which statement comes closer to your view, even if neither is exactly right?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden poses a unique threat to democracy,30%,36%,25%,17%,24%,35%,32%,35%,7%,23%,12%,22%,36%,24%,42%,14%,15%,29%,24%,35%,31%,22%,26%,41%,<.5%,61%,29%,1%,64%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden is not much worse for democracy than typical politicians,8%,8%,7%,12%,8%,7%,7%,8%,7%,8%,5%,8%,8%,9%,8%,6%,8%,8%,8%,8%,7%,8%,7%,9%,4%,11%,14%,4%,11%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<1%,2%,<.5%,0%,<.5%,<1%,2%,1%,0%,1%,0%,<.5%,1%,<.5%,2%,0%,<1%,3%,0%,<.5%,<1%,0%,1%,1%,0%,2%,2%,0%,2%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Good for democracy,34%,28%,39%,17%,29%,35%,46%,32%,49%,26%,42%,45%,27%,44%,24%,46%,34%,31%,45%,28%,35%,42%,38%,23%,67%,4%,11%,68%,5%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Neither good nor bad for democracy,26%,24%,28%,54%,38%,21%,11%,21%,37%,42%,39%,25%,26%,22%,21%,34%,41%,27%,23%,27%,26%,26%,27%,25%,29%,21%,35%,27%,18%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Don’t know/Refused,1%,2%,<1%,<1%,<1%,<1%,2%,2%,0%,0%,1%,<1%,2%,<1%,3%,0%,<1%,3%,0%,2%,<.5%,2%,<1%,2%,<.5%,2%,9%,0%,<1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the nation's economy, how would you rate economic conditions today?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the nation's economy, how would you rate economic conditions today?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the nation's economy, how would you rate economic conditions today?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,5%,5%,5%,6%,2%,4%,8%,5%,6%,4%,3%,7%,3%,7%,4%,8%,2%,4%,5%,4%,6%,6%,5%,3%,10%,<.5%,0%,11%,<.5%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,19%,17%,20%,6%,15%,20%,27%,20%,16%,7%,27%,26%,14%,29%,14%,19%,14%,24%,26%,13%,15%,19%,21%,15%,38%,2%,4%,37%,3%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,27%,25%,28%,26%,30%,28%,23%,23%,41%,40%,30%,28%,26%,26%,21%,30%,41%,22%,28%,30%,25%,37%,27%,19%,35%,18%,33%,32%,21%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,50%,52%,47%,62%,53%,48%,41%,52%,37%,48%,40%,39%,57%,38%,62%,42%,43%,50%,41%,52%,54%,37%,46%,62%,17%,80%,63%,20%,76%,54%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,<.5%,<.5%,0%,<.5%,0%,<.5%,<.5%,<1%,0%,0%,<.5%,<.5%,<.5%,0%,0%,<.5%,0%,0%,<1%,0%,<.5%,<.5%,<.5%,<1%,0%,0%,<1%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,23%,22%,25%,12%,17%,24%,35%,25%,21%,11%,31%,33%,17%,36%,18%,27%,16%,28%,31%,17%,21%,25%,27%,18%,47%,2%,4%,48%,3%,20%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,76%,78%,75%,88%,83%,76%,65%,75%,78%,89%,69%,67%,83%,64%,82%,73%,84%,72%,69%,82%,79%,75%,73%,81%,52%,98%,96%,52%,97%,80%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements."
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden is just too old to be an effective president.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
