itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_allegh,region_central,region_northeast_lehigh_valley,region_phil,region_phil_suburbs,region_south_central,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
Which of the following general income categories is your total household income before taxes?,Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Catholic,26%,26%,27%,19%,16%,28%,34%,29%,12%,17%,25%,28%,27%,30%,17%,12%,30%,19%,33%,23%,32%,12%,28%,21%,31%,22%,23%,30%,19%,24%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Protestant (Christian),32%,30%,33%,25%,30%,27%,41%,33%,30%,20%,27%,35%,28%,36%,18%,31%,20%,50%,30%,23%,22%,40%,41%,20%,26%,45%,27%,38%,23%,27%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Mormon (LDS),<.5%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,0%,0%,<1%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Jewish,2%,3%,<1%,2%,1%,2%,2%,2%,<1%,1%,4%,<.5%,5%,<.5%,3%,0%,4%,0%,<1%,1%,5%,<1%,<1%,2%,3%,<1%,3%,<1%,0%,4%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Muslim,1%,<1%,1%,<1%,2%,<1%,<1%,0%,8%,5%,<.5%,2%,0%,0%,<1%,10%,0%,0%,<.5%,5%,3%,0%,0%,3%,1%,0%,2%,<1%,0%,2%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?","[VOL] Christian (includes Baptist, Lutheran, Episcopalian, Methodist, Adventist, Presbyterian)",8%,9%,8%,10%,7%,11%,6%,7%,21%,8%,8%,8%,7%,6%,14%,17%,8%,6%,9%,13%,6%,8%,8%,10%,7%,9%,7%,8%,15%,7%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Greek/Russian Orthodox,<.5%,<.5%,<1%,1%,0%,<1%,0%,<1%,0%,0%,<1%,<.5%,1%,<.5%,0%,0%,0%,0%,1%,1%,<.5%,0%,0%,2%,<.5%,0%,<.5%,<1%,0%,<.5%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Some other religion (specify),1%,2%,1%,<.5%,1%,2%,<1%,1%,1%,4%,2%,1%,<1%,1%,5%,<.5%,2%,0%,1%,3%,<1%,<.5%,3%,3%,1%,<1%,2%,<1%,5%,2%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",No religious affiliation,27%,26%,26%,42%,40%,25%,13%,26%,27%,39%,32%,23%,31%,23%,42%,26%,32%,23%,22%,30%,28%,38%,17%,35%,27%,22%,35%,18%,31%,34%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Don't know/Refused,2%,2%,2%,0%,2%,2%,4%,1%,0%,6%,1%,2%,0%,2%,0%,4%,5%,2%,2%,0%,3%,1%,3%,4%,2%,1%,<.5%,3%,8%,<.5%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Yes,19%,17%,20%,14%,14%,18%,25%,18%,35%,11%,13%,23%,12%,22%,15%,32%,10%,32%,17%,23%,7%,34%,19%,19%,11%,30%,13%,26%,12%,13%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",No,22%,23%,22%,22%,26%,21%,21%,24%,16%,18%,25%,20%,25%,22%,22%,13%,17%,24%,21%,18%,23%,18%,33%,15%,23%,24%,24%,20%,28%,24%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?","[PREVIOUSLY] Catholic, Jewish, Muslim, no religious affiliation or refused",57%,57%,56%,60%,59%,57%,53%,57%,48%,68%,61%,54%,60%,55%,63%,52%,70%,43%,57%,59%,69%,46%,47%,63%,64%,45%,63%,52%,54%,63%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",[VOL] Refused,2%,2%,2%,4%,<1%,3%,1%,2%,<1%,4%,2%,2%,2%,2%,<.5%,3%,3%,<1%,5%,0%,<1%,1%,1%,3%,2%,<1%,<1%,3%,6%,<.5%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Democratic Party,39%,36%,42%,57%,39%,31%,35%,35%,46%,64%,44%,34%,43%,29%,59%,54%,50%,36%,38%,71%,30%,41%,21%,60%,33%,36%,86%,7%,22%,89%
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Republican Party,44%,45%,42%,34%,43%,46%,49%,49%,15%,22%,42%,45%,43%,53%,25%,16%,28%,60%,43%,22%,47%,45%,59%,22%,46%,56%,4%,86%,15%,3%
"(If independent, another party or not sure)  And as of today, do you lean more to:",[VOL] Don't know/Refused,18%,19%,16%,9%,18%,23%,15%,16%,39%,14%,14%,21%,13%,18%,16%,30%,23%,5%,18%,8%,23%,13%,20%,18%,21%,8%,11%,6%,63%,9%
"(If independent, another party or not sure)  And as of today, do you lean more to:",Number of respondents,233,141,88,46,69,79,38,181,21,21,123,109,97,83,20,22,28,27,42,22,55,32,27,46,128,59,86,111,36,64
Combined: Party identification and leaners,The Democratic Party,48%,39%,56%,59%,49%,41%,50%,43%,82%,65%,55%,43%,52%,36%,77%,74%,58%,31%,44%,84%,50%,41%,39%,77%,46%,38%,93%,8%,29%,95%
Combined: Party identification and leaners,The Republican Party,48%,55%,41%,38%,45%,53%,47%,53%,10%,29%,41%,52%,44%,60%,18%,17%,34%,68%,50%,14%,44%,55%,57%,18%,48%,60%,5%,90%,29%,3%
Combined: Party identification and leaners,[VOL] Don't know/Refused,5%,6%,4%,4%,6%,6%,3%,4%,8%,6%,4%,5%,4%,4%,5%,9%,8%,<1%,6%,2%,6%,4%,5%,5%,7%,1%,2%,2%,42%,2%
Combined: Party identification and leaners,Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Yes,34%,37%,31%,36%,38%,32%,31%,34%,29%,30%,36%,32%,37%,33%,31%,28%,45%,24%,29%,38%,41%,29%,30%,40%,36%,28%,38%,30%,29%,39%
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,No,66%,63%,69%,64%,62%,68%,69%,66%,71%,70%,64%,68%,63%,67%,69%,72%,55%,76%,71%,62%,59%,71%,70%,60%,64%,72%,62%,70%,71%,61%
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
