itm,v1,likely_voters_likely_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,Poor,49%,50%,52%,47%,54%,50%,44%,49%,50%,58%,52%,51%,41%,50%,33%,61%,48%,38%,56%,38%,58%,38%,51%,46%,46%,56%,18%,78%,51%,13%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<1%,<1%,1%,<.5%,<.5%,1%,<.5%,<.5%,<1%,<1%,<.5%,<1%,<1%,<.5%,2%,1%,<1%,<1%,<1%,<1%,<.5%,<1%,1%,1%,<.5%,<1%,<.5%,<.5%,4%,<.5%
How satisfied are you with the way things are going in your life these days?,NET Excellent/good,23%,24%,21%,23%,20%,22%,29%,23%,23%,10%,16%,23%,35%,24%,27%,13%,23%,31%,18%,33%,19%,26%,18%,24%,25%,20%,48%,4%,9%,54%
How satisfied are you with the way things are going in your life these days?,NET Fair/poor,76%,76%,78%,76%,80%,77%,71%,76%,76%,90%,83%,76%,65%,75%,71%,86%,77%,68%,81%,67%,81%,73%,80%,75%,74%,79%,52%,96%,87%,45%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Always legal,37%,38%,32%,39%,43%,36%,35%,28%,45%,48%,41%,35%,32%,34%,53%,41%,41%,45%,33%,43%,29%,52%,43%,48%,40%,26%,63%,14%,35%,65%
How satisfied are you with the way things are going in your life these days?,Mostly legal,27%,26%,23%,27%,25%,28%,30%,29%,24%,26%,27%,27%,27%,28%,21%,25%,24%,26%,27%,27%,29%,23%,24%,24%,27%,28%,27%,27%,25%,25%
How satisfied are you with the way things are going in your life these days?,Mostly illegal,19%,21%,22%,17%,16%,21%,19%,23%,17%,18%,16%,20%,21%,21%,10%,14%,16%,17%,21%,19%,23%,10%,14%,16%,18%,23%,4%,33%,16%,4%
How satisfied are you with the way things are going in your life these days?,Always illegal,8%,9%,12%,7%,8%,7%,8%,8%,9%,4%,9%,7%,11%,8%,8%,11%,10%,6%,10%,6%,9%,6%,12%,6%,8%,11%,3%,13%,7%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,9%,8%,11%,9%,8%,7%,8%,12%,5%,4%,7%,10%,10%,8%,8%,9%,9%,6%,10%,5%,10%,8%,8%,6%,7%,12%,3%,12%,17%,3%
How satisfied are you with the way things are going in your life these days?,NET Legal,64%,63%,55%,67%,69%,65%,64%,57%,69%,74%,69%,62%,58%,62%,74%,65%,65%,71%,60%,70%,58%,75%,66%,72%,68%,54%,90%,41%,60%,90%
How satisfied are you with the way things are going in your life these days?,NET Illegal,28%,29%,34%,24%,24%,28%,27%,30%,26%,22%,25%,28%,32%,29%,18%,25%,26%,23%,31%,25%,32%,16%,26%,22%,26%,34%,7%,47%,23%,7%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on each of the following:"
How satisfied are you with the way things are going in your life these days?,(Split A)  The economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Split A)  The economy,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(Split A)  The economy,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Joe Biden,38%,36%,35%,37%,34%,44%,41%,32%,43%,30%,40%,34%,44%,34%,69%,28%,42%,50%,31%,48%,27%,55%,44%,46%,42%,28%,84%,<.5%,19%,90%
How satisfied are you with the way things are going in your life these days?,Donald Trump,58%,61%,59%,57%,61%,53%,55%,64%,52%,63%,54%,61%,53%,62%,24%,66%,52%,47%,64%,49%,69%,39%,50%,49%,54%,68%,12%,99%,55%,8%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,4%,3%,5%,6%,5%,3%,3%,3%,5%,7%,6%,4%,3%,4%,8%,6%,6%,3%,5%,2%,4%,5%,6%,5%,4%,4%,4%,1%,26%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,713",276,243,240,279,410,265,880,815,307,379,526,451,"1,227",189,146,103,788,918,593,631,168,267,387,757,569,775,788,150,635
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,18%,17%,15%,18%,16%,16%,48%,51%,14%,20%,31%,31%,73%,10%,9%,5%,36%,63%,26%,46%,9%,15%,22%,42%,37%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Split A)  The Israeli-Palestinian [pah-luh-stin-ian] conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Split A)  The Israeli-Palestinian [pah-luh-stin-ian] conflict,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(Split A)  The Israeli-Palestinian [pah-luh-stin-ian] conflict,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Joe Biden,36%,35%,37%,33%,33%,44%,36%,30%,42%,31%,40%,34%,39%,34%,59%,33%,35%,47%,30%,48%,27%,48%,42%,43%,41%,27%,78%,4%,10%,84%
How satisfied are you with the way things are going in your life these days?,Donald Trump,51%,54%,50%,48%,53%,47%,51%,58%,44%,48%,46%,55%,49%,55%,18%,49%,49%,41%,56%,43%,62%,35%,38%,43%,44%,62%,7%,92%,35%,4%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,13%,11%,12%,19%,15%,9%,13%,13%,13%,21%,14%,11%,11%,10%,23%,17%,16%,12%,14%,9%,11%,16%,20%,13%,15%,11%,15%,5%,55%,12%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,713",276,243,240,279,410,265,880,815,307,379,526,451,"1,227",189,146,103,788,918,593,631,168,267,387,757,569,775,788,150,635
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,18%,17%,15%,18%,16%,16%,48%,51%,14%,20%,31%,31%,73%,10%,9%,5%,36%,63%,26%,46%,9%,15%,22%,42%,37%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Split A)  Abortion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Split A)  Abortion,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(Split A)  Abortion,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Joe Biden,50%,47%,47%,50%,48%,54%,52%,45%,54%,59%,57%,44%,48%,46%,79%,47%,51%,61%,43%,60%,39%,67%,57%,59%,56%,37%,94%,13%,38%,95%
How satisfied are you with the way things are going in your life these days?,Donald Trump,40%,40%,43%,40%,39%,37%,40%,44%,36%,29%,32%,45%,43%,45%,9%,38%,32%,31%,45%,34%,51%,23%,26%,31%,34%,51%,3%,75%,21%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,11%,14%,10%,10%,13%,9%,8%,11%,10%,12%,11%,11%,9%,9%,12%,15%,17%,8%,12%,6%,11%,10%,16%,10%,10%,12%,4%,12%,41%,3%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,713",276,243,240,279,410,265,880,815,307,379,526,451,"1,227",189,146,103,788,918,593,631,168,267,387,757,569,775,788,150,635
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,18%,17%,15%,18%,16%,16%,48%,51%,14%,20%,31%,31%,73%,10%,9%,5%,36%,63%,26%,46%,9%,15%,22%,42%,37%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Crime,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Crime,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Joe Biden,42%,-,-,-,-,42%,-,33%,50%,37%,45%,40%,46%,40%,66%,39%,37%,52%,36%,53%,32%,50%,56%,56%,47%,29%,88%,1%,26%,91%
How satisfied are you with the way things are going in your life these days?,Donald Trump,52%,-,-,-,-,52%,-,62%,42%,56%,48%,53%,49%,54%,25%,61%,50%,41%,58%,42%,62%,34%,38%,35%,48%,64%,9%,94%,33%,7%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,6%,-,-,-,-,6%,-,5%,7%,7%,7%,7%,5%,6%,10%,0%,13%,7%,6%,5%,6%,16%,6%,9%,5%,7%,3%,5%,42%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,,,,,836,,472,349,125,178,275,239,686,77,12,43,437,398,365,321,60,72,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,100%,,47%,52%,12%,22%,34%,30%,83%,9%,2%,4%,39%,60%,33%,50%,6%,10%,16%,48%,36%,45%,48%,7%,38%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in Pennsylvania?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in Pennsylvania?,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in Pennsylvania?,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Major problem,50%,-,-,-,-,50%,-,47%,54%,33%,44%,53%,57%,48%,69%,37%,55%,39%,57%,37%,55%,50%,68%,58%,47%,51%,29%,68%,63%,26%
How satisfied are you with the way things are going in your life these days?,Minor problem,42%,-,-,-,-,42%,-,45%,39%,59%,47%,39%,37%,45%,27%,50%,39%,52%,37%,54%,39%,43%,27%,35%,46%,41%,63%,26%,22%,65%
How satisfied are you with the way things are going in your life these days?,Not a problem,4%,-,-,-,-,4%,-,4%,4%,4%,7%,3%,2%,4%,1%,13%,5%,5%,3%,5%,3%,6%,3%,5%,3%,5%,6%,2%,2%,7%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,-,-,-,-,3%,-,4%,2%,4%,2%,5%,3%,3%,3%,0%,1%,4%,3%,4%,2%,2%,3%,1%,4%,3%,2%,3%,12%,3%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,,,,,836,,472,349,125,178,275,239,686,77,12,43,437,398,365,321,60,72,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,100%,,47%,52%,12%,22%,34%,30%,83%,9%,2%,4%,39%,60%,33%,50%,6%,10%,16%,48%,36%,45%,48%,7%,38%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in your local area?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in your local area?,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How would you describe the problem of crime in your local area?,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Major problem,18%,-,-,-,-,18%,-,12%,24%,14%,16%,19%,20%,15%,44%,16%,21%,16%,19%,15%,14%,19%,43%,56%,12%,10%,16%,20%,23%,14%
How satisfied are you with the way things are going in your life these days?,Minor problem,49%,-,-,-,-,49%,-,51%,48%,48%,41%,48%,56%,52%,35%,38%,36%,50%,49%,52%,53%,45%,30%,31%,49%,58%,45%,53%,42%,44%
How satisfied are you with the way things are going in your life these days?,Not a problem,32%,-,-,-,-,32%,-,37%,28%,37%,43%,33%,23%,33%,21%,46%,43%,34%,32%,34%,33%,36%,27%,13%,39%,32%,39%,27%,32%,41%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<.5%,-,-,-,-,<.5%,-,<.5%,<.5%,0%,<.5%,<.5%,<1%,<.5%,0%,0%,0%,<.5%,<.5%,0%,<.5%,0%,0%,0%,<.5%,<.5%,<.5%,<.5%,3%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,,,,,836,,472,349,125,178,275,239,686,77,12,43,437,398,365,321,60,72,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,100%,,47%,52%,12%,22%,34%,30%,83%,9%,2%,4%,39%,60%,33%,50%,6%,10%,16%,48%,36%,45%,48%,7%,38%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How confident are you that your community will be relatively safe in the future?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How confident are you that your community will be relatively safe in the future?,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How confident are you that your community will be relatively safe in the future?,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very confident,35%,-,-,-,-,35%,-,39%,31%,35%,39%,33%,34%,36%,23%,46%,34%,41%,31%,44%,31%,31%,28%,20%,39%,36%,45%,25%,37%,47%
How satisfied are you with the way things are going in your life these days?,Somewhat confident,46%,-,-,-,-,46%,-,46%,47%,55%,40%,47%,46%,47%,52%,26%,43%,45%,47%,44%,48%,54%,41%,48%,45%,48%,45%,47%,51%,46%
How satisfied are you with the way things are going in your life these days?,Not too confident,12%,-,-,-,-,12%,-,9%,15%,6%,14%,13%,12%,12%,14%,12%,11%,10%,13%,10%,13%,12%,13%,18%,12%,10%,6%,18%,5%,5%
How satisfied are you with the way things are going in your life these days?,Not at all confident,5%,-,-,-,-,5%,-,5%,5%,3%,3%,6%,6%,4%,9%,0%,12%,3%,6%,2%,5%,3%,12%,12%,3%,5%,3%,7%,5%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,1%,-,-,-,-,1%,-,1%,2%,1%,3%,<.5%,2%,<1%,2%,16%,0%,0%,2%,0%,2%,0%,6%,2%,1%,1%,<.5%,2%,<1%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,,,,,836,,472,349,125,178,275,239,686,77,12,43,437,398,365,321,60,72,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,100%,,47%,52%,12%,22%,34%,30%,83%,9%,2%,4%,39%,60%,33%,50%,6%,10%,16%,48%,36%,45%,48%,7%,38%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Joe Biden, a lot of responsibility",7%,6%,7%,7%,11%,7%,6%,8%,7%,6%,8%,7%,9%,7%,8%,8%,11%,4%,10%,3%,9%,5%,12%,7%,6%,9%,3%,12%,4%,3%
How satisfied are you with the way things are going in your life these days?,"Joe Biden, some responsibility",8%,8%,10%,8%,7%,8%,8%,6%,10%,13%,9%,7%,7%,7%,11%,11%,12%,5%,10%,4%,9%,6%,14%,7%,9%,8%,6%,10%,8%,5%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, some responsibility",20%,19%,19%,14%,20%,22%,22%,21%,18%,29%,22%,20%,14%,20%,15%,21%,16%,22%,18%,24%,19%,19%,17%,20%,18%,22%,16%,22%,22%,15%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, a lot of responsibility",39%,39%,34%,44%,34%,45%,38%,37%,41%,32%,32%,39%,46%,39%,48%,33%,33%,47%,34%,45%,35%,53%,32%,44%,42%,32%,68%,16%,24%,72%
How satisfied are you with the way things are going in your life these days?,[VOL] Neither,13%,14%,11%,12%,13%,9%,15%,14%,11%,7%,12%,15%,13%,14%,5%,9%,15%,13%,12%,14%,13%,8%,10%,11%,12%,15%,3%,20%,18%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Both,1%,<1%,2%,2%,<1%,<1%,2%,1%,2%,3%,2%,1%,<.5%,1%,3%,1%,2%,<1%,2%,<1%,1%,1%,3%,1%,1%,2%,<1%,1%,4%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,12%,13%,16%,13%,13%,8%,10%,12%,12%,10%,15%,12%,11%,12%,9%,16%,9%,9%,14%,9%,14%,8%,13%,9%,12%,13%,4%,18%,20%,3%
How satisfied are you with the way things are going in your life these days?,NET Biden,16%,14%,18%,15%,18%,15%,13%,14%,17%,19%,17%,14%,15%,14%,20%,19%,23%,9%,20%,8%,18%,10%,25%,14%,15%,17%,9%,22%,12%,8%
How satisfied are you with the way things are going in your life these days?,NET Trump,59%,58%,53%,58%,54%,67%,60%,58%,59%,61%,54%,58%,60%,59%,64%,54%,50%,69%,52%,68%,54%,72%,49%,64%,60%,54%,84%,38%,46%,87%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
