itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_harris,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
What comes closer to how you would feel if Kamala Harris were the Democratic nominee for president?,Angry,14%,14%,13%,5%,9%,16%,19%,17%,2%,8%,10%,10%,16%,12%,20%,5%,8%,16%,14%,15%,10%,8%,12%,19%,<.5%,28%,8%,<.5%,30%,2%
What comes closer to how you would feel if Kamala Harris were the Democratic nominee for president?,[VOL] Don't know/Refused,4%,4%,4%,<1%,2%,5%,5%,3%,3%,7%,2%,3%,5%,2%,4%,3%,4%,3%,2%,6%,3%,4%,4%,4%,<1%,6%,12%,<1%,6%,3%
What comes closer to how you would feel if Kamala Harris were the Democratic nominee for president?,Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
How do you feel about Joe Biden’s decision to end his presidential campaign?,Enthusiastic,27%,26%,28%,26%,19%,31%,29%,31%,17%,14%,28%,32%,23%,35%,27%,23%,18%,24%,33%,25%,28%,28%,27%,27%,26%,28%,25%,26%,28%,23%
How do you feel about Joe Biden’s decision to end his presidential campaign?,"Satisfied, but not enthusiastic",50%,48%,53%,58%,56%,49%,48%,47%,61%,59%,53%,51%,50%,48%,47%,58%,57%,56%,47%,48%,51%,56%,48%,49%,61%,41%,42%,61%,41%,48%
How do you feel about Joe Biden’s decision to end his presidential campaign?,"Dissatisfied, but not upset",15%,17%,14%,15%,15%,14%,15%,14%,19%,20%,14%,12%,18%,11%,17%,13%,21%,12%,11%,18%,17%,10%,17%,15%,11%,19%,17%,11%,20%,17%
How do you feel about Joe Biden’s decision to end his presidential campaign?,Angry,4%,5%,3%,<1%,8%,3%,4%,4%,2%,3%,5%,4%,4%,3%,5%,5%,2%,4%,6%,4%,2%,3%,4%,5%,2%,7%,4%,1%,7%,4%
How do you feel about Joe Biden’s decision to end his presidential campaign?,[VOL] Don't know/Refused,3%,4%,2%,<.5%,1%,3%,5%,3%,2%,3%,<.5%,2%,4%,2%,5%,1%,2%,4%,3%,4%,2%,2%,3%,4%,<1%,5%,11%,<1%,4%,8%
How do you feel about Joe Biden’s decision to end his presidential campaign?,Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
Can unify the country,Very well,17%,12%,22%,6%,15%,19%,22%,12%,40%,30%,21%,16%,19%,13%,12%,26%,33%,17%,15%,16%,22%,20%,20%,12%,36%,<.5%,2%,39%,<1%,<.5%
Can unify the country,Somewhat well,26%,21%,30%,45%,31%,19%,24%,25%,32%,33%,23%,34%,20%,34%,18%,36%,26%,24%,30%,21%,30%,34%,25%,22%,47%,5%,22%,47%,5%,27%
Can unify the country,Not too well,12%,15%,9%,20%,14%,14%,5%,12%,4%,6%,22%,13%,11%,15%,11%,8%,12%,10%,10%,14%,12%,10%,13%,11%,11%,12%,17%,10%,12%,18%
Can unify the country,Not at all well,42%,49%,35%,24%,38%,44%,46%,47%,20%,27%,32%,33%,47%,35%,57%,28%,26%,44%,43%,45%,33%,31%,38%,52%,3%,80%,39%,2%,82%,46%
Can unify the country,[VOL] Don't know/Refused,4%,3%,4%,4%,2%,4%,3%,3%,4%,4%,2%,4%,3%,4%,2%,3%,4%,5%,2%,4%,4%,5%,4%,3%,4%,2%,20%,3%,2%,9%
Can unify the country,NET Well,43%,33%,52%,52%,46%,38%,46%,37%,72%,63%,44%,50%,39%,47%,30%,61%,58%,41%,45%,37%,52%,54%,45%,34%,83%,6%,24%,85%,5%,27%
Can unify the country,NET Not well,53%,64%,44%,44%,52%,58%,51%,60%,24%,33%,54%,46%,58%,49%,68%,36%,38%,55%,53%,59%,45%,41%,51%,63%,13%,93%,56%,12%,93%,64%
Can unify the country,Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
Has the temperament to be an effective president,Very well,35%,27%,43%,43%,37%,34%,34%,31%,65%,39%,34%,44%,30%,43%,23%,48%,45%,35%,38%,30%,41%,41%,39%,27%,72%,2%,6%,77%,1%,8%
Has the temperament to be an effective president,Somewhat well,16%,15%,15%,27%,22%,13%,9%,13%,19%,28%,22%,18%,14%,16%,10%,24%,22%,16%,12%,15%,19%,22%,14%,13%,23%,6%,34%,20%,5%,22%
Has the temperament to be an effective president,Not too well,9%,11%,8%,11%,10%,7%,11%,10%,5%,8%,14%,9%,10%,8%,11%,10%,9%,6%,12%,12%,6%,11%,9%,8%,2%,16%,18%,<1%,14%,28%
Has the temperament to be an effective president,Not at all well,37%,45%,30%,18%,29%,43%,44%,44%,9%,22%,28%,26%,44%,30%,54%,14%,23%,41%,36%,40%,30%,24%,34%,48%,<1%,74%,26%,<.5%,77%,40%
Has the temperament to be an effective president,[VOL] Don't know/Refused,3%,2%,4%,1%,1%,3%,3%,3%,2%,3%,2%,4%,2%,3%,2%,4%,2%,2%,2%,3%,4%,3%,3%,3%,2%,2%,16%,2%,2%,1%
Has the temperament to be an effective president,NET Well,51%,42%,58%,70%,60%,47%,43%,44%,83%,67%,56%,61%,44%,59%,33%,72%,67%,51%,50%,45%,60%,63%,53%,40%,95%,8%,40%,97%,7%,30%
Has the temperament to be an effective president,NET Not well,46%,56%,38%,29%,39%,49%,55%,53%,15%,30%,42%,35%,54%,38%,65%,24%,32%,47%,48%,52%,36%,34%,44%,57%,3%,89%,44%,1%,91%,69%
Has the temperament to be an effective president,Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
Is intelligent,Very well,47%,36%,57%,58%,52%,44%,45%,41%,81%,60%,49%,59%,40%,56%,30%,71%,60%,46%,48%,44%,53%,60%,49%,37%,89%,8%,32%,92%,7%,23%
Is intelligent,Somewhat well,18%,21%,16%,22%,20%,17%,14%,20%,7%,19%,21%,15%,20%,16%,23%,14%,16%,19%,19%,17%,17%,17%,19%,17%,10%,25%,28%,7%,22%,55%
Is intelligent,Not too well,7%,9%,4%,3%,6%,7%,7%,8%,2%,1%,7%,6%,7%,7%,9%,3%,3%,6%,8%,7%,4%,3%,7%,8%,<1%,12%,8%,<1%,13%,4%
Is intelligent,Not at all well,25%,32%,19%,14%,21%,29%,28%,29%,8%,15%,22%,16%,31%,18%,37%,11%,17%,25%,22%,29%,22%,19%,22%,33%,<.5%,50%,20%,<.5%,54%,11%
Is intelligent,[VOL] Don't know/Refused,3%,2%,4%,2%,2%,2%,5%,3%,2%,5%,<.5%,3%,3%,3%,3%,1%,3%,3%,3%,3%,3%,<1%,3%,5%,<1%,4%,12%,<1%,4%,7%
Is intelligent,NET Well,65%,57%,73%,81%,72%,61%,59%,60%,89%,79%,71%,74%,60%,72%,52%,85%,76%,65%,67%,61%,70%,77%,69%,54%,99%,33%,59%,99%,29%,77%
Is intelligent,NET Not well,32%,41%,23%,17%,27%,36%,36%,36%,10%,17%,29%,23%,38%,25%,45%,14%,21%,31%,30%,36%,27%,22%,29%,41%,<1%,62%,28%,<1%,67%,15%
Is intelligent,Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
Cares about people like you,Very well,32%,22%,41%,33%,35%,31%,33%,26%,62%,44%,35%,39%,28%,36%,19%,50%,46%,31%,33%,30%,37%,38%,37%,23%,67%,1%,5%,70%,1%,4%
Cares about people like you,Somewhat well,19%,19%,19%,33%,19%,17%,16%,18%,21%,23%,25%,22%,17%,21%,15%,25%,21%,18%,21%,16%,21%,26%,17%,16%,28%,9%,26%,26%,8%,33%
Cares about people like you,Not too well,8%,10%,6%,10%,14%,7%,4%,8%,4%,9%,13%,9%,8%,9%,7%,9%,8%,7%,8%,8%,9%,9%,8%,7%,3%,12%,15%,3%,11%,23%
Cares about people like you,Not at all well,38%,46%,31%,21%,30%,42%,44%,45%,10%,21%,25%,26%,45%,30%,56%,13%,22%,43%,35%,42%,30%,25%,35%,49%,<1%,74%,37%,<.5%,78%,33%
Cares about people like you,[VOL] Don't know/Refused,3%,2%,3%,3%,2%,4%,3%,3%,3%,3%,2%,4%,2%,3%,2%,3%,3%,2%,3%,4%,2%,2%,2%,4%,2%,3%,16%,1%,2%,6%
Cares about people like you,NET Well,51%,41%,60%,66%,54%,48%,49%,44%,83%,67%,60%,61%,45%,58%,34%,75%,67%,49%,54%,46%,59%,64%,55%,39%,95%,10%,31%,95%,9%,37%
Cares about people like you,NET Not well,46%,56%,37%,31%,44%,49%,48%,53%,14%,30%,38%,36%,53%,39%,64%,22%,30%,50%,43%,50%,39%,34%,43%,57%,4%,87%,53%,3%,88%,57%
Cares about people like you,Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
Will bring about the right kind of change,Very well,27%,18%,35%,26%,26%,28%,28%,22%,54%,36%,28%,31%,24%,29%,17%,39%,40%,26%,28%,22%,33%,33%,29%,20%,56%,<.5%,0%,60%,<.5%,5%
Will bring about the right kind of change,Somewhat well,20%,19%,20%,39%,25%,16%,14%,17%,24%,32%,22%,26%,16%,25%,12%,28%,25%,17%,18%,19%,26%,27%,21%,15%,36%,5%,13%,34%,4%,16%
Will bring about the right kind of change,Not too well,11%,14%,8%,9%,13%,10%,11%,12%,4%,6%,13%,9%,11%,11%,13%,7%,8%,10%,13%,11%,8%,7%,12%,11%,4%,14%,39%,3%,13%,41%
Will bring about the right kind of change,Not at all well,39%,47%,32%,22%,32%,42%,43%,45%,13%,24%,34%,30%,45%,31%,55%,24%,24%,42%,38%,43%,30%,26%,36%,50%,<1%,77%,29%,<.5%,80%,32%
Will bring about the right kind of change,[VOL] Don't know/Refused,4%,3%,5%,3%,3%,4%,4%,3%,5%,2%,3%,3%,3%,4%,3%,2%,4%,4%,3%,5%,3%,6%,2%,4%,3%,3%,19%,3%,3%,6%
Will bring about the right kind of change,NET Well,47%,37%,55%,65%,51%,44%,42%,40%,78%,68%,50%,57%,40%,54%,29%,67%,64%,43%,46%,41%,59%,60%,50%,35%,92%,5%,13%,94%,4%,21%
Will bring about the right kind of change,NET Not well,49%,60%,40%,32%,46%,52%,54%,57%,17%,30%,47%,40%,56%,42%,68%,31%,32%,52%,51%,54%,38%,34%,48%,61%,5%,91%,68%,3%,93%,73%
Will bring about the right kind of change,Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
Is a strong leader,Very well,28%,20%,35%,21%,27%,30%,28%,22%,52%,49%,24%,29%,26%,29%,17%,34%,45%,25%,23%,25%,38%,36%,31%,19%,57%,1%,2%,61%,<1%,6%
Is a strong leader,Somewhat well,21%,18%,23%,46%,27%,13%,16%,19%,28%,19%,29%,28%,16%,26%,14%,36%,21%,21%,24%,19%,20%,25%,20%,19%,35%,7%,18%,34%,6%,21%
Is a strong leader,Not too well,10%,11%,9%,14%,10%,10%,7%,10%,5%,7%,14%,11%,9%,11%,10%,11%,8%,9%,12%,10%,8%,11%,9%,11%,4%,14%,26%,3%,12%,30%
Is a strong leader,Not at all well,39%,47%,31%,16%,34%,43%,44%,45%,12%,21%,31%,28%,45%,30%,56%,18%,23%,43%,37%,43%,30%,26%,37%,48%,2%,76%,25%,<1%,80%,30%
Is a strong leader,[VOL] Don't know/Refused,3%,3%,4%,2%,2%,4%,4%,4%,3%,4%,2%,4%,3%,4%,3%,1%,4%,3%,5%,3%,4%,2%,4%,4%,2%,2%,28%,1%,2%,13%
Is a strong leader,NET Well,48%,38%,57%,68%,54%,43%,44%,41%,80%,68%,54%,57%,42%,54%,31%,70%,66%,46%,46%,44%,58%,62%,51%,37%,92%,8%,20%,94%,7%,28%
Is a strong leader,NET Not well,48%,59%,39%,30%,44%,53%,52%,56%,17%,28%,44%,39%,55%,42%,66%,29%,30%,51%,49%,53%,38%,36%,46%,59%,6%,90%,52%,4%,91%,59%
Is a strong leader,Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
Can unify the country,Very well,25%,30%,21%,16%,13%,26%,36%,29%,7%,20%,17%,12%,34%,13%,41%,6%,19%,23%,23%,32%,21%,17%,24%,32%,1%,51%,6%,1%,54%,16%
Can unify the country,Somewhat well,17%,19%,16%,18%,21%,18%,12%,18%,9%,15%,18%,16%,17%,18%,19%,10%,14%,17%,15%,19%,16%,13%,17%,19%,2%,32%,11%,2%,32%,16%
Can unify the country,Not too well,10%,10%,10%,12%,11%,8%,10%,8%,10%,19%,13%,11%,9%,11%,6%,13%,15%,12%,7%,9%,11%,12%,9%,9%,8%,11%,16%,7%,9%,21%
Can unify the country,Not at all well,47%,40%,53%,54%,55%,46%,40%,43%,73%,45%,52%,59%,38%,57%,32%,70%,51%,47%,53%,39%,52%,57%,49%,38%,88%,5%,59%,89%,4%,46%
Can unify the country,[VOL] Don't know/Refused,1%,2%,<1%,<.5%,<.5%,2%,1%,1%,1%,<1%,<.5%,1%,1%,1%,2%,1%,<1%,<1%,2%,2%,<1%,<1%,1%,1%,<.5%,1%,9%,<.5%,1%,2%
Can unify the country,NET Well,42%,49%,36%,34%,34%,44%,48%,48%,15%,35%,35%,29%,52%,31%,60%,16%,33%,40%,38%,51%,36%,30%,40%,52%,3%,83%,17%,3%,86%,32%
Can unify the country,NET Not well,56%,49%,63%,66%,66%,54%,51%,51%,84%,64%,65%,70%,47%,68%,39%,82%,66%,59%,60%,48%,63%,69%,58%,47%,96%,15%,75%,97%,13%,67%
Can unify the country,Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
Has the temperament to be an effective president,Very well,33%,41%,27%,18%,23%,35%,44%,38%,11%,25%,25%,20%,43%,22%,50%,10%,26%,30%,31%,41%,28%,24%,30%,43%,2%,67%,6%,2%,71%,16%
Has the temperament to be an effective president,Somewhat well,15%,17%,14%,22%,22%,13%,9%,15%,7%,20%,19%,16%,15%,16%,15%,14%,15%,19%,14%,14%,16%,14%,15%,16%,4%,25%,29%,3%,22%,37%
Has the temperament to be an effective president,Not too well,8%,10%,7%,14%,7%,8%,7%,7%,10%,12%,12%,11%,7%,10%,5%,14%,10%,7%,8%,10%,8%,8%,10%,6%,9%,6%,19%,9%,5%,18%
Has the temperament to be an effective president,Not at all well,42%,32%,51%,46%,47%,41%,40%,39%,71%,43%,41%,53%,35%,52%,28%,58%,48%,44%,47%,35%,47%,52%,44%,34%,84%,1%,38%,86%,1%,29%
Has the temperament to be an effective president,[VOL] Don't know/Refused,<1%,<1%,<1%,<.5%,<.5%,2%,0%,<.5%,1%,<1%,3%,1%,<1%,<.5%,<1%,4%,<1%,<.5%,1%,<.5%,2%,1%,<1%,1%,<1%,<.5%,9%,<1%,<.5%,0%
Has the temperament to be an effective president,NET Well,49%,58%,41%,40%,45%,49%,53%,54%,18%,45%,44%,35%,58%,38%,66%,24%,41%,49%,44%,54%,44%,38%,46%,59%,6%,92%,34%,5%,94%,53%
Has the temperament to be an effective president,NET Not well,50%,41%,58%,60%,55%,49%,47%,46%,81%,54%,53%,64%,41%,62%,34%,72%,58%,51%,55%,45%,54%,61%,54%,40%,93%,8%,57%,94%,6%,47%
Has the temperament to be an effective president,Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
Is intelligent,Very well,39%,46%,32%,24%,26%,42%,48%,46%,12%,26%,24%,26%,48%,30%,58%,12%,26%,40%,36%,46%,31%,26%,37%,49%,4%,75%,17%,4%,79%,28%
Is intelligent,Somewhat well,19%,20%,18%,32%,29%,15%,11%,17%,14%,26%,31%,23%,16%,23%,13%,26%,22%,20%,19%,19%,19%,23%,18%,18%,16%,21%,32%,14%,19%,30%
Is intelligent,Not too well,10%,6%,12%,15%,11%,9%,8%,8%,17%,14%,12%,11%,9%,11%,5%,12%,15%,7%,9%,10%,12%,13%,12%,4%,16%,3%,17%,16%,2%,11%
Is intelligent,Not at all well,32%,27%,36%,29%,33%,32%,32%,28%,56%,33%,32%,38%,27%,35%,23%,49%,37%,34%,35%,24%,38%,36%,33%,28%,64%,<1%,26%,65%,<.5%,31%
Is intelligent,[VOL] Don't know/Refused,<1%,<1%,<1%,<1%,1%,1%,<.5%,<1%,0%,<1%,<1%,<1%,<.5%,<.5%,<1%,2%,<.5%,0%,1%,<1%,1%,1%,<.5%,1%,<1%,<.5%,8%,<1%,<.5%,0%
Is intelligent,NET Well,58%,66%,51%,56%,55%,58%,59%,63%,27%,52%,55%,49%,64%,53%,71%,37%,48%,59%,55%,65%,49%,49%,55%,67%,20%,96%,49%,18%,98%,58%
Is intelligent,NET Not well,41%,33%,48%,43%,44%,41%,41%,36%,73%,47%,44%,50%,36%,47%,29%,61%,52%,41%,44%,34%,49%,49%,45%,32%,80%,3%,43%,81%,2%,42%
Is intelligent,Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
Cares about people like you,Very well,36%,43%,30%,24%,26%,38%,44%,42%,9%,23%,28%,24%,44%,26%,53%,13%,23%,35%,33%,42%,30%,25%,33%,46%,2%,72%,7%,2%,77%,19%
Cares about people like you,Somewhat well,12%,15%,11%,17%,16%,12%,7%,13%,6%,17%,13%,13%,12%,14%,12%,8%,13%,14%,10%,12%,13%,13%,13%,12%,5%,19%,20%,4%,18%,27%
Cares about people like you,Not too well,6%,9%,5%,13%,10%,4%,5%,5%,9%,11%,8%,8%,6%,8%,3%,7%,10%,6%,7%,6%,8%,8%,6%,6%,7%,5%,17%,6%,4%,19%
Cares about people like you,Not at all well,44%,33%,55%,46%,47%,44%,44%,39%,77%,49%,50%,55%,38%,50%,31%,71%,53%,45%,49%,39%,48%,53%,48%,35%,86%,3%,52%,88%,1%,33%
Cares about people like you,[VOL] Don't know/Refused,<1%,1%,<1%,<.5%,1%,1%,<1%,<1%,0%,<1%,<.5%,<1%,<1%,<.5%,<1%,1%,<.5%,<1%,<.5%,<1%,1%,1%,<.5%,1%,<1%,<1%,4%,<1%,<.5%,3%
Cares about people like you,NET Well,48%,57%,40%,41%,42%,50%,51%,55%,15%,39%,41%,37%,56%,41%,65%,21%,37%,49%,43%,55%,43%,38%,46%,58%,7%,91%,27%,6%,94%,45%
Cares about people like you,NET Not well,51%,41%,59%,59%,56%,49%,49%,45%,85%,60%,58%,63%,43%,59%,34%,78%,63%,50%,56%,44%,56%,61%,54%,41%,93%,8%,69%,94%,5%,52%
Cares about people like you,Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
Will bring about the right kind of change,Very well,36%,43%,31%,18%,23%,41%,48%,44%,8%,22%,25%,24%,45%,28%,55%,10%,23%,38%,31%,44%,28%,27%,34%,46%,2%,74%,5%,2%,78%,18%
Will bring about the right kind of change,Somewhat well,13%,15%,11%,21%,19%,11%,6%,12%,6%,17%,18%,13%,12%,13%,12%,13%,13%,12%,13%,11%,17%,13%,13%,13%,3%,22%,22%,2%,19%,37%
Will bring about the right kind of change,Not too well,7%,7%,6%,9%,8%,5%,7%,4%,7%,21%,9%,6%,7%,5%,4%,13%,13%,4%,5%,9%,6%,7%,7%,6%,9%,3%,22%,7%,1%,13%
Will bring about the right kind of change,Not at all well,43%,34%,51%,51%,50%,41%,39%,40%,75%,40%,46%,55%,36%,53%,29%,62%,50%,46%,49%,35%,48%,53%,45%,35%,86%,<1%,42%,89%,<1%,32%
Will bring about the right kind of change,[VOL] Don't know/Refused,<1%,<1%,1%,<.5%,<1%,1%,<1%,<1%,3%,<1%,<1%,1%,<1%,<1%,<1%,2%,1%,<.5%,2%,<1%,<1%,<1%,<1%,1%,<.5%,<1%,10%,<.5%,<.5%,0%
Will bring about the right kind of change,NET Well,49%,58%,42%,39%,42%,52%,54%,56%,15%,38%,44%,38%,57%,41%,67%,23%,36%,50%,44%,55%,45%,39%,47%,59%,5%,95%,27%,4%,98%,55%
Will bring about the right kind of change,NET Not well,50%,42%,57%,60%,58%,47%,46%,44%,82%,61%,56%,61%,42%,58%,33%,75%,62%,50%,54%,44%,55%,60%,53%,40%,95%,4%,64%,96%,2%,45%
Will bring about the right kind of change,Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
Is a strong leader,Very well,44%,54%,35%,31%,35%,45%,52%,49%,15%,36%,34%,32%,52%,35%,60%,21%,33%,44%,39%,53%,34%,33%,40%,55%,5%,85%,16%,5%,88%,32%
Is a strong leader,Somewhat well,15%,13%,18%,31%,19%,12%,10%,14%,16%,20%,21%,17%,14%,16%,12%,19%,18%,14%,17%,11%,20%,19%,16%,12%,15%,14%,28%,14%,11%,38%
Is a strong leader,Not too well,8%,8%,8%,10%,11%,9%,5%,7%,5%,12%,9%,11%,6%,12%,4%,8%,9%,7%,9%,7%,10%,11%,9%,6%,15%,<1%,16%,14%,<1%,8%
Is a strong leader,Not at all well,32%,25%,39%,28%,35%,33%,33%,29%,62%,31%,35%,39%,28%,37%,23%,50%,39%,35%,35%,28%,34%,38%,35%,26%,65%,<1%,31%,66%,<.5%,21%
Is a strong leader,[VOL] Don't know/Refused,<1%,<.5%,<1%,<1%,<.5%,1%,0%,<.5%,1%,<1%,<1%,<1%,<1%,<.5%,<1%,2%,<1%,0%,1%,<.5%,1%,<.5%,<1%,<1%,<.5%,<.5%,8%,<1%,<.5%,0%
Is a strong leader,NET Well,59%,66%,53%,62%,54%,57%,62%,63%,32%,56%,55%,49%,66%,51%,72%,40%,51%,58%,55%,64%,55%,51%,56%,67%,20%,98%,44%,19%,99%,70%
Is a strong leader,NET Not well,41%,33%,47%,38%,46%,41%,38%,36%,67%,43%,44%,50%,34%,49%,27%,58%,49%,42%,44%,35%,44%,48%,44%,32%,79%,2%,47%,81%,1%,30%
Is a strong leader,Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
What single news source do you turn to most often?,[VOL] Fox News,15%,17%,13%,7%,7%,15%,24%,19%,3%,2%,10%,11%,18%,13%,24%,6%,4%,12%,14%,21%,11%,12%,13%,19%,<1%,30%,0%,<1%,33%,2%
What single news source do you turn to most often?,[VOL] CNN,10%,7%,13%,7%,13%,11%,9%,9%,20%,11%,13%,11%,10%,11%,7%,13%,15%,13%,14%,6%,12%,12%,10%,9%,15%,5%,25%,15%,4%,21%
What single news source do you turn to most often?,[VOL] MSNBC,6%,4%,7%,2%,2%,7%,9%,5%,14%,4%,3%,6%,6%,6%,4%,4%,8%,7%,7%,5%,5%,8%,6%,4%,11%,<.5%,2%,12%,0%,3%
What single news source do you turn to most often?,[VOL] Public Radio/NPR/PBS,4%,4%,5%,4%,8%,3%,3%,5%,4%,2%,6%,8%,2%,9%,2%,8%,2%,6%,5%,3%,5%,7%,5%,3%,9%,<.5%,3%,9%,<.5%,<1%
What single news source do you turn to most often?,[VOL] Talk radio/conservative personality,<1%,1%,<.5%,0%,1%,1%,0%,<1%,0%,2%,0%,0%,1%,0%,1%,0%,<1%,<.5%,1%,<1%,<1%,<1%,<.5%,<1%,0%,1%,0%,0%,2%,0%
What single news source do you turn to most often?,"[VOL] National television networks, like CBS, NBC or ABC",12%,9%,14%,4%,6%,11%,19%,11%,15%,16%,8%,11%,12%,9%,12%,16%,12%,15%,13%,11%,8%,10%,13%,11%,14%,8%,14%,14%,8%,16%
What single news source do you turn to most often?,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",5%,3%,6%,2%,3%,7%,5%,4%,10%,5%,4%,2%,6%,2%,5%,3%,8%,5%,1%,5%,5%,4%,5%,4%,4%,5%,6%,3%,5%,5%
What single news source do you turn to most often?,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",6%,6%,6%,9%,10%,5%,5%,7%,3%,2%,7%,12%,2%,13%,2%,8%,2%,4%,10%,6%,5%,7%,6%,6%,11%,2%,0%,11%,2%,<.5%
What single news source do you turn to most often?,[VOL] Local print or online news organizations,<1%,<1%,<.5%,<.5%,1%,<1%,<.5%,<1%,0%,0%,1%,<1%,<1%,<1%,<1%,1%,0%,<1%,<1%,<.5%,<1%,0%,<1%,<1%,<1%,<.5%,1%,<1%,0%,0%
What single news source do you turn to most often?,[VOL] Social media,17%,20%,14%,44%,24%,12%,5%,16%,17%,18%,28%,16%,18%,16%,16%,15%,24%,14%,15%,17%,21%,21%,17%,14%,16%,18%,16%,15%,18%,17%
What single news source do you turn to most often?,[VOL] Friends and family,<.5%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%
What single news source do you turn to most often?,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",2%,2%,2%,3%,2%,3%,<1%,2%,2%,2%,2%,3%,1%,3%,2%,5%,<1%,3%,2%,<1%,3%,<.5%,2%,3%,3%,1%,2%,3%,<1%,2%
What single news source do you turn to most often?,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",3%,4%,2%,7%,5%,2%,<1%,3%,1%,4%,3%,5%,2%,5%,2%,6%,1%,2%,3%,2%,4%,3%,3%,3%,2%,3%,8%,2%,3%,11%
What single news source do you turn to most often?,[VOL] Conservative news sites,2%,3%,2%,3%,3%,2%,2%,2%,1%,3%,4%,2%,3%,2%,2%,2%,4%,4%,<1%,2%,3%,3%,2%,3%,0%,5%,0%,0%,5%,1%
What single news source do you turn to most often?,[VOL] Newsmax,3%,3%,3%,<1%,<1%,3%,5%,4%,<1%,1%,3%,1%,4%,<1%,6%,2%,1%,3%,3%,3%,1%,<.5%,3%,4%,<.5%,6%,0%,<.5%,6%,0%
What single news source do you turn to most often?,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<.5%,<.5%,<.5%,0%,0%,1%,<.5%,<.5%,<1%,0%,<1%,<.5%,<1%,<.5%,<1%,<1%,<.5%,0%,0%,1%,0%,<.5%,<1%,<.5%,<1%,<.5%,0%,<1%,<.5%,0%
What single news source do you turn to most often?,[VOL] Doesn’t consume news,1%,2%,1%,0%,3%,1%,1%,1%,0%,1%,2%,1%,1%,2%,1%,0%,2%,2%,2%,2%,<.5%,<1%,2%,2%,<1%,2%,5%,<1%,2%,5%
What single news source do you turn to most often?,[VOL] Other (includes no preference and the internet),8%,9%,7%,5%,6%,10%,8%,7%,7%,19%,2%,6%,9%,6%,8%,7%,10%,5%,8%,10%,8%,6%,6%,12%,7%,9%,8%,8%,9%,6%
What single news source do you turn to most often?,[VOL] Don't know/Refused,4%,5%,3%,1%,5%,3%,4%,3%,0%,7%,2%,4%,3%,3%,3%,2%,3%,3%,1%,5%,4%,4%,4%,3%,4%,3%,10%,3%,3%,9%
What single news source do you turn to most often?,Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
