itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
What one issue is most important in deciding your vote this November?,[VOL] Gun policies,<.5%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<1%,<1%,1%,<1%,<.5%,<.5%,<.5%,2%,<.5%,1%,<.5%,<1%,0%,1%,0%,<1%,<1%,<1%,0%,<1%,<.5%,1%
What one issue is most important in deciding your vote this November?,[VOL] Health care,2%,<1%,2%,2%,2%,2%,<.5%,2%,2%,<1%,2%,2%,1%,1%,2%,4%,<1%,2%,1%,2%,2%,3%,1%,1%,3%,<1%,1%,3%,<.5%,5%
What one issue is most important in deciding your vote this November?,[VOL] Education,<.5%,<.5%,<.5%,<1%,0%,<.5%,<.5%,<.5%,2%,0%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,1%,<.5%,<.5%,<1%,0%,<.5%,<.5%,0%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Foreign policy,5%,5%,6%,7%,5%,4%,3%,5%,5%,4%,6%,5%,5%,4%,6%,7%,4%,4%,6%,4%,6%,5%,6%,4%,3%,6%,8%,2%,5%,10%
What one issue is most important in deciding your vote this November?,[VOL] Russia/the war in Ukraine,<1%,<1%,<.5%,2%,<1%,<.5%,<.5%,<.5%,2%,2%,0%,<.5%,<1%,<.5%,<.5%,0%,2%,<1%,0%,1%,<1%,<1%,<1%,<1%,<1%,<1%,0%,<1%,<.5%,2%
What one issue is most important in deciding your vote this November?,[VOL] China,<.5%,<.5%,0%,0%,0%,0%,<.5%,0%,<1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%
What one issue is most important in deciding your vote this November?,[VOL] Climate change,1%,2%,<1%,1%,3%,<.5%,<1%,1%,0%,2%,<1%,2%,<1%,3%,<.5%,<1%,<1%,1%,2%,<.5%,2%,3%,<1%,<1%,2%,<.5%,0%,2%,<.5%,1%
What one issue is most important in deciding your vote this November?,[VOL] The state of democracy/corruption,8%,8%,9%,3%,7%,7%,13%,9%,11%,2%,5%,14%,5%,16%,5%,9%,5%,10%,10%,7%,8%,9%,9%,7%,19%,1%,2%,22%,1%,3%
What one issue is most important in deciding your vote this November?,[VOL] Election integrity,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,1%,0%,1%,<1%,<.5%,<.5%,<.5%,2%,<.5%,<.5%,<1%,<1%,0%,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,0%
What one issue is most important in deciding your vote this November?,[VOL] Equality/inequality,1%,<1%,2%,5%,2%,<.5%,<.5%,1%,1%,<1%,2%,1%,1%,2%,1%,0%,2%,2%,<.5%,<1%,3%,1%,2%,<1%,3%,<.5%,0%,2%,<.5%,4%
What one issue is most important in deciding your vote this November?,[VOL] Polarization/division,<.5%,<1%,<.5%,0%,<1%,<.5%,<.5%,<.5%,<.5%,0%,2%,<1%,<.5%,<1%,0%,<1%,<1%,<1%,1%,<.5%,0%,<1%,<1%,0%,<1%,<.5%,0%,<1%,<.5%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Racism/racial issues,<.5%,<1%,<.5%,0%,<.5%,1%,0%,<.5%,<1%,0%,2%,<.5%,<.5%,<.5%,0%,<1%,1%,0%,0%,<1%,<.5%,<1%,0%,<1%,0%,0%,4%,0%,0%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Dislike of opposing candidate (Trump or Biden),3%,4%,2%,2%,5%,2%,4%,4%,2%,2%,2%,3%,3%,4%,4%,2%,2%,2%,1%,3%,6%,3%,4%,3%,5%,2%,2%,5%,3%,2%
What one issue is most important in deciding your vote this November?,[VOL] Character/competence of candidate (Trump or Biden),10%,10%,10%,7%,5%,11%,14%,8%,16%,12%,11%,10%,10%,10%,7%,9%,15%,8%,7%,12%,10%,10%,10%,8%,13%,6%,11%,14%,7%,9%
What one issue is most important in deciding your vote this November?,[VOL] The Middle East/Israel/Palestinians,2%,2%,2%,4%,2%,1%,<1%,1%,<.5%,2%,6%,3%,<1%,3%,<1%,6%,<1%,2%,3%,<.5%,2%,3%,2%,<.5%,2%,<.5%,7%,2%,<.5%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Taxes,2%,2%,<1%,4%,3%,<1%,<1%,1%,<1%,4%,3%,1%,2%,1%,1%,2%,3%,1%,<1%,3%,1%,1%,2%,2%,<.5%,2%,3%,<.5%,3%,3%
What one issue is most important in deciding your vote this November?,[VOL] Student loans,<.5%,<.5%,<1%,<.5%,<1%,0%,<.5%,<.5%,1%,<1%,0%,<.5%,<.5%,<.5%,0%,1%,<1%,0%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<1%,0%,0%,<1%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] Other (specify),6%,4%,8%,4%,8%,4%,7%,6%,9%,7%,2%,4%,7%,4%,6%,4%,7%,6%,4%,7%,6%,6%,6%,7%,6%,6%,9%,4%,7%,6%
What one issue is most important in deciding your vote this November?,[VOL] Don't know/Refused,8%,7%,8%,14%,9%,3%,7%,6%,13%,10%,11%,4%,10%,4%,7%,3%,14%,7%,9%,7%,8%,9%,8%,7%,5%,7%,20%,5%,6%,5%
What one issue is most important in deciding your vote this November?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Which candidate do you think would do a better job of handling the issue you think is most important?,"Joe Biden, the Democrat",39%,31%,47%,40%,38%,34%,47%,36%,63%,40%,36%,49%,33%,50%,26%,47%,47%,39%,45%,33%,43%,55%,39%,28%,89%,3%,16%,95%,1%,28%
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",50%,59%,43%,43%,51%,58%,46%,57%,19%,50%,39%,39%,57%,41%,68%,33%,37%,51%,46%,56%,44%,32%,49%,64%,4%,93%,26%,1%,96%,52%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,6%,6%,7%,11%,6%,6%,3%,5%,9%,6%,17%,8%,5%,6%,3%,14%,9%,4%,5%,7%,9%,7%,7%,5%,4%,2%,38%,1%,1%,13%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Someone else; specify,<1%,1%,<.5%,<1%,<1%,<.5%,<1%,<.5%,1%,<.5%,2%,<.5%,<1%,<1%,0%,0%,2%,<1%,0%,<.5%,1%,0%,1%,0%,<.5%,<.5%,4%,<.5%,0%,3%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,4%,4%,3%,6%,5%,2%,4%,2%,8%,3%,6%,3%,4%,2%,3%,6%,6%,5%,4%,4%,3%,6%,4%,3%,3%,2%,16%,3%,<1%,3%
Which candidate do you think would do a better job of handling the issue you think is most important?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,"Joe Biden, a lot of responsibility",6%,5%,6%,3%,7%,5%,8%,6%,8%,5%,6%,3%,7%,2%,8%,6%,6%,6%,3%,6%,7%,4%,7%,5%,4%,7%,5%,4%,8%,7%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,"Joe Biden, some responsibility",8%,7%,10%,17%,9%,5%,6%,7%,16%,12%,7%,4%,11%,4%,9%,6%,15%,10%,6%,9%,8%,13%,6%,8%,5%,11%,7%,5%,10%,11%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,"Donald Trump, some responsibility",23%,26%,20%,31%,27%,23%,15%,23%,12%,24%,30%,21%,24%,22%,25%,19%,22%,27%,22%,25%,17%,14%,24%,27%,13%,32%,19%,11%,33%,27%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,"Donald Trump, a lot of responsibility",43%,39%,47%,34%,37%,46%,52%,44%,52%,36%,38%,54%,37%,55%,36%,51%,40%,42%,50%,40%,43%,52%,42%,39%,72%,21%,35%,75%,20%,42%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,[VOL] Neither,7%,10%,5%,3%,7%,9%,8%,9%,4%,4%,7%,9%,6%,10%,8%,7%,4%,5%,7%,9%,8%,5%,7%,9%,1%,12%,10%,2%,12%,4%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,[VOL] Both,<1%,<1%,<1%,2%,0%,0%,0%,<1%,2%,0%,0%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<1%,<.5%,<.5%,1%,<1%,<1%,<1%,<.5%,<.5%,3%,<.5%,<.5%,0%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,[VOL] Don't know/Refused,12%,12%,11%,10%,14%,12%,11%,11%,7%,19%,12%,9%,14%,7%,14%,11%,13%,9%,12%,11%,15%,11%,13%,12%,4%,17%,20%,3%,16%,9%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,NET Biden,14%,12%,16%,20%,16%,11%,13%,12%,23%,18%,13%,7%,18%,6%,17%,11%,21%,16%,9%,15%,15%,17%,14%,13%,9%,18%,13%,9%,18%,18%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,NET Trump,66%,65%,67%,66%,64%,69%,68%,67%,64%,60%,68%,75%,61%,77%,61%,71%,62%,69%,72%,64%,61%,66%,66%,66%,85%,53%,54%,86%,53%,69%
Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,Safe choice,41%,48%,36%,37%,39%,47%,40%,47%,16%,44%,30%,29%,49%,30%,58%,23%,33%,42%,34%,48%,37%,25%,39%,55%,2%,81%,6%,2%,90%,20%
Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,Risky choice,56%,50%,62%,61%,60%,51%,57%,52%,78%,52%,67%,70%,49%,69%,41%,74%,63%,57%,63%,48%,63%,73%,58%,43%,98%,18%,79%,98%,9%,78%
Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,[VOL] Don’t know/Refused,2%,2%,2%,2%,2%,2%,2%,<1%,5%,4%,2%,2%,2%,1%,<1%,3%,5%,1%,2%,4%,<1%,2%,3%,2%,<.5%,1%,15%,<.5%,1%,2%
Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Would you be more likely to describe reelecting Joe Biden as president this November as a safe choice for the country or a risky choice for the country?,Safe choice,35%,31%,38%,26%,31%,34%,45%,31%,62%,29%,38%,44%,29%,44%,22%,47%,42%,38%,38%,30%,35%,44%,36%,26%,79%,3%,7%,87%,2%,20%
Would you be more likely to describe reelecting Joe Biden as president this November as a safe choice for the country or a risky choice for the country?,Risky choice,63%,67%,60%,73%,67%,65%,53%,68%,33%,68%,58%,53%,70%,54%,77%,48%,55%,61%,60%,67%,63%,55%,61%,72%,19%,96%,80%,12%,97%,79%
Would you be more likely to describe reelecting Joe Biden as president this November as a safe choice for the country or a risky choice for the country?,[VOL] Don’t know/Refused,2%,2%,2%,2%,2%,2%,2%,1%,5%,3%,3%,3%,2%,2%,1%,5%,3%,<1%,2%,3%,2%,1%,3%,2%,2%,<1%,13%,1%,<1%,<1%
Would you be more likely to describe reelecting Joe Biden as president this November as a safe choice for the country or a risky choice for the country?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Has Donald Trump ever said anything that you found offensive?,"Yes, recently",37%,31%,42%,28%,34%,36%,47%,36%,50%,30%,40%,52%,28%,53%,25%,52%,35%,37%,42%,31%,42%,49%,38%,27%,72%,6%,48%,75%,5%,32%
Has Donald Trump ever said anything that you found offensive?,"Yes, but not recently",31%,29%,32%,35%,36%,33%,20%,31%,24%,34%,32%,26%,33%,26%,35%,26%,31%,27%,30%,33%,30%,24%,33%,31%,19%,40%,31%,17%,37%,41%
Has Donald Trump ever said anything that you found offensive?,No,30%,37%,24%,34%,28%,29%,29%,31%,21%,33%,24%,19%,36%,19%,39%,18%,29%,35%,26%,32%,26%,23%,25%,40%,7%,53%,13%,5%,56%,25%
Has Donald Trump ever said anything that you found offensive?,[VOL] Don’t know/Refused,3%,3%,2%,2%,1%,2%,4%,2%,5%,3%,3%,2%,3%,2%,1%,3%,5%,2%,2%,4%,2%,4%,3%,2%,2%,2%,8%,2%,2%,2%
Has Donald Trump ever said anything that you found offensive?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
How much do you think Donald Trump respects women?,A lot,21%,25%,18%,15%,17%,26%,25%,27%,3%,13%,15%,17%,24%,18%,32%,13%,8%,24%,17%,24%,18%,13%,18%,31%,<.5%,42%,2%,<.5%,50%,4%
How much do you think Donald Trump respects women?,Some,21%,24%,19%,33%,23%,19%,14%,21%,16%,27%,20%,15%,25%,16%,25%,12%,26%,21%,18%,24%,19%,17%,22%,23%,5%,35%,17%,4%,34%,21%
How much do you think Donald Trump respects women?,Not much,14%,14%,15%,19%,18%,13%,11%,13%,19%,20%,11%,15%,14%,16%,12%,14%,17%,15%,15%,13%,16%,17%,16%,11%,17%,11%,22%,16%,8%,28%
How much do you think Donald Trump respects women?,Not at all,38%,30%,45%,31%,37%,36%,46%,34%,57%,37%,46%,47%,33%,45%,27%,53%,45%,37%,44%,32%,43%,49%,39%,29%,77%,5%,43%,78%,2%,43%
How much do you think Donald Trump respects women?,[VOL] Don’t know/Refused,5%,6%,4%,3%,6%,6%,4%,4%,5%,3%,7%,6%,4%,4%,4%,9%,3%,4%,5%,6%,4%,4%,5%,6%,<1%,6%,16%,<1%,7%,4%
How much do you think Donald Trump respects women?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Donald Trump has committed serious federal crimes,54%,47%,61%,63%,60%,48%,53%,47%,80%,64%,66%,63%,49%,62%,37%,70%,71%,53%,60%,47%,61%,73%,56%,40%,95%,18%,67%,95%,12%,71%
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Donald Trump has not committed serious federal crimes,38%,47%,31%,27%,32%,46%,40%,47%,8%,25%,31%,31%,43%,33%,56%,23%,19%,43%,31%,44%,31%,22%,35%,53%,3%,74%,9%,3%,81%,20%
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",[VOL] Don't know/Refused,7%,6%,8%,10%,8%,6%,7%,6%,11%,11%,3%,6%,8%,5%,7%,7%,9%,4%,9%,8%,8%,6%,9%,6%,2%,8%,24%,2%,7%,9%
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
What comes closer to your view about Donald Trump's actions after the 2020 election?,He was just exercising his right to contest the election,43%,50%,37%,40%,44%,48%,39%,49%,16%,43%,34%,31%,50%,34%,59%,24%,34%,43%,37%,50%,39%,26%,42%,57%,4%,82%,10%,2%,87%,31%
What comes closer to your view about Donald Trump's actions after the 2020 election?,He went so far that he threatened American democracy,51%,44%,57%,52%,49%,47%,56%,46%,77%,50%,55%,62%,44%,62%,36%,67%,59%,51%,57%,45%,53%,66%,52%,38%,94%,11%,67%,96%,7%,60%
What comes closer to your view about Donald Trump's actions after the 2020 election?,[VOL] Don't know/Refused,6%,6%,6%,8%,7%,5%,5%,5%,6%,6%,11%,6%,6%,5%,5%,9%,7%,6%,6%,5%,8%,9%,6%,5%,2%,6%,22%,2%,6%,8%
What comes closer to your view about Donald Trump's actions after the 2020 election?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",The charges against Donald Trump are mostly politically motivated.,48%,55%,42%,41%,48%,55%,45%,55%,26%,42%,34%,37%,55%,40%,65%,28%,36%,49%,42%,56%,40%,30%,44%,65%,7%,86%,29%,6%,90%,37%
"Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",Donald Trump was charged mostly because prosecutors believed he committed crimes.,48%,42%,55%,52%,49%,43%,53%,44%,69%,54%,54%,60%,42%,58%,34%,66%,57%,48%,55%,40%,55%,66%,51%,34%,91%,11%,59%,92%,7%,63%
"Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,4%,3%,3%,7%,3%,3%,2%,2%,5%,4%,12%,4%,3%,2%,1%,7%,7%,2%,3%,4%,5%,4%,5%,2%,2%,3%,12%,2%,3%,<.5%
"Thinking generally about all the criminal cases against Donald Trump, which comes closer to your view, even if neither is exactly right?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"(If country headed in the wrong direction)  In a previous question you said you thought things in the U.S. were headed in the wrong direction. Which statement comes closer to your view, even if neither is exactly right?",Our problems are so bad that America is in danger of failing as a nation.,47%,48%,46%,50%,50%,52%,38%,50%,35%,41%,48%,41%,51%,40%,58%,43%,39%,46%,45%,51%,44%,45%,44%,53%,31%,61%,45%,27%,65%,43%
"(If country headed in the wrong direction)  In a previous question you said you thought things in the U.S. were headed in the wrong direction. Which statement comes closer to your view, even if neither is exactly right?","Our problems are bad, but America is not in danger of failing as a nation anytime soon.",21%,21%,22%,26%,23%,19%,21%,23%,19%,21%,16%,22%,21%,24%,21%,18%,19%,24%,26%,21%,16%,18%,24%,21%,15%,25%,31%,15%,22%,32%
"(If country headed in the wrong direction)  In a previous question you said you thought things in the U.S. were headed in the wrong direction. Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,2%,1%,2%,2%,2%,2%,2%,2%,3%,0%,1%,2%,1%,2%,1%,2%,2%,2%,2%,2%,1%,2%,1%,2%,1%,1%,4%,2%,2%,<1%
"(If country headed in the wrong direction)  In a previous question you said you thought things in the U.S. were headed in the wrong direction. Which statement comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Country is on the right track,21%,22%,21%,11%,17%,22%,30%,19%,31%,27%,23%,25%,19%,25%,14%,25%,29%,21%,22%,18%,25%,23%,23%,18%,41%,8%,5%,46%,7%,15%
"(If country headed in the wrong direction)  In a previous question you said you thought things in the U.S. were headed in the wrong direction. Which statement comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Don't know/Refused,9%,8%,9%,12%,9%,5%,9%,7%,13%,11%,12%,10%,8%,9%,6%,12%,11%,7%,6%,8%,14%,12%,9%,6%,11%,5%,15%,11%,4%,10%
"(If country headed in the wrong direction)  In a previous question you said you thought things in the U.S. were headed in the wrong direction. Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
What single news source do you turn to most often?,[VOL] Fox News,12%,14%,11%,7%,10%,12%,18%,16%,6%,5%,3%,8%,15%,10%,19%,3%,6%,11%,9%,15%,11%,9%,9%,18%,1%,23%,2%,1%,27%,3%
What single news source do you turn to most often?,[VOL] CNN,10%,9%,12%,12%,11%,9%,9%,9%,20%,8%,11%,9%,11%,8%,9%,12%,13%,10%,14%,12%,4%,12%,10%,9%,15%,6%,10%,13%,6%,14%
What single news source do you turn to most often?,[VOL] MSNBC,4%,5%,4%,<1%,<.5%,3%,10%,5%,8%,<.5%,2%,5%,4%,4%,5%,5%,3%,4%,3%,4%,5%,4%,6%,3%,9%,<1%,<1%,11%,<1%,<1%
What single news source do you turn to most often?,[VOL] Public Radio/NPR/PBS,3%,2%,4%,2%,5%,3%,2%,3%,4%,3%,4%,7%,<1%,7%,<.5%,8%,2%,4%,4%,2%,4%,5%,4%,2%,6%,<.5%,6%,7%,<.5%,3%
What single news source do you turn to most often?,[VOL] Talk radio/conservative personality,<1%,2%,<.5%,<.5%,1%,1%,<.5%,<1%,<.5%,2%,<1%,<.5%,1%,<.5%,1%,<.5%,1%,1%,<1%,<1%,<1%,<1%,<1%,1%,0%,2%,0%,0%,2%,0%
What single news source do you turn to most often?,"[VOL] National television networks, like CBS, NBC or ABC",11%,9%,12%,5%,4%,13%,18%,11%,11%,11%,9%,9%,12%,10%,12%,9%,10%,10%,14%,10%,10%,9%,12%,11%,16%,7%,8%,17%,6%,13%
What single news source do you turn to most often?,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",5%,3%,7%,2%,6%,7%,5%,5%,4%,7%,3%,6%,5%,6%,5%,5%,5%,6%,5%,5%,4%,5%,4%,6%,5%,5%,6%,5%,6%,3%
What single news source do you turn to most often?,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",6%,6%,6%,7%,7%,5%,6%,7%,3%,2%,6%,12%,2%,14%,3%,8%,2%,4%,10%,5%,5%,7%,6%,5%,9%,4%,4%,11%,3%,4%
What single news source do you turn to most often?,[VOL] Local print or online news organizations,<1%,<.5%,1%,<1%,<1%,<1%,<1%,<1%,1%,0%,2%,<1%,<1%,<1%,<1%,2%,<1%,2%,<.5%,<1%,<.5%,<1%,1%,<.5%,1%,<.5%,<.5%,<1%,<.5%,2%
What single news source do you turn to most often?,[VOL] Social media,19%,20%,17%,44%,28%,11%,6%,15%,29%,34%,18%,17%,20%,14%,15%,23%,30%,18%,15%,19%,23%,22%,20%,15%,16%,21%,18%,13%,19%,32%
What single news source do you turn to most often?,[VOL] Friends and family,<1%,<.5%,1%,<.5%,<1%,<1%,<1%,<1%,1%,2%,0%,<.5%,1%,<.5%,<1%,0%,1%,<.5%,2%,0%,1%,<.5%,<1%,<1%,<.5%,<1%,2%,<.5%,<1%,0%
What single news source do you turn to most often?,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",3%,3%,3%,2%,3%,3%,3%,2%,<1%,4%,7%,4%,2%,5%,<1%,4%,4%,3%,2%,2%,4%,4%,3%,2%,4%,1%,3%,5%,1%,3%
What single news source do you turn to most often?,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",3%,4%,3%,2%,6%,4%,1%,3%,2%,3%,8%,3%,4%,3%,3%,4%,5%,3%,5%,1%,5%,4%,4%,2%,3%,2%,10%,3%,1%,6%
What single news source do you turn to most often?,[VOL] Conservative news sites,2%,3%,1%,2%,1%,3%,1%,2%,1%,<1%,1%,2%,2%,3%,1%,<.5%,1%,3%,<1%,2%,2%,<1%,2%,3%,0%,4%,2%,0%,4%,<1%
What single news source do you turn to most often?,[VOL] Newsmax,2%,2%,2%,0%,1%,3%,4%,3%,1%,<.5%,<.5%,1%,3%,2%,4%,0%,1%,2%,2%,3%,3%,<.5%,2%,5%,<1%,4%,0%,<1%,5%,<.5%
What single news source do you turn to most often?,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<1%,1%,<1%,1%,<1%,<1%,<1%,<1%,0%,1%,3%,1%,<1%,1%,<.5%,2%,1%,<1%,2%,<.5%,1%,1%,<1%,<.5%,2%,0%,1%,2%,0%,<1%
What single news source do you turn to most often?,[VOL] Doesn’t consume news,3%,4%,2%,3%,4%,3%,<1%,3%,1%,2%,5%,2%,3%,2%,3%,2%,2%,3%,2%,3%,2%,3%,1%,4%,<1%,3%,9%,<1%,3%,2%
What single news source do you turn to most often?,[VOL] Other (includes no preference and the internet),9%,10%,9%,5%,7%,12%,9%,9%,3%,9%,16%,9%,10%,8%,10%,8%,9%,11%,7%,9%,9%,6%,10%,10%,8%,11%,7%,8%,10%,8%
What single news source do you turn to most often?,[VOL] Don't know/Refused,4%,4%,3%,4%,2%,5%,4%,4%,3%,6%,2%,3%,5%,2%,5%,5%,3%,3%,2%,5%,5%,6%,3%,4%,2%,4%,10%,3%,4%,3%
What single news source do you turn to most often?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very liberal,9%,8%,9%,13%,10%,7%,8%,9%,4%,10%,15%,13%,6%,14%,5%,12%,8%,7%,11%,7%,11%,12%,9%,6%,18%,1%,9%,19%,<1%,9%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat liberal,14%,9%,18%,19%,17%,12%,12%,12%,23%,16%,15%,16%,13%,15%,10%,18%,19%,13%,15%,13%,15%,21%,14%,9%,25%,5%,14%,24%,4%,18%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Moderate,37%,38%,36%,39%,42%,34%,35%,36%,36%,36%,42%,44%,33%,44%,31%,41%,36%,35%,41%,33%,41%,34%,44%,30%,42%,32%,43%,40%,27%,58%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat conservative,19%,23%,15%,15%,14%,20%,22%,20%,19%,19%,12%,12%,23%,13%,24%,12%,20%,19%,18%,20%,17%,14%,18%,23%,8%,29%,9%,9%,31%,10%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very conservative,16%,17%,15%,7%,11%,21%,19%,19%,8%,13%,9%,12%,18%,13%,22%,11%,9%,22%,9%,19%,11%,13%,11%,23%,4%,27%,8%,5%,32%,3%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",[VOL] Don't know/Refused,6%,5%,6%,7%,6%,6%,4%,5%,10%,6%,6%,3%,7%,2%,7%,6%,8%,5%,5%,8%,4%,6%,4%,8%,3%,6%,18%,3%,6%,1%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Which of the following general income categories is your total household income before taxes?,"Under $25,000",12%,8%,16%,15%,11%,9%,14%,10%,18%,19%,11%,3%,17%,3%,15%,4%,22%,15%,8%,13%,11%,17%,10%,10%,13%,11%,12%,12%,12%,11%
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",16%,14%,17%,20%,11%,13%,21%,14%,21%,21%,15%,7%,20%,7%,18%,6%,24%,17%,13%,17%,14%,14%,14%,19%,15%,16%,14%,15%,16%,15%
