itm,v1,u_s_likely_electorate_u_s_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,sub_poll_phil,sub_poll_rest_of_pa,sub_poll_rest_of_u_s,x2024_vote_head_to_head_harris
The Ukraine-Russia war,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares
"Do you think Kamala [COMMA-luh] Harris represents change, or more of the same?",Major change,25%,20%,29%,25%,21%,21%,33%,21%,48%,25%,26%,21%,34%,24%,25%,22%,21%,32%,36%,24%,25%,26%,24%,26%,29%,18%,39%,25%,25%,44%
"Do you think Kamala [COMMA-luh] Harris represents change, or more of the same?",Minor change,20%,19%,21%,24%,26%,22%,11%,19%,29%,21%,17%,19%,23%,28%,15%,29%,12%,24%,23%,17%,22%,19%,23%,26%,23%,12%,25%,17%,20%,36%
"Do you think Kamala [COMMA-luh] Harris represents change, or more of the same?",More of the same,52%,58%,46%,48%,51%,54%,50%,56%,21%,47%,55%,56%,40%,44%,57%,45%,65%,42%,38%,58%,49%,54%,46%,43%,45%,65%,34%,55%,52%,15%
"Do you think Kamala [COMMA-luh] Harris represents change, or more of the same?",[VOL] Don't know/Refused,4%,3%,4%,3%,2%,3%,6%,3%,1%,7%,2%,3%,3%,4%,3%,4%,3%,3%,4%,2%,5%,2%,7%,4%,3%,4%,2%,3%,4%,4%
"Do you think Kamala [COMMA-luh] Harris represents change, or more of the same?",Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
"Do you think Donald Trump represents change, or more of the same?",Major change,49%,54%,44%,29%,49%,54%,52%,57%,23%,36%,33%,57%,30%,45%,51%,49%,63%,37%,26%,53%,40%,55%,45%,38%,44%,61%,33%,49%,49%,24%
"Do you think Donald Trump represents change, or more of the same?",Minor change,10%,11%,9%,19%,11%,8%,7%,8%,8%,13%,21%,8%,13%,9%,10%,7%,8%,12%,14%,11%,10%,9%,10%,13%,8%,10%,7%,9%,10%,5%
"Do you think Donald Trump represents change, or more of the same?",More of the same,38%,32%,43%,51%,37%,36%,37%,32%,68%,49%,41%,32%,54%,43%,35%,42%,25%,48%,58%,33%,47%,33%,41%,46%,44%,26%,55%,38%,38%,67%
"Do you think Donald Trump represents change, or more of the same?",[VOL] Don't know/Refused,3%,3%,3%,2%,3%,3%,4%,2%,<.5%,3%,6%,2%,3%,3%,3%,2%,3%,3%,2%,2%,4%,3%,4%,4%,3%,3%,6%,3%,3%,3%
"Do you think Donald Trump represents change, or more of the same?",Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,Safe choice,46%,51%,41%,32%,40%,47%,53%,52%,15%,33%,40%,52%,28%,32%,54%,35%,64%,24%,31%,52%,41%,49%,38%,31%,37%,65%,18%,48%,46%,<1%
Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,Risky choice,52%,46%,58%,65%,58%,51%,47%,47%,82%,59%,59%,47%,67%,66%,43%,65%,34%,72%,65%,46%,58%,49%,57%,65%,61%,34%,81%,50%,52%,98%
Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,[VOL] Don’t know/Refused,2%,3%,2%,3%,2%,3%,<1%,<1%,3%,7%,2%,<1%,4%,2%,2%,<.5%,1%,4%,4%,1%,1%,2%,4%,4%,2%,2%,1%,2%,2%,<1%
Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Would you be more likely to describe electing Kamala Harris as president this November as a safe choice for the country or a risky choice for the country?,Safe choice,47%,41%,53%,61%,47%,47%,45%,43%,72%,56%,45%,43%,59%,63%,38%,63%,30%,65%,56%,44%,55%,44%,49%,59%,56%,29%,74%,46%,47%,95%
Would you be more likely to describe electing Kamala Harris as president this November as a safe choice for the country or a risky choice for the country?,Risky choice,51%,56%,45%,36%,51%,51%,55%,56%,24%,38%,54%,56%,37%,36%,60%,37%,69%,33%,39%,55%,43%,55%,46%,38%,41%,69%,25%,53%,51%,4%
Would you be more likely to describe electing Kamala Harris as president this November as a safe choice for the country or a risky choice for the country?,[VOL] Don’t know/Refused,2%,2%,2%,3%,2%,2%,<1%,<1%,4%,6%,1%,<1%,4%,2%,2%,<.5%,1%,2%,5%,1%,2%,1%,5%,3%,2%,2%,<.5%,1%,2%,1%
Would you be more likely to describe electing Kamala Harris as president this November as a safe choice for the country or a risky choice for the country?,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",Too conservative,35%,31%,38%,60%,41%,32%,25%,35%,37%,42%,32%,35%,37%,44%,28%,46%,27%,44%,33%,28%,39%,32%,41%,41%,40%,25%,52%,34%,35%,57%
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",Not conservative enough,14%,15%,12%,9%,13%,12%,19%,11%,26%,19%,6%,11%,18%,11%,16%,9%,13%,16%,19%,13%,9%,17%,14%,14%,16%,12%,12%,9%,14%,14%
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",Not too far either way,44%,47%,42%,29%,42%,49%,45%,47%,32%,35%,58%,47%,40%,39%,48%,39%,51%,34%,44%,52%,44%,46%,36%,37%,38%,57%,30%,50%,44%,21%
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",[VOL] Don’t know/Refused,7%,7%,7%,2%,4%,7%,12%,7%,6%,4%,4%,7%,5%,6%,7%,6%,8%,6%,4%,7%,8%,5%,9%,8%,7%,7%,6%,7%,7%,8%
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",Too liberal or progressive,47%,52%,42%,31%,42%,49%,52%,51%,23%,37%,48%,51%,35%,38%,52%,39%,59%,35%,35%,54%,41%,52%,37%,33%,41%,62%,24%,50%,47%,11%
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",Not liberal or progressive enough,6%,5%,7%,11%,11%,5%,2%,6%,6%,9%,5%,6%,7%,8%,5%,7%,4%,9%,6%,4%,6%,6%,8%,11%,5%,4%,17%,8%,6%,9%
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",Not too far either way,42%,37%,47%,53%,43%,42%,39%,39%,64%,44%,45%,39%,52%,52%,36%,52%,30%,54%,50%,39%,47%,38%,47%,50%,50%,28%,55%,39%,42%,76%
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",[VOL] Don’t know/Refused,5%,5%,5%,4%,4%,4%,7%,4%,6%,9%,2%,4%,6%,2%,7%,2%,6%,2%,9%,3%,6%,4%,8%,7%,4%,6%,4%,3%,5%,4%
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
"Do you feel like you still need to learn more about Donald Trump, or do you pretty much already know what you need to know?",Feel like you need to learn more about Donald Trump,10%,11%,8%,21%,14%,9%,4%,7%,10%,23%,15%,7%,16%,8%,12%,5%,9%,14%,17%,7%,6%,11%,14%,13%,9%,9%,12%,6%,10%,6%
"Do you feel like you still need to learn more about Donald Trump, or do you pretty much already know what you need to know?",Pretty much already know what you need to know about Donald Trump,89%,88%,91%,78%,86%,91%,96%,92%,89%,76%,85%,92%,83%,92%,88%,95%,90%,85%,82%,93%,93%,88%,86%,87%,90%,90%,87%,93%,89%,94%
"Do you feel like you still need to learn more about Donald Trump, or do you pretty much already know what you need to know?",[VOL] Don’t know/Refused,<1%,<.5%,<1%,<1%,<1%,<1%,<.5%,<1%,<1%,1%,<.5%,<1%,<1%,<.5%,<1%,<.5%,<1%,<1%,<1%,0%,<1%,1%,<.5%,<.5%,<1%,<1%,<.5%,<1%,<1%,<.5%
"Do you feel like you still need to learn more about Kamala [COMMA-luh] Harris, or do you pretty much already know what you need to know?",Feel like you need to learn more about Kamala Harris,25%,24%,26%,45%,32%,24%,12%,19%,32%,42%,44%,19%,38%,26%,25%,19%,19%,44%,35%,21%,29%,24%,26%,28%,26%,21%,35%,23%,25%,28%
"Do you feel like you still need to learn more about Kamala [COMMA-luh] Harris, or do you pretty much already know what you need to know?",Pretty much already know what you need to know about Kamala Harris,74%,76%,73%,54%,68%,75%,87%,80%,68%,56%,56%,80%,60%,73%,75%,80%,80%,54%,64%,78%,69%,75%,74%,72%,73%,78%,64%,76%,74%,71%
"Do you feel like you still need to learn more about Kamala [COMMA-luh] Harris, or do you pretty much already know what you need to know?",[VOL] Don’t know/Refused,1%,<1%,1%,1%,<1%,<1%,<.5%,<1%,<1%,2%,<1%,<1%,1%,<1%,<1%,<1%,<1%,1%,<1%,<.5%,1%,2%,<.5%,<.5%,1%,1%,1%,<1%,1%,<.5%
"Do you feel like you still need to learn more about Kamala [COMMA-luh] Harris, or do you pretty much already know what you need to know?",Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
"(If watched or heard about the debate)  Do you feel like you learned a lot about Kamala [COMMA-luh] Harris at the debate, some about Kamala Harris, not much or nothing at all?",A lot,18%,16%,21%,15%,17%,17%,24%,16%,39%,18%,16%,16%,26%,17%,19%,15%,17%,25%,26%,15%,20%,22%,14%,20%,20%,16%,29%,22%,18%,29%
"(If watched or heard about the debate)  Do you feel like you learned a lot about Kamala [COMMA-luh] Harris at the debate, some about Kamala Harris, not much or nothing at all?",Some,31%,28%,35%,43%,33%,32%,26%,30%,39%,38%,27%,30%,35%,37%,27%,39%,23%,34%,36%,28%,37%,29%,34%,38%,34%,24%,39%,33%,31%,49%
"(If watched or heard about the debate)  Do you feel like you learned a lot about Kamala [COMMA-luh] Harris at the debate, some about Kamala Harris, not much or nothing at all?",Not much,22%,23%,21%,26%,23%,20%,21%,23%,12%,20%,28%,23%,19%,20%,23%,21%,25%,19%,19%,22%,20%,18%,29%,24%,20%,22%,18%,18%,22%,15%
"(If watched or heard about the debate)  Do you feel like you learned a lot about Kamala [COMMA-luh] Harris at the debate, some about Kamala Harris, not much or nothing at all?",Nothing at all,25%,30%,20%,13%,25%,29%,25%,27%,10%,20%,27%,27%,18%,23%,26%,23%,31%,20%,17%,30%,19%,28%,21%,16%,24%,32%,12%,24%,25%,4%
"(If watched or heard about the debate)  Do you feel like you learned a lot about Kamala [COMMA-luh] Harris at the debate, some about Kamala Harris, not much or nothing at all?",[VOL] Don’t know/Refused,3%,3%,4%,3%,3%,3%,4%,4%,<1%,4%,2%,4%,2%,3%,4%,2%,4%,2%,2%,5%,4%,3%,2%,2%,2%,6%,2%,3%,3%,2%
"(If watched or heard about the debate)  Do you feel like you learned a lot about Kamala [COMMA-luh] Harris at the debate, some about Kamala Harris, not much or nothing at all?",NET A lot/Some,50%,44%,55%,57%,50%,49%,50%,46%,78%,56%,43%,46%,61%,54%,47%,54%,40%,59%,62%,43%,57%,51%,48%,58%,54%,40%,68%,55%,49%,79%
"(If watched or heard about the debate)  Do you feel like you learned a lot about Kamala [COMMA-luh] Harris at the debate, some about Kamala Harris, not much or nothing at all?",NET Not much/Nothing,47%,53%,41%,39%,47%,49%,46%,51%,22%,40%,55%,51%,37%,43%,49%,44%,55%,38%,36%,52%,39%,46%,50%,40%,44%,55%,30%,42%,47%,19%
"(If watched or heard about the debate)  Do you feel like you learned a lot about Kamala [COMMA-luh] Harris at the debate, some about Kamala Harris, not much or nothing at all?",Number of respondents,"1,829",840,961,319,457,579,398,"1,241",243,148,141,"1,241",532,955,858,679,554,250,280,241,973,366,249,548,760,521,278,513,"1,038","1,005"
"(If watched or heard about the debate)  Do you feel like you learned a lot about Donald Trump at the debate, some about Donald Trump, not much or nothing at all?",A lot,11%,10%,11%,10%,5%,11%,13%,9%,17%,11%,15%,9%,14%,9%,12%,8%,9%,11%,16%,10%,8%,15%,7%,11%,9%,13%,12%,13%,10%,10%
"(If watched or heard about the debate)  Do you feel like you learned a lot about Donald Trump at the debate, some about Donald Trump, not much or nothing at all?",Some,22%,18%,26%,28%,20%,19%,23%,22%,17%,24%,27%,22%,22%,16%,26%,14%,26%,21%,23%,20%,15%,24%,27%,24%,21%,22%,15%,20%,22%,13%
"(If watched or heard about the debate)  Do you feel like you learned a lot about Donald Trump at the debate, some about Donald Trump, not much or nothing at all?",Not much,25%,27%,22%,35%,29%,23%,20%,26%,20%,26%,23%,26%,23%,24%,26%,25%,27%,21%,24%,26%,25%,25%,24%,21%,23%,29%,25%,23%,25%,19%
"(If watched or heard about the debate)  Do you feel like you learned a lot about Donald Trump at the debate, some about Donald Trump, not much or nothing at all?",Nothing at all,40%,43%,37%,23%,44%,44%,39%,41%,44%,36%,33%,41%,38%,49%,33%,51%,34%,45%,34%,42%,46%,34%,40%,42%,44%,32%,46%,40%,40%,56%
"(If watched or heard about the debate)  Do you feel like you learned a lot about Donald Trump at the debate, some about Donald Trump, not much or nothing at all?",[VOL] Don’t know/Refused,3%,2%,4%,3%,2%,3%,4%,3%,3%,3%,2%,3%,3%,2%,4%,2%,4%,2%,3%,3%,6%,3%,1%,1%,3%,5%,1%,3%,3%,2%
"(If watched or heard about the debate)  Do you feel like you learned a lot about Donald Trump at the debate, some about Donald Trump, not much or nothing at all?",NET A lot/Some,32%,28%,36%,38%,25%,30%,36%,30%,34%,35%,42%,30%,36%,25%,37%,22%,36%,32%,40%,30%,23%,38%,34%,35%,29%,35%,28%,33%,32%,22%
"(If watched or heard about the debate)  Do you feel like you learned a lot about Donald Trump at the debate, some about Donald Trump, not much or nothing at all?",NET Not much/Nothing,64%,69%,60%,58%,72%,67%,60%,67%,64%,62%,55%,67%,61%,73%,59%,76%,60%,67%,57%,67%,71%,58%,65%,64%,68%,61%,71%,64%,64%,75%
"(If watched or heard about the debate)  Do you feel like you learned a lot about Donald Trump at the debate, some about Donald Trump, not much or nothing at all?",Number of respondents,"1,829",840,961,319,457,579,398,"1,241",243,148,141,"1,241",532,955,858,679,554,250,280,241,973,366,249,548,760,521,278,513,"1,038","1,005"
"If Donald Trump wins in November, which would come closer to your view, even if neither was exactly right?",Donald Trump will try to pass a law restricting access to legal abortions nationwide,48%,40%,56%,57%,58%,48%,39%,45%,72%,54%,39%,45%,57%,56%,43%,56%,39%,61%,54%,38%,51%,50%,53%,57%,53%,38%,71%,47%,48%,81%
"If Donald Trump wins in November, which would come closer to your view, even if neither was exactly right?",Donald Trump will NOT try to pass a law restricting access to legal abortions nationwide,42%,48%,37%,32%,37%,44%,47%,45%,24%,34%,54%,45%,36%,39%,44%,41%,48%,36%,36%,49%,40%,41%,38%,33%,38%,52%,27%,47%,42%,14%
"If Donald Trump wins in November, which would come closer to your view, even if neither was exactly right?",[VOL] Don’t know/Refused,10%,12%,8%,12%,5%,8%,13%,9%,4%,12%,6%,9%,8%,5%,13%,4%,13%,3%,10%,13%,9%,9%,9%,10%,9%,10%,2%,7%,10%,5%
"If Donald Trump wins in November, which would come closer to your view, even if neither was exactly right?",Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Will bring about the right kind of change,Very well,31%,23%,39%,31%,27%,31%,37%,28%,64%,34%,20%,28%,41%,39%,26%,39%,20%,44%,40%,29%,35%,32%,29%,41%,37%,18%,50%,33%,31%,64%
Will bring about the right kind of change,Somewhat well,18%,18%,19%,35%,23%,16%,10%,17%,16%,24%,29%,17%,22%,22%,16%,23%,13%,20%,24%,17%,20%,15%,23%,21%,20%,15%,26%,15%,18%,32%
Will bring about the right kind of change,Not too well,9%,10%,7%,14%,11%,8%,4%,7%,6%,15%,17%,7%,12%,9%,8%,6%,8%,15%,10%,8%,8%,9%,9%,8%,9%,8%,11%,10%,8%,3%
Will bring about the right kind of change,Not at all well,40%,46%,35%,19%,39%,43%,48%,47%,13%,25%,34%,47%,23%,29%,48%,31%,58%,21%,24%,45%,34%,43%,37%,28%,32%,57%,11%,40%,41%,<1%
Will bring about the right kind of change,[VOL] Don't know/Refused,2%,3%,<1%,1%,<.5%,2%,1%,1%,1%,3%,<.5%,1%,2%,2%,1%,1%,<1%,<.5%,2%,2%,3%,1%,1%,2%,1%,2%,2%,1%,2%,<1%
Will bring about the right kind of change,NET Well,49%,41%,57%,65%,50%,47%,47%,45%,79%,58%,49%,45%,64%,61%,42%,61%,33%,64%,64%,46%,55%,46%,52%,62%,57%,33%,76%,48%,49%,96%
Will bring about the right kind of change,NET Not well,49%,56%,42%,33%,50%,51%,52%,54%,19%,39%,51%,54%,35%,37%,57%,37%,66%,36%,34%,52%,43%,52%,47%,36%,42%,66%,22%,51%,49%,3%
Will bring about the right kind of change,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Has the temperament to be an effective president,Very well,41%,35%,47%,45%,44%,39%,41%,40%,66%,43%,27%,40%,47%,53%,33%,54%,30%,55%,43%,35%,47%,40%,43%,51%,50%,24%,70%,41%,41%,84%
Has the temperament to be an effective president,Somewhat well,12%,14%,11%,26%,14%,12%,6%,9%,13%,24%,31%,9%,21%,14%,12%,11%,8%,21%,21%,12%,12%,11%,14%,15%,12%,11%,13%,14%,12%,13%
Has the temperament to be an effective president,Not too well,12%,15%,9%,12%,12%,13%,11%,13%,6%,9%,14%,13%,9%,8%,14%,8%,16%,9%,9%,15%,11%,10%,12%,7%,12%,14%,5%,10%,12%,1%
Has the temperament to be an effective president,Not at all well,32%,34%,30%,16%,28%,34%,39%,37%,10%,21%,29%,37%,19%,24%,38%,26%,45%,15%,21%,35%,27%,36%,28%,24%,24%,47%,10%,33%,32%,<.5%
Has the temperament to be an effective president,[VOL] Don't know/Refused,3%,3%,2%,1%,1%,2%,3%,2%,5%,4%,<.5%,2%,3%,1%,3%,<1%,2%,<.5%,5%,4%,3%,2%,2%,3%,2%,3%,2%,1%,3%,2%
Has the temperament to be an effective president,NET Well,54%,49%,58%,71%,59%,51%,47%,49%,78%,67%,57%,49%,69%,67%,45%,65%,37%,76%,64%,47%,60%,52%,58%,66%,62%,36%,83%,55%,53%,97%
Has the temperament to be an effective president,NET Not well,44%,49%,39%,28%,40%,47%,50%,50%,16%,30%,42%,50%,28%,32%,52%,34%,60%,24%,31%,49%,37%,46%,41%,32%,36%,61%,15%,43%,44%,1%
Has the temperament to be an effective president,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Is intelligent,Very well,50%,43%,57%,61%,50%,48%,50%,46%,79%,59%,47%,46%,63%,63%,42%,63%,34%,66%,62%,45%,56%,48%,54%,64%,59%,32%,79%,51%,50%,92%
Is intelligent,Somewhat well,19%,21%,17%,21%,24%,20%,14%,20%,11%,13%,31%,20%,17%,17%,20%,17%,23%,20%,15%,17%,22%,17%,20%,15%,18%,23%,15%,23%,19%,7%
Is intelligent,Not too well,8%,8%,7%,5%,4%,10%,9%,9%,4%,7%,4%,9%,5%,7%,8%,7%,10%,5%,6%,10%,4%,7%,8%,3%,6%,12%,4%,9%,8%,<1%
Is intelligent,Not at all well,21%,25%,18%,12%,22%,19%,27%,24%,5%,17%,19%,24%,13%,12%,28%,12%,33%,9%,15%,26%,14%,26%,16%,16%,15%,32%,2%,16%,22%,<.5%
Is intelligent,[VOL] Don't know/Refused,2%,2%,2%,<.5%,<1%,2%,<1%,1%,<1%,4%,0%,1%,2%,1%,2%,1%,1%,<.5%,2%,1%,3%,1%,2%,3%,1%,2%,<.5%,<1%,2%,<1%
Is intelligent,NET Well,69%,65%,74%,82%,74%,68%,63%,66%,91%,72%,78%,66%,80%,80%,62%,80%,56%,86%,77%,63%,79%,65%,74%,78%,77%,54%,93%,74%,69%,99%
Is intelligent,NET Not well,29%,33%,25%,18%,26%,30%,36%,33%,9%,24%,22%,33%,18%,19%,36%,19%,42%,14%,21%,36%,19%,34%,24%,19%,22%,44%,6%,25%,29%,<1%
Is intelligent,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Cares about people like you,Very well,38%,31%,43%,39%,36%,37%,41%,35%,64%,39%,26%,35%,45%,47%,31%,49%,26%,47%,44%,33%,45%,37%,36%,45%,47%,22%,56%,38%,37%,76%
Cares about people like you,Somewhat well,14%,14%,14%,30%,14%,13%,7%,11%,18%,23%,25%,11%,21%,15%,13%,13%,10%,23%,21%,16%,14%,11%,16%,19%,14%,12%,21%,13%,14%,19%
Cares about people like you,Not too well,9%,11%,8%,10%,13%,9%,6%,8%,6%,12%,16%,8%,11%,8%,9%,8%,8%,8%,13%,9%,8%,8%,12%,6%,10%,10%,9%,14%,9%,2%
Cares about people like you,Not at all well,38%,41%,34%,20%,36%,39%,44%,44%,10%,23%,33%,44%,21%,28%,44%,29%,55%,22%,20%,40%,31%,42%,34%,27%,28%,55%,14%,34%,38%,2%
Cares about people like you,[VOL] Don't know/Refused,2%,2%,1%,<.5%,1%,1%,2%,1%,2%,3%,<1%,1%,2%,1%,2%,<1%,2%,<1%,2%,2%,2%,1%,2%,2%,2%,2%,<.5%,2%,2%,1%
Cares about people like you,NET Well,52%,46%,57%,69%,50%,51%,48%,47%,82%,62%,50%,47%,66%,63%,45%,62%,36%,69%,65%,49%,59%,48%,52%,65%,60%,33%,76%,51%,52%,95%
Cares about people like you,NET Not well,47%,52%,41%,31%,49%,48%,50%,52%,16%,35%,49%,52%,32%,36%,54%,37%,62%,30%,33%,49%,38%,51%,46%,34%,38%,65%,23%,47%,47%,4%
Cares about people like you,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Is respected by foreign leaders,Very well,27%,22%,31%,21%,24%,27%,31%,26%,39%,26%,21%,26%,29%,34%,22%,35%,20%,34%,27%,23%,29%,28%,26%,35%,29%,19%,44%,28%,26%,52%
Is respected by foreign leaders,Somewhat well,20%,19%,21%,40%,24%,17%,12%,17%,26%,29%,30%,17%,28%,26%,17%,25%,12%,30%,28%,18%,24%,15%,25%,26%,23%,13%,27%,19%,20%,34%
Is respected by foreign leaders,Not too well,12%,16%,9%,16%,14%,14%,8%,13%,11%,12%,13%,13%,12%,9%,14%,9%,15%,11%,13%,14%,12%,12%,11%,8%,13%,14%,8%,13%,12%,4%
Is respected by foreign leaders,Not at all well,34%,36%,33%,21%,33%,34%,41%,39%,11%,26%,31%,39%,21%,26%,40%,28%,47%,19%,23%,35%,29%,39%,31%,24%,27%,49%,15%,35%,35%,2%
Is respected by foreign leaders,[VOL] Don't know/Refused,6%,7%,6%,3%,5%,7%,8%,5%,13%,7%,5%,5%,9%,6%,7%,4%,5%,6%,10%,9%,6%,5%,6%,7%,7%,5%,7%,6%,6%,8%
Is respected by foreign leaders,NET Well,47%,41%,52%,60%,48%,44%,43%,43%,65%,55%,51%,43%,58%,59%,39%,59%,32%,64%,54%,42%,53%,43%,51%,61%,52%,32%,71%,47%,47%,86%
Is respected by foreign leaders,NET Not well,47%,52%,42%,37%,48%,48%,49%,52%,22%,38%,44%,52%,34%,35%,54%,37%,62%,30%,36%,49%,41%,51%,43%,32%,41%,63%,22%,48%,47%,6%
Is respected by foreign leaders,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Is extreme,Very well,34%,40%,30%,19%,28%,35%,44%,38%,22%,22%,36%,38%,26%,26%,39%,28%,44%,22%,28%,39%,25%,37%,34%,28%,29%,45%,17%,35%,34%,9%
Is extreme,Somewhat well,12%,13%,12%,16%,15%,10%,10%,11%,14%,16%,13%,11%,15%,10%,13%,9%,12%,14%,15%,16%,12%,12%,9%,12%,10%,15%,14%,15%,12%,10%
Is extreme,Not too well,19%,17%,20%,28%,25%,18%,13%,18%,23%,21%,25%,18%,23%,20%,18%,19%,17%,23%,22%,16%,27%,18%,17%,20%,22%,14%,20%,17%,19%,27%
Is extreme,Not at all well,30%,26%,34%,35%,31%,32%,26%,30%,31%,33%,26%,30%,30%,39%,24%,41%,23%,36%,27%,24%,32%,29%,34%,36%,35%,21%,47%,30%,30%,50%
Is extreme,[VOL] Don't know/Refused,5%,5%,5%,3%,2%,4%,7%,4%,10%,8%,<1%,4%,7%,4%,5%,3%,4%,5%,7%,4%,5%,4%,6%,5%,5%,5%,2%,3%,5%,3%
