itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
What one issue is most important in deciding your vote this November?,"[VOL] Other, specify",5%,6%,5%,8%,5%,4%,5%,4%,10%,5%,8%,6%,5%,5%,4%,10%,6%,6%,4%,6%,6%,7%,6%,4%,5%,5%,8%,5%,4%,8%
What one issue is most important in deciding your vote this November?,[VOL] Don't know/Refused,8%,5%,10%,10%,7%,6%,7%,7%,8%,9%,7%,3%,10%,3%,10%,2%,11%,8%,9%,5%,9%,11%,7%,6%,6%,6%,28%,7%,4%,8%
What one issue is most important in deciding your vote this November?,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
Which candidate do you think would do a better job of handling the issue you think is most important?,"Kamala [COMMA-luh] Harris, the Democrat",43%,35%,51%,45%,45%,39%,46%,39%,72%,39%,49%,54%,37%,52%,30%,61%,50%,41%,47%,40%,48%,54%,49%,29%,93%,<1%,7%,90%,5%,43%
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",50%,58%,44%,49%,48%,54%,51%,57%,18%,50%,39%,40%,57%,44%,65%,29%,39%,55%,46%,55%,44%,39%,44%,66%,3%,97%,39%,7%,94%,46%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,4%,4%,3%,4%,5%,3%,2%,2%,6%,7%,9%,4%,3%,1%,2%,9%,6%,3%,4%,3%,5%,3%,4%,3%,3%,1%,26%,3%,1%,5%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Someone else; specify,<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,0%,0%,1%,<.5%,<.5%,0%,<.5%,<1%,0%,<.5%,<.5%,0%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,1%,<.5%,0%,<.5%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,3%,3%,2%,2%,3%,3%,1%,2%,4%,4%,1%,2%,3%,2%,2%,<1%,5%,2%,2%,3%,3%,3%,3%,2%,1%,<1%,27%,0%,<.5%,5%
Which candidate do you think would do a better job of handling the issue you think is most important?,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
The economy,Kamala Harris,40%,34%,45%,37%,41%,38%,45%,35%,69%,36%,49%,52%,33%,50%,26%,59%,48%,39%,45%,36%,44%,50%,46%,27%,85%,1%,14%,86%,4%,37%
The economy,Donald Trump,56%,63%,51%,61%,53%,59%,53%,62%,26%,59%,46%,45%,63%,48%,70%,36%,48%,59%,52%,60%,51%,45%,51%,70%,12%,98%,59%,11%,95%,57%
The economy,[VOL] Don’t know/Refused,4%,3%,4%,2%,6%,4%,2%,3%,5%,5%,5%,3%,3%,2%,3%,5%,4%,2%,2%,4%,5%,5%,3%,3%,3%,<1%,27%,3%,<1%,7%
The economy,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
Abortion,Kamala Harris,55%,49%,60%,67%,61%,47%,50%,50%,77%,55%,61%,66%,48%,62%,43%,76%,59%,51%,61%,51%,59%,66%,63%,36%,94%,19%,41%,93%,17%,59%
Abortion,Donald Trump,38%,45%,31%,28%,33%,43%,41%,44%,12%,33%,31%,29%,43%,33%,51%,20%,28%,43%,30%,43%,31%,28%,30%,53%,3%,72%,25%,3%,76%,34%
Abortion,[VOL] Don’t know/Refused,8%,6%,9%,5%,5%,9%,9%,6%,10%,12%,8%,5%,9%,6%,6%,4%,13%,7%,9%,7%,9%,6%,7%,11%,3%,9%,35%,4%,8%,7%
Abortion,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
Immigration,Kamala Harris,42%,34%,49%,48%,44%,37%,43%,37%,64%,45%,47%,52%,36%,50%,30%,60%,49%,38%,48%,39%,45%,51%,50%,27%,84%,5%,21%,85%,7%,40%
Immigration,Donald Trump,53%,62%,46%,47%,51%,57%,53%,60%,26%,45%,42%,44%,59%,48%,68%,32%,40%,58%,49%,57%,46%,43%,46%,69%,11%,94%,41%,10%,92%,53%
Immigration,[VOL] Don’t know/Refused,5%,4%,5%,5%,5%,5%,4%,2%,10%,10%,11%,4%,5%,2%,3%,8%,11%,3%,2%,5%,9%,6%,5%,5%,5%,1%,38%,5%,1%,7%
Immigration,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
Democracy,Kamala Harris,50%,44%,56%,54%,57%,45%,49%,44%,81%,51%,59%,61%,44%,58%,36%,71%,60%,46%,59%,46%,54%,64%,56%,35%,96%,9%,35%,94%,9%,53%
Democracy,Donald Trump,44%,49%,39%,39%,37%,49%,48%,52%,11%,40%,29%,34%,49%,38%,60%,23%,29%,48%,36%,49%,38%,31%,39%,58%,1%,86%,25%,4%,87%,38%
Democracy,[VOL] Don’t know/Refused,6%,6%,5%,7%,7%,6%,3%,4%,8%,9%,13%,4%,7%,3%,5%,7%,11%,6%,5%,5%,8%,5%,5%,7%,3%,5%,40%,2%,4%,8%
Democracy,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"Thinking about the nation's economy, how would you rate economic conditions today?",Excellent,2%,3%,<1%,1%,1%,2%,3%,1%,2%,4%,<1%,2%,1%,2%,<1%,3%,2%,2%,1%,2%,2%,<1%,3%,1%,3%,<1%,1%,3%,1%,<1%
"Thinking about the nation's economy, how would you rate economic conditions today?",Good,19%,19%,19%,8%,16%,20%,28%,20%,24%,13%,17%,28%,13%,31%,13%,25%,14%,22%,22%,16%,19%,21%,21%,15%,36%,4%,10%,39%,4%,17%
"Thinking about the nation's economy, how would you rate economic conditions today?",Only fair,28%,26%,30%,28%,34%,29%,23%,26%,39%,27%,31%,30%,27%,30%,24%,31%,33%,26%,33%,26%,29%,34%,30%,22%,38%,19%,31%,38%,18%,29%
"Thinking about the nation's economy, how would you rate economic conditions today?",Poor,51%,52%,49%,63%,49%,49%,46%,53%,35%,52%,51%,39%,58%,38%,62%,40%,49%,50%,44%,55%,50%,43%,45%,62%,23%,76%,56%,20%,76%,53%
"Thinking about the nation's economy, how would you rate economic conditions today?",[VOL] Don't know/Refused,<.5%,<.5%,<.5%,<.5%,0%,<1%,<1%,0%,0%,4%,0%,<.5%,<.5%,0%,0%,<.5%,1%,<.5%,0%,1%,<.5%,1%,<.5%,0%,<.5%,<1%,3%,0%,<1%,<.5%
"Thinking about the nation's economy, how would you rate economic conditions today?",NET Excellent/good,21%,22%,20%,9%,17%,21%,30%,21%,26%,17%,18%,31%,15%,32%,14%,28%,17%,24%,23%,18%,21%,22%,24%,16%,39%,5%,11%,42%,6%,18%
"Thinking about the nation's economy, how would you rate economic conditions today?",NET Fair/poor,79%,78%,79%,91%,83%,78%,69%,79%,74%,79%,82%,69%,85%,68%,86%,71%,82%,76%,77%,81%,78%,77%,76%,84%,61%,95%,86%,58%,93%,82%
"Thinking about the nation's economy, how would you rate economic conditions today?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Always legal,38%,30%,44%,46%,47%,32%,33%,36%,51%,35%,44%,44%,35%,41%,33%,54%,38%,36%,44%,32%,44%,44%,44%,27%,62%,17%,25%,64%,12%,42%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Mostly legal,29%,31%,27%,26%,29%,28%,29%,29%,31%,27%,26%,29%,28%,31%,28%,26%,30%,29%,32%,27%,26%,24%,29%,31%,28%,29%,28%,26%,27%,31%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Mostly illegal,19%,22%,16%,14%,16%,21%,22%,21%,10%,17%,14%,16%,20%,17%,22%,12%,14%,19%,15%,22%,15%,18%,16%,22%,4%,33%,13%,4%,37%,15%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Always illegal,8%,10%,7%,10%,4%,9%,10%,8%,3%,14%,12%,5%,10%,6%,9%,5%,12%,8%,2%,13%,8%,9%,5%,12%,3%,13%,12%,3%,17%,6%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",[VOL] Don't know/Refused,6%,7%,5%,4%,3%,9%,5%,7%,5%,7%,5%,5%,7%,5%,8%,3%,7%,7%,6%,5%,7%,5%,6%,7%,2%,8%,22%,3%,8%,7%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",NET Legal,67%,62%,71%,72%,76%,60%,62%,65%,82%,62%,69%,74%,63%,72%,61%,80%,68%,65%,76%,60%,70%,68%,73%,58%,90%,46%,53%,90%,39%,73%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",NET Illegal,27%,31%,24%,24%,20%,30%,33%,29%,13%,31%,25%,21%,30%,23%,32%,17%,25%,28%,18%,35%,23%,27%,21%,34%,7%,46%,24%,7%,53%,21%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"How much, if anything, have you heard about Project 2025?",A lot,24%,26%,22%,18%,25%,26%,26%,25%,28%,13%,28%,34%,18%,35%,19%,33%,17%,25%,26%,21%,27%,26%,25%,23%,36%,13%,20%,37%,11%,26%
"How much, if anything, have you heard about Project 2025?",Some,31%,29%,33%,32%,36%,31%,26%,30%,34%,32%,32%,36%,28%,34%,27%,37%,31%,30%,30%,31%,31%,31%,32%,29%,35%,28%,28%,33%,29%,33%
"How much, if anything, have you heard about Project 2025?",Not much,17%,19%,15%,21%,16%,14%,19%,16%,16%,20%,13%,14%,19%,15%,17%,12%,19%,17%,18%,17%,14%,17%,15%,18%,13%,20%,18%,12%,20%,17%
"How much, if anything, have you heard about Project 2025?",Nothing at all,26%,25%,28%,28%,23%,28%,26%,26%,22%,33%,25%,15%,33%,15%,34%,17%,32%,25%,25%,28%,26%,24%,27%,27%,16%,35%,34%,17%,36%,22%
"How much, if anything, have you heard about Project 2025?",[VOL] Don't know/Refused,2%,1%,2%,<1%,<.5%,1%,4%,2%,0%,3%,2%,<1%,2%,<1%,2%,2%,1%,2%,<1%,2%,2%,2%,1%,2%,<.5%,3%,0%,0%,4%,2%
"How much, if anything, have you heard about Project 2025?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"(If split 2, asked starting after the first night of calling)  For each of the following items, tell me whether you support or oppose the policy.  A ban on fracking",Strongly support,19%,18%,21%,25%,14%,18%,22%,20%,10%,29%,25%,18%,20%,16%,22%,25%,16%,19%,29%,17%,14%,23%,18%,18%,21%,18%,18%,22%,19%,15%
"(If split 2, asked starting after the first night of calling)  For each of the following items, tell me whether you support or oppose the policy.  A ban on fracking",Somewhat support,20%,19%,20%,36%,19%,16%,18%,24%,11%,11%,15%,22%,19%,24%,23%,18%,8%,20%,15%,25%,20%,20%,23%,18%,29%,12%,20%,29%,6%,25%
"(If split 2, asked starting after the first night of calling)  For each of the following items, tell me whether you support or oppose the policy.  A ban on fracking",Somewhat oppose,19%,18%,21%,10%,29%,23%,13%,19%,26%,30%,11%,22%,18%,24%,15%,21%,23%,16%,17%,23%,20%,16%,21%,20%,22%,17%,20%,25%,18%,18%
"(If split 2, asked starting after the first night of calling)  For each of the following items, tell me whether you support or oppose the policy.  A ban on fracking",Strongly oppose,24%,33%,17%,11%,13%,31%,32%,24%,20%,13%,34%,28%,23%,27%,22%,22%,23%,27%,25%,22%,24%,20%,22%,29%,9%,39%,29%,10%,41%,22%
"(If split 2, asked starting after the first night of calling)  For each of the following items, tell me whether you support or oppose the policy.  A ban on fracking",[VOL] Don't know/Refused,17%,12%,21%,18%,24%,12%,15%,14%,34%,17%,14%,10%,21%,9%,18%,14%,29%,18%,14%,13%,21%,22%,15%,15%,20%,14%,12%,15%,16%,20%
"(If split 2, asked starting after the first night of calling)  For each of the following items, tell me whether you support or oppose the policy.  A ban on fracking",NET Support,40%,37%,41%,61%,34%,34%,40%,43%,20%,41%,40%,40%,39%,40%,45%,43%,25%,39%,43%,42%,35%,43%,41%,36%,49%,30%,39%,51%,25%,40%
"(If split 2, asked starting after the first night of calling)  For each of the following items, tell me whether you support or oppose the policy.  A ban on fracking",NET Oppose,44%,51%,38%,21%,42%,54%,45%,42%,46%,42%,45%,50%,40%,51%,37%,43%,46%,43%,43%,45%,44%,36%,43%,49%,31%,56%,49%,34%,59%,41%
"(If split 2, asked starting after the first night of calling)  For each of the following items, tell me whether you support or oppose the policy.  A ban on fracking",Number of respondents,399,206,188,69,93,135,95,271,49,29,36,197,201,135,135,54,60,107,73,111,108,84,161,154,191,192,16,116,111,147
(If split 1) Increasing domestic production of fossil fuels such as oil and gas,Strongly support,43%,52%,37%,30%,39%,51%,48%,48%,33%,36%,35%,35%,49%,35%,57%,36%,35%,45%,41%,52%,32%,37%,39%,55%,15%,77%,15%,17%,76%,39%
(If split 1) Increasing domestic production of fossil fuels such as oil and gas,Somewhat support,22%,22%,23%,34%,22%,19%,19%,20%,24%,24%,34%,24%,22%,23%,19%,24%,28%,22%,21%,20%,28%,21%,25%,19%,29%,14%,41%,26%,14%,27%
(If split 1) Increasing domestic production of fossil fuels such as oil and gas,Somewhat oppose,17%,14%,19%,16%,18%,16%,19%,17%,25%,9%,17%,22%,14%,22%,14%,23%,13%,18%,21%,12%,19%,23%,16%,12%,29%,3%,21%,29%,3%,20%
(If split 1) Increasing domestic production of fossil fuels such as oil and gas,Strongly oppose,12%,9%,16%,17%,17%,9%,10%,11%,14%,19%,15%,16%,11%,17%,6%,14%,18%,9%,13%,12%,15%,14%,14%,9%,20%,6%,2%,20%,7%,10%
(If split 1) Increasing domestic production of fossil fuels such as oil and gas,[VOL] Don't know/Refused,5%,4%,5%,3%,3%,4%,6%,4%,3%,12%,0%,3%,5%,4%,4%,3%,6%,6%,5%,4%,6%,5%,5%,5%,7%,1%,21%,8%,<1%,4%
(If split 1) Increasing domestic production of fossil fuels such as oil and gas,NET Support,66%,73%,60%,64%,62%,70%,66%,69%,57%,60%,68%,59%,71%,58%,76%,60%,62%,67%,62%,71%,60%,58%,65%,74%,44%,90%,56%,43%,90%,66%
(If split 1) Increasing domestic production of fossil fuels such as oil and gas,NET Oppose,29%,23%,34%,33%,36%,26%,28%,27%,40%,28%,32%,38%,24%,39%,20%,37%,31%,28%,34%,25%,34%,37%,31%,21%,49%,9%,23%,49%,9%,30%
(If split 1) Increasing domestic production of fossil fuels such as oil and gas,Number of respondents,678,340,330,94,173,219,165,445,78,81,59,340,332,224,220,107,108,136,150,244,148,184,277,217,337,313,28,217,212,207
(If split 2)  A federal law establishing price controls on food and groceries,Strongly support,25%,23%,27%,40%,23%,25%,17%,21%,41%,36%,25%,18%,30%,14%,26%,29%,38%,22%,30%,24%,25%,30%,28%,19%,33%,19%,19%,35%,16%,25%
(If split 2)  A federal law establishing price controls on food and groceries,Somewhat support,21%,17%,24%,26%,29%,16%,18%,22%,21%,20%,22%,26%,18%,26%,19%,28%,17%,22%,25%,21%,17%,22%,23%,19%,27%,16%,21%,26%,14%,24%
(If split 2)  A federal law establishing price controls on food and groceries,Somewhat oppose,16%,15%,16%,15%,15%,16%,15%,17%,10%,16%,18%,19%,14%,20%,15%,19%,13%,14%,17%,14%,18%,18%,14%,16%,21%,11%,17%,16%,15%,16%
(If split 2)  A federal law establishing price controls on food and groceries,Strongly oppose,35%,44%,27%,16%,33%,39%,44%,38%,29%,19%,31%,34%,36%,37%,38%,21%,29%,40%,25%,37%,35%,25%,31%,44%,16%,51%,37%,18%,52%,32%
(If split 2)  A federal law establishing price controls on food and groceries,[VOL] Don't know/Refused,3%,2%,5%,3%,<1%,3%,6%,3%,0%,9%,4%,3%,3%,3%,2%,3%,3%,2%,2%,4%,5%,5%,4%,2%,4%,3%,5%,4%,3%,3%
(If split 2)  A federal law establishing price controls on food and groceries,NET Support,46%,40%,52%,66%,51%,41%,35%,43%,61%,56%,47%,44%,48%,39%,45%,57%,55%,44%,56%,45%,42%,52%,51%,38%,60%,35%,40%,61%,30%,49%
(If split 2)  A federal law establishing price controls on food and groceries,NET Oppose,51%,58%,43%,31%,48%,55%,58%,54%,39%,35%,49%,53%,49%,57%,53%,40%,42%,54%,42%,51%,53%,43%,45%,60%,36%,62%,54%,34%,67%,49%
(If split 2)  A federal law establishing price controls on food and groceries,Number of respondents,696,372,315,119,160,233,172,477,69,73,59,346,345,239,234,97,103,158,141,234,163,138,303,255,314,351,31,182,206,257
(If split 1) A federal law limiting how much companies can raise the price of food and groceries,Strongly support,36%,29%,42%,44%,41%,28%,34%,32%,45%,40%,45%,29%,40%,22%,38%,45%,43%,34%,43%,30%,39%,36%,41%,28%,45%,28%,18%,48%,26%,32%
(If split 1) A federal law limiting how much companies can raise the price of food and groceries,Somewhat support,21%,22%,20%,20%,23%,20%,18%,23%,12%,15%,19%,27%,17%,31%,18%,17%,14%,26%,20%,19%,20%,25%,17%,22%,27%,15%,13%,29%,16%,18%
(If split 1) A federal law limiting how much companies can raise the price of food and groceries,Somewhat oppose,16%,18%,14%,25%,13%,14%,15%,15%,15%,21%,22%,16%,15%,17%,13%,16%,20%,16%,10%,15%,23%,15%,18%,14%,13%,16%,42%,10%,16%,20%
(If split 1) A federal law limiting how much companies can raise the price of food and groceries,Strongly oppose,24%,29%,20%,10%,20%,34%,26%,27%,22%,19%,13%,25%,23%,27%,27%,20%,17%,21%,24%,31%,15%,17%,20%,34%,11%,38%,22%,8%,39%,26%
(If split 1) A federal law limiting how much companies can raise the price of food and groceries,[VOL] Don't know/Refused,4%,3%,4%,<1%,3%,4%,7%,3%,6%,5%,<1%,2%,5%,3%,4%,2%,6%,2%,3%,6%,4%,6%,4%,2%,4%,4%,6%,4%,3%,4%
(If split 1) A federal law limiting how much companies can raise the price of food and groceries,NET Support,56%,50%,62%,64%,64%,48%,52%,55%,58%,55%,64%,56%,56%,53%,56%,62%,57%,60%,62%,49%,59%,62%,57%,50%,72%,43%,30%,77%,42%,50%
(If split 1) A federal law limiting how much companies can raise the price of food and groceries,NET Oppose,40%,47%,34%,35%,33%,48%,41%,42%,36%,40%,35%,41%,39%,44%,40%,36%,37%,38%,34%,45%,38%,32%,38%,48%,23%,54%,63%,18%,55%,46%
(If split 1) A federal law limiting how much companies can raise the price of food and groceries,Number of respondents,678,340,330,94,173,219,165,445,78,81,59,340,332,224,220,107,108,136,150,244,148,184,277,217,337,313,28,217,212,207
(If heard of Project 2025)  The policies proposed as part of Project 2025,Strongly support,3%,2%,4%,3%,1%,3%,6%,4%,2%,1%,<1%,1%,5%,1%,6%,1%,2%,2%,6%,4%,<1%,3%,3%,3%,2%,5%,0%,3%,4%,3%
(If heard of Project 2025)  The policies proposed as part of Project 2025,Somewhat support,13%,14%,12%,19%,11%,13%,9%,12%,9%,20%,12%,9%,16%,10%,15%,7%,18%,13%,14%,12%,12%,14%,11%,14%,4%,23%,15%,4%,24%,12%
(If heard of Project 2025)  The policies proposed as part of Project 2025,Somewhat oppose,11%,12%,10%,19%,10%,11%,7%,11%,6%,18%,7%,12%,10%,11%,11%,12%,9%,12%,11%,11%,9%,9%,11%,12%,6%,16%,18%,6%,11%,16%
(If heard of Project 2025)  The policies proposed as part of Project 2025,Strongly oppose,51%,45%,56%,46%,56%,49%,52%,49%,67%,45%,61%,58%,46%,57%,42%,65%,53%,48%,51%,48%,59%,56%,58%,39%,79%,17%,32%,80%,22%,47%
(If heard of Project 2025)  The policies proposed as part of Project 2025,[VOL] Don't know/Refused,22%,28%,18%,13%,21%,25%,26%,24%,17%,16%,19%,19%,24%,21%,26%,15%,19%,25%,18%,26%,19%,18%,17%,32%,8%,39%,36%,7%,38%,23%
(If heard of Project 2025)  The policies proposed as part of Project 2025,NET Support,16%,16%,16%,22%,13%,16%,15%,16%,11%,22%,13%,11%,20%,11%,21%,8%,20%,15%,20%,16%,13%,17%,14%,17%,6%,29%,15%,7%,28%,15%
(If heard of Project 2025)  The policies proposed as part of Project 2025,NET Oppose,62%,57%,66%,65%,67%,59%,59%,60%,73%,62%,68%,70%,56%,68%,53%,77%,62%,60%,62%,59%,68%,65%,69%,50%,86%,32%,49%,86%,34%,62%
(If heard of Project 2025)  The policies proposed as part of Project 2025,Number of respondents,"1,048",553,479,158,266,339,258,708,119,108,84,578,464,397,307,163,148,230,229,354,235,249,448,351,566,439,43,344,266,375
"Do you think the next president should represent a major change from Joe Biden, a minor change, or no change from Joe Biden?",Major change,63%,67%,60%,73%,58%,64%,61%,64%,48%,69%,62%,50%,71%,49%,74%,50%,66%,63%,59%,67%,60%,54%,59%,74%,31%,92%,71%,31%,90%,64%
"Do you think the next president should represent a major change from Joe Biden, a minor change, or no change from Joe Biden?",Minor change,32%,29%,35%,27%,39%,31%,31%,32%,47%,22%,35%,46%,24%,46%,23%,47%,28%,33%,38%,29%,33%,37%,35%,26%,62%,6%,19%,62%,7%,33%
"Do you think the next president should represent a major change from Joe Biden, a minor change, or no change from Joe Biden?",No change,3%,3%,3%,<.5%,2%,3%,4%,2%,4%,4%,2%,3%,3%,3%,2%,2%,4%,3%,2%,2%,5%,5%,3%,<.5%,5%,<1%,1%,6%,1%,2%
"Do you think the next president should represent a major change from Joe Biden, a minor change, or no change from Joe Biden?",[VOL] Don't know/Refused,2%,1%,2%,<.5%,1%,2%,3%,2%,<1%,5%,1%,2%,1%,2%,1%,2%,2%,1%,1%,2%,2%,4%,2%,0%,2%,1%,9%,1%,1%,2%
"Do you think the next president should represent a major change from Joe Biden, a minor change, or no change from Joe Biden?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,Safe choice,43%,49%,38%,37%,37%,47%,48%,51%,11%,36%,35%,33%,50%,37%,59%,21%,30%,47%,38%,48%,37%,32%,37%,59%,1%,85%,24%,4%,87%,36%
Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,Risky choice,54%,49%,59%,59%,60%,51%,51%,48%,87%,56%,64%,65%,48%,60%,40%,77%,65%,51%,59%,50%,60%,65%,61%,39%,98%,13%,56%,95%,11%,61%
Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,[VOL] Don’t know/Refused,3%,2%,3%,4%,3%,2%,1%,2%,2%,8%,2%,3%,2%,3%,<1%,2%,5%,3%,2%,2%,3%,4%,3%,2%,<1%,2%,19%,1%,2%,3%
Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
Would you be more likely to describe electing Kamala [COMMA-luh] Harris as president this November as a safe choice for the country or a risky choice for the country?,Safe choice,45%,39%,50%,44%,46%,42%,48%,40%,78%,41%,50%,56%,38%,54%,31%,63%,54%,41%,51%,42%,48%,54%,52%,31%,93%,3%,21%,90%,7%,46%
Would you be more likely to describe electing Kamala [COMMA-luh] Harris as president this November as a safe choice for the country or a risky choice for the country?,Risky choice,52%,59%,47%,54%,50%,54%,51%,59%,19%,48%,45%,41%,59%,44%,68%,34%,39%,57%,45%,55%,48%,40%,46%,67%,6%,95%,56%,10%,92%,50%
Would you be more likely to describe electing Kamala [COMMA-luh] Harris as president this November as a safe choice for the country or a risky choice for the country?,[VOL] Don’t know/Refused,3%,2%,4%,2%,4%,4%,<1%,1%,3%,10%,5%,2%,3%,2%,<1%,3%,8%,2%,4%,2%,4%,5%,2%,2%,2%,2%,24%,<1%,1%,4%
Would you be more likely to describe electing Kamala [COMMA-luh] Harris as president this November as a safe choice for the country or a risky choice for the country?,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
Has Donald Trump ever said anything that you found offensive?,"Yes, recently",40%,35%,45%,34%,45%,37%,45%,39%,53%,35%,46%,57%,31%,55%,28%,63%,35%,41%,46%,36%,42%,48%,47%,27%,75%,10%,29%,74%,13%,39%
Has Donald Trump ever said anything that you found offensive?,"Yes, but not recently",28%,28%,29%,31%,27%,32%,22%,27%,32%,28%,30%,24%,31%,24%,30%,22%,34%,30%,25%,27%,31%,25%,25%,34%,18%,37%,35%,18%,31%,33%
Has Donald Trump ever said anything that you found offensive?,No,30%,36%,25%,34%,27%,29%,31%,32%,13%,35%,24%,18%,37%,19%,41%,15%,29%,28%,27%,35%,26%,26%,25%,38%,5%,53%,30%,6%,56%,26%
Has Donald Trump ever said anything that you found offensive?,[VOL] Don’t know/Refused,2%,2%,<1%,0%,1%,2%,2%,1%,2%,2%,0%,<1%,2%,1%,2%,0%,2%,<1%,2%,2%,<1%,1%,2%,<1%,2%,<1%,7%,2%,<.5%,2%
Has Donald Trump ever said anything that you found offensive?,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",Too conservative,32%,29%,34%,45%,32%,26%,30%,31%,36%,31%,38%,39%,27%,38%,26%,42%,31%,32%,35%,27%,36%,35%,38%,22%,55%,11%,18%,52%,11%,35%
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",Not conservative enough,11%,14%,9%,6%,11%,12%,12%,10%,17%,10%,13%,11%,11%,10%,10%,13%,14%,13%,12%,10%,10%,10%,11%,11%,11%,11%,9%,10%,12%,11%
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",Not too far either way,50%,51%,49%,45%,50%,55%,47%,52%,37%,50%,44%,42%,55%,43%,59%,39%,47%,49%,44%,55%,49%,48%,42%,60%,24%,73%,60%,25%,72%,48%
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",[VOL] Don’t know/Refused,8%,6%,8%,3%,7%,7%,11%,7%,11%,9%,5%,8%,7%,9%,6%,6%,8%,7%,8%,9%,6%,7%,9%,7%,10%,4%,13%,13%,5%,6%
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",Too liberal or progressive,44%,53%,37%,36%,37%,51%,49%,52%,16%,34%,32%,40%,47%,44%,56%,26%,29%,50%,36%,48%,40%,34%,38%,58%,10%,78%,33%,8%,81%,43%
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",Not liberal or progressive enough,9%,8%,10%,13%,15%,6%,4%,8%,12%,9%,16%,11%,8%,9%,7%,16%,10%,9%,8%,9%,10%,13%,10%,5%,15%,4%,8%,15%,2%,11%
