itm,v1,wisconsin_likely_electorate_wisconsin_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_dane,region_east_north,region_milwau_city,region_milwau_suburbs,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
Abortion,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares
Immigration,Kamala Harris,44%,33%,55%,34%,56%,35%,55%,44%,62%,46%,56%,38%,56%,37%,63%,48%,66%,36%,70%,44%,44%,65%,49%,36%,87%,2%,20%,92%,1%,40%
Immigration,Donald Trump,52%,65%,39%,64%,41%,60%,42%,53%,24%,46%,40%,58%,40%,61%,33%,38%,29%,60%,19%,52%,55%,27%,47%,62%,8%,98%,41%,5%,97%,54%
Immigration,[VOL] Don’t know/Refused,4%,2%,5%,2%,3%,5%,4%,3%,14%,8%,4%,4%,4%,3%,4%,14%,6%,4%,11%,4%,<1%,8%,4%,3%,5%,<.5%,39%,2%,2%,6%
Immigration,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares
Democracy,Kamala Harris,51%,39%,61%,42%,59%,44%,60%,49%,92%,48%,63%,44%,63%,42%,69%,65%,72%,44%,75%,50%,48%,73%,54%,42%,98%,4%,16%,98%,2%,51%
Democracy,Donald Trump,45%,56%,35%,53%,36%,54%,35%,47%,4%,44%,34%,52%,35%,54%,25%,28%,26%,52%,19%,44%,50%,23%,41%,55%,1%,93%,25%,2%,95%,43%
Democracy,[VOL] Don’t know/Refused,4%,4%,4%,5%,4%,2%,5%,4%,4%,8%,3%,5%,2%,4%,6%,7%,2%,4%,6%,6%,2%,4%,6%,3%,<1%,3%,58%,0%,3%,7%
Democracy,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares,MARGIN Harris +6 Calculated using candidates’ unrounded vote shares
Helping the working class,Kamala Harris,49%,38%,59%,36%,56%,43%,58%,47%,87%,51%,60%,42%,60%,40%,75%,62%,70%,41%,74%,48%,46%,67%,56%,39%,96%,1%,22%,98%,2%,46%
Helping the working class,Donald Trump,49%,60%,38%,63%,40%,55%,40%,51%,5%,44%,38%,56%,38%,59%,25%,29%,28%,57%,16%,50%,53%,26%,43%,59%,3%,98%,37%,2%,97%,49%
Helping the working class,[VOL] Don’t know/Refused,2%,2%,3%,<1%,4%,2%,2%,2%,8%,5%,2%,2%,2%,1%,0%,9%,2%,2%,10%,2%,<1%,7%,<1%,1%,1%,<1%,40%,0%,<1%,4%
Helping the working class,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares
Helping people like you,Kamala Harris,49%,37%,59%,38%,55%,42%,58%,47%,90%,54%,58%,43%,58%,40%,65%,71%,75%,42%,73%,46%,44%,71%,52%,40%,97%,2%,7%,98%,4%,44%
Helping people like you,Donald Trump,48%,59%,38%,56%,42%,55%,38%,50%,5%,38%,39%,53%,39%,56%,29%,22%,25%,54%,21%,51%,51%,24%,44%,57%,3%,97%,25%,2%,94%,51%
Helping people like you,[VOL] Don’t know/Refused,4%,5%,3%,5%,3%,3%,4%,3%,4%,8%,3%,4%,3%,3%,6%,7%,0%,4%,6%,3%,5%,5%,4%,3%,<1%,1%,67%,<1%,2%,6%
Helping people like you,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Very well,27%,36%,19%,6%,15%,36%,28%,28%,0%,25%,19%,32%,19%,34%,26%,10%,24%,29%,15%,23%,32%,20%,23%,30%,2%,55%,0%,2%,60%,25%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Somewhat well,16%,19%,14%,45%,17%,12%,10%,16%,8%,15%,23%,13%,22%,13%,10%,13%,2%,19%,13%,20%,16%,6%,15%,20%,6%,28%,5%,6%,27%,15%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Not too well,9%,6%,11%,8%,9%,11%,6%,8%,23%,17%,12%,7%,12%,6%,28%,16%,6%,8%,27%,11%,3%,14%,8%,7%,13%,5%,0%,8%,4%,15%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Not at all well,38%,29%,45%,33%,50%,28%,46%,38%,56%,29%,41%,36%,42%,35%,37%,42%,64%,31%,28%,38%,39%,44%,42%,34%,74%,1%,8%,78%,0%,36%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",[VOL] Don't know/Refused,10%,10%,11%,8%,10%,12%,10%,10%,13%,14%,5%,13%,5%,13%,0%,20%,3%,13%,18%,8%,11%,16%,12%,8%,5%,11%,87%,6%,9%,10%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",NET Well,43%,55%,33%,51%,31%,49%,38%,44%,8%,40%,41%,44%,41%,46%,36%,22%,27%,48%,27%,42%,48%,26%,38%,50%,8%,83%,5%,9%,88%,40%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",NET Not well,47%,35%,56%,41%,59%,39%,51%,46%,79%,46%,54%,42%,54%,41%,64%,57%,70%,39%,54%,49%,41%,58%,50%,42%,87%,6%,8%,86%,4%,51%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Number of respondents,266,105,157,38,44,98,76,237,6,18,123,141,113,124,8,16,39,119,19,52,37,51,68,147,146,111,9,86,63,98
(ASK IF SPLIT B)  Cares about people like me,Very well,29%,32%,25%,33%,15%,34%,26%,30%,0%,31%,20%,34%,20%,35%,15%,19%,7%,30%,19%,30%,37%,12%,27%,36%,2%,57%,13%,3%,64%,20%
(ASK IF SPLIT B)  Cares about people like me,Somewhat well,19%,23%,16%,31%,26%,21%,10%,18%,28%,30%,20%,19%,20%,17%,16%,34%,10%,22%,13%,24%,15%,18%,24%,18%,9%,30%,12%,7%,18%,29%
(ASK IF SPLIT B)  Cares about people like me,Not too well,8%,7%,8%,8%,5%,5%,12%,7%,18%,4%,11%,6%,10%,6%,20%,5%,15%,4%,16%,14%,4%,10%,10%,6%,13%,2%,10%,13%,2%,9%
(ASK IF SPLIT B)  Cares about people like me,Not at all well,39%,32%,45%,25%,48%,31%,51%,39%,55%,36%,46%,35%,46%,35%,49%,42%,65%,35%,52%,32%,40%,53%,37%,34%,72%,6%,31%,73%,8%,38%
(ASK IF SPLIT B)  Cares about people like me,[VOL] Don't know/Refused,5%,5%,6%,3%,6%,9%,2%,6%,0%,0%,4%,6%,4%,7%,0%,0%,3%,9%,0%,0%,4%,8%,1%,6%,3%,5%,34%,5%,7%,3%
(ASK IF SPLIT B)  Cares about people like me,NET Well,48%,55%,41%,64%,41%,55%,35%,48%,28%,61%,39%,53%,40%,52%,31%,53%,17%,52%,32%,54%,52%,29%,52%,54%,12%,87%,26%,10%,82%,50%
(ASK IF SPLIT B)  Cares about people like me,NET Not well,46%,39%,53%,33%,53%,36%,63%,46%,72%,39%,57%,41%,56%,41%,69%,47%,80%,39%,68%,46%,44%,63%,47%,40%,85%,8%,41%,86%,11%,48%
(ASK IF SPLIT B)  Cares about people like me,Number of respondents,300,134,162,37,64,108,84,260,15,20,131,169,116,144,12,23,27,138,29,53,53,71,66,163,164,126,10,105,80,94
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Very well,34%,26%,40%,30%,41%,23%,43%,35%,31%,10%,40%,29%,43%,30%,0%,28%,58%,25%,49%,31%,39%,55%,33%,28%,65%,2%,0%,71%,2%,26%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Somewhat well,19%,14%,22%,25%,25%,20%,12%,17%,33%,49%,23%,16%,20%,15%,63%,33%,18%,19%,10%,21%,15%,16%,25%,16%,28%,9%,13%,23%,7%,26%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Not too well,10%,10%,10%,10%,9%,11%,11%,11%,0%,0%,12%,10%,13%,10%,0%,0%,5%,13%,0%,15%,0%,4%,8%,13%,1%,21%,0%,2%,23%,9%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Not at all well,25%,38%,15%,18%,15%,32%,25%,27%,0%,14%,19%,30%,18%,32%,26%,0%,16%,31%,10%,23%,27%,10%,23%,31%,<1%,54%,13%,0%,54%,28%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",[VOL] Don't know/Refused,12%,12%,12%,17%,10%,13%,10%,11%,36%,26%,7%,15%,7%,13%,11%,39%,3%,12%,31%,10%,19%,14%,11%,12%,6%,15%,75%,5%,13%,11%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",NET Well,52%,40%,63%,55%,65%,44%,54%,51%,64%,60%,63%,45%,63%,44%,63%,61%,76%,44%,59%,52%,54%,72%,58%,44%,92%,11%,13%,94%,10%,52%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",NET Not well,36%,48%,26%,28%,25%,43%,36%,38%,0%,14%,30%,40%,31%,42%,26%,0%,21%,44%,10%,38%,27%,15%,31%,44%,2%,74%,13%,2%,77%,37%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Number of respondents,266,105,157,38,44,98,76,237,6,18,123,141,113,124,8,16,39,119,19,52,37,51,68,147,146,111,9,86,63,98
(ASK IF SPLIT B)  Cares about people like me,Very well,34%,27%,41%,24%,40%,32%,37%,34%,23%,44%,53%,23%,52%,24%,71%,21%,62%,30%,42%,35%,28%,44%,41%,27%,66%,3%,12%,69%,5%,30%
(ASK IF SPLIT B)  Cares about people like me,Somewhat well,17%,18%,15%,34%,12%,11%,20%,17%,36%,11%,15%,18%,16%,17%,9%,27%,9%,21%,16%,10%,18%,24%,16%,15%,22%,13%,10%,16%,7%,26%
(ASK IF SPLIT B)  Cares about people like me,Not too well,8%,12%,4%,4%,18%,6%,6%,8%,9%,8%,5%,9%,4%,10%,20%,3%,4%,8%,4%,15%,2%,3%,5%,10%,<1%,15%,0%,1%,8%,13%
(ASK IF SPLIT B)  Cares about people like me,Not at all well,33%,35%,31%,27%,22%,41%,31%,35%,7%,23%,21%,39%,23%,42%,0%,23%,20%,30%,28%,40%,41%,17%,35%,39%,2%,64%,31%,4%,72%,24%
(ASK IF SPLIT B)  Cares about people like me,[VOL] Don't know/Refused,9%,8%,9%,11%,7%,10%,6%,7%,24%,14%,5%,11%,6%,7%,0%,26%,6%,11%,10%,<.5%,10%,13%,4%,8%,8%,5%,47%,9%,7%,7%
(ASK IF SPLIT B)  Cares about people like me,NET Well,51%,45%,56%,59%,53%,43%,57%,51%,59%,55%,68%,41%,67%,41%,80%,48%,71%,50%,58%,45%,46%,67%,57%,42%,88%,16%,22%,85%,12%,56%
(ASK IF SPLIT B)  Cares about people like me,NET Not well,41%,47%,34%,31%,40%,47%,37%,43%,16%,30%,27%,48%,27%,52%,20%,26%,24%,39%,32%,54%,43%,20%,39%,49%,3%,79%,31%,6%,80%,37%
(ASK IF SPLIT B)  Cares about people like me,Number of respondents,300,134,162,37,64,108,84,260,15,20,131,169,116,144,12,23,27,138,29,53,53,71,66,163,164,126,10,105,80,94
Requiring auto makers to expand electric vehicle manufacturing.,Strongly support,11%,7%,14%,11%,16%,10%,12%,11%,17%,14%,16%,8%,17%,7%,11%,17%,16%,8%,20%,6%,19%,20%,5%,11%,21%,2%,0%,26%,4%,6%
Requiring auto makers to expand electric vehicle manufacturing.,Somewhat support,28%,21%,34%,26%,32%,20%,37%,28%,30%,31%,33%,25%,32%,25%,43%,25%,35%,25%,35%,34%,19%,31%,40%,21%,48%,5%,42%,48%,5%,32%
Requiring auto makers to expand electric vehicle manufacturing.,Somewhat oppose,17%,19%,17%,29%,20%,18%,11%,17%,31%,15%,21%,16%,22%,14%,9%,28%,13%,18%,18%,18%,18%,16%,16%,19%,14%,21%,20%,9%,19%,21%
Requiring auto makers to expand electric vehicle manufacturing.,Strongly oppose,39%,50%,29%,32%,27%,46%,38%,40%,5%,34%,24%,47%,23%,50%,25%,21%,25%,44%,19%,39%,40%,25%,34%,45%,8%,71%,35%,7%,72%,36%
Requiring auto makers to expand electric vehicle manufacturing.,[VOL] Don't know/Refused,5%,3%,6%,2%,6%,6%,4%,4%,16%,6%,6%,4%,5%,3%,13%,9%,10%,5%,8%,2%,4%,8%,5%,4%,10%,0%,3%,10%,0%,5%
Requiring auto makers to expand electric vehicle manufacturing.,NET Support,39%,28%,48%,37%,47%,30%,48%,39%,48%,45%,50%,33%,50%,32%,54%,43%,51%,33%,54%,41%,39%,51%,45%,32%,69%,8%,42%,74%,9%,38%
Requiring auto makers to expand electric vehicle manufacturing.,NET Oppose,56%,69%,46%,61%,47%,64%,48%,57%,36%,49%,45%,63%,45%,64%,33%,48%,39%,61%,37%,57%,58%,40%,50%,64%,21%,92%,55%,17%,91%,58%
Requiring auto makers to expand electric vehicle manufacturing.,Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
Expanding tariffs on products made outside the United States.,Strongly support,25%,31%,20%,16%,14%,32%,24%,27%,3%,14%,16%,31%,16%,33%,17%,6%,17%,28%,13%,23%,30%,15%,21%,30%,4%,47%,20%,4%,47%,24%
Expanding tariffs on products made outside the United States.,Somewhat support,24%,20%,25%,37%,28%,22%,18%,24%,1%,37%,29%,21%,30%,21%,22%,22%,19%,27%,16%,26%,18%,23%,24%,24%,21%,27%,26%,19%,28%,26%
Expanding tariffs on products made outside the United States.,Somewhat oppose,20%,22%,19%,21%,31%,21%,15%,19%,47%,16%,24%,18%,24%,17%,28%,30%,20%,20%,29%,23%,14%,23%,24%,18%,28%,11%,25%,29%,10%,21%
Expanding tariffs on products made outside the United States.,Strongly oppose,22%,21%,24%,16%,17%,19%,33%,22%,42%,21%,23%,22%,24%,20%,15%,37%,25%,17%,29%,26%,28%,23%,26%,20%,33%,12%,14%,32%,14%,21%
Expanding tariffs on products made outside the United States.,[VOL] Don't know/Refused,9%,7%,11%,11%,11%,5%,10%,8%,7%,11%,7%,9%,6%,9%,18%,6%,19%,8%,12%,2%,9%,15%,5%,8%,14%,3%,14%,15%,2%,8%
Expanding tariffs on products made outside the United States.,NET Support,49%,51%,46%,53%,42%,55%,42%,51%,4%,51%,45%,51%,46%,53%,39%,28%,36%,55%,29%,48%,49%,38%,45%,54%,25%,74%,46%,24%,75%,50%
Expanding tariffs on products made outside the United States.,NET Oppose,42%,42%,43%,37%,48%,40%,48%,41%,90%,38%,48%,40%,48%,37%,43%,67%,45%,37%,58%,49%,42%,47%,50%,38%,61%,23%,39%,61%,24%,42%
Expanding tariffs on products made outside the United States.,Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Personality/behavior,33%,42%,29%,13%,73%,43%,21%,36%,4%,46%,43%,29%,49%,30%,0%,28%,31%,30%,26%,47%,28%,38%,34%,31%,28%,33%,39%,37%,44%,36%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Ability to do the job,18%,15%,22%,25%,14%,14%,23%,20%,0%,18%,23%,16%,21%,20%,32%,0%,29%,26%,0%,10%,1%,18%,14%,20%,24%,24%,0%,17%,0%,23%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Court cases/convictions,6%,6%,0%,0%,0%,0%,20%,7%,0%,0%,0%,9%,0%,10%,0%,0%,28%,8%,0%,0%,0%,20%,0%,2%,13%,0%,7%,0%,13%,7%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Don't know/refused,5%,1%,6%,3%,4%,3%,10%,4%,0%,6%,2%,5%,2%,5%,0%,3%,0%,7%,7%,5%,0%,2%,2%,8%,0%,8%,6%,19%,0%,1%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Ethics/honesty,4%,0%,7%,0%,7%,2%,7%,4%,0%,0%,2%,4%,3%,5%,0%,0%,0%,1%,0%,10%,5%,0%,7%,3%,0%,2%,11%,0%,0%,1%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Threat to democracy,3%,7%,<1%,12%,0%,3%,0%,2%,8%,18%,4%,3%,<1%,2%,31%,6%,12%,<.5%,6%,9%,0%,4%,7%,<1%,3%,5%,0%,2%,0%,3%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Abortion,3%,0%,5%,14%,0%,0%,0%,3%,0%,0%,7%,<.5%,8%,<.5%,0%,0%,0%,4%,0%,0%,2%,0%,<1%,5%,<1%,0%,9%,2%,0%,4%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Race/racism/sexism,1%,0%,3%,0%,0%,3%,0%,0%,15%,0%,4%,0%,0%,0%,37%,0%,0%,0%,23%,0%,0%,6%,0%,0%,4%,0%,0%,9%,0%,0%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Economy,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Immigration,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Other (specify),9%,7%,12%,11%,0%,15%,0%,9%,25%,0%,0%,14%,0%,13%,0%,19%,0%,11%,0%,9%,13%,0%,9%,15%,7%,17%,0%,15%,10%,11%
