itm,v1,georgia_likely_electorate_georgia_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_dekalb_fulton,region_inner_atlanta_suburbs,region_north,region_outer_atlanta_suburbs,region_south,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,georgia_likely_electorate_2,men_5,women_3,x18_29_5,x30_44_0,x45_64_2,x65_3,white_1,black_3,oth_2,b_a_0,no_b_a_3,white_college_0,white_no_college_2,non_white_college_0,non_white_no_college_4,dekalb_fulton_1,inner_atlanta_suburbs_2,north_2,outer_atlanta_suburbs_2,south_2,city_3,suburb_1,rural_small_town_2,harris_2,trump_1,oth_4,dem_2,rep_2,ind_1
What one issue is most important in deciding your vote this November?,[VOL] Inflation and the cost of living,6%,7%,4%,16%,6%,4%,2%,5%,6%,6%,4%,7%,3%,7%,5%,7%,6%,7%,5%,6%,5%,9%,6%,5%,3%,8%,7%,5%,6%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Character/competence of candidate,6%,6%,5%,6%,2%,6%,7%,4%,8%,7%,7%,5%,6%,2%,9%,7%,5%,2%,8%,7%,6%,14%,4%,6%,8%,4%,0%,7%,4%,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] The state of democracy/corruption,5%,6%,3%,0%,9%,4%,5%,6%,4%,1%,6%,4%,7%,5%,4%,3%,6%,3%,2%,2%,9%,4%,5%,5%,9%,<1%,0%,8%,1%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Dislike of opposing candidate,3%,3%,3%,3%,1%,3%,5%,2%,4%,4%,3%,3%,2%,3%,5%,4%,4%,2%,5%,1%,3%,3%,1%,5%,4%,2%,<1%,4%,4%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Gun policies,2%,3%,1%,7%,3%,<1%,<1%,1%,3%,5%,2%,2%,<.5%,2%,4%,3%,<1%,4%,3%,3%,<1%,2%,3%,1%,2%,3%,0%,<1%,2%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Taxes,2%,3%,<1%,2%,3%,2%,<1%,1%,3%,0%,<1%,2%,<1%,2%,0%,4%,4%,2%,1%,1%,<1%,3%,2%,1%,2%,1%,5%,3%,<1%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Equality/inequality,2%,1%,2%,4%,2%,2%,0%,1%,2%,3%,2%,1%,2%,<1%,3%,2%,3%,3%,0%,<1%,2%,3%,2%,2%,3%,<1%,0%,2%,0%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Foreign policy,2%,2%,2%,1%,1%,2%,2%,2%,<1%,4%,2%,1%,3%,1%,1%,2%,<1%,3%,4%,<.5%,1%,0%,2%,2%,<1%,3%,3%,<.5%,1%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Racism/racial issues,1%,<.5%,2%,0%,<.5%,1%,3%,0%,3%,4%,<.5%,2%,0%,0%,<1%,4%,4%,2%,0%,<.5%,<.5%,0%,3%,<.5%,2%,<.5%,6%,3%,0%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Health care,1%,<1%,1%,1%,3%,0%,<1%,<1%,1%,2%,2%,<1%,2%,<.5%,1%,1%,1%,3%,<.5%,1%,0%,<.5%,2%,0%,2%,<.5%,2%,2%,0%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Polarization/division,<1%,2%,<.5%,0%,0%,1%,2%,<.5%,2%,0%,<.5%,1%,<1%,0%,0%,3%,0%,0%,0%,2%,2%,1%,0%,2%,2%,0%,0%,3%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Student loans,<1%,0%,1%,5%,0%,0%,0%,0%,2%,0%,0%,1%,0%,0%,0%,3%,4%,0%,0%,0%,0%,0%,0%,2%,0%,0%,11%,2%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] The Middle East/Israel/Palestinians,<.5%,1%,0%,1%,<1%,0%,0%,<.5%,0%,2%,<1%,<.5%,0%,<1%,2%,0%,2%,0%,<1%,0%,0%,<1%,<.5%,<.5%,<1%,<.5%,0%,<1%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Russia/the war in Ukraine,<.5%,0%,<1%,0%,0%,<1%,0%,<1%,0%,0%,0%,<1%,0%,1%,0%,0%,0%,2%,0%,0%,0%,0%,0%,<1%,<1%,0%,0%,1%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Climate change,<.5%,<1%,0%,0%,<1%,0%,0%,<1%,0%,0%,<1%,0%,1%,0%,0%,0%,0%,0%,2%,0%,0%,0%,<.5%,<.5%,<1%,0%,0%,<1%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Crime,<.5%,<.5%,<.5%,<1%,<1%,0%,0%,0%,0%,3%,<.5%,<.5%,0%,0%,<1%,<1%,0%,1%,0%,<.5%,0%,0%,<.5%,<.5%,0%,<1%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Education,<.5%,0%,<.5%,0%,<1%,0%,0%,0%,0%,1%,<.5%,<.5%,0%,0%,<.5%,<.5%,0%,<.5%,0%,0%,<.5%,<1%,<.5%,0%,<.5%,0%,<1%,0%,0%,<.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Election integrity,<.5%,<.5%,0%,0%,0%,0%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,<1%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] China,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,"[VOL] Other, specify",5%,5%,5%,2%,5%,5%,6%,4%,7%,2%,5%,5%,4%,4%,6%,6%,6%,5%,6%,4%,5%,9%,5%,4%,5%,5%,6%,6%,4%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Don't know/Refused,5%,6%,3%,5%,7%,2%,6%,3%,8%,4%,3%,6%,3%,3%,4%,9%,5%,4%,2%,5%,8%,7%,7%,2%,7%,1%,14%,7%,2%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,"Kamala [COMMA-luh] Harris, the Democrat",46%,40%,52%,58%,50%,43%,41%,26%,83%,50%,54%,41%,43%,15%,73%,76%,71%,48%,25%,39%,50%,72%,51%,33%,96%,3%,29%,97%,2%,44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",50%,55%,45%,40%,43%,52%,57%,71%,12%,45%,42%,54%,55%,81%,24%,18%,25%,47%,74%,55%,47%,24%,43%,64%,1%,96%,32%,1%,96%,48%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,2%,3%,2%,<1%,2%,4%,<.5%,1%,2%,4%,2%,2%,1%,1%,3%,2%,3%,3%,1%,2%,2%,3%,2%,1%,2%,0%,15%,1%,<1%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Someone else; specify,<.5%,<1%,0%,0%,2%,0%,0%,<1%,0%,<1%,0%,<1%,0%,<1%,0%,<.5%,0%,<.5%,0%,1%,0%,0%,<1%,0%,0%,0%,6%,0%,0%,<.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,2%,2%,1%,<1%,3%,1%,2%,1%,3%,<.5%,<1%,2%,<1%,1%,<1%,3%,1%,1%,<1%,3%,2%,1%,3%,<1%,<.5%,<1%,18%,0%,2%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Always legal,30%,23%,37%,40%,33%,31%,23%,22%,45%,32%,36%,27%,32%,16%,43%,41%,47%,30%,21%,30%,26%,38%,36%,22%,58%,6%,24%,60%,5%,28%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Mostly legal,36%,39%,34%,42%,32%,37%,38%,35%,37%,40%,33%,38%,30%,38%,37%,39%,28%,46%,36%,33%,38%,38%,35%,36%,34%,39%,25%,33%,38%,41%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Mostly illegal,17%,19%,14%,9%,17%,18%,18%,22%,6%,20%,16%,17%,23%,21%,6%,11%,13%,15%,24%,13%,19%,13%,13%,22%,2%,31%,8%,2%,33%,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Always illegal,8%,9%,8%,5%,9%,8%,10%,11%,5%,6%,7%,9%,7%,13%,7%,5%,6%,1%,14%,9%,11%,7%,4%,14%,4%,13%,4%,4%,15%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",[VOL] Don't know/Refused,9%,10%,7%,3%,9%,7%,11%,10%,7%,2%,8%,9%,8%,12%,8%,5%,6%,9%,5%,15%,7%,4%,12%,6%,2%,10%,39%,2%,9%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",NET Legal,66%,62%,71%,82%,65%,67%,62%,57%,82%,72%,69%,65%,62%,54%,80%,79%,75%,75%,57%,63%,63%,76%,71%,58%,91%,46%,49%,93%,43%,69%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",NET Illegal,25%,28%,22%,14%,26%,26%,27%,32%,11%,26%,23%,26%,30%,34%,12%,16%,19%,16%,38%,21%,30%,21%,17%,36%,6%,44%,12%,6%,48%,20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Strongly favor,39%,31%,44%,65%,50%,31%,26%,40%,34%,45%,49%,32%,57%,29%,37%,36%,57%,45%,25%,38%,31%,42%,47%,28%,60%,19%,39%,57%,17%,44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Somewhat favor,21%,24%,18%,19%,22%,19%,23%,19%,22%,28%,19%,22%,15%,22%,25%,22%,17%,20%,24%,19%,23%,22%,20%,21%,16%,23%,37%,16%,24%,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Somewhat oppose,9%,11%,8%,8%,7%,10%,10%,10%,9%,7%,5%,12%,4%,14%,7%,9%,6%,9%,10%,8%,11%,6%,7%,12%,5%,14%,1%,6%,16%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Strongly oppose,21%,24%,18%,7%,13%,25%,30%,23%,19%,17%,16%,24%,17%,26%,14%,21%,15%,14%,26%,24%,24%,28%,16%,25%,11%,32%,5%,14%,34%,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",[VOL] Don't know/Refused,10%,10%,11%,2%,9%,14%,12%,8%,17%,2%,12%,9%,7%,9%,18%,10%,4%,12%,14%,11%,10%,2%,10%,13%,8%,12%,18%,7%,10%,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",NET Favor,59%,56%,63%,84%,71%,51%,49%,59%,55%,74%,68%,55%,72%,51%,62%,59%,75%,65%,50%,57%,54%,64%,67%,50%,76%,42%,76%,73%,40%,67%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",NET Oppose,30%,35%,26%,14%,20%,36%,39%,33%,28%,24%,21%,36%,21%,40%,20%,31%,21%,23%,36%,32%,36%,34%,23%,37%,16%,46%,6%,20%,50%,19%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The economy,Kamala Harris,42%,34%,50%,46%,45%,40%,42%,26%,74%,42%,49%,39%,40%,17%,63%,68%,67%,41%,20%,37%,47%,66%,45%,34%,91%,2%,12%,92%,3%,38%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The economy,Donald Trump,54%,62%,48%,52%,50%,55%,58%,72%,21%,56%,48%,58%,57%,82%,33%,27%,29%,55%,79%,59%,50%,32%,50%,66%,7%,98%,59%,6%,95%,56%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The economy,[VOL] Don’t know/Refused,3%,4%,2%,2%,5%,5%,<1%,2%,6%,2%,3%,3%,2%,1%,4%,5%,4%,4%,<1%,4%,3%,3%,5%,<.5%,3%,<.5%,29%,2%,1%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The economy,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abortion,Kamala Harris,53%,49%,57%,69%,61%,48%,44%,33%,87%,61%,64%,47%,50%,21%,84%,79%,78%,55%,30%,50%,54%,81%,58%,39%,99%,13%,31%,99%,8%,58%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abortion,Donald Trump,40%,42%,38%,29%,29%,45%,47%,59%,8%,30%,30%,46%,44%,69%,9%,16%,19%,34%,62%,43%,40%,16%,32%,55%,<.5%,80%,5%,1%,86%,31%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abortion,[VOL] Don’t know/Refused,7%,9%,5%,2%,10%,6%,9%,8%,5%,10%,6%,8%,6%,9%,7%,5%,3%,11%,8%,8%,6%,3%,10%,6%,<.5%,6%,64%,<.5%,6%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abortion,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Immigration,Kamala Harris,42%,34%,48%,50%,46%,37%,39%,24%,72%,51%,49%,37%,38%,14%,65%,67%,61%,44%,23%,34%,46%,74%,45%,28%,88%,3%,10%,89%,1%,41%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Immigration,Donald Trump,56%,62%,50%,48%,48%,60%,60%,74%,24%,48%,49%,60%,59%,84%,33%,28%,34%,52%,77%,63%,52%,24%,50%,71%,10%,97%,62%,10%,97%,53%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
