itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_miami_dade,region_north,region_orlando,region_rest,region_southeast,region_tampa,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep
(Ask only of Split A)  Would help people like you,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares
Represents change,Kamala Harris more,43%,37%,48%,51%,35%,37%,51%,36%,70%,50%,41%,36%,56%,51%,38%,48%,28%,53%,58%,49%,33%,61%,39%,47%,40%,88%,9%,43%,91%,14%
Represents change,Donald Trump more,49%,54%,45%,39%,58%,55%,42%,55%,25%,43%,56%,55%,39%,41%,55%,41%,64%,42%,37%,47%,60%,35%,54%,38%,52%,4%,84%,33%,8%,81%
Represents change,[VOL] Both,2%,1%,3%,2%,3%,1%,3%,2%,3%,0%,0%,2%,1%,2%,2%,2%,3%,3%,0%,0%,0%,0%,3%,2%,4%,1%,2%,2%,0%,3%
Represents change,[VOL] Neither,4%,5%,3%,8%,3%,6%,3%,5%,<1%,6%,1%,5%,3%,6%,3%,8%,3%,2%,4%,<1%,3%,3%,4%,10%,3%,5%,3%,17%,1%,<1%
Represents change,[VOL] Don't know/Refused,2%,2%,1%,<1%,1%,<1%,2%,2%,0%,0%,2%,2%,<.5%,<1%,2%,<1%,2%,<1%,<.5%,3%,3%,1%,<.5%,2%,2%,1%,2%,5%,<.5%,2%
Represents change,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares
"Thinking about the nation's economy, how would you rate economic conditions today?",Excellent,3%,4%,3%,0%,0%,4%,6%,5%,<.5%,<1%,1%,5%,<1%,5%,3%,7%,4%,1%,<.5%,2%,2%,0%,6%,<1%,3%,8%,0%,0%,8%,<.5%
"Thinking about the nation's economy, how would you rate economic conditions today?",Good,20%,21%,19%,7%,5%,19%,34%,20%,32%,15%,13%,20%,21%,28%,15%,33%,13%,22%,20%,28%,12%,29%,9%,39%,21%,42%,5%,0%,40%,8%
"Thinking about the nation's economy, how would you rate economic conditions today?",Only fair,21%,21%,20%,32%,30%,19%,14%,20%,19%,25%,21%,20%,22%,24%,19%,25%,17%,23%,22%,14%,22%,26%,22%,13%,25%,28%,17%,5%,25%,17%
"Thinking about the nation's economy, how would you rate economic conditions today?",Poor,54%,53%,56%,61%,65%,56%,45%,53%,46%,59%,65%,53%,55%,43%,62%,36%,65%,54%,56%,56%,61%,45%,60%,47%,50%,22%,76%,87%,26%,73%
"Thinking about the nation's economy, how would you rate economic conditions today?",[VOL] Don't know/Refused,1%,1%,1%,0%,0%,2%,<1%,1%,3%,0%,0%,1%,<1%,0%,2%,0%,2%,0%,2%,0%,3%,0%,3%,0%,0%,0%,2%,8%,1%,2%
"Thinking about the nation's economy, how would you rate economic conditions today?",NET Excellent/good,24%,25%,22%,7%,5%,23%,40%,26%,33%,16%,14%,26%,21%,33%,17%,40%,17%,23%,20%,29%,14%,29%,16%,40%,25%,50%,5%,0%,48%,8%
"Thinking about the nation's economy, how would you rate economic conditions today?",NET Fair/poor,75%,74%,76%,93%,95%,75%,59%,73%,65%,84%,86%,73%,78%,67%,81%,60%,82%,77%,78%,71%,82%,71%,81%,60%,75%,50%,93%,92%,51%,90%
"Thinking about the nation's economy, how would you rate economic conditions today?",Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
What one issue is most important in deciding your vote this November?,[VOL] The economy (including jobs and the stock market),30%,31%,29%,24%,36%,28%,29%,31%,16%,29%,35%,31%,26%,26%,31%,26%,35%,26%,25%,21%,39%,26%,33%,24%,30%,11%,43%,36%,10%,46%
What one issue is most important in deciding your vote this November?,[VOL] Immigration,12%,14%,11%,0%,5%,20%,12%,14%,10%,8%,8%,14%,9%,11%,13%,14%,14%,8%,10%,11%,17%,9%,14%,11%,10%,<1%,22%,0%,2%,20%
What one issue is most important in deciding your vote this November?,[VOL] Abortion,12%,9%,14%,27%,8%,10%,10%,13%,12%,8%,15%,13%,11%,14%,10%,17%,10%,10%,11%,14%,13%,14%,12%,8%,11%,25%,3%,0%,22%,4%
What one issue is most important in deciding your vote this November?,[VOL] Character/competence of candidate,9%,9%,9%,5%,8%,7%,13%,11%,11%,3%,3%,11%,6%,8%,10%,10%,12%,4%,8%,3%,11%,3%,9%,13%,10%,17%,4%,0%,17%,5%
What one issue is most important in deciding your vote this November?,[VOL] Dislike of opposing candidate,6%,8%,4%,2%,3%,6%,9%,7%,6%,2%,4%,7%,4%,5%,6%,5%,8%,5%,3%,8%,0%,9%,6%,5%,4%,9%,4%,0%,8%,3%
What one issue is most important in deciding your vote this November?,[VOL] Inflation and the cost of living,5%,6%,4%,12%,8%,5%,<1%,2%,12%,6%,13%,2%,10%,5%,5%,2%,2%,9%,10%,3%,2%,4%,4%,6%,8%,3%,6%,4%,4%,5%
What one issue is most important in deciding your vote this November?,[VOL] The state of democracy/corruption,4%,5%,3%,0%,1%,8%,4%,4%,9%,4%,3%,4%,6%,7%,3%,7%,1%,6%,5%,1%,3%,4%,1%,14%,5%,10%,<.5%,0%,9%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Foreign policy,3%,3%,4%,4%,1%,6%,3%,4%,1%,4%,0%,4%,2%,4%,3%,5%,4%,3%,2%,0%,0%,0%,6%,7%,3%,2%,4%,8%,1%,4%
What one issue is most important in deciding your vote this November?,[VOL] Equality/inequality,3%,2%,4%,4%,6%,<1%,3%,2%,7%,7%,0%,2%,5%,3%,3%,2%,1%,6%,5%,2%,3%,3%,5%,2%,<1%,3%,1%,21%,5%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Crime,2%,1%,3%,2%,5%,0%,3%,<.5%,5%,8%,0%,<.5%,5%,3%,2%,<.5%,0%,6%,5%,5%,1%,12%,<.5%,0%,1%,1%,1%,19%,2%,2%
What one issue is most important in deciding your vote this November?,[VOL] Taxes,1%,2%,<.5%,3%,1%,2%,0%,1%,0%,3%,0%,1%,1%,<.5%,2%,0%,2%,<.5%,2%,4%,0%,0%,<1%,2%,1%,<1%,2%,0%,0%,2%
What one issue is most important in deciding your vote this November?,[VOL] Gun policies,<1%,<.5%,1%,0%,<1%,0%,2%,<.5%,3%,0%,0%,<.5%,1%,<1%,<1%,1%,0%,0%,2%,0%,4%,2%,0%,0%,<1%,2%,0%,0%,2%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Health care,<1%,0%,1%,0%,<1%,<1%,<1%,<.5%,0%,1%,2%,<.5%,1%,1%,<.5%,<.5%,<1%,2%,0%,1%,0%,2%,0%,0%,1%,1%,<.5%,0%,1%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] The Middle East/Israel/Palestinians,<1%,<1%,<.5%,4%,<.5%,0%,0%,<.5%,0%,<.5%,5%,<.5%,1%,<.5%,<1%,<1%,0%,0%,2%,0%,<1%,<.5%,<1%,<1%,<.5%,1%,<.5%,0%,2%,0%
What one issue is most important in deciding your vote this November?,[VOL] Climate change,<.5%,<.5%,<1%,<.5%,0%,<.5%,<1%,<1%,0%,<.5%,0%,<1%,<.5%,1%,0%,2%,0%,<.5%,0%,<1%,0%,0%,<1%,<1%,0%,1%,0%,0%,<1%,0%
What one issue is most important in deciding your vote this November?,[VOL] Student loans,<.5%,<.5%,<.5%,2%,<1%,0%,0%,<.5%,0%,0%,2%,<.5%,<.5%,<1%,<.5%,<1%,<.5%,<1%,0%,1%,0%,0%,<.5%,0%,<.5%,<1%,<.5%,0%,1%,0%
What one issue is most important in deciding your vote this November?,[VOL] Russia/the war in Ukraine,<.5%,<1%,0%,0%,1%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,<1%,0%,0%,0%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Education,<.5%,0%,<.5%,0%,0%,<1%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,<1%,0%,0%,0%,0%,0%,0%,0%,<1%,0%,<.5%,0%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] Racism/racial issues,<.5%,<.5%,0%,0%,0%,<1%,0%,0%,<.5%,<1%,0%,0%,<.5%,<.5%,<.5%,0%,0%,<.5%,<1%,0%,0%,0%,<.5%,<.5%,0%,<.5%,0%,0%,<.5%,0%
What one issue is most important in deciding your vote this November?,[VOL] Election integrity,<.5%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] China,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] Polarization/division,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,"[VOL] Other, specify",8%,7%,9%,6%,12%,4%,8%,7%,9%,9%,9%,7%,9%,9%,7%,5%,8%,13%,6%,17%,7%,11%,4%,5%,11%,9%,7%,9%,11%,6%
What one issue is most important in deciding your vote this November?,[VOL] Don't know/Refused,2%,2%,1%,5%,1%,<.5%,2%,1%,0%,5%,0%,1%,2%,<.5%,2%,<1%,1%,0%,4%,6%,0%,2%,2%,1%,<.5%,2%,1%,3%,1%,1%
What one issue is most important in deciding your vote this November?,Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
Which candidate do you think would do a better job of handling the issue you think is most important?,"Kamala [COMMA-luh] Harris, the Democrat",41%,36%,45%,51%,34%,38%,47%,34%,72%,44%,50%,34%,55%,51%,34%,49%,24%,54%,56%,49%,30%,51%,35%,52%,41%,96%,1%,12%,96%,5%
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",55%,59%,50%,46%,57%,61%,47%,64%,21%,48%,46%,64%,38%,44%,62%,47%,75%,40%,37%,49%,65%,37%,62%,45%,56%,2%,97%,29%,4%,93%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,1%,2%,<1%,0%,3%,0%,2%,2%,0%,0%,4%,2%,<1%,3%,<.5%,3%,<1%,1%,<.5%,0%,3%,0%,<1%,4%,1%,<1%,1%,8%,<.5%,0%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Someone else; specify,<.5%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<1%,0%,0%,<.5%,<.5%,0%,0%,0%,<1%,0%,0%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,<.5%,0%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,3%,2%,4%,3%,6%,<.5%,3%,<1%,8%,7%,0%,<1%,6%,3%,3%,1%,<1%,5%,7%,2%,1%,12%,3%,0%,1%,1%,<.5%,51%,0%,2%
Which candidate do you think would do a better job of handling the issue you think is most important?,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares
Do you think Joe Biden’s policies have...,Helped you personally,21%,18%,23%,12%,10%,20%,31%,18%,37%,18%,26%,18%,26%,27%,17%,28%,11%,25%,27%,26%,17%,21%,16%,33%,19%,46%,3%,0%,57%,3%
Do you think Joe Biden’s policies have...,Hurt you personally,48%,51%,45%,30%,52%,54%,42%,57%,20%,37%,41%,57%,32%,41%,52%,44%,64%,38%,26%,40%,58%,31%,53%,42%,51%,4%,83%,19%,4%,78%
Do you think Joe Biden’s policies have...,Not made much of a difference either way,31%,31%,30%,57%,37%,25%,26%,25%,43%,45%,30%,25%,42%,31%,31%,26%,23%,36%,46%,32%,25%,47%,30%,24%,29%,49%,14%,67%,40%,19%
Do you think Joe Biden’s policies have...,[VOL] Don’t know/Refused,<1%,<.5%,1%,<.5%,1%,<.5%,1%,<1%,0%,0%,2%,<1%,<.5%,1%,<.5%,1%,<1%,<1%,0%,2%,0%,0%,<1%,<1%,<.5%,<.5%,0%,14%,0%,0%
Do you think Donald Trump’s policies have...,Helped you personally,47%,53%,41%,41%,43%,53%,42%,56%,12%,34%,54%,56%,30%,37%,54%,43%,65%,29%,31%,33%,63%,33%,54%,36%,49%,6%,80%,17%,4%,82%
Do you think Donald Trump’s policies have...,Hurt you personally,25%,23%,28%,21%,22%,22%,32%,22%,40%,28%,21%,22%,31%,34%,19%,31%,16%,39%,24%,28%,9%,28%,20%,37%,29%,56%,1%,25%,57%,3%
Do you think Donald Trump’s policies have...,Not made much of a difference either way,26%,24%,29%,38%,32%,24%,24%,20%,47%,38%,20%,20%,38%,26%,27%,23%,18%,30%,45%,37%,28%,37%,23%,26%,22%,36%,18%,45%,36%,15%
Do you think Donald Trump’s policies have...,[VOL] Don’t know/Refused,1%,<1%,2%,<.5%,4%,<.5%,2%,2%,0%,0%,5%,2%,<1%,3%,<.5%,4%,<1%,2%,0%,2%,0%,2%,3%,<1%,<.5%,2%,<.5%,13%,3%,<.5%
Do you think Donald Trump’s policies have...,Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
(Ask of White respondents )  How important is being White to how you think about yourself?,Extremely important,2%,0%,5%,0%,6%,0%,<1%,2%,-,-,0%,2%,0%,<1%,4%,<1%,4%,0%,0%,0%,10%,0%,0%,2%,5%,0%,4%,0%,0%,5%
(Ask of White respondents )  How important is being White to how you think about yourself?,Very important,3%,4%,1%,6%,1%,1%,4%,3%,-,-,0%,3%,0%,2%,3%,2%,3%,0%,0%,4%,5%,2%,<1%,0%,6%,3%,3%,0%,2%,3%
(Ask of White respondents )  How important is being White to how you think about yourself?,Somewhat important,7%,11%,4%,7%,7%,5%,9%,7%,-,-,17%,7%,17%,8%,7%,7%,7%,25%,0%,25%,1%,12%,3%,14%,9%,9%,7%,0%,6%,8%
(Ask of White respondents )  How important is being White to how you think about yourself?,Not very important,25%,24%,25%,29%,15%,26%,27%,24%,-,-,35%,24%,35%,28%,23%,27%,23%,45%,15%,6%,13%,35%,27%,28%,23%,26%,24%,20%,27%,26%
(Ask of White respondents )  How important is being White to how you think about yourself?,Not at all important,58%,57%,61%,58%,65%,64%,52%,59%,-,-,46%,59%,46%,57%,60%,59%,59%,30%,79%,55%,63%,48%,67%,43%,55%,59%,59%,49%,59%,54%
(Ask of White respondents )  How important is being White to how you think about yourself?,[VOL] Don’t know/Refused,5%,5%,4%,0%,5%,2%,7%,5%,-,-,2%,5%,2%,4%,4%,5%,4%,0%,7%,10%,7%,3%,3%,13%,3%,4%,4%,30%,5%,3%
(Ask of White respondents )  How important is being White to how you think about yourself?,NET Extremely/Very important,5%,4%,6%,6%,7%,1%,4%,5%,-,-,0%,5%,0%,3%,6%,3%,7%,0%,0%,4%,16%,2%,<1%,2%,10%,3%,7%,0%,2%,8%
(Ask of White respondents )  How important is being White to how you think about yourself?,NET Not very/Not at all important,83%,81%,86%,87%,81%,91%,79%,83%,-,-,81%,83%,81%,85%,82%,85%,82%,75%,93%,61%,76%,83%,93%,71%,78%,85%,83%,70%,87%,80%
(Ask of White respondents )  How important is being White to how you think about yourself?,Number of respondents,321,163,157,42,48,109,113,311,,,10,311,10,152,166,147,161,5,5,13,33,29,138,38,70,119,195,7,67,138
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Extremely important,32%,25%,38%,40%,27%,44%,14%,3%,0%,40%,18%,3%,36%,29%,34%,0%,4%,31%,40%,40%,25%,19%,28%,27%,43%,40%,28%,0%,39%,28%
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Very important,17%,18%,16%,18%,18%,14%,20%,21%,32%,16%,15%,21%,16%,11%,21%,45%,14%,9%,22%,18%,34%,22%,17%,13%,11%,14%,20%,10%,11%,21%
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Somewhat important,16%,14%,18%,13%,14%,17%,18%,4%,68%,15%,27%,4%,18%,12%,18%,0%,5%,13%,21%,10%,20%,32%,10%,17%,15%,14%,12%,67%,18%,19%
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Not very important,8%,6%,10%,4%,11%,6%,11%,4%,0%,8%,16%,4%,9%,20%,<.5%,17%,0%,20%,<.5%,8%,0%,9%,<1%,11%,17%,12%,6%,0%,12%,6%
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Not at all important,22%,27%,18%,25%,25%,16%,28%,59%,0%,16%,24%,59%,16%,22%,22%,38%,66%,21%,13%,13%,21%,17%,44%,18%,13%,19%,26%,6%,17%,17%
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,[VOL] Don’t know/Refused,5%,10%,0%,0%,6%,4%,9%,9%,0%,5%,0%,9%,4%,5%,5%,0%,10%,5%,4%,11%,0%,0%,0%,13%,0%,1%,7%,17%,3%,8%
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,NET Extremely/Very important,49%,44%,54%,58%,45%,58%,35%,24%,32%,57%,32%,24%,53%,40%,55%,45%,18%,40%,62%,58%,59%,41%,45%,40%,54%,54%,49%,10%,50%,49%
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,NET Not very/Not at all important,30%,32%,28%,29%,36%,22%,38%,63%,0%,23%,40%,63%,25%,42%,22%,55%,66%,41%,13%,21%,21%,27%,45%,30%,30%,31%,32%,6%,29%,23%
(Ask of Hispanic respondents)  How important is being Hispanic or Latino to how you think about yourself?,Number of respondents,127,61,66,31,32,43,20,21,4,88,14,21,106,54,72,5,15,49,57,31,8,18,27,19,24,57,66,4,34,47
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Extremely important,36%,32%,40%,36%,18%,37%,52%,-,38%,-,10%,-,36%,25%,48%,-,-,25%,48%,57%,59%,41%,19%,34%,50%,48%,<.5%,25%,54%,<1%
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Very important,26%,26%,26%,31%,12%,30%,28%,-,22%,-,73%,-,26%,26%,26%,-,-,26%,26%,0%,41%,5%,16%,51%,32%,27%,34%,0%,19%,69%
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Somewhat important,23%,20%,26%,27%,63%,6%,12%,-,25%,-,4%,-,23%,26%,21%,-,-,26%,21%,43%,0%,53%,38%,0%,5%,19%,13%,75%,18%,30%
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Not very important,2%,<.5%,3%,<.5%,0%,4%,0%,-,2%,-,0%,-,2%,1%,2%,-,-,1%,2%,0%,0%,<.5%,2%,4%,0%,1%,4%,0%,0%,0%
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Not at all important,11%,18%,5%,6%,7%,23%,0%,-,11%,-,13%,-,11%,18%,4%,-,-,18%,4%,0%,0%,0%,25%,12%,<.5%,2%,49%,0%,5%,0%
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,[VOL] Don’t know/Refused,2%,4%,0%,0%,0%,0%,8%,-,2%,-,0%,-,2%,4%,0%,-,-,4%,0%,0%,0%,0%,0%,0%,13%,3%,0%,0%,3%,0%
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,NET Extremely/Very important,62%,57%,66%,67%,29%,67%,81%,-,61%,-,82%,-,62%,51%,73%,-,-,51%,73%,57%,100%,46%,35%,85%,82%,75%,35%,25%,73%,70%
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,NET Not very/Not at all important,13%,18%,8%,6%,7%,27%,0%,-,13%,-,13%,-,13%,20%,6%,-,-,20%,6%,0%,0%,<.5%,27%,15%,<.5%,3%,53%,0%,5%,0%
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Number of respondents,68,25,42,14,13,26,15,,62,,6,,68,32,36,,,32,36,10,5,10,19,12,12,52,13,3,39,6
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Extremely important,16%,0%,38%,44%,0%,0%,-,-,-,-,16%,-,16%,18%,0%,-,-,18%,0%,40%,0%,70%,0%,0%,0%,31%,0%,-,26%,0%
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Very important,12%,0%,30%,35%,0%,0%,-,-,-,-,12%,-,12%,7%,45%,-,-,7%,45%,0%,100%,0%,100%,0%,0%,24%,0%,-,19%,0%
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Somewhat important,31%,53%,0%,13%,46%,0%,-,-,-,-,31%,-,31%,31%,32%,-,-,31%,32%,0%,0%,0%,0%,100%,51%,9%,54%,-,14%,56%
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Not very important,18%,8%,32%,9%,18%,69%,-,-,-,-,18%,-,18%,18%,23%,-,-,18%,23%,50%,0%,30%,0%,0%,9%,36%,0%,-,42%,0%
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Not at all important,23%,39%,0%,0%,36%,31%,-,-,-,-,23%,-,23%,26%,0%,-,-,26%,0%,10%,0%,0%,0%,0%,40%,0%,46%,-,0%,44%
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,[VOL] Don’t know/Refused,0%,0%,0%,0%,0%,0%,-,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,NET Extremely/Very important,28%,0%,68%,79%,0%,0%,-,-,-,-,28%,-,28%,25%,45%,-,-,25%,45%,40%,100%,70%,100%,0%,0%,55%,0%,-,45%,0%
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,NET Not very/Not at all important,41%,47%,32%,9%,54%,100%,-,-,-,-,41%,-,41%,44%,23%,-,-,44%,23%,60%,0%,30%,0%,0%,49%,36%,46%,-,42%,44%
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Number of respondents,11,5,6,6,3,2,,,,,11,,11,8,3,,,8,3,3,1,2,1,1,3,8,3,,5,2
