itm,v1,likely_electorate_likely_electorate,state_mi,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_harris,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy,x2024_vote_includes_third_parties_oth,party_id_dem
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Neither good nor bad,6%,7%,6%,5%,7%,6%,12%,6%,6%,5%,5%,15%,10%,6%,7%,5%,5%,11%,13%,6%,7%,6%,4%,7%,33%,3%,5%,33%,26%,4%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",[VOL] Don't know/Refused,<1%,2%,<.5%,<.5%,<1%,1%,<.5%,1%,<1%,1%,<1%,<1%,2%,<1%,1%,<1%,<1%,0%,2%,<.5%,<.5%,2%,<1%,<1%,3%,<1%,<1%,<1%,3%,<.5%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",[PREVIOUSLY] Nothing would change,1%,2%,1%,1%,2%,<.5%,2%,2%,2%,<1%,1%,<.5%,3%,<1%,2%,<1%,2%,1%,2%,<1%,2%,1%,1%,1%,6%,1%,1%,5%,4%,<.5%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",[PREVIOUSLY] Don’t know/Refused,2%,2%,2%,2%,1%,2%,<1%,2%,3%,1%,1%,<1%,3%,<1%,2%,<.5%,2%,2%,2%,1%,2%,2%,1%,2%,6%,1%,2%,5%,3%,1%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",NET Good,42%,40%,43%,44%,50%,36%,33%,40%,48%,40%,46%,12%,36%,35%,46%,36%,51%,26%,25%,24%,40%,51%,1%,89%,25%,<1%,91%,33%,28%,3%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",NET Bad,47%,47%,47%,48%,39%,55%,51%,50%,41%,52%,46%,72%,46%,57%,42%,57%,40%,60%,57%,67%,50%,38%,91%,<1%,28%,93%,<1%,22%,36%,91%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"If Kamala Harris won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or she would tear down the system completely?",Nothing would change,10%,7%,12%,12%,15%,6%,13%,12%,11%,7%,10%,10%,17%,11%,10%,11%,9%,13%,14%,9%,11%,10%,5%,14%,22%,5%,14%,27%,20%,4%
"If Kamala Harris won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or she would tear down the system completely?",Minor changes to how things work,41%,40%,40%,43%,37%,45%,43%,50%,38%,39%,42%,47%,36%,52%,35%,54%,35%,45%,39%,56%,42%,35%,67%,13%,42%,67%,11%,43%,52%,61%
"If Kamala Harris won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or she would tear down the system completely?",Major changes to how things work,22%,23%,24%,20%,20%,25%,25%,18%,22%,25%,21%,34%,24%,21%,23%,20%,22%,26%,30%,24%,23%,21%,25%,20%,18%,26%,20%,17%,10%,30%
"If Kamala Harris won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or she would tear down the system completely?",She would tear down the system completely,23%,24%,22%,24%,25%,21%,18%,18%,23%,27%,25%,7%,20%,14%,28%,15%,31%,12%,15%,10%,21%,30%,<.5%,49%,11%,<.5%,51%,9%,9%,1%
"If Kamala Harris won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or she would tear down the system completely?",[VOL] Don't know/Refused,3%,6%,2%,2%,3%,2%,<.5%,2%,5%,2%,3%,3%,3%,2%,3%,<1%,4%,4%,2%,2%,3%,4%,2%,4%,7%,2%,4%,4%,8%,3%
"If Kamala Harris won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or she would tear down the system completely?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",Very good for the country,26%,26%,25%,26%,17%,34%,18%,24%,23%,32%,25%,43%,19%,30%,24%,30%,22%,28%,31%,37%,25%,22%,50%,<1%,2%,53%,<1%,1%,1%,59%
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",Somewhat good for the country,15%,15%,16%,15%,15%,15%,24%,18%,11%,16%,15%,19%,20%,17%,14%,16%,14%,22%,17%,17%,17%,13%,29%,<1%,5%,29%,<1%,14%,8%,25%
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",Somewhat bad for the country,6%,6%,5%,6%,7%,5%,12%,6%,6%,3%,6%,3%,4%,6%,6%,6%,7%,4%,3%,4%,6%,7%,<1%,11%,8%,<1%,11%,10%,11%,<.5%
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",Very bad for the country,31%,30%,31%,31%,34%,28%,21%,26%,34%,32%,32%,10%,24%,24%,34%,25%,37%,17%,18%,16%,28%,37%,<1%,64%,20%,<1%,66%,22%,12%,2%
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",Neither good nor bad,9%,10%,9%,7%,9%,8%,10%,12%,8%,7%,8%,12%,12%,9%,8%,9%,7%,12%,13%,14%,9%,6%,10%,5%,32%,9%,4%,21%,35%,7%
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",[VOL] Don't know/Refused,<1%,1%,<1%,<1%,<1%,1%,0%,<1%,1%,<1%,<1%,1%,2%,1%,<1%,1%,<.5%,<1%,2%,<1%,<1%,<1%,1%,<.5%,5%,1%,<.5%,<1%,4%,<.5%
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",[PREVIOUSLY] Nothing would change,10%,7%,12%,12%,15%,6%,13%,12%,11%,7%,10%,10%,17%,11%,10%,11%,9%,13%,14%,9%,11%,10%,5%,14%,22%,5%,14%,27%,20%,4%
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",[PREVIOUSLY] Don’t know/Refused,3%,6%,2%,2%,3%,2%,<.5%,2%,5%,2%,3%,3%,3%,2%,3%,<1%,4%,4%,2%,2%,3%,4%,2%,4%,7%,2%,4%,4%,8%,3%
"(If Harris major/minor change or tear down the system)  Do you think the changes that Kamala Harris would make would be good for the country or bad for the country, or neither good nor bad?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Will bring about the right kind of change,Very well,32%,32%,31%,34%,21%,43%,27%,33%,28%,39%,32%,46%,32%,38%,29%,38%,29%,43%,35%,45%,33%,27%,64%,<1%,5%,66%,<1%,9%,8%,73%
Will bring about the right kind of change,Somewhat well,18%,19%,18%,18%,19%,16%,29%,20%,16%,15%,16%,32%,24%,21%,17%,20%,14%,23%,31%,27%,19%,14%,30%,4%,31%,29%,4%,23%,29%,22%
Will bring about the right kind of change,Not too well,10%,10%,11%,10%,12%,9%,15%,12%,12%,7%,11%,5%,12%,10%,10%,10%,11%,10%,8%,9%,11%,10%,4%,16%,19%,3%,14%,29%,30%,2%
Will bring about the right kind of change,Not at all well,37%,36%,38%,37%,45%,30%,28%,34%,41%,37%,39%,14%,30%,31%,40%,32%,44%,24%,22%,18%,35%,46%,<1%,77%,37%,<1%,79%,38%,26%,2%
Will bring about the right kind of change,[VOL] Don't know/Refused,2%,3%,2%,1%,2%,2%,<1%,2%,3%,2%,2%,3%,2%,<1%,3%,<1%,3%,<1%,4%,<1%,2%,2%,1%,2%,7%,1%,2%,1%,8%,<1%
Will bring about the right kind of change,NET Well,51%,51%,49%,51%,40%,60%,56%,53%,45%,54%,48%,78%,56%,59%,46%,58%,43%,66%,66%,72%,52%,42%,94%,5%,36%,95%,5%,32%,37%,95%
Will bring about the right kind of change,NET Not well,48%,46%,49%,47%,57%,39%,43%,45%,53%,44%,50%,19%,42%,41%,51%,42%,55%,33%,31%,27%,46%,56%,5%,93%,56%,4%,93%,67%,55%,4%
Will bring about the right kind of change,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Has the temperament to be an effective president,Very well,39%,36%,40%,41%,29%,48%,41%,39%,36%,43%,38%,61%,38%,47%,35%,47%,33%,53%,46%,57%,40%,32%,76%,2%,9%,77%,2%,14%,16%,80%
Has the temperament to be an effective president,Somewhat well,16%,17%,16%,14%,17%,14%,24%,21%,11%,15%,14%,24%,23%,17%,15%,16%,13%,20%,25%,20%,16%,14%,21%,8%,34%,20%,7%,29%,40%,15%
Has the temperament to be an effective president,Not too well,9%,9%,9%,10%,10%,9%,11%,11%,13%,5%,10%,2%,11%,10%,9%,11%,10%,8%,6%,6%,10%,10%,<1%,18%,21%,<1%,17%,25%,18%,2%
Has the temperament to be an effective president,Not at all well,34%,35%,33%,33%,41%,28%,23%,28%,38%,35%,36%,11%,26%,25%,38%,26%,42%,17%,20%,16%,33%,41%,<.5%,70%,29%,<.5%,73%,28%,18%,2%
Has the temperament to be an effective president,[VOL] Don't know/Refused,2%,3%,2%,1%,3%,1%,2%,1%,2%,3%,2%,3%,3%,1%,3%,<1%,2%,2%,3%,<1%,1%,3%,2%,2%,6%,1%,2%,3%,8%,<1%
Has the temperament to be an effective president,NET Well,55%,53%,56%,56%,46%,62%,64%,60%,48%,58%,52%,85%,61%,64%,50%,63%,46%,73%,71%,77%,56%,46%,97%,10%,43%,98%,9%,43%,56%,95%
Has the temperament to be an effective president,NET Not well,43%,44%,43%,43%,51%,36%,34%,39%,51%,40%,46%,12%,37%,35%,47%,36%,51%,25%,26%,22%,42%,51%,1%,88%,51%,<1%,89%,53%,36%,4%
Has the temperament to be an effective president,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Is intelligent,Very well,48%,46%,50%,49%,37%,58%,55%,49%,43%,51%,45%,76%,53%,57%,43%,56%,39%,66%,62%,69%,50%,39%,88%,6%,33%,89%,5%,34%,43%,88%
Is intelligent,Somewhat well,17%,18%,17%,15%,19%,14%,21%,21%,16%,12%,17%,15%,20%,17%,16%,18%,16%,13%,20%,14%,18%,17%,11%,22%,30%,10%,21%,37%,28%,10%
Is intelligent,Not too well,9%,7%,10%,9%,10%,8%,10%,9%,9%,9%,9%,4%,8%,8%,9%,8%,10%,7%,5%,7%,9%,9%,<1%,17%,11%,<.5%,18%,10%,9%,<.5%
Is intelligent,Not at all well,24%,26%,22%,24%,31%,18%,13%,20%,29%,25%,26%,5%,17%,15%,29%,15%,32%,13%,11%,9%,22%,31%,0%,51%,16%,0%,53%,16%,10%,1%
Is intelligent,[VOL] Don't know/Refused,3%,2%,2%,4%,3%,2%,<.5%,2%,3%,3%,3%,1%,3%,2%,3%,2%,3%,<1%,3%,1%,1%,4%,<1%,4%,9%,<1%,4%,2%,11%,<.5%
Is intelligent,NET Well,65%,64%,67%,63%,56%,72%,76%,70%,60%,63%,62%,90%,73%,75%,59%,75%,55%,79%,82%,83%,67%,56%,99%,28%,63%,99%,26%,72%,71%,98%
Is intelligent,NET Not well,33%,33%,32%,33%,40%,26%,24%,28%,37%,33%,35%,9%,25%,23%,38%,23%,42%,21%,15%,16%,32%,40%,<1%,68%,27%,<.5%,71%,26%,18%,1%
Is intelligent,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Has a clear vision for the country,Very well,32%,30%,34%,32%,22%,41%,28%,28%,28%,39%,31%,49%,30%,37%,30%,37%,28%,36%,40%,44%,34%,26%,60%,3%,7%,62%,3%,7%,10%,68%
Has a clear vision for the country,Somewhat well,21%,21%,21%,22%,23%,21%,33%,29%,19%,15%,20%,34%,30%,26%,19%,25%,16%,31%,32%,29%,22%,18%,33%,7%,36%,32%,6%,41%,31%,26%
Has a clear vision for the country,Not too well,10%,11%,10%,10%,12%,8%,16%,10%,10%,8%,11%,5%,10%,11%,10%,11%,10%,11%,6%,9%,12%,9%,4%,16%,18%,3%,15%,21%,25%,3%
Has a clear vision for the country,Not at all well,34%,34%,33%,34%,40%,28%,22%,30%,38%,34%,36%,9%,24%,24%,39%,25%,43%,17%,18%,15%,29%,44%,<1%,70%,27%,<.5%,73%,30%,20%,2%
Has a clear vision for the country,[VOL] Don't know/Refused,3%,3%,2%,3%,3%,2%,<.5%,3%,3%,3%,3%,3%,6%,2%,3%,2%,3%,5%,4%,3%,3%,3%,2%,3%,12%,2%,3%,1%,13%,<1%
Has a clear vision for the country,NET Well,53%,51%,55%,54%,44%,62%,61%,57%,48%,55%,51%,83%,60%,63%,48%,62%,44%,67%,72%,73%,56%,44%,93%,11%,43%,94%,9%,48%,41%,94%
Has a clear vision for the country,NET Not well,44%,45%,43%,43%,52%,36%,38%,40%,49%,43%,47%,14%,34%,35%,48%,36%,53%,28%,24%,24%,41%,53%,5%,86%,45%,4%,88%,51%,46%,5%
Has a clear vision for the country,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Is honest,Very well,34%,32%,34%,34%,26%,41%,25%,30%,29%,44%,33%,52%,32%,40%,30%,40%,28%,43%,41%,47%,35%,28%,64%,2%,16%,66%,2%,8%,21%,69%
Is honest,Somewhat well,20%,22%,18%,19%,20%,20%,34%,25%,20%,12%,19%,25%,25%,22%,19%,21%,18%,25%,24%,23%,22%,16%,30%,8%,23%,30%,7%,31%,26%,24%
Is honest,Not too well,10%,7%,13%,9%,10%,9%,12%,10%,12%,6%,10%,7%,11%,10%,9%,10%,9%,7%,10%,8%,10%,10%,2%,17%,21%,1%,16%,29%,20%,2%
Is honest,Not at all well,33%,34%,32%,34%,41%,27%,28%,31%,35%,34%,35%,14%,28%,25%,38%,25%,41%,20%,23%,19%,30%,42%,1%,69%,27%,<1%,72%,29%,18%,3%
Is honest,[VOL] Don't know/Refused,3%,4%,2%,4%,3%,4%,<1%,3%,4%,3%,4%,2%,4%,3%,4%,3%,4%,5%,2%,3%,3%,4%,2%,4%,13%,2%,4%,2%,16%,2%
Is honest,NET Well,53%,54%,53%,53%,46%,61%,59%,56%,48%,57%,52%,77%,57%,62%,49%,61%,46%,68%,65%,70%,57%,44%,95%,10%,39%,96%,9%,39%,47%,94%
Is honest,NET Not well,43%,41%,45%,43%,51%,36%,40%,41%,47%,40%,45%,21%,39%,35%,47%,36%,50%,27%,33%,27%,40%,52%,3%,86%,48%,2%,87%,58%,37%,5%
Is honest,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Will bring about the right kind of change,Very well,34%,34%,34%,34%,39%,29%,23%,27%,40%,35%,37%,7%,26%,23%,40%,24%,44%,15%,18%,15%,32%,43%,<.5%,72%,12%,<.5%,76%,10%,9%,3%
Will bring about the right kind of change,Somewhat well,13%,13%,14%,12%,16%,10%,15%,18%,13%,9%,13%,11%,18%,15%,12%,15%,12%,16%,14%,12%,12%,15%,3%,23%,23%,2%,21%,36%,32%,4%
Will bring about the right kind of change,Not too well,7%,7%,6%,6%,8%,6%,12%,9%,5%,5%,6%,9%,10%,7%,7%,7%,5%,5%,13%,6%,7%,6%,9%,3%,24%,9%,2%,20%,19%,6%
Will bring about the right kind of change,Not at all well,46%,45%,45%,47%,36%,54%,48%,47%,41%,51%,44%,71%,45%,55%,41%,54%,38%,62%,54%,67%,49%,35%,87%,1%,40%,88%,<1%,33%,38%,87%
Will bring about the right kind of change,[VOL] Don't know/Refused,<1%,<1%,<.5%,<1%,<1%,<.5%,1%,<.5%,<1%,<.5%,<.5%,2%,<1%,<.5%,<1%,<.5%,<1%,2%,1%,<.5%,<1%,<1%,<.5%,<1%,1%,<.5%,<1%,<1%,2%,<.5%
Will bring about the right kind of change,NET Well,47%,47%,48%,46%,55%,40%,38%,44%,54%,44%,50%,18%,44%,38%,52%,38%,56%,31%,33%,27%,43%,58%,3%,96%,35%,3%,97%,46%,41%,7%
Will bring about the right kind of change,NET Not well,52%,52%,51%,53%,44%,60%,61%,55%,46%,56%,50%,80%,55%,62%,47%,61%,43%,67%,66%,73%,56%,42%,96%,4%,64%,97%,2%,53%,56%,93%
Will bring about the right kind of change,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Has the temperament to be an effective president,Very well,28%,28%,30%,27%,33%,24%,17%,21%,33%,31%,30%,4%,23%,18%,34%,18%,38%,14%,14%,12%,27%,35%,<.5%,60%,9%,<.5%,64%,7%,7%,2%
Has the temperament to be an effective president,Somewhat well,17%,16%,16%,19%,20%,14%,20%,22%,18%,11%,17%,12%,19%,17%,17%,17%,17%,14%,17%,14%,14%,20%,4%,30%,24%,3%,30%,23%,25%,5%
Has the temperament to be an effective president,Not too well,8%,11%,7%,7%,9%,8%,19%,8%,8%,6%,8%,9%,14%,8%,9%,8%,8%,8%,14%,8%,9%,8%,9%,7%,18%,8%,5%,31%,24%,8%
Has the temperament to be an effective president,Not at all well,46%,44%,47%,47%,37%,54%,43%,48%,42%,52%,45%,73%,43%,57%,40%,56%,38%,63%,53%,66%,50%,36%,87%,2%,47%,88%,1%,37%,40%,86%
Has the temperament to be an effective president,[VOL] Don't know/Refused,<1%,<1%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,3%,1%,<.5%,<1%,<.5%,<1%,<1%,2%,<.5%,<.5%,1%,<.5%,<1%,2%,<.5%,<1%,<1%,4%,0%
Has the temperament to be an effective president,NET Well,45%,44%,45%,46%,53%,38%,37%,43%,50%,42%,47%,15%,42%,35%,50%,35%,54%,28%,31%,25%,41%,55%,4%,90%,33%,4%,93%,31%,32%,7%
Has the temperament to be an effective president,NET Not well,54%,55%,54%,54%,47%,62%,62%,57%,49%,58%,52%,82%,57%,65%,49%,64%,45%,71%,67%,74%,58%,44%,96%,9%,65%,96%,6%,68%,64%,93%
Has the temperament to be an effective president,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Is intelligent,Very well,35%,34%,37%,35%,40%,31%,22%,29%,39%,38%,38%,12%,31%,24%,42%,25%,45%,18%,25%,18%,32%,44%,3%,73%,14%,3%,76%,12%,17%,4%
Is intelligent,Somewhat well,20%,21%,19%,20%,22%,18%,32%,26%,21%,12%,20%,22%,20%,24%,18%,25%,17%,20%,22%,22%,21%,19%,16%,23%,41%,15%,21%,52%,32%,15%
Is intelligent,Not too well,10%,11%,10%,10%,11%,10%,15%,11%,9%,10%,10%,14%,14%,13%,9%,12%,9%,19%,11%,9%,13%,9%,17%,3%,17%,16%,1%,22%,21%,16%
Is intelligent,Not at all well,33%,32%,33%,35%,26%,40%,31%,33%,29%,39%,32%,51%,34%,38%,30%,38%,28%,43%,41%,50%,33%,27%,63%,1%,20%,65%,1%,14%,21%,64%
Is intelligent,[VOL] Don't know/Refused,<1%,1%,1%,<1%,1%,<1%,<.5%,<1%,1%,<1%,1%,1%,<.5%,<1%,1%,<1%,1%,<1%,<1%,<.5%,<.5%,2%,<1%,<1%,8%,<1%,<1%,0%,9%,<1%
Is intelligent,NET Well,56%,56%,57%,54%,62%,49%,54%,56%,60%,50%,57%,34%,51%,48%,60%,50%,62%,37%,47%,41%,53%,63%,19%,95%,55%,18%,97%,64%,49%,19%
Is intelligent,NET Not well,43%,43%,42%,45%,37%,50%,46%,43%,38%,49%,42%,65%,48%,51%,39%,50%,37%,62%,53%,59%,47%,35%,80%,4%,37%,81%,2%,36%,42%,80%
Is intelligent,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Has a clear vision for the country,Very well,43%,41%,44%,43%,48%,38%,40%,37%,48%,40%,45%,16%,39%,36%,46%,37%,50%,29%,28%,27%,40%,51%,9%,82%,20%,8%,84%,29%,23%,11%
Has a clear vision for the country,Somewhat well,17%,18%,16%,16%,17%,16%,28%,25%,18%,8%,16%,17%,26%,23%,14%,22%,12%,28%,19%,22%,17%,14%,18%,14%,34%,17%,12%,34%,39%,17%
Has a clear vision for the country,Not too well,7%,8%,6%,7%,9%,6%,12%,9%,7%,5%,7%,7%,13%,8%,7%,8%,6%,8%,12%,7%,9%,6%,11%,3%,13%,11%,2%,15%,13%,10%
Has a clear vision for the country,Not at all well,33%,32%,33%,33%,25%,40%,18%,29%,26%,46%,32%,58%,22%,33%,33%,32%,32%,35%,40%,44%,32%,29%,62%,<1%,28%,63%,<1%,21%,20%,62%
Has a clear vision for the country,[VOL] Don't know/Refused,<1%,<1%,<1%,<.5%,<1%,<.5%,1%,<.5%,<1%,<1%,<1%,2%,0%,<1%,<1%,<1%,<.5%,0%,1%,0%,1%,<.5%,<1%,<.5%,4%,<1%,<.5%,0%,5%,<.5%
Has a clear vision for the country,NET Well,60%,59%,61%,59%,66%,54%,68%,62%,66%,48%,61%,33%,65%,59%,60%,59%,62%,57%,47%,49%,57%,65%,26%,96%,54%,25%,97%,63%,62%,28%
Has a clear vision for the country,NET Not well,40%,40%,39%,41%,34%,46%,31%,38%,34%,51%,38%,65%,35%,40%,40%,40%,38%,43%,52%,51%,41%,35%,73%,4%,41%,74%,3%,37%,33%,72%
Has a clear vision for the country,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Is honest,Very well,22%,23%,22%,21%,24%,20%,17%,16%,23%,25%,23%,7%,15%,12%,27%,13%,30%,8%,13%,11%,20%,27%,1%,46%,8%,<1%,48%,2%,9%,3%
Is honest,Somewhat well,19%,16%,20%,21%,23%,16%,18%,21%,22%,15%,20%,8%,22%,18%,20%,19%,21%,15%,16%,13%,18%,22%,2%,38%,19%,2%,39%,21%,16%,2%
Is honest,Not too well,9%,12%,8%,8%,12%,7%,19%,11%,9%,7%,8%,13%,13%,10%,9%,9%,8%,14%,12%,10%,11%,8%,7%,11%,27%,6%,9%,41%,23%,6%
Is honest,Not at all well,49%,48%,48%,50%,40%,57%,46%,52%,45%,53%,47%,70%,49%,59%,43%,59%,41%,62%,57%,66%,51%,41%,90%,4%,42%,91%,3%,36%,46%,89%
Is honest,[VOL] Don't know/Refused,<1%,1%,<1%,<.5%,1%,<1%,0%,<1%,1%,<.5%,<1%,2%,<1%,<1%,1%,<1%,<1%,<1%,2%,<.5%,<1%,1%,<.5%,1%,5%,<.5%,1%,0%,6%,<.5%
Is honest,NET Well,41%,39%,42%,42%,47%,36%,36%,37%,44%,40%,43%,16%,37%,31%,47%,31%,50%,23%,29%,24%,38%,49%,3%,84%,26%,3%,87%,23%,25%,5%
Is honest,NET Not well,58%,60%,57%,58%,52%,63%,64%,62%,54%,60%,56%,82%,63%,69%,52%,68%,49%,76%,69%,75%,61%,49%,97%,15%,68%,97%,12%,77%,69%,95%
Is honest,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
What one issue is most important in deciding your vote this November?,[VOL] The economy (including jobs and the stock market),22%,22%,21%,24%,27%,18%,16%,20%,26%,21%,23%,16%,22%,19%,24%,19%,25%,16%,21%,18%,22%,24%,9%,37%,19%,9%,37%,24%,24%,8%
What one issue is most important in deciding your vote this November?,[VOL] Inflation and the cost of living,5%,8%,4%,3%,6%,5%,6%,7%,5%,3%,4%,8%,4%,3%,6%,3%,5%,2%,8%,3%,5%,5%,3%,7%,2%,3%,7%,5%,3%,3%
What one issue is most important in deciding your vote this November?,[VOL] Abortion,16%,16%,15%,16%,7%,23%,25%,19%,15%,11%,16%,17%,17%,20%,13%,20%,14%,22%,13%,22%,16%,13%,28%,3%,7%,29%,2%,12%,6%,32%
What one issue is most important in deciding your vote this November?,[VOL] Immigration,13%,11%,16%,12%,15%,11%,9%,10%,13%,17%,14%,2%,11%,10%,15%,10%,16%,9%,5%,6%,13%,16%,2%,26%,4%,2%,28%,9%,3%,2%
What one issue is most important in deciding your vote this November?,[VOL] Crime,<.5%,<.5%,<1%,<.5%,<.5%,<1%,0%,1%,<.5%,0%,<.5%,<1%,0%,<.5%,<.5%,<1%,<.5%,0%,<1%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<1%,0%,<.5%,0%
What one issue is most important in deciding your vote this November?,[VOL] Gun policies,<1%,<.5%,1%,<.5%,<.5%,<1%,<1%,<1%,<1%,<.5%,<1%,1%,0%,<.5%,<1%,<.5%,<1%,0%,<1%,<1%,<.5%,<1%,<1%,<.5%,<1%,<1%,<.5%,0%,<1%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Health care,2%,<1%,2%,2%,1%,2%,4%,1%,2%,1%,1%,6%,2%,2%,2%,2%,<1%,3%,4%,2%,2%,<1%,3%,<.5%,4%,3%,<.5%,5%,<.5%,4%
What one issue is most important in deciding your vote this November?,[VOL] Education,<1%,<1%,<1%,<1%,<1%,<1%,1%,1%,1%,<.5%,<1%,<.5%,3%,1%,<1%,<1%,<.5%,3%,1%,1%,<1%,<1%,1%,<.5%,2%,1%,<.5%,<.5%,4%,1%
What one issue is most important in deciding your vote this November?,[VOL] Foreign policy,3%,2%,4%,4%,4%,3%,3%,5%,3%,3%,3%,6%,3%,4%,3%,4%,3%,5%,4%,2%,4%,4%,2%,5%,5%,2%,5%,9%,5%,1%
What one issue is most important in deciding your vote this November?,[VOL] Russia/the war in Ukraine,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,0%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,0%,<1%,0%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] China,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] Climate change,1%,1%,1%,1%,1%,1%,3%,2%,<.5%,<.5%,1%,0%,3%,3%,<.5%,3%,<.5%,3%,<1%,1%,2%,<1%,2%,<.5%,0%,2%,0%,3%,1%,2%
