itm,v1,michigan_likely_electorate_michigan_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_detroit,region_detroit_metro,region_east,region_north,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
Abortion,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares,MARGIN Harris +20 Calculated using candidates’ unrounded vote shares
Immigration,Kamala Harris,45%,35%,55%,42%,46%,41%,49%,43%,77%,40%,50%,42%,49%,40%,61%,55%,72%,47%,44%,42%,36%,71%,47%,36%,89%,2%,31%,93%,5%,37%
Immigration,Donald Trump,53%,62%,43%,51%,52%,57%,49%,56%,19%,55%,46%,56%,48%,59%,32%,42%,24%,52%,53%,54%,61%,26%,51%,62%,9%,97%,49%,7%,94%,58%
Immigration,[VOL] Don’t know/Refused,3%,3%,2%,7%,2%,3%,1%,2%,4%,5%,4%,2%,2%,1%,7%,3%,4%,2%,3%,4%,2%,3%,3%,2%,2%,<1%,20%,<.5%,<1%,5%
Immigration,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares
Democracy,Kamala Harris,50%,39%,61%,48%,53%,48%,52%,48%,81%,45%,59%,46%,57%,44%,68%,58%,80%,51%,51%,46%,42%,78%,52%,41%,98%,3%,39%,99%,6%,46%
Democracy,Donald Trump,46%,55%,37%,45%,43%,48%,47%,49%,10%,48%,38%,50%,41%,53%,23%,34%,13%,46%,44%,51%,57%,19%,44%,56%,1%,93%,33%,1%,93%,48%
Democracy,[VOL] Don’t know/Refused,4%,5%,2%,7%,4%,4%,1%,2%,9%,7%,3%,4%,2%,3%,8%,8%,6%,4%,5%,3%,<1%,3%,4%,4%,<1%,3%,28%,<.5%,2%,6%
Democracy,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares
Helping the working class,Kamala Harris,47%,36%,58%,42%,48%,46%,50%,46%,77%,35%,54%,44%,53%,43%,62%,51%,69%,50%,48%,40%,40%,70%,50%,38%,94%,2%,28%,97%,7%,38%
Helping the working class,Donald Trump,49%,58%,39%,54%,46%,51%,46%,52%,14%,52%,41%,53%,45%,55%,29%,38%,19%,47%,49%,55%,57%,21%,46%,60%,2%,97%,36%,2%,92%,55%
Helping the working class,[VOL] Don’t know/Refused,4%,5%,3%,4%,6%,3%,4%,2%,9%,13%,5%,4%,3%,2%,9%,12%,12%,4%,3%,5%,3%,9%,4%,3%,3%,<1%,36%,<1%,1%,6%
Helping the working class,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares
Helping people like you,Kamala Harris,49%,37%,60%,47%,51%,46%,50%,46%,83%,43%,55%,45%,53%,43%,64%,61%,80%,51%,48%,43%,41%,78%,51%,38%,95%,3%,31%,97%,6%,41%
Helping people like you,Donald Trump,47%,57%,37%,49%,44%,50%,46%,51%,11%,46%,39%,51%,44%,55%,24%,32%,17%,46%,48%,51%,56%,17%,45%,58%,2%,96%,25%,2%,92%,52%
Helping people like you,[VOL] Don’t know/Refused,4%,6%,3%,4%,5%,4%,4%,3%,6%,11%,6%,4%,3%,3%,12%,7%,3%,4%,4%,7%,3%,5%,4%,4%,3%,<1%,44%,<1%,1%,7%
Helping people like you,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Very well,27%,33%,21%,27%,11%,35%,27%,28%,10%,25%,22%,29%,24%,29%,17%,18%,0%,27%,32%,28%,20%,10%,24%,34%,1%,49%,25%,2%,56%,22%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Somewhat well,17%,21%,14%,19%,22%,20%,12%,18%,3%,18%,15%,18%,17%,19%,8%,13%,0%,13%,19%,19%,25%,8%,16%,20%,7%,27%,10%,6%,19%,23%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Not too well,7%,9%,5%,8%,6%,11%,2%,7%,4%,7%,7%,7%,8%,7%,3%,9%,6%,9%,4%,6%,8%,7%,7%,7%,7%,6%,12%,6%,5%,9%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Not at all well,36%,23%,47%,29%,45%,24%,45%,37%,50%,19%,46%,31%,46%,33%,53%,17%,49%,36%,39%,31%,29%,51%,40%,28%,73%,7%,11%,76%,8%,29%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",[VOL] Don't know/Refused,14%,15%,13%,17%,17%,11%,14%,10%,33%,30%,9%,16%,5%,12%,19%,43%,45%,15%,5%,15%,18%,24%,13%,12%,12%,10%,42%,10%,12%,16%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",NET Well,44%,54%,35%,46%,32%,55%,39%,46%,13%,43%,38%,47%,42%,48%,25%,31%,0%,40%,51%,48%,44%,18%,40%,54%,8%,76%,35%,8%,75%,46%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",NET Not well,43%,32%,52%,37%,51%,35%,47%,44%,54%,27%,53%,37%,53%,40%,56%,25%,55%,45%,44%,38%,37%,57%,47%,35%,80%,13%,23%,82%,13%,38%
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Number of respondents,263,139,122,53,50,82,69,197,26,31,105,158,70,127,29,28,15,81,88,37,42,34,116,113,112,127,24,71,66,100
(ASK IF SPLIT B)  Cares about people like me,Very well,28%,30%,24%,12%,31%,25%,31%,30%,11%,26%,18%,32%,21%,33%,8%,25%,34%,28%,23%,25%,36%,17%,29%,29%,4%,56%,13%,6%,66%,19%
(ASK IF SPLIT B)  Cares about people like me,Somewhat well,15%,18%,14%,12%,19%,13%,17%,16%,17%,12%,18%,14%,19%,15%,15%,13%,4%,19%,14%,8%,24%,8%,19%,14%,8%,26%,0%,7%,15%,22%
(ASK IF SPLIT B)  Cares about people like me,Not too well,11%,11%,12%,30%,7%,16%,5%,13%,10%,6%,12%,11%,15%,12%,5%,10%,0%,9%,20%,7%,8%,11%,8%,16%,18%,4%,10%,23%,3%,8%
(ASK IF SPLIT B)  Cares about people like me,Not at all well,33%,28%,38%,20%,30%,40%,32%,30%,47%,39%,45%,27%,41%,26%,60%,32%,32%,36%,28%,41%,27%,47%,35%,26%,61%,1%,33%,55%,5%,38%
(ASK IF SPLIT B)  Cares about people like me,[VOL] Don't know/Refused,13%,13%,13%,26%,13%,6%,15%,11%,16%,18%,6%,16%,4%,15%,12%,20%,30%,8%,15%,19%,4%,16%,10%,15%,10%,13%,44%,10%,11%,13%
(ASK IF SPLIT B)  Cares about people like me,NET Well,43%,48%,37%,24%,50%,38%,48%,46%,28%,38%,37%,46%,41%,48%,23%,39%,38%,47%,37%,34%,60%,25%,47%,43%,12%,82%,13%,12%,81%,40%
(ASK IF SPLIT B)  Cares about people like me,NET Not well,44%,39%,50%,50%,37%,56%,37%,43%,57%,45%,57%,38%,55%,37%,65%,42%,32%,45%,48%,48%,35%,59%,43%,42%,79%,5%,43%,78%,7%,47%
(ASK IF SPLIT B)  Cares about people like me,Number of respondents,294,151,138,34,71,96,87,215,37,35,117,175,81,132,32,40,22,93,89,51,39,44,135,115,157,123,14,94,68,109
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Very well,24%,19%,28%,24%,32%,19%,27%,26%,25%,7%,33%,19%,38%,21%,23%,10%,39%,22%,33%,11%,17%,35%,27%,18%,48%,3%,22%,55%,7%,14%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Somewhat well,20%,18%,23%,22%,26%,21%,15%,20%,15%,27%,17%,22%,14%,22%,23%,19%,16%,24%,14%,21%,25%,17%,24%,16%,29%,14%,9%,29%,19%,19%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Not too well,13%,16%,11%,13%,5%,19%,9%,15%,11%,3%,14%,13%,17%,14%,10%,3%,0%,9%,20%,18%,8%,4%,12%,18%,3%,24%,2%,2%,26%,14%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Not at all well,28%,34%,22%,23%,20%,34%,32%,29%,12%,29%,25%,29%,26%,30%,18%,23%,0%,26%,27%,38%,32%,11%,20%,40%,4%,50%,20%,5%,39%,32%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",[VOL] Don't know/Refused,15%,14%,16%,18%,17%,6%,17%,10%,37%,34%,11%,17%,5%,13%,26%,45%,45%,19%,6%,12%,18%,33%,18%,7%,16%,9%,47%,9%,10%,21%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",NET Well,44%,36%,51%,46%,58%,40%,42%,46%,40%,34%,49%,41%,52%,44%,46%,29%,55%,47%,46%,32%,42%,52%,51%,35%,77%,17%,31%,84%,25%,33%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",NET Not well,41%,50%,33%,36%,25%,54%,41%,44%,22%,31%,40%,42%,44%,44%,28%,26%,0%,35%,47%,56%,40%,15%,31%,58%,8%,74%,21%,7%,65%,46%
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Number of respondents,263,139,122,53,50,82,69,197,26,31,105,158,70,127,29,28,15,81,88,37,42,34,116,113,112,127,24,71,66,100
(ASK IF SPLIT B)  Cares about people like me,Very well,36%,34%,37%,23%,28%,46%,34%,34%,49%,35%,41%,33%,39%,32%,47%,39%,33%,36%,35%,42%,29%,50%,36%,30%,62%,7%,18%,69%,7%,31%
(ASK IF SPLIT B)  Cares about people like me,Somewhat well,18%,16%,19%,32%,26%,9%,17%,17%,25%,20%,23%,15%,24%,13%,22%,23%,14%,16%,25%,12%,14%,19%,16%,19%,22%,13%,25%,16%,12%,22%
(ASK IF SPLIT B)  Cares about people like me,Not too well,8%,7%,9%,6%,6%,8%,7%,9%,5%,0%,8%,7%,10%,9%,3%,2%,2%,7%,8%,7%,11%,2%,6%,11%,3%,13%,10%,2%,16%,7%
(ASK IF SPLIT B)  Cares about people like me,Not at all well,26%,31%,21%,16%,25%,28%,30%,30%,2%,20%,20%,29%,22%,33%,11%,12%,13%,31%,18%,22%,42%,11%,30%,26%,3%,54%,9%,3%,54%,24%
(ASK IF SPLIT B)  Cares about people like me,[VOL] Don't know/Refused,13%,13%,14%,23%,15%,10%,12%,10%,19%,24%,8%,16%,5%,13%,17%,24%,38%,11%,14%,17%,4%,17%,11%,15%,11%,13%,39%,9%,12%,16%
(ASK IF SPLIT B)  Cares about people like me,NET Well,53%,49%,57%,55%,54%,54%,52%,51%,74%,55%,64%,48%,63%,45%,69%,62%,47%,52%,60%,54%,43%,70%,53%,49%,83%,20%,43%,86%,19%,53%
(ASK IF SPLIT B)  Cares about people like me,NET Not well,34%,38%,29%,23%,31%,36%,36%,39%,7%,20%,28%,36%,32%,42%,14%,14%,15%,38%,26%,29%,53%,14%,36%,36%,5%,67%,18%,5%,69%,31%
(ASK IF SPLIT B)  Cares about people like me,Number of respondents,294,151,138,34,71,96,87,215,37,35,117,175,81,132,32,40,22,93,89,51,39,44,135,115,157,123,14,94,68,109
Requiring auto makers to expand electric vehicle manufacturing.,Strongly support,12%,12%,12%,14%,13%,11%,14%,11%,21%,16%,16%,10%,15%,9%,22%,15%,19%,13%,10%,14%,14%,22%,12%,10%,20%,5%,6%,24%,6%,9%
Requiring auto makers to expand electric vehicle manufacturing.,Somewhat support,26%,22%,31%,26%,29%,26%,25%,26%,35%,23%,27%,26%,26%,26%,35%,24%,12%,30%,32%,19%,16%,19%,31%,23%,45%,6%,32%,47%,4%,24%
Requiring auto makers to expand electric vehicle manufacturing.,Somewhat oppose,17%,21%,13%,24%,21%,16%,12%,19%,5%,15%,18%,16%,22%,18%,11%,10%,3%,18%,14%,17%,23%,10%,17%,18%,15%,18%,16%,11%,21%,19%
Requiring auto makers to expand electric vehicle manufacturing.,Strongly oppose,39%,41%,35%,28%,30%,43%,44%,39%,23%,42%,35%,40%,35%,40%,29%,35%,30%,35%,39%,44%,40%,27%,35%,45%,10%,68%,40%,5%,67%,44%
Requiring auto makers to expand electric vehicle manufacturing.,[VOL] Don't know/Refused,6%,3%,9%,7%,8%,4%,6%,5%,15%,5%,3%,8%,2%,6%,3%,15%,35%,4%,5%,6%,6%,22%,5%,4%,10%,2%,6%,13%,2%,4%
Requiring auto makers to expand electric vehicle manufacturing.,NET Support,39%,35%,43%,41%,42%,37%,39%,37%,56%,38%,43%,36%,41%,36%,57%,39%,31%,42%,42%,32%,30%,41%,43%,33%,65%,12%,38%,71%,10%,33%
Requiring auto makers to expand electric vehicle manufacturing.,NET Oppose,55%,62%,48%,52%,51%,59%,55%,58%,28%,57%,54%,56%,57%,58%,40%,45%,33%,54%,53%,61%,64%,37%,53%,63%,25%,86%,56%,16%,88%,63%
Requiring auto makers to expand electric vehicle manufacturing.,Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
Expanding tariffs on products made outside the United States.,Strongly support,33%,39%,26%,27%,31%,31%,38%,35%,16%,37%,25%,37%,27%,38%,21%,32%,14%,30%,33%,38%,39%,19%,30%,39%,12%,57%,7%,13%,60%,29%
Expanding tariffs on products made outside the United States.,Somewhat support,24%,24%,25%,35%,28%,25%,16%,26%,16%,18%,28%,23%,30%,24%,24%,12%,5%,26%,26%,25%,23%,12%,25%,27%,27%,21%,35%,23%,19%,31%
Expanding tariffs on products made outside the United States.,Somewhat oppose,16%,14%,17%,24%,14%,16%,14%,14%,30%,16%,19%,14%,18%,12%,23%,22%,23%,18%,16%,10%,14%,21%,18%,12%,25%,6%,21%,24%,7%,16%
Expanding tariffs on products made outside the United States.,Strongly oppose,20%,18%,23%,5%,19%,22%,26%,19%,30%,20%,21%,20%,19%,19%,27%,23%,36%,21%,19%,20%,16%,29%,21%,17%,27%,13%,26%,27%,10%,21%
Expanding tariffs on products made outside the United States.,[VOL] Don't know/Refused,7%,4%,9%,9%,8%,6%,6%,6%,8%,9%,7%,7%,7%,6%,5%,12%,22%,5%,7%,6%,8%,18%,6%,5%,10%,3%,11%,13%,4%,3%
Expanding tariffs on products made outside the United States.,NET Support,57%,63%,51%,62%,59%,56%,54%,61%,32%,55%,53%,59%,57%,63%,45%,43%,19%,56%,58%,63%,62%,32%,55%,66%,38%,78%,43%,36%,79%,60%
Expanding tariffs on products made outside the United States.,NET Oppose,36%,33%,40%,29%,33%,39%,39%,33%,60%,36%,40%,34%,37%,31%,50%,45%,59%,39%,35%,30%,30%,50%,39%,29%,52%,19%,47%,51%,17%,37%
Expanding tariffs on products made outside the United States.,Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Personality/behavior,28%,28%,26%,24%,24%,37%,27%,26%,28%,28%,29%,28%,22%,29%,43%,19%,10%,36%,22%,25%,34%,8%,30%,33%,27%,31%,27%,20%,14%,32%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Ethics/honesty,11%,13%,9%,5%,4%,9%,29%,11%,19%,8%,13%,9%,16%,7%,9%,14%,0%,20%,6%,9%,0%,0%,14%,9%,15%,8%,6%,0%,9%,13%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Ability to do the job,8%,9%,7%,<1%,11%,7%,11%,8%,4%,0%,15%,3%,15%,3%,0%,2%,2%,5%,15%,8%,0%,15%,9%,4%,6%,12%,6%,1%,6%,10%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Threat to democracy,6%,4%,8%,11%,5%,3%,5%,7%,0%,6%,6%,5%,6%,8%,9%,0%,0%,10%,1%,7%,5%,5%,8%,3%,11%,0%,5%,7%,7%,7%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Don't know/refused,6%,3%,9%,9%,7%,6%,0%,1%,26%,12%,0%,10%,0%,2%,0%,28%,34%,4%,6%,0%,5%,15%,5%,4%,4%,9%,4%,10%,14%,5%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Court cases/convictions,5%,10%,1%,8%,9%,0%,3%,7%,0%,3%,3%,7%,5%,9%,0%,3%,0%,3%,11%,0%,4%,0%,8%,3%,1%,2%,16%,0%,4%,<1%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Race/racism/sexism,5%,<1%,10%,0%,9%,6%,4%,2%,13%,14%,2%,7%,0%,3%,6%,18%,19%,4%,3%,16%,0%,14%,3%,6%,10%,3%,0%,18%,6%,4%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Abortion,4%,2%,4%,4%,8%,0%,0%,6%,0%,0%,6%,2%,10%,3%,0%,0%,0%,0%,4%,0%,23%,13%,0%,6%,2%,<1%,9%,9%,0%,5%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Economy,2%,3%,1%,1%,3%,1%,3%,2%,0%,6%,4%,<1%,3%,1%,10%,0%,0%,2%,<1%,5%,5%,0%,3%,2%,0%,5%,2%,0%,8%,2%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Immigration,<.5%,<.5%,0%,<1%,0%,0%,0%,0%,0%,<1%,<.5%,0%,0%,0%,1%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Other (specify),15%,12%,18%,7%,14%,19%,19%,17%,10%,13%,16%,14%,16%,18%,21%,7%,25%,7%,23%,12%,15%,26%,11%,16%,18%,19%,4%,30%,8%,14%
